player,team,year
Rowan McDonnell,DC Breeze,2019
Kevin Pettit-Scantling,Madison Radicals,2019
Alec Arsenault, Ottawa Outlaws,2019
Jeff Babbitt, New York Empire,2019
Quentin Bonnaud, Montreal Royal,2019
Kevin Brown, Madison Radicals,2019
Colin Camp, Madison Radicals,2019
Joe Cubitt, Detroit Mechanix ,2019
Antoine Davis, San Jose Spiders,2019
Travis Dunn, San Diego Growlers,2019
Khalif El-Salaam, Seattle Cascades,2019
Jacob Fairfax, Raleigh Flyers,2019
Henry Fisher, Raleigh Flyers,2019
Jay Froude, Dallas Roughnecks,2019
Peter Graffy, Madison Radicals,2019
Rick Gross, Indianapolis AlleyCats,2019
Cam Harris, Toronto Rush,2019
Goose Helton, San Diego Growlers,2019
Kyle Henke, Austin Sol,2019
Ben Jagt, New York Empire,2019
Pawel Janas, Chicago Wildfire,2019
Joc Jimenez, Los Angeles Aviators,2019
Ben Katz, New York Empire,2019
Beau Kittredge, New York Empire,2019
Sean McDougall, Los Angeles Aviators,2019
Sean Mott, Philadelphia Phoenix,2019
Andrew Roney, Tampa Bay Cannons,2019
Max Sheppard, Pittsburgh Thunderbirds,2019
Pat Shriwise, Madison Radicals,2019
Matt Smith, Atlanta Hustle,2019
Aaron Weaver, Los Angeles Aviators,2019
Bryan Vohnoutka, Minnesota Wind Chill,2019
