year,team,player,Assists,Hockey Assists,Throws,Throwaways,Turnovers,Completions,Catches,Goals,Drops,Blocks,Stalls,Callahans,Callahans Thrown,Plus/Minus,O Points Played,O Possessions Played,D Points Played,D Possessions Played,Holds,Breaks,Games Played,Opponent Possessions Played (O-Line),Opponent Possessions Played (D-Line),O Points Lost,D Points Lost,Points Won,Points Played,Possessions Played,Completion Rate,Throwaway Rate,Assist Rate,Goal Rate,Hold Rate,Break Rate,Scoring Efficiency,O-line Scoring Efficiency,D-line Scoring Efficiency,O-line Takeaway Efficiency,D-line Takeaway Efficiency
2014,Chicago Wildfire,AJ Nelson,23.0,20.0,265.0,15.0,19.0,243.0,309.0,49.0,4.0,16.0,0.0,0.0,0.0,69.0,186.0,259.0,71.0,63.0,133.0,25.0,14.0,116.0,108.0,39.0,36.0,158.0,257.0,322.0,0.9169811320754717,0.05660377358490566,0.08679245283018867,0.15857605177993528,0.7150537634408602,0.352112676056338,0.4906832298136646,0.5135135135135135,0.3968253968253968,0.6637931034482758,0.6666666666666667
2014,Chicago Wildfire,Alex Drlica-Wagner,3.0,1.0,55.0,4.0,4.0,51.0,59.0,9.0,0.0,7.0,0.0,0.0,0.0,15.0,48.0,66.0,110.0,89.0,31.0,35.0,13.0,33.0,163.0,14.0,69.0,66.0,158.0,155.0,0.9272727272727272,0.07272727272727272,0.05454545454545454,0.15254237288135594,0.6458333333333334,0.3181818181818182,0.4258064516129032,0.4696969696969697,0.39325842696629215,0.5757575757575757,0.5766871165644172
2014,Chicago Wildfire,Andrew Sheehan,15.0,14.0,195.0,10.0,12.0,179.0,140.0,4.0,2.0,11.0,0.0,0.0,0.0,18.0,44.0,64.0,119.0,110.0,31.0,41.0,10.0,33.0,185.0,13.0,67.0,72.0,163.0,174.0,0.9179487179487179,0.05128205128205128,0.07692307692307693,0.02857142857142857,0.7045454545454546,0.3445378151260504,0.41379310344827586,0.484375,0.37272727272727274,0.6060606060606061,0.6378378378378378
2014,Chicago Wildfire,Andy Nielsen,2.0,1.0,51.0,3.0,4.0,46.0,47.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,32.0,45.0,34.0,26.0,24.0,9.0,6.0,21.0,51.0,8.0,25.0,33.0,66.0,71.0,0.9019607843137255,0.058823529411764705,0.0392156862745098,0.02127659574468085,0.75,0.2647058823529412,0.4647887323943662,0.5333333333333333,0.34615384615384615,0.6190476190476191,0.5098039215686274
2014,Chicago Wildfire,Anonymous,10.0,3.0,30.0,14.0,17.0,16.0,11.0,10.0,3.0,0.0,0.0,0.0,0.0,3.0,,,,,,,,,,,,,,,0.5333333333333333,0.4666666666666667,0.3333333333333333,0.9090909090909091,,,,,,,
2014,Chicago Wildfire,Ben Rehmann,3.0,4.0,47.0,4.0,7.0,43.0,45.0,2.0,3.0,3.0,0.0,0.0,0.0,1.0,31.0,46.0,44.0,26.0,22.0,13.0,5.0,23.0,57.0,8.0,31.0,35.0,75.0,72.0,0.9148936170212766,0.0851063829787234,0.06382978723404255,0.044444444444444446,0.7096774193548387,0.29545454545454547,0.4861111111111111,0.4782608695652174,0.5,0.6521739130434783,0.45614035087719296
2014,Chicago Wildfire,Bob Liu,13.0,38.0,617.0,29.0,33.0,580.0,478.0,4.0,4.0,5.0,0.0,0.0,0.0,-11.0,233.0,307.0,44.0,52.0,164.0,22.0,15.0,132.0,71.0,55.0,17.0,186.0,277.0,359.0,0.940032414910859,0.04700162074554295,0.02106969205834684,0.008368200836820083,0.703862660944206,0.5,0.5181058495821727,0.5342019543973942,0.4230769230769231,0.5833333333333333,0.7605633802816901
2014,Chicago Wildfire,Brett Kolinek,12.0,8.0,224.0,13.0,15.0,210.0,163.0,9.0,2.0,2.0,0.0,0.0,0.0,8.0,123.0,166.0,35.0,31.0,90.0,16.0,9.0,73.0,50.0,28.0,19.0,106.0,158.0,197.0,0.9375,0.05803571428571429,0.05357142857142857,0.05521472392638037,0.7317073170731707,0.45714285714285713,0.5380710659898477,0.5421686746987951,0.5161290322580645,0.6164383561643836,0.62
2014,Chicago Wildfire,Brodie Smith,4.0,1.0,28.0,0.0,0.0,27.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,14.0,18.0,1.0,0.0,10.0,0.0,2.0,8.0,1.0,4.0,1.0,10.0,15.0,18.0,0.9642857142857143,0.0,0.14285714285714285,0.0,0.7142857142857143,0.0,0.5555555555555556,0.5555555555555556,,0.5,0.0
2014,Chicago Wildfire,Casey Degnan,4.0,1.0,33.0,5.0,6.0,28.0,42.0,13.0,1.0,8.0,0.0,0.0,0.0,19.0,13.0,23.0,131.0,72.0,10.0,35.0,12.0,12.0,168.0,2.0,84.0,45.0,144.0,95.0,0.8484848484848485,0.15151515151515152,0.12121212121212122,0.30952380952380953,0.7692307692307693,0.26717557251908397,0.47368421052631576,0.43478260869565216,0.4861111111111111,0.8333333333333334,0.5
