year,team,Assists,Hockey Assists,Throws,Throwaways,Turnovers,Completions,Catches,Goals,Drops,Blocks,Stalls,Callahans,Callahans Thrown,O Points Played,O Possessions Played,D Points Played,D Possessions Played,Holds,Breaks,Games Played,Opponent Possessions Played (O-Line),Opponent Possessions Played (D-Line),O Points Lost,D Points Lost,Points Won,Points Played,Possessions Played,Completion Rate,Throwaway Rate,Assist Rate,Goal Rate,Hold Rate,Break Rate,Scoring Efficiency,O-line Scoring Efficiency,D-line Scoring Efficiency,O-line Takeaway Efficiency,D-line Takeaway Efficiency
2014,Chicago Wildfire,324,285,4042,291,365,3677,3677,324,74,193,0,0,0,289,403,345,292,203,121,15,188,510,70,195,324,634,695,0.9096981692231568,0.07199406234537357,0.0801583374567046,0.0881153113951591,0.7024221453287197,0.3507246376811594,0.46618705035971225,0.5037220843672456,0.4143835616438356,0.6276595744680851,0.6176470588235294
2014,Cincinnati Revolution,257,206,3220,330,416,2804,2804,258,86,158,0,1,0,357,503,285,176,192,65,14,284,387,133,198,257,642,679,0.8708074534161491,0.10248447204968944,0.07981366459627329,0.0920114122681883,0.5378151260504201,0.22807017543859648,0.3784977908689249,0.3817097415506958,0.3693181818181818,0.5316901408450705,0.4883720930232558
2014,DC Breeze,346,302,4144,297,370,3784,3784,347,63,178,10,1,0,364,492,368,234,223,123,15,253,473,122,222,346,732,726,0.9131274131274131,0.07166988416988417,0.0834942084942085,0.09170190274841437,0.6126373626373627,0.3342391304347826,0.4765840220385675,0.4532520325203252,0.5256410256410257,0.5177865612648221,0.5306553911205074
2014,Detroit Mechanix,217,176,3680,405,518,3164,3164,217,111,176,2,0,0,394,587,243,155,179,38,14,398,358,193,187,217,637,742,0.8597826086956522,0.11005434782608696,0.058967391304347826,0.06858407079646017,0.4543147208121827,0.15637860082304528,0.29245283018867924,0.3049403747870528,0.24516129032258063,0.5150753768844221,0.4776536312849162
2014,Indianapolis AlleyCats,310,257,3926,295,380,3546,3546,310,85,189,0,0,0,332,460,337,235,216,94,15,230,470,92,219,310,669,695,0.9032093734080489,0.07514009169638308,0.07896077432501274,0.0874224478285392,0.6506024096385542,0.2789317507418398,0.4460431654676259,0.46956521739130436,0.4,0.6,0.5340425531914894
2014,Madison Radicals,379,349,4346,272,341,4012,4012,383,62,298,7,4,1,275,386,411,347,200,179,16,171,572,50,199,379,686,733,0.9231477220432581,0.06258628624022089,0.08720662678324896,0.09546360917248255,0.7272727272727273,0.43552311435523117,0.5170532060027285,0.5181347150259067,0.515850144092219,0.7076023391812866,0.6520979020979021
2014,Minnesota Wind Chill,341,315,4443,193,311,4140,4140,341,110,243,8,0,0,327,426,362,249,216,125,14,194,476,91,211,341,689,675,0.9318028359216746,0.04343911771325681,0.0767499437317128,0.0823671497584541,0.6605504587155964,0.3453038674033149,0.5051851851851852,0.5070422535211268,0.5020080321285141,0.5309278350515464,0.5567226890756303
2014,Montreal Royal,296,255,3647,281,336,3314,3314,296,52,160,3,0,1,318,425,314,221,187,109,14,220,422,112,191,296,632,646,0.90869207567864,0.07704962983273923,0.08116259939676447,0.08931804465902234,0.5880503144654088,0.3471337579617834,0.4582043343653251,0.44,0.49321266968325794,0.49090909090909096,0.54739336492891
2014,New York Empire,357,331,4289,330,391,3916,3916,357,43,239,18,0,0,307,416,385,343,201,156,16,201,560,85,196,357,692,759,0.9130333411051527,0.07694101189088366,0.08323618559104687,0.09116445352400408,0.6547231270358306,0.4051948051948052,0.47035573122529645,0.4831730769230769,0.45481049562682213,0.5771144278606966,0.65
2014,Philadelphia Phoenix,247,223,4529,367,423,4106,4106,247,56,154,0,0,0,352,498,268,176,189,58,14,291,379,143,192,247,620,674,0.9066018988739236,0.08103334069330978,0.05453742548023846,0.06015586945932781,0.5369318181818182,0.21641791044776118,0.3664688427299703,0.3795180722891566,0.32954545454545453,0.5085910652920962,0.4934036939313984
