year,teams,teams-href,,,,,
2019,Montreal Royal,https://www.ultianalytics.com/app/#/5798954679664640/players,,,,,
2019,San Diego Growlers,https://www.ultianalytics.com/app/#/6026025574072320/players,,,,,
2019,Tampa Bay Cannons,https://www.ultianalytics.com/app/#/5775526035718144/players,,,,,
2019,Detroit Mechanix,https://www.ultianalytics.com/app/#/6466345621258240/players,,,,,
2019,San Jose Spiders,https://www.ultianalytics.com/app/#/5661186758541312/players,,,,,
2019,Atlanta Hustle,https://www.ultianalytics.com/app/#/4597087672991744/players,,,,,
2019,Ottawa Outlaws,https://www.ultianalytics.com/app/#/5340445714415616/players,,,,,
2019,Pittsburgh Thunderbirds,https://www.ultianalytics.com/app/#/5131989745139712/players,,,,,
2019,Seattle Cascades,https://www.ultianalytics.com/app/#/5405478582484992/players,,,,,
2019,Minnesota Wind Chill,https://www.ultianalytics.com/app/#/5223179500912640/players,,,,,
2019,Toronto Rush,https://www.ultianalytics.com/app/#/5660854234120192/players,,,,,
2019,Dallas Roughnecks,https://www.ultianalytics.com/app/#/5501394781995008/players,,,,,
2019,Madison Radicals,https://www.ultianalytics.com/app/#/5335870970265600/players,,,,,
2019,Indianapolis AlleyCats,https://www.ultianalytics.com/app/#/6099543552688128/players,,,,,
2019,Los Angeles Aviators,https://www.ultianalytics.com/app/#/6417832975794176/players,,,,,
2019,Austin Sol,https://www.ultianalytics.com/app/#/6637781254144000/players,,,,,
2019,Philadelphia Phoenix,https://www.ultianalytics.com/app/#/6369964004999168/players,,,,,
2019,Raleigh Flyers,https://www.ultianalytics.com/app/#/5225326984560640/players,,,,,
2019,New York Empire,https://www.ultianalytics.com/app/#/6080525840154624/players,,,,,
2019,DC Breeze,https://www.ultianalytics.com/app/#/4848353275805696/players,,,,,
2019,Chicago Wildfire,https://www.ultianalytics.com/app/#/5684092356001792/players,,,,,
