web-scraper-order,web-scraper-start-url,year,year-href,teams,teams-href
1524433971-1925,http://www.ultianalytics.com/index.html,AUDL 2017,http://www.ultianalytics.com/index.html#collapse100,New York Empire,http://www.ultianalytics.com/app/#/5767202099691520/players
1524433971-1912,http://www.ultianalytics.com/index.html,AUDL 2017,http://www.ultianalytics.com/index.html#collapse100,Atlanta Hustle,http://www.ultianalytics.com/app/#/5762298832486400/players
1524433971-1921,http://www.ultianalytics.com/index.html,AUDL 2017,http://www.ultianalytics.com/index.html#collapse100,Madison Radicals,http://www.ultianalytics.com/app/#/5701394610782208/players
1524433971-1928,http://www.ultianalytics.com/index.html,AUDL 2017,http://www.ultianalytics.com/index.html#collapse100,Pittsburgh Thunderbirds,http://www.ultianalytics.com/app/#/5721191432060928/players
1524433971-1926,http://www.ultianalytics.com/index.html,AUDL 2017,http://www.ultianalytics.com/index.html#collapse100,Ottawa Outlaws,http://www.ultianalytics.com/app/#/5700228501995520/players
1524433971-1935,http://www.ultianalytics.com/index.html,AUDL 2017,http://www.ultianalytics.com/index.html#collapse100,Vancouver Riptide,http://www.ultianalytics.com/app/#/5711261467672576/players
1524433971-1931,http://www.ultianalytics.com/index.html,AUDL 2017,http://www.ultianalytics.com/index.html#collapse100,San Francisco FlameThrowers,http://www.ultianalytics.com/app/#/5654595548217344/players
1524433971-1916,http://www.ultianalytics.com/index.html,AUDL 2017,http://www.ultianalytics.com/index.html#collapse100,Dallas Roughnecks,http://www.ultianalytics.com/app/#/5688687119564800/players
1524433971-1933,http://www.ultianalytics.com/index.html,AUDL 2017,http://www.ultianalytics.com/index.html#collapse100,Seattle Cascades,http://www.ultianalytics.com/app/#/5753798823772160/players
1524433971-1923,http://www.ultianalytics.com/index.html,AUDL 2017,http://www.ultianalytics.com/index.html#collapse100,Montreal Royal,http://www.ultianalytics.com/app/#/5736577883963392/players
1524433971-1915,http://www.ultianalytics.com/index.html,AUDL 2017,http://www.ultianalytics.com/index.html#collapse100,DC Breeze,http://www.ultianalytics.com/app/#/5634601401712640/players
1524433971-1922,http://www.ultianalytics.com/index.html,AUDL 2017,http://www.ultianalytics.com/index.html#collapse100,Minnesota Wind Chill,http://www.ultianalytics.com/app/#/5658753101725696/players
1524433971-1932,http://www.ultianalytics.com/index.html,AUDL 2017,http://www.ultianalytics.com/index.html#collapse100,San Jose Spiders,http://www.ultianalytics.com/app/#/5655358173347840/players
1524433971-1913,http://www.ultianalytics.com/index.html,AUDL 2017,http://www.ultianalytics.com/index.html#collapse100,Austin Sol,http://www.ultianalytics.com/app/#/5199348879065088/players
1524433971-1919,http://www.ultianalytics.com/index.html,AUDL 2017,http://www.ultianalytics.com/index.html#collapse100,Jacksonville Cannons,http://www.ultianalytics.com/app/#/5672188833169408/players
1524433971-1920,http://www.ultianalytics.com/index.html,AUDL 2017,http://www.ultianalytics.com/index.html#collapse100,Los Angeles Aviators,http://www.ultianalytics.com/app/#/5719707252424704/players
1524433971-1934,http://www.ultianalytics.com/index.html,AUDL 2017,http://www.ultianalytics.com/index.html#collapse100,Toronto Rush,http://www.ultianalytics.com/app/#/5707300165648384/players
1524433971-1927,http://www.ultianalytics.com/index.html,AUDL 2017,http://www.ultianalytics.com/index.html#collapse100,Philadelphia Phoenix,http://www.ultianalytics.com/app/#/5666961832804352/players
1524433971-1914,http://www.ultianalytics.com/index.html,AUDL 2017,http://www.ultianalytics.com/index.html#collapse100,Chicago Wildfire,http://www.ultianalytics.com/app/#/5104011879383040/players
1524433971-1929,http://www.ultianalytics.com/index.html,AUDL 2017,http://www.ultianalytics.com/index.html#collapse100,Raleigh Flyers,http://www.ultianalytics.com/app/#/5740216795004928/players
1524433971-1917,http://www.ultianalytics.com/index.html,AUDL 2017,http://www.ultianalytics.com/index.html#collapse100,Detroit Mechanix,http://www.ultianalytics.com/app/#/5173627930542080/players
1524433971-1924,http://www.ultianalytics.com/index.html,AUDL 2017,http://www.ultianalytics.com/index.html#collapse100,Nashville NightWatch,http://www.ultianalytics.com/app/#/5672878150254592/players
1524433971-1930,http://www.ultianalytics.com/index.html,AUDL 2017,http://www.ultianalytics.com/index.html#collapse100,San Diego Growlers,http://www.ultianalytics.com/app/#/5712818124881920/players
1524433971-1918,http://www.ultianalytics.com/index.html,AUDL 2017,http://www.ultianalytics.com/index.html#collapse100,Indianapolis AlleyCats,http://www.ultianalytics.com/app/#/5646521009700864/players
