web-scraper-order,web-scraper-start-url,year,teams,teams-href
1524428319-635,http://www.ultianalytics.com/index.html,AUDL 2018,DC Breeze,http://www.ultianalytics.com/app/#/5752581510922240/players
1524428319-652,http://www.ultianalytics.com/index.html,AUDL 2018,Seattle Cascades,http://www.ultianalytics.com/app/#/5083432317091840/players
1524428319-653,http://www.ultianalytics.com/index.html,AUDL 2018,Tampa Bay Cannons,http://www.ultianalytics.com/app/#/5764371196149760/players
1524428319-641,http://www.ultianalytics.com/index.html,AUDL 2018,Minnesota Wind Chill,http://www.ultianalytics.com/app/#/5190153664462848/players
1524428319-649,http://www.ultianalytics.com/index.html,AUDL 2018,San Diego Growlers,http://www.ultianalytics.com/app/#/5642413183860736/players
1524428319-646,http://www.ultianalytics.com/index.html,AUDL 2018,Philadelphia Phoenix,http://www.ultianalytics.com/app/#/5687270359171072/players
1524428319-640,http://www.ultianalytics.com/index.html,AUDL 2018,Madison Radicals,http://www.ultianalytics.com/app/#/5632919561306112/players
1524428319-636,http://www.ultianalytics.com/index.html,AUDL 2018,Dallas Roughnecks,http://www.ultianalytics.com/app/#/5688183576592384/players
1524428319-644,http://www.ultianalytics.com/index.html,AUDL 2018,New York Empire,http://www.ultianalytics.com/app/#/5639193434783744/players
1524428319-650,http://www.ultianalytics.com/index.html,AUDL 2018,San Francisco FlameThrowers,http://www.ultianalytics.com/app/#/5717396199309312/players
1524428319-654,http://www.ultianalytics.com/index.html,AUDL 2018,Toronto Rush,http://www.ultianalytics.com/app/#/5723660543328256/players
1524428319-632,http://www.ultianalytics.com/index.html,AUDL 2018,Atlanta Hustle,http://www.ultianalytics.com/app/#/5674770125291520/players
1524428319-639,http://www.ultianalytics.com/index.html,AUDL 2018,Los Angeles Aviators,http://www.ultianalytics.com/app/#/5657507175333888/players
1524428319-643,http://www.ultianalytics.com/index.html,AUDL 2018,Nashville NightWatch,http://www.ultianalytics.com/app/#/5765616870883328/players
1524428319-642,http://www.ultianalytics.com/index.html,AUDL 2018,Montreal Royal,http://www.ultianalytics.com/app/#/5750003591020544/players
1524428319-647,http://www.ultianalytics.com/index.html,AUDL 2018,Pittsburgh Thunderbirds,http://www.ultianalytics.com/app/#/5646382270513152/players
1524428319-637,http://www.ultianalytics.com/index.html,AUDL 2018,Detroit Mechanix,http://www.ultianalytics.com/app/#/5683734527344640/players
1524428319-633,http://www.ultianalytics.com/index.html,AUDL 2018,Austin Sol,http://www.ultianalytics.com/app/#/5713040162947072/players
1524428319-651,http://www.ultianalytics.com/index.html,AUDL 2018,San Jose Spiders,http://www.ultianalytics.com/app/#/5630548068270080/players
1524428319-648,http://www.ultianalytics.com/index.html,AUDL 2018,Raleigh Flyers,http://www.ultianalytics.com/app/#/5136318262673408/players
1524428319-645,http://www.ultianalytics.com/index.html,AUDL 2018,Ottawa Outlaws,http://www.ultianalytics.com/app/#/5725028758847488/players
1524428319-634,http://www.ultianalytics.com/index.html,AUDL 2018,Chicago Wildfire,http://www.ultianalytics.com/app/#/5753103617884160/players
1524428319-638,http://www.ultianalytics.com/index.html,AUDL 2018,Indianapolis AlleyCats,http://www.ultianalytics.com/app/#/5760473244893184/players
