,Teamname,Name,FirstName,LastName
0,Atlanta Hustle,Daniel Sperling,Daniel,Sperling
1,Atlanta Hustle,Will Lindquist,Will,Lindquist
2,Atlanta Hustle,Austin Taylor,Austin,Taylor
3,Atlanta Hustle,Matthew Knowles,Matthew,Knowles
4,Atlanta Hustle,Player Pierce,Player,Pierce
5,Atlanta Hustle,Brett Hulsmeyer,Brett,Hulsmeyer
6,Atlanta Hustle,Zack Avello,Zack,Avello
7,Atlanta Hustle,Christian Olsen,Christian,Olsen
8,Atlanta Hustle,Javier Ortiz,Javier,Ortiz
9,Atlanta Hustle,Kelvin Williams,Kelvin,Williams
10,Atlanta Hustle,Matt Smith,Matt,Smith
11,Atlanta Hustle,Carter Rae,Carter,Rae
12,Atlanta Hustle,Taylor Minch,Taylor,Minch
13,Atlanta Hustle,Hayden Austin-Knab,Hayden,Austin-Knab
14,Atlanta Hustle,Josh Bush,Josh,Bush
15,Atlanta Hustle,Paul Lally,Paul,Lally
16,Atlanta Hustle,Sun Choi,Sun,Choi
17,Atlanta Hustle,Joel Wooten,Joel,Wooten
18,Atlanta Hustle,Josh Turner,Josh,Turner
19,Atlanta Hustle,Devon Rogers,Devon,Rogers
20,Atlanta Hustle,Eli Jaime,Eli,Jaime
21,Atlanta Hustle,David Petmecky,David,Petmecky
22,Atlanta Hustle,Sam Batson,Sam,Batson
23,Atlanta Hustle,Trenton Spinks,Trenton,Spinks
24,Atlanta Hustle,Mac McClellan,Mac,McClellan
25,Austin Sol,Mitchell Bennett,Mitchell,Bennett
26,Austin Sol,John Cecil,John,Cecil
27,Austin Sol,Matt Bennett,Matt,Bennett
28,Austin Sol,Michael Matthis,Michael,Matthis
29,Austin Sol,Reese Bowman,Reese,Bowman
30,Austin Sol,Jeff Loskorn,Jeff,Loskorn
31,Austin Sol,Eric Brodbeck,Eric,Brodbeck
32,Austin Sol,Jason Holleran,Jason,Holleran
33,Austin Sol,Matthew Bierschenk,Matthew,Bierschenk
34,Austin Sol,Joshua Zdrodowski,Joshua,Zdrodowski
35,Austin Sol,Corey Mika,Corey,Mika
36,Austin Sol,Jimmy Zuraw,Jimmy,Zuraw
37,Austin Sol,Andrew Walch,Andrew,Walch
38,Austin Sol,Carter Hollo,Carter,Hollo
39,Austin Sol,Jerrod Wolfe,Jerrod,Wolfe
40,Austin Sol,Mason Wuensch,Mason,Wuensch
41,Austin Sol,Derek Fan,Derek,Fan
42,Austin Sol,Mutahir Ahmad,Mutahir,Ahmad
43,Austin Sol,Ethan Pollack,Ethan,Pollack
44,Austin Sol,Chase Cunningham,Chase,Cunningham
45,Austin Sol,Elliott Moore,Elliott,Moore
46,Austin Sol,Keivaun Waugh,Keivaun,Waugh
47,Austin Sol,Kyle Henke,Kyle,Henke
48,Austin Sol,Rory Orloff,Rory,Orloff
49,Austin Sol,Brian Gfroerer,Brian,Gfroerer
50,Austin Sol,Mick Walter,Mick,Walter
51,Austin Sol,Brandon Dial,Brandon,Dial
52,Austin Sol,Mike Cramer,Mike,Cramer
53,Austin Sol,Austin Walker,Austin,Walker
54,Austin Sol,Zachary Cotter,Zachary,Cotter
55,Austin Sol,Paul Starkel,Paul,Starkel
56,Austin Sol,Ryan Purcell,Ryan,Purcell
57,Austin Sol,Doug Richardson,Doug,Richardson
58,Austin Sol,Robert Lewis,Robert,Lewis
59,Chicago Wildfire,Jesse Johnson,Jesse,Johnson
60,Chicago Wildfire,Kurt Gibson,Kurt,Gibson
61,Chicago Wildfire,Michael Egan,Michael,Egan
62,Chicago Wildfire,Seth Weaver,Seth,Weaver
63,Chicago Wildfire,Brad Bolliger,Brad,Bolliger
64,Chicago Wildfire,Matt Rehder,Matt,Rehder
65,Chicago Wildfire,David Woods,David,Woods
66,Chicago Wildfire,Jesse White,Jesse,White
67,Chicago Wildfire,Jeff Weis,Jeff,Weis
68,Chicago Wildfire,Von Alanguilan,Von,Alanguilan
69,Chicago Wildfire,Nate Goff,Nate,Goff
70,Chicago Wildfire,Jeremy Burril,Jeremy,Burril
71,Chicago Wildfire,Judah Newman,Judah,Newman
72,Chicago Wildfire,Drew Swanson,Drew,Swanson
73,Chicago Wildfire,Tommy Gallagher,Tommy,Gallagher
74,Chicago Wildfire,Jack Shanahan,Jack,Shanahan
75,Chicago Wildfire,Joey Kennedy,Joey,Kennedy
76,Chicago Wildfire,Nick Zeman,Nick,Zeman
77,Chicago Wildfire,Cal Tornabene,Cal,Tornabene
78,Chicago Wildfire,David Meinecke,David,Meinecke
79,Chicago Wildfire,Alex Rummelhart,Alex,Rummelhart
80,Chicago Wildfire,Michael Pardo,Michael,Pardo
81,Chicago Wildfire,Ross Barker,Ross,Barker
82,Chicago Wildfire,Zane Rankin,Zane,Rankin
83,Chicago Wildfire,Karl Kingma,Karl,Kingma
84,Chicago Wildfire,Dan Miller,Dan,Miller
85,Chicago Wildfire,Tim Fergus,Tim,Fergus
86,Chicago Wildfire,James Sykora,James,Sykora
87,Chicago Wildfire,Brenton Hard,Brenton,Hard
88,Chicago Wildfire,Pawel Janas,Pawel,Janas
89,Chicago Wildfire,Jason Vallee,Jason,Vallee
90,Chicago Wildfire,Zubair Abdulla,Zubair,Abdulla
91,Chicago Wildfire,CJ O'Brien,CJ,O'Brien
92,Chicago Wildfire,Charlie Furse,Charlie,Furse
93,Dallas Roughnecks,Brandon Malecek,Brandon,Malecek
94,Dallas Roughnecks,Griffin Miller,Griffin,Miller
95,Dallas Roughnecks,Kaplan Maurer,Kaplan,Maurer
96,Dallas Roughnecks,Matt Jackson,Matt,Jackson
97,Dallas Roughnecks,Sam Ward,Sam,Ward
98,Dallas Roughnecks,Jay Froude,Jay,Froude
99,Dallas Roughnecks,Jake Reinhardt,Jake,Reinhardt
100,Dallas Roughnecks,Ben Lewis,Ben,Lewis
101,Dallas Roughnecks,Abe Coffin,Abe,Coffin
102,Dallas Roughnecks,Joel Clutton,Joel,Clutton
103,Dallas Roughnecks,Alex Brouwer,Alex,Brouwer
104,Dallas Roughnecks,Dillon Larberg,Dillon,Larberg
105,Dallas Roughnecks,Dalton Smith,Dalton,Smith
106,Dallas Roughnecks,Stephen Poulos,Stephen,Poulos
107,Dallas Roughnecks,Abe Gambert,Abe,Gambert
108,Dallas Roughnecks,Chris Larberg,Chris,Larberg
109,Dallas Roughnecks,Daniel Emmons,Daniel,Emmons
110,Dallas Roughnecks,Kevin Richardson,Kevin,Richardson
111,Dallas Roughnecks,Casey Hogg,Casey,Hogg
112,Dallas Roughnecks,Zach Riggins,Zach,Riggins
113,Dallas Roughnecks,Connor Olson,Connor,Olson
114,Dallas Roughnecks,Wesley Miaw,Wesley,Miaw
115,Dallas Roughnecks,Connor Ughetta,Connor,Ughetta
116,Dallas Roughnecks,Carson Wilder,Carson,Wilder
117,Dallas Roughnecks,Noah Chambers,Noah,Chambers
118,Dallas Roughnecks,Thomas Slack,Thomas,Slack
119,Dallas Roughnecks,Kai Marshall,Kai,Marshall
120,Dallas Roughnecks,Henry Furuta,Henry,Furuta
121,Dallas Roughnecks,Brian Street,Brian,Street
122,Dallas Roughnecks,Jonathan Costello,Jonathan,Costello
123,Dallas Roughnecks,Matthew Armour,Matthew,Armour
124,Dallas Roughnecks,Zach Marbach,Zach,Marbach
125,Dallas Roughnecks,Ben Rogers,Ben,Rogers
126,Dallas Roughnecks,David Hammer,David,Hammer
127,DC Breeze,Jarrod Banks,Jarrod,Banks
128,DC Breeze,Alexandre Fall,Alexandre,Fall
129,DC Breeze,Kris Harrison,Kris,Harrison
130,DC Breeze,Houston Parks,Houston,Parks
131,DC Breeze,AJ Merriman,AJ,Merriman
132,DC Breeze,Dane Warner,Dane,Warner
133,DC Breeze,Matt Collum,Matt,Collum
134,DC Breeze,John Walden,John,Walden
135,DC Breeze,Kenta Kawaguchi,Kenta,Kawaguchi
136,DC Breeze,Zach Norrbom,Zach,Norrbom
137,DC Breeze,Joe Richards,Joe,Richards
138,DC Breeze,Garrett Braun,Garrett,Braun
139,DC Breeze,Dennis Maclaine,Dennis,Maclaine
140,DC Breeze,Cole Sullivan,Cole,Sullivan
141,DC Breeze,Kyle Vezina,Kyle,Vezina
142,DC Breeze,Alex Liu,Alex,Liu
143,DC Breeze,Matt Neeley,Matt,Neeley
144,DC Breeze,Sam Brecker,Sam,Brecker
