,Teamname,Name
0,Madison Radicals,Adam Drews
1,Madison Radicals,Andrew Meshnick
2,Madison Radicals,Seth Meyer
3,Madison Radicals,Pat Shriwise
4,Madison Radicals,Sean Treacy
5,Madison Radicals,Avery Johnson
6,Madison Radicals,Tom Annen
7,Madison Radicals,Benjy Keren
8,Madison Radicals,Joshua Wilson
9,Madison Radicals,Victor Luo
10,Madison Radicals,Andrew Brown
11,Madison Radicals,David Nester
12,Madison Radicals,Logan Pruess
13,Madison Radicals,Chris Wilen
14,Madison Radicals,Nate Bosscher
15,Madison Radicals,Sterling Knoche
16,Madison Radicals,Glenn Poole
17,Madison Radicals,Dave Wiseman
18,Madison Radicals,Rami Paust
19,Madison Radicals,Kyle Weigand
20,Madison Radicals,Ryan Tucker
21,Madison Radicals,Peter Graffy
22,Madison Radicals,Colin Camp
23,Madison Radicals,Jeff Maskalunas
24,Madison Radicals,Chase Marty
25,Madison Radicals,Mike Kobyra
26,Madison Radicals,Thomas Coolidge
27,Madison Radicals,Tarik Akyuz
28,Madison Radicals,Ben Nelson
29,Madison Radicals,Dylan Power
30,Madison Radicals,Luke Marks
31,Madison Radicals,Colin Grandon
32,Madison Radicals,Jack Kelly
33,Madison Radicals,Kevin Pettit-Scantling
34,Madison Radicals,Dan Vockeroth
35,Madison Radicals,Kyle Dreger
36,Madison Radicals,Kevin Brown
37,Los Angeles Aviators,Xavier Charles
38,Los Angeles Aviators,Michael Kiyoi
39,Los Angeles Aviators,Evan Valdes
40,Los Angeles Aviators,Ryan Lepore
41,Los Angeles Aviators,Andrew Padula
42,Los Angeles Aviators,Danny Landesman
43,Los Angeles Aviators,Sean McDougall
44,Los Angeles Aviators,Alex Drum
45,Los Angeles Aviators,Mitchell Steiner
46,Los Angeles Aviators,Kyle Conniff
47,Los Angeles Aviators,Zach Theodore
48,Los Angeles Aviators,KJ Koo
49,Los Angeles Aviators,Aaron Weaver
50,Los Angeles Aviators,Jeffrey Silverman
51,Los Angeles Aviators,Ryan Smith
52,Los Angeles Aviators,Ian Ladner
53,Los Angeles Aviators,Zac Schakner
54,Los Angeles Aviators,Matt Theologidy
55,Los Angeles Aviators,Timothy Beatty
