,Date/Time,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Elapsed Time (secs),Begin Area,Begin X,Begin Y,End Area,End X,End Y,Distance Unit of Measure,Absolute Distance,Lateral Distance,Toward Our Goal Distance,Teamname,Year,Lineup,GameID,QuarterID,PointID,PossessionID
0,2014-04-12 18:53,Vancouver Riptide,28,D,0,1,Defense,Pull,,,George Voellinger,6.4,Jimmy Budnik,Russ Barr,Jack Kingsley,James Fiala,Spencer Brown,Doug Stenclik,George Voellinger,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,Salt Lake Lions,2014,"Doug Stenclik, George Voellinger, Jack Kingsley, James Fiala, Jimmy Budnik, Russ Barr, Spencer Brown",1,1,1,1.0
1,2014-04-12 18:53,Vancouver Riptide,28,D,0,1,Defense,Goal,,,Anonymous,,Jimmy Budnik,Russ Barr,Jack Kingsley,James Fiala,Spencer Brown,Doug Stenclik,George Voellinger,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,Salt Lake Lions,2014,"Doug Stenclik, George Voellinger, Jack Kingsley, James Fiala, Jimmy Budnik, Russ Barr, Spencer Brown",1,1,1,1.0
2,2014-04-12 18:53,Vancouver Riptide,15,O,1,1,Offense,Catch,Ryan Segal,Anonymous,,,Ryan Carver,Ryan Segal,Isaac Conley,Kenji Hood,Ryan Hahn,Shane Froebe,Trevor Harper,,,,,,,,,,,,,,,,,,,,,,133,,,,,,,,,,,Salt Lake Lions,2014,"Isaac Conley, Kenji Hood, Ryan Carver, Ryan Hahn, Ryan Segal, Shane Froebe, Trevor Harper",1,1,2,1.0
3,2014-04-12 18:53,Vancouver Riptide,15,O,1,1,Offense,Catch,Trevor Harper,Isaac Conley,,,Ryan Carver,Ryan Segal,Isaac Conley,Kenji Hood,Ryan Hahn,Shane Froebe,Trevor Harper,,,,,,,,,,,,,,,,,,,,,,142,,,,,,,,,,,Salt Lake Lions,2014,"Isaac Conley, Kenji Hood, Ryan Carver, Ryan Hahn, Ryan Segal, Shane Froebe, Trevor Harper",1,1,2,1.0
4,2014-04-12 18:53,Vancouver Riptide,15,O,1,1,Offense,Goal,Trevor Harper,Isaac Conley,,,Ryan Carver,Ryan Segal,Isaac Conley,Kenji Hood,Ryan Hahn,Shane Froebe,Trevor Harper,,,,,,,,,,,,,,,,,,,,,,146,,,,,,,,,,,Salt Lake Lions,2014,"Isaac Conley, Kenji Hood, Ryan Carver, Ryan Hahn, Ryan Segal, Shane Froebe, Trevor Harper",1,1,2,1.0
5,2014-04-12 18:53,Vancouver Riptide,60,D,1,2,Defense,Pull,,,Jimmy Budnik,7.0,Jimmy Budnik,Russ Barr,Jack Kingsley,James Fiala,Spencer Brown,Doug Stenclik,George Voellinger,,,,,,,,,,,,,,,,,,,,,,178,,,,,,,,,,,Salt Lake Lions,2014,"Doug Stenclik, George Voellinger, Jack Kingsley, James Fiala, Jimmy Budnik, Russ Barr, Spencer Brown",1,1,3,1.0
6,2014-04-12 18:53,Vancouver Riptide,60,D,1,2,Defense,D,,,Spencer Brown,,Jimmy Budnik,Russ Barr,Jack Kingsley,James Fiala,Spencer Brown,Doug Stenclik,George Voellinger,,,,,,,,,,,,,,,,,,,,,,199,,,,,,,,,,,Salt Lake Lions,2014,"Doug Stenclik, George Voellinger, Jack Kingsley, James Fiala, Jimmy Budnik, Russ Barr, Spencer Brown",1,1,3,1.0
7,2014-04-12 18:53,Vancouver Riptide,60,D,1,2,Offense,Throwaway,Doug Stenclik,Anonymous,,,Jimmy Budnik,Russ Barr,Jack Kingsley,James Fiala,Spencer Brown,Doug Stenclik,George Voellinger,,,,,,,,,,,,,,,,,,,,,,225,,,,,,,,,,,Salt Lake Lions,2014,"Doug Stenclik, George Voellinger, Jack Kingsley, James Fiala, Jimmy Budnik, Russ Barr, Spencer Brown",1,1,3,2.0
8,2014-04-12 18:53,Vancouver Riptide,60,D,1,2,Defense,Goal,,,Anonymous,,Jimmy Budnik,Russ Barr,Jack Kingsley,James Fiala,Spencer Brown,Doug Stenclik,George Voellinger,,,,,,,,,,,,,,,,,,,,,,236,,,,,,,,,,,Salt Lake Lions,2014,"Doug Stenclik, George Voellinger, Jack Kingsley, James Fiala, Jimmy Budnik, Russ Barr, Spencer Brown",1,1,3,3.0
9,2014-04-12 18:53,Vancouver Riptide,111,O,1,3,Offense,Catch,Doug Stenclik,Kenji Hood,,,Ryan Segal,Isaac Conley,Kenji Hood,Chris Balch,Kenny Frisch,David Brooks,Trevor Harper,,,,,,,,,,,,,,,,,,,,,,324,,,,,,,,,,,Salt Lake Lions,2014,"Chris Balch, David Brooks, Isaac Conley, Kenji Hood, Kenny Frisch, Ryan Segal, Trevor Harper",1,1,4,1.0
