,Date/Time,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Elapsed Time (secs),Begin Area,Begin X,Begin Y,End Area,End X,End Y,Distance Unit of Measure,Absolute Distance,Lateral Distance,Toward Our Goal Distance,Teamname,Year,Lineup,GameID,QuarterID,PointID,PossessionID
0,2016-04-02 18:59,Raleigh Flyers,61,D,0,1,Defense,Pull,,,Evan Howey,3.975,Matt Bode,Jeff Nordgren,Micah Hood,Jesse Lieberman,Jacob Fairfax,Jakeem Polk,Evan Howey,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,Charlotte Express,2016,"Evan Howey, Jacob Fairfax, Jakeem Polk, Jeff Nordgren, Jesse Lieberman, Matt Bode, Micah Hood",1,1,1,1.0
1,2016-04-02 18:59,Raleigh Flyers,61,D,0,1,Defense,D,,,Jacob Fairfax,,Matt Bode,Jeff Nordgren,Micah Hood,Jesse Lieberman,Jacob Fairfax,Jakeem Polk,Evan Howey,,,,,,,,,,,,,,,,,,,,,,43,,,,,,,,,,,Charlotte Express,2016,"Evan Howey, Jacob Fairfax, Jakeem Polk, Jeff Nordgren, Jesse Lieberman, Matt Bode, Micah Hood",1,1,1,1.0
2,2016-04-02 18:59,Raleigh Flyers,61,D,0,1,Offense,Catch,Jesse Lieberman,Micah Hood,,,Matt Bode,Jeff Nordgren,Micah Hood,Jesse Lieberman,Jacob Fairfax,Jakeem Polk,Evan Howey,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,Charlotte Express,2016,"Evan Howey, Jacob Fairfax, Jakeem Polk, Jeff Nordgren, Jesse Lieberman, Matt Bode, Micah Hood",1,1,1,2.0
3,2016-04-02 18:59,Raleigh Flyers,61,D,0,1,Offense,Throwaway,Micah Hood,Anonymous,,,Matt Bode,Jeff Nordgren,Micah Hood,Jesse Lieberman,Jacob Fairfax,Jakeem Polk,Evan Howey,,,,,,,,,,,,,,,,,,,,,,55,,,,,,,,,,,Charlotte Express,2016,"Evan Howey, Jacob Fairfax, Jakeem Polk, Jeff Nordgren, Jesse Lieberman, Matt Bode, Micah Hood",1,1,1,2.0
4,2016-04-02 18:59,Raleigh Flyers,61,D,0,1,Defense,Goal,,,Anonymous,,Matt Bode,Jeff Nordgren,Micah Hood,Jesse Lieberman,Jacob Fairfax,Jakeem Polk,Evan Howey,,,,,,,,,,,,,,,,,,,,,,59,,,,,,,,,,,Charlotte Express,2016,"Evan Howey, Jacob Fairfax, Jakeem Polk, Jeff Nordgren, Jesse Lieberman, Matt Bode, Micah Hood",1,1,1,3.0
5,2016-04-02 18:59,Raleigh Flyers,188,O,1,1,Offense,Catch,Sam Cooper,Paul Weeks,,,Matt Bode,Andrew Cohen,Micah Hood,Paul Weeks,Shane Sisco,Ryan Werkmeister,Charlie Muniz,,,,,,,,,,,,,,,,,,,,,,114,,,,,,,,,,,Charlotte Express,2016,"Andrew Cohen, Charlie Muniz, Matt Bode, Micah Hood, Paul Weeks, Ryan Werkmeister, Shane Sisco",1,1,2,1.0
6,2016-04-02 18:59,Raleigh Flyers,188,O,1,1,Offense,Catch,Paul Weeks,Sam Cooper,,,Matt Bode,Andrew Cohen,Micah Hood,Paul Weeks,Shane Sisco,Ryan Werkmeister,Charlie Muniz,,,,,,,,,,,,,,,,,,,,,,123,,,,,,,,,,,Charlotte Express,2016,"Andrew Cohen, Charlie Muniz, Matt Bode, Micah Hood, Paul Weeks, Ryan Werkmeister, Shane Sisco",1,1,2,1.0
7,2016-04-02 18:59,Raleigh Flyers,188,O,1,1,Offense,Catch,Sam Cooper,Micah Hood,,,Matt Bode,Andrew Cohen,Micah Hood,Paul Weeks,Shane Sisco,Ryan Werkmeister,Charlie Muniz,,,,,,,,,,,,,,,,,,,,,,127,,,,,,,,,,,Charlotte Express,2016,"Andrew Cohen, Charlie Muniz, Matt Bode, Micah Hood, Paul Weeks, Ryan Werkmeister, Shane Sisco",1,1,2,1.0
8,2016-04-02 18:59,Raleigh Flyers,188,O,1,1,Offense,Catch,Micah Hood,Charlie Muniz,,,Matt Bode,Andrew Cohen,Micah Hood,Paul Weeks,Shane Sisco,Ryan Werkmeister,Charlie Muniz,,,,,,,,,,,,,,,,,,,,,,131,,,,,,,,,,,Charlotte Express,2016,"Andrew Cohen, Charlie Muniz, Matt Bode, Micah Hood, Paul Weeks, Ryan Werkmeister, Shane Sisco",1,1,2,1.0
9,2016-04-02 18:59,Raleigh Flyers,188,O,1,1,Offense,Catch,Charlie Muniz,Andrew Cohen,,,Matt Bode,Andrew Cohen,Micah Hood,Paul Weeks,Shane Sisco,Ryan Werkmeister,Charlie Muniz,,,,,,,,,,,,,,,,,,,,,,141,,,,,,,,,,,Charlotte Express,2016,"Andrew Cohen, Charlie Muniz, Matt Bode, Micah Hood, Paul Weeks, Ryan Werkmeister, Shane Sisco",1,1,2,1.0
