,Date/Time,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Elapsed Time (secs),Begin Area,Begin X,Begin Y,End Area,End X,End Y,Distance Unit of Measure,Absolute Distance,Lateral Distance,Toward Our Goal Distance,Teamname,Year,Lineup,GameID,QuarterID,PointID,PossessionID
0,2016-04-02 18:10,Seattle Cascades,156,O,0,1,Offense,Catch,Anatoly Vasilyev,Kevin Underhill,,,Edward Guo,Richard Tam,Anatoly Vasilyev,Brendan Wong,Kevin Underhill,Chatha Gagan,Tim Tsang,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,Vancouver Riptide,2016,"Anatoly Vasilyev, Brendan Wong, Chatha Gagan, Edward Guo, Kevin Underhill, Richard Tam, Tim Tsang",1,1,1,1.0
1,2016-04-02 18:10,Seattle Cascades,156,O,0,1,Offense,Catch,Kevin Underhill,Tim Tsang,,,Edward Guo,Richard Tam,Anatoly Vasilyev,Brendan Wong,Kevin Underhill,Chatha Gagan,Tim Tsang,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,Vancouver Riptide,2016,"Anatoly Vasilyev, Brendan Wong, Chatha Gagan, Edward Guo, Kevin Underhill, Richard Tam, Tim Tsang",1,1,1,1.0
2,2016-04-02 18:10,Seattle Cascades,156,O,0,1,Offense,Catch,Tim Tsang,Edward Guo,,,Edward Guo,Richard Tam,Anatoly Vasilyev,Brendan Wong,Kevin Underhill,Chatha Gagan,Tim Tsang,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,Vancouver Riptide,2016,"Anatoly Vasilyev, Brendan Wong, Chatha Gagan, Edward Guo, Kevin Underhill, Richard Tam, Tim Tsang",1,1,1,1.0
3,2016-04-02 18:10,Seattle Cascades,156,O,0,1,Offense,Throwaway,Edward Guo,,,,Edward Guo,Richard Tam,Anatoly Vasilyev,Brendan Wong,Kevin Underhill,Chatha Gagan,Tim Tsang,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,Vancouver Riptide,2016,"Anatoly Vasilyev, Brendan Wong, Chatha Gagan, Edward Guo, Kevin Underhill, Richard Tam, Tim Tsang",1,1,1,1.0
4,2016-04-02 18:10,Seattle Cascades,156,O,0,1,Defense,D,,,Kevin Underhill,,Edward Guo,Richard Tam,Anatoly Vasilyev,Brendan Wong,Kevin Underhill,Chatha Gagan,Tim Tsang,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,Vancouver Riptide,2016,"Anatoly Vasilyev, Brendan Wong, Chatha Gagan, Edward Guo, Kevin Underhill, Richard Tam, Tim Tsang",1,1,1,2.0
5,2016-04-02 18:10,Seattle Cascades,156,O,0,1,Offense,Catch,Kevin Underhill,Brendan Wong,,,Edward Guo,Richard Tam,Anatoly Vasilyev,Brendan Wong,Kevin Underhill,Chatha Gagan,Tim Tsang,,,,,,,,,,,,,,,,,,,,,,79,,,,,,,,,,,Vancouver Riptide,2016,"Anatoly Vasilyev, Brendan Wong, Chatha Gagan, Edward Guo, Kevin Underhill, Richard Tam, Tim Tsang",1,1,1,3.0
6,2016-04-02 18:10,Seattle Cascades,156,O,0,1,Offense,Catch,Brendan Wong,Chatha Gagan,,,Edward Guo,Richard Tam,Anatoly Vasilyev,Brendan Wong,Kevin Underhill,Chatha Gagan,Tim Tsang,,,,,,,,,,,,,,,,,,,,,,82,,,,,,,,,,,Vancouver Riptide,2016,"Anatoly Vasilyev, Brendan Wong, Chatha Gagan, Edward Guo, Kevin Underhill, Richard Tam, Tim Tsang",1,1,1,3.0
7,2016-04-02 18:10,Seattle Cascades,156,O,0,1,Offense,Catch,Chatha Gagan,Tim Tsang,,,Edward Guo,Richard Tam,Anatoly Vasilyev,Brendan Wong,Kevin Underhill,Chatha Gagan,Tim Tsang,,,,,,,,,,,,,,,,,,,,,,87,,,,,,,,,,,Vancouver Riptide,2016,"Anatoly Vasilyev, Brendan Wong, Chatha Gagan, Edward Guo, Kevin Underhill, Richard Tam, Tim Tsang",1,1,1,3.0
8,2016-04-02 18:10,Seattle Cascades,156,O,0,1,Offense,Throwaway,Tim Tsang,,,,Edward Guo,Richard Tam,Anatoly Vasilyev,Brendan Wong,Kevin Underhill,Chatha Gagan,Tim Tsang,,,,,,,,,,,,,,,,,,,,,,93,,,,,,,,,,,Vancouver Riptide,2016,"Anatoly Vasilyev, Brendan Wong, Chatha Gagan, Edward Guo, Kevin Underhill, Richard Tam, Tim Tsang",1,1,1,3.0
9,2016-04-02 18:10,Seattle Cascades,156,O,0,1,Defense,Goal,,,,,Edward Guo,Richard Tam,Anatoly Vasilyev,Brendan Wong,Kevin Underhill,Chatha Gagan,Tim Tsang,,,,,,,,,,,,,,,,,,,,,,154,,,,,,,,,,,Vancouver Riptide,2016,"Anatoly Vasilyev, Brendan Wong, Chatha Gagan, Edward Guo, Kevin Underhill, Richard Tam, Tim Tsang",1,1,1,4.0
