,Date/Time,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Elapsed Time (secs),Begin Area,Begin X,Begin Y,End Area,End X,End Y,Distance Unit of Measure,Absolute Distance,Lateral Distance,Toward Our Goal Distance,Teamname,Year,Lineup,GameID,QuarterID,PointID,PossessionID
0,2017-04-01 19:02,Los Angeles Aviators,72,D,1,0,Defense,Pull,,,Dan Bellinger,5.736,Sean Ham,Hunter Corbett,Dan Bellinger,Jeff Silverman,Will Griffin,Steven Milardovich,Tyler Bacon,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,San Diego Growlers,2017,"Dan Bellinger, Hunter Corbett, Jeff Silverman, Sean Ham, Steven Milardovich, Tyler Bacon, Will Griffin",1,1,1,1.0
1,2017-04-01 19:02,Los Angeles Aviators,72,D,1,0,Defense,Throwaway,,,,,Sean Ham,Hunter Corbett,Dan Bellinger,Jeff Silverman,Will Griffin,Steven Milardovich,Tyler Bacon,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,San Diego Growlers,2017,"Dan Bellinger, Hunter Corbett, Jeff Silverman, Sean Ham, Steven Milardovich, Tyler Bacon, Will Griffin",1,1,1,1.0
2,2017-04-01 19:02,Los Angeles Aviators,72,D,1,0,Offense,Catch,Hunter Corbett,Dan Bellinger,,,Sean Ham,Hunter Corbett,Dan Bellinger,Jeff Silverman,Will Griffin,Steven Milardovich,Tyler Bacon,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,San Diego Growlers,2017,"Dan Bellinger, Hunter Corbett, Jeff Silverman, Sean Ham, Steven Milardovich, Tyler Bacon, Will Griffin",1,1,1,2.0
3,2017-04-01 19:02,Los Angeles Aviators,72,D,1,0,Offense,Catch,Dan Bellinger,Sean Ham,,,Sean Ham,Hunter Corbett,Dan Bellinger,Jeff Silverman,Will Griffin,Steven Milardovich,Tyler Bacon,,,,,,,,,,,,,,,,,,,,,,37,,,,,,,,,,,San Diego Growlers,2017,"Dan Bellinger, Hunter Corbett, Jeff Silverman, Sean Ham, Steven Milardovich, Tyler Bacon, Will Griffin",1,1,1,2.0
4,2017-04-01 19:02,Los Angeles Aviators,72,D,1,0,Offense,Catch,Sean Ham,Jeff Silverman,,,Sean Ham,Hunter Corbett,Dan Bellinger,Jeff Silverman,Will Griffin,Steven Milardovich,Tyler Bacon,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,San Diego Growlers,2017,"Dan Bellinger, Hunter Corbett, Jeff Silverman, Sean Ham, Steven Milardovich, Tyler Bacon, Will Griffin",1,1,1,2.0
5,2017-04-01 19:02,Los Angeles Aviators,72,D,1,0,Offense,Catch,Jeff Silverman,Steven Milardovich,,,Sean Ham,Hunter Corbett,Dan Bellinger,Jeff Silverman,Will Griffin,Steven Milardovich,Tyler Bacon,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,San Diego Growlers,2017,"Dan Bellinger, Hunter Corbett, Jeff Silverman, Sean Ham, Steven Milardovich, Tyler Bacon, Will Griffin",1,1,1,2.0
6,2017-04-01 19:02,Los Angeles Aviators,72,D,1,0,Offense,Catch,Steven Milardovich,Dan Bellinger,,,Sean Ham,Hunter Corbett,Dan Bellinger,Jeff Silverman,Will Griffin,Steven Milardovich,Tyler Bacon,,,,,,,,,,,,,,,,,,,,,,47,,,,,,,,,,,San Diego Growlers,2017,"Dan Bellinger, Hunter Corbett, Jeff Silverman, Sean Ham, Steven Milardovich, Tyler Bacon, Will Griffin",1,1,1,2.0
7,2017-04-01 19:02,Los Angeles Aviators,72,D,1,0,Offense,Catch,Dan Bellinger,Will Griffin,,,Sean Ham,Hunter Corbett,Dan Bellinger,Jeff Silverman,Will Griffin,Steven Milardovich,Tyler Bacon,,,,,,,,,,,,,,,,,,,,,,54,,,,,,,,,,,San Diego Growlers,2017,"Dan Bellinger, Hunter Corbett, Jeff Silverman, Sean Ham, Steven Milardovich, Tyler Bacon, Will Griffin",1,1,1,2.0
8,2017-04-01 19:02,Los Angeles Aviators,72,D,1,0,Offense,Catch,Will Griffin,Sean Ham,,,Sean Ham,Hunter Corbett,Dan Bellinger,Jeff Silverman,Will Griffin,Steven Milardovich,Tyler Bacon,,,,,,,,,,,,,,,,,,,,,,58,,,,,,,,,,,San Diego Growlers,2017,"Dan Bellinger, Hunter Corbett, Jeff Silverman, Sean Ham, Steven Milardovich, Tyler Bacon, Will Griffin",1,1,1,2.0
9,2017-04-01 19:02,Los Angeles Aviators,72,D,1,0,Offense,Catch,Sean Ham,Steven Milardovich,,,Sean Ham,Hunter Corbett,Dan Bellinger,Jeff Silverman,Will Griffin,Steven Milardovich,Tyler Bacon,,,,,,,,,,,,,,,,,,,,,,62,,,,,,,,,,,San Diego Growlers,2017,"Dan Bellinger, Hunter Corbett, Jeff Silverman, Sean Ham, Steven Milardovich, Tyler Bacon, Will Griffin",1,1,1,2.0
10,2017-04-01 19:02,Los Angeles Aviators,72,D,1,0,Offense,Goal,Steven Milardovich,Hunter Corbett,,,Sean Ham,Hunter Corbett,Dan Bellinger,Jeff Silverman,Will Griffin,Steven Milardovich,Tyler Bacon,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,San Diego Growlers,2017,"Dan Bellinger, Hunter Corbett, Jeff Silverman, Sean Ham, Steven Milardovich, Tyler Bacon, Will Griffin",1,1,1,2.0
11,2017-04-01 19:02,Los Angeles Aviators,48,D,1,1,Defense,Pull,,,Mark Slader,5.812,Zeke Ivers,Sam Fontaine,Ryan Slaughter,Jeff Silverman,Mark Slader,Nate Page,Michael Tran,,,,,,,,,,,,,,,,,,,,,,131,,,,,,,,,,,San Diego Growlers,2017,"Jeff Silverman, Mark Slader, Michael Tran, Nate Page, Ryan Slaughter, Sam Fontaine, Zeke Ivers",1,1,2,1.0
12,2017-04-01 19:02,Los Angeles Aviators,48,D,1,1,Defense,Goal,,,,,Zeke Ivers,Sam Fontaine,Ryan Slaughter,Jeff Silverman,Mark Slader,Nate Page,Michael Tran,,,,,,,,,,,,,,,,,,,,,,177,,,,,,,,,,,San Diego Growlers,2017,"Jeff Silverman, Mark Slader, Michael Tran, Nate Page, Ryan Slaughter, Sam Fontaine, Zeke Ivers",1,1,2,1.0
13,2017-04-01 19:02,Los Angeles Aviators,57,O,2,1,Offense,Catch,Dom Leggio,Kevin Smith,,,Dom Leggio,Sean Ham,Hunter Corbett,Maxwell Hume,Kevin Smith,Will Griffin,Matt Parisi,,,,,,,,,,,,,,,,,,,,,,236,,,,,,,,,,,San Diego Growlers,2017,"Dom Leggio, Hunter Corbett, Kevin Smith, Matt Parisi, Maxwell Hume, Sean Ham, Will Griffin",1,1,3,1.0
14,2017-04-01 19:02,Los Angeles Aviators,57,O,2,1,Offense,Catch,Kevin Smith,Dom Leggio,,,Dom Leggio,Sean Ham,Hunter Corbett,Maxwell Hume,Kevin Smith,Will Griffin,Matt Parisi,,,,,,,,,,,,,,,,,,,,,,244,,,,,,,,,,,San Diego Growlers,2017,"Dom Leggio, Hunter Corbett, Kevin Smith, Matt Parisi, Maxwell Hume, Sean Ham, Will Griffin",1,1,3,1.0
15,2017-04-01 19:02,Los Angeles Aviators,57,O,2,1,Offense,Catch,Dom Leggio,Maxwell Hume,,,Dom Leggio,Sean Ham,Hunter Corbett,Maxwell Hume,Kevin Smith,Will Griffin,Matt Parisi,,,,,,,,,,,,,,,,,,,,,,249,,,,,,,,,,,San Diego Growlers,2017,"Dom Leggio, Hunter Corbett, Kevin Smith, Matt Parisi, Maxwell Hume, Sean Ham, Will Griffin",1,1,3,1.0
16,2017-04-01 19:02,Los Angeles Aviators,57,O,2,1,Offense,Catch,Maxwell Hume,Dom Leggio,,,Dom Leggio,Sean Ham,Hunter Corbett,Maxwell Hume,Kevin Smith,Will Griffin,Matt Parisi,,,,,,,,,,,,,,,,,,,,,,253,,,,,,,,,,,San Diego Growlers,2017,"Dom Leggio, Hunter Corbett, Kevin Smith, Matt Parisi, Maxwell Hume, Sean Ham, Will Griffin",1,1,3,1.0
17,2017-04-01 19:02,Los Angeles Aviators,57,O,2,1,Offense,Catch,Dom Leggio,Will Griffin,,,Dom Leggio,Sean Ham,Hunter Corbett,Maxwell Hume,Kevin Smith,Will Griffin,Matt Parisi,,,,,,,,,,,,,,,,,,,,,,256,,,,,,,,,,,San Diego Growlers,2017,"Dom Leggio, Hunter Corbett, Kevin Smith, Matt Parisi, Maxwell Hume, Sean Ham, Will Griffin",1,1,3,1.0
18,2017-04-01 19:02,Los Angeles Aviators,57,O,2,1,Offense,Catch,Will Griffin,Dom Leggio,,,Dom Leggio,Sean Ham,Hunter Corbett,Maxwell Hume,Kevin Smith,Will Griffin,Matt Parisi,,,,,,,,,,,,,,,,,,,,,,263,,,,,,,,,,,San Diego Growlers,2017,"Dom Leggio, Hunter Corbett, Kevin Smith, Matt Parisi, Maxwell Hume, Sean Ham, Will Griffin",1,1,3,1.0
19,2017-04-01 19:02,Los Angeles Aviators,57,O,2,1,Offense,Catch,Dom Leggio,Hunter Corbett,,,Dom Leggio,Sean Ham,Hunter Corbett,Maxwell Hume,Kevin Smith,Will Griffin,Matt Parisi,,,,,,,,,,,,,,,,,,,,,,267,,,,,,,,,,,San Diego Growlers,2017,"Dom Leggio, Hunter Corbett, Kevin Smith, Matt Parisi, Maxwell Hume, Sean Ham, Will Griffin",1,1,3,1.0
20,2017-04-01 19:02,Los Angeles Aviators,57,O,2,1,Offense,Catch,Hunter Corbett,Dom Leggio,,,Dom Leggio,Sean Ham,Hunter Corbett,Maxwell Hume,Kevin Smith,Will Griffin,Matt Parisi,,,,,,,,,,,,,,,,,,,,,,271,,,,,,,,,,,San Diego Growlers,2017,"Dom Leggio, Hunter Corbett, Kevin Smith, Matt Parisi, Maxwell Hume, Sean Ham, Will Griffin",1,1,3,1.0
21,2017-04-01 19:02,Los Angeles Aviators,57,O,2,1,Offense,Catch,Dom Leggio,Matt Parisi,,,Dom Leggio,Sean Ham,Hunter Corbett,Maxwell Hume,Kevin Smith,Will Griffin,Matt Parisi,,,,,,,,,,,,,,,,,,,,,,275,,,,,,,,,,,San Diego Growlers,2017,"Dom Leggio, Hunter Corbett, Kevin Smith, Matt Parisi, Maxwell Hume, Sean Ham, Will Griffin",1,1,3,1.0
22,2017-04-01 19:02,Los Angeles Aviators,57,O,2,1,Offense,Catch,Matt Parisi,Dom Leggio,,,Dom Leggio,Sean Ham,Hunter Corbett,Maxwell Hume,Kevin Smith,Will Griffin,Matt Parisi,,,,,,,,,,,,,,,,,,,,,,279,,,,,,,,,,,San Diego Growlers,2017,"Dom Leggio, Hunter Corbett, Kevin Smith, Matt Parisi, Maxwell Hume, Sean Ham, Will Griffin",1,1,3,1.0
