,Date/Time,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Elapsed Time (secs),Begin Area,Begin X,Begin Y,End Area,End X,End Y,Distance Unit of Measure,Absolute Distance,Lateral Distance,Toward Our Goal Distance,Teamname,Year,Lineup,GameID,QuarterID,PointID,PossessionID
0,2018-04-15 13:21,Toronto Rush,19,D,0,1,Defense,Pull,,,Matt Esser,1.828,Nick Patel,Allan Michel,Matt Esser,Dustin Damiano,Brice Dunn,Eric Nardelli,Vince Reydams,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,Philadelphia Phoenix,2018,"Allan Michel, Brice Dunn, Dustin Damiano, Eric Nardelli, Matt Esser, Nick Patel, Vince Reydams",1,1,1,1.0
1,2018-04-15 13:21,Toronto Rush,19,D,0,1,Defense,Throwaway,,,Anonymous,,Nick Patel,Allan Michel,Matt Esser,Dustin Damiano,Brice Dunn,Eric Nardelli,Vince Reydams,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,Philadelphia Phoenix,2018,"Allan Michel, Brice Dunn, Dustin Damiano, Eric Nardelli, Matt Esser, Nick Patel, Vince Reydams",1,1,1,1.0
2,2018-04-15 13:21,Toronto Rush,19,D,0,1,Offense,Catch,Matt Esser,Nick Patel,,,Nick Patel,Allan Michel,Matt Esser,Dustin Damiano,Brice Dunn,Eric Nardelli,Vince Reydams,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,Philadelphia Phoenix,2018,"Allan Michel, Brice Dunn, Dustin Damiano, Eric Nardelli, Matt Esser, Nick Patel, Vince Reydams",1,1,1,2.0
3,2018-04-15 13:21,Toronto Rush,19,D,0,1,Offense,Drop,Nick Patel,Eric Nardelli,,,Nick Patel,Allan Michel,Matt Esser,Dustin Damiano,Brice Dunn,Eric Nardelli,Vince Reydams,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,Philadelphia Phoenix,2018,"Allan Michel, Brice Dunn, Dustin Damiano, Eric Nardelli, Matt Esser, Nick Patel, Vince Reydams",1,1,1,2.0
4,2018-04-15 13:21,Toronto Rush,19,D,0,1,Defense,Goal,,,Anonymous,,Nick Patel,Allan Michel,Matt Esser,Dustin Damiano,Brice Dunn,Eric Nardelli,Vince Reydams,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,Philadelphia Phoenix,2018,"Allan Michel, Brice Dunn, Dustin Damiano, Eric Nardelli, Matt Esser, Nick Patel, Vince Reydams",1,1,1,3.0
5,2018-04-15 13:21,Toronto Rush,7,O,1,1,Offense,Goal,Himalaya Mehta,Ethan Peck,,,Ethan Peck,Himalaya Mehta,Mike Arcata,Scott Xu,Trey Katzenbach,Greg Strouse,Sean Mott,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,Philadelphia Phoenix,2018,"Ethan Peck, Greg Strouse, Himalaya Mehta, Mike Arcata, Scott Xu, Sean Mott, Trey Katzenbach",1,1,2,1.0
6,2018-04-15 13:21,Toronto Rush,26,D,1,2,Defense,Pull,,,Matt Esser,2.793,Nick Patel,Ryan Weaver,Allan Michel,Matt Esser,Dustin Damiano,Eric Nardelli,Vince Reydams,,,,,,,,,,,,,,,,,,,,,,99,,,,,,,,,,,Philadelphia Phoenix,2018,"Allan Michel, Dustin Damiano, Eric Nardelli, Matt Esser, Nick Patel, Ryan Weaver, Vince Reydams",1,1,3,1.0
7,2018-04-15 13:21,Toronto Rush,26,D,1,2,Defense,D,,,Matt Esser,,Nick Patel,Ryan Weaver,Allan Michel,Matt Esser,Dustin Damiano,Eric Nardelli,Vince Reydams,,,,,,,,,,,,,,,,,,,,,,103,,,,,,,,,,,Philadelphia Phoenix,2018,"Allan Michel, Dustin Damiano, Eric Nardelli, Matt Esser, Nick Patel, Ryan Weaver, Vince Reydams",1,1,3,1.0
8,2018-04-15 13:21,Toronto Rush,26,D,1,2,Offense,Throwaway,Matt Esser,Anonymous,,,Nick Patel,Ryan Weaver,Allan Michel,Matt Esser,Dustin Damiano,Eric Nardelli,Vince Reydams,,,,,,,,,,,,,,,,,,,,,,111,,,,,,,,,,,Philadelphia Phoenix,2018,"Allan Michel, Dustin Damiano, Eric Nardelli, Matt Esser, Nick Patel, Ryan Weaver, Vince Reydams",1,1,3,2.0
9,2018-04-15 13:21,Toronto Rush,26,D,1,2,Defense,Throwaway,,,Anonymous,,Nick Patel,Ryan Weaver,Allan Michel,Matt Esser,Dustin Damiano,Eric Nardelli,Vince Reydams,,,,,,,,,,,,,,,,,,,,,,115,,,,,,,,,,,Philadelphia Phoenix,2018,"Allan Michel, Dustin Damiano, Eric Nardelli, Matt Esser, Nick Patel, Ryan Weaver, Vince Reydams",1,1,3,3.0
10,2018-04-15 13:21,Toronto Rush,26,D,1,2,Offense,Throwaway,Nick Patel,Anonymous,,,Nick Patel,Ryan Weaver,Allan Michel,Matt Esser,Dustin Damiano,Eric Nardelli,Vince Reydams,,,,,,,,,,,,,,,,,,,,,,119,,,,,,,,,,,Philadelphia Phoenix,2018,"Allan Michel, Dustin Damiano, Eric Nardelli, Matt Esser, Nick Patel, Ryan Weaver, Vince Reydams",1,1,3,4.0
11,2018-04-15 13:21,Toronto Rush,26,D,1,2,Defense,Goal,,,Anonymous,,Nick Patel,Ryan Weaver,Allan Michel,Matt Esser,Dustin Damiano,Eric Nardelli,Vince Reydams,,,,,,,,,,,,,,,,,,,,,,123,,,,,,,,,,,Philadelphia Phoenix,2018,"Allan Michel, Dustin Damiano, Eric Nardelli, Matt Esser, Nick Patel, Ryan Weaver, Vince Reydams",1,1,3,5.0
12,2018-04-15 13:21,Toronto Rush,78,O,2,2,Offense,Catch,Trey Katzenbach,Sean Mott,,,Ethan Peck,Himalaya Mehta,Mike Arcata,Scott Xu,Trey Katzenbach,Greg Strouse,Sean Mott,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,Philadelphia Phoenix,2018,"Ethan Peck, Greg Strouse, Himalaya Mehta, Mike Arcata, Scott Xu, Sean Mott, Trey Katzenbach",1,1,4,1.0
13,2018-04-15 13:21,Toronto Rush,78,O,2,2,Offense,Catch,Sean Mott,Trey Katzenbach,,,Ethan Peck,Himalaya Mehta,Mike Arcata,Scott Xu,Trey Katzenbach,Greg Strouse,Sean Mott,,,,,,,,,,,,,,,,,,,,,,159,,,,,,,,,,,Philadelphia Phoenix,2018,"Ethan Peck, Greg Strouse, Himalaya Mehta, Mike Arcata, Scott Xu, Sean Mott, Trey Katzenbach",1,1,4,1.0
14,2018-04-15 13:21,Toronto Rush,78,O,2,2,Offense,Catch,Trey Katzenbach,Scott Xu,,,Ethan Peck,Himalaya Mehta,Mike Arcata,Scott Xu,Trey Katzenbach,Greg Strouse,Sean Mott,,,,,,,,,,,,,,,,,,,,,,163,,,,,,,,,,,Philadelphia Phoenix,2018,"Ethan Peck, Greg Strouse, Himalaya Mehta, Mike Arcata, Scott Xu, Sean Mott, Trey Katzenbach",1,1,4,1.0
15,2018-04-15 13:21,Toronto Rush,78,O,2,2,Offense,Catch,Scott Xu,Sean Mott,,,Ethan Peck,Himalaya Mehta,Mike Arcata,Scott Xu,Trey Katzenbach,Greg Strouse,Sean Mott,,,,,,,,,,,,,,,,,,,,,,167,,,,,,,,,,,Philadelphia Phoenix,2018,"Ethan Peck, Greg Strouse, Himalaya Mehta, Mike Arcata, Scott Xu, Sean Mott, Trey Katzenbach",1,1,4,1.0
16,2018-04-15 13:21,Toronto Rush,78,O,2,2,Offense,Catch,Sean Mott,Scott Xu,,,Ethan Peck,Himalaya Mehta,Mike Arcata,Scott Xu,Trey Katzenbach,Greg Strouse,Sean Mott,,,,,,,,,,,,,,,,,,,,,,171,,,,,,,,,,,Philadelphia Phoenix,2018,"Ethan Peck, Greg Strouse, Himalaya Mehta, Mike Arcata, Scott Xu, Sean Mott, Trey Katzenbach",1,1,4,1.0
17,2018-04-15 13:21,Toronto Rush,78,O,2,2,Offense,Catch,Scott Xu,Trey Katzenbach,,,Ethan Peck,Himalaya Mehta,Mike Arcata,Scott Xu,Trey Katzenbach,Greg Strouse,Sean Mott,,,,,,,,,,,,,,,,,,,,,,175,,,,,,,,,,,Philadelphia Phoenix,2018,"Ethan Peck, Greg Strouse, Himalaya Mehta, Mike Arcata, Scott Xu, Sean Mott, Trey Katzenbach",1,1,4,1.0
18,2018-04-15 13:21,Toronto Rush,78,O,2,2,Offense,Throwaway,Trey Katzenbach,Anonymous,,,Ethan Peck,Himalaya Mehta,Mike Arcata,Scott Xu,Trey Katzenbach,Greg Strouse,Sean Mott,,,,,,,,,,,,,,,,,,,,,,179,,,,,,,,,,,Philadelphia Phoenix,2018,"Ethan Peck, Greg Strouse, Himalaya Mehta, Mike Arcata, Scott Xu, Sean Mott, Trey Katzenbach",1,1,4,1.0
19,2018-04-15 13:21,Toronto Rush,78,O,2,2,Defense,Throwaway,,,Anonymous,,Ethan Peck,Himalaya Mehta,Mike Arcata,Scott Xu,Trey Katzenbach,Greg Strouse,Sean Mott,,,,,,,,,,,,,,,,,,,,,,183,,,,,,,,,,,Philadelphia Phoenix,2018,"Ethan Peck, Greg Strouse, Himalaya Mehta, Mike Arcata, Scott Xu, Sean Mott, Trey Katzenbach",1,1,4,2.0
20,2018-04-15 13:21,Toronto Rush,78,O,2,2,Offense,Throwaway,Scott Xu,Anonymous,,,Ethan Peck,Himalaya Mehta,Mike Arcata,Scott Xu,Trey Katzenbach,Greg Strouse,Sean Mott,,,,,,,,,,,,,,,,,,,,,,187,,,,,,,,,,,Philadelphia Phoenix,2018,"Ethan Peck, Greg Strouse, Himalaya Mehta, Mike Arcata, Scott Xu, Sean Mott, Trey Katzenbach",1,1,4,3.0
