,Date/Time,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Elapsed Time (secs),Begin Area,Begin X,Begin Y,End Area,End X,End Y,Distance Unit of Measure,Absolute Distance,Lateral Distance,Toward Our Goal Distance,Teamname,Year,Lineup,GameID,QuarterID,PointID,PossessionID
0,2019-04-06 18:06,Raleigh Flyers,41,O,1,0,Offense,Catch,Zuraw J,Loskorn,,,Orloff R,Holleran,Hollo C,Cunningh,Loskorn,Zuraw J,Henke K,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,Austin Sol,2019,"Cunningh, Henke K, Holleran, Hollo C, Loskorn, Orloff R, Zuraw J",1,1,1,1.0
1,2019-04-06 18:06,Raleigh Flyers,41,O,1,0,Offense,Catch,Loskorn,Zuraw J,,,Orloff R,Holleran,Hollo C,Cunningh,Loskorn,Zuraw J,Henke K,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,Austin Sol,2019,"Cunningh, Henke K, Holleran, Hollo C, Loskorn, Orloff R, Zuraw J",1,1,1,1.0
2,2019-04-06 18:06,Raleigh Flyers,41,O,1,0,Offense,Catch,Zuraw J,Loskorn,,,Orloff R,Holleran,Hollo C,Cunningh,Loskorn,Zuraw J,Henke K,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,Austin Sol,2019,"Cunningh, Henke K, Holleran, Hollo C, Loskorn, Orloff R, Zuraw J",1,1,1,1.0
3,2019-04-06 18:06,Raleigh Flyers,41,O,1,0,Offense,Catch,Loskorn,Holleran,,,Orloff R,Holleran,Hollo C,Cunningh,Loskorn,Zuraw J,Henke K,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,Austin Sol,2019,"Cunningh, Henke K, Holleran, Hollo C, Loskorn, Orloff R, Zuraw J",1,1,1,1.0
4,2019-04-06 18:06,Raleigh Flyers,41,O,1,0,Offense,Catch,Holleran,Henke K,,,Orloff R,Holleran,Hollo C,Cunningh,Loskorn,Zuraw J,Henke K,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,Austin Sol,2019,"Cunningh, Henke K, Holleran, Hollo C, Loskorn, Orloff R, Zuraw J",1,1,1,1.0
5,2019-04-06 18:06,Raleigh Flyers,41,O,1,0,Offense,Catch,Henke K,Loskorn,,,Orloff R,Holleran,Hollo C,Cunningh,Loskorn,Zuraw J,Henke K,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,Austin Sol,2019,"Cunningh, Henke K, Holleran, Hollo C, Loskorn, Orloff R, Zuraw J",1,1,1,1.0
6,2019-04-06 18:06,Raleigh Flyers,41,O,1,0,Offense,Catch,Loskorn,Holleran,,,Orloff R,Holleran,Hollo C,Cunningh,Loskorn,Zuraw J,Henke K,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,Austin Sol,2019,"Cunningh, Henke K, Holleran, Hollo C, Loskorn, Orloff R, Zuraw J",1,1,1,1.0
7,2019-04-06 18:06,Raleigh Flyers,41,O,1,0,Offense,Catch,Holleran,Henke K,,,Orloff R,Holleran,Hollo C,Cunningh,Loskorn,Zuraw J,Henke K,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,Austin Sol,2019,"Cunningh, Henke K, Holleran, Hollo C, Loskorn, Orloff R, Zuraw J",1,1,1,1.0
8,2019-04-06 18:06,Raleigh Flyers,41,O,1,0,Offense,Goal,Henke K,Hollo C,,,Orloff R,Holleran,Hollo C,Cunningh,Loskorn,Zuraw J,Henke K,,,,,,,,,,,,,,,,,,,,,,39,,,,,,,,,,,Austin Sol,2019,"Cunningh, Henke K, Holleran, Hollo C, Loskorn, Orloff R, Zuraw J",1,1,1,1.0
9,2019-04-06 18:06,Raleigh Flyers,70,D,1,1,Defense,PullOb,,,Benne Ma,,Matthis,Purcell,Gfroerer,Benne Ma,Wuensch,Walch A,Walter M,,,,,,,,,,,,,,,,,,,,,,96,,,,,,,,,,,Austin Sol,2019,"Benne Ma, Gfroerer, Matthis, Purcell, Walch A, Walter M, Wuensch",1,1,2,1.0
