,Date/Time,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Elapsed Time (secs),Begin Area,Begin X,Begin Y,End Area,End X,End Y,Distance Unit of Measure,Absolute Distance,Lateral Distance,Toward Our Goal Distance,Teamname,Year,Lineup,GameID,QuarterID,PointID,PossessionID
0,2019-04-22 07:57,Minnesota Wind Chill,28,D,0,1,Defense,Pull,,,Matt Rehder,6.815,Drew Levorsen,Matt Rehder,Seth Weaver,Alex Rummelhart,Ross Barker,Nick Zeman,David Meinecke,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,Chicago Wildfire,2019,"Alex Rummelhart, David Meinecke, Drew Levorsen, Matt Rehder, Nick Zeman, Ross Barker, Seth Weaver",1,1,1,1.0
1,2019-04-22 07:57,Minnesota Wind Chill,28,D,0,1,Defense,Goal,,,Anonymous,,Drew Levorsen,Matt Rehder,Seth Weaver,Alex Rummelhart,Ross Barker,Nick Zeman,David Meinecke,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,Chicago Wildfire,2019,"Alex Rummelhart, David Meinecke, Drew Levorsen, Matt Rehder, Nick Zeman, Ross Barker, Seth Weaver",1,1,1,1.0
2,2019-04-22 07:57,Minnesota Wind Chill,34,O,1,1,Offense,Catch,Tommy Gallagher,Pawel Janas,,,Danny Miller,Matt Rehder,Jeff Weis,Zane Rankin,Pawel Janas,Jack Shey,Tommy Gallagher,,,,,,,,,,,,,,,,,,,,,,270,,,,,,,,,,,Chicago Wildfire,2019,"Danny Miller, Jack Shey, Jeff Weis, Matt Rehder, Pawel Janas, Tommy Gallagher, Zane Rankin",1,1,2,1.0
3,2019-04-22 07:57,Minnesota Wind Chill,34,O,1,1,Offense,Catch,Pawel Janas,Zane Rankin,,,Danny Miller,Matt Rehder,Jeff Weis,Zane Rankin,Pawel Janas,Jack Shey,Tommy Gallagher,,,,,,,,,,,,,,,,,,,,,,280,,,,,,,,,,,Chicago Wildfire,2019,"Danny Miller, Jack Shey, Jeff Weis, Matt Rehder, Pawel Janas, Tommy Gallagher, Zane Rankin",1,1,2,1.0
4,2019-04-22 07:57,Minnesota Wind Chill,34,O,1,1,Offense,Catch,Zane Rankin,Matt Rehder,,,Danny Miller,Matt Rehder,Jeff Weis,Zane Rankin,Pawel Janas,Jack Shey,Tommy Gallagher,,,,,,,,,,,,,,,,,,,,,,290,,,,,,,,,,,Chicago Wildfire,2019,"Danny Miller, Jack Shey, Jeff Weis, Matt Rehder, Pawel Janas, Tommy Gallagher, Zane Rankin",1,1,2,1.0
5,2019-04-22 07:57,Minnesota Wind Chill,34,O,1,1,Offense,Catch,Matt Rehder,Danny Miller,,,Danny Miller,Matt Rehder,Jeff Weis,Zane Rankin,Pawel Janas,Jack Shey,Tommy Gallagher,,,,,,,,,,,,,,,,,,,,,,297,,,,,,,,,,,Chicago Wildfire,2019,"Danny Miller, Jack Shey, Jeff Weis, Matt Rehder, Pawel Janas, Tommy Gallagher, Zane Rankin",1,1,2,1.0
6,2019-04-22 07:57,Minnesota Wind Chill,34,O,1,1,Offense,Goal,Danny Miller,Jack Shey,,,Danny Miller,Matt Rehder,Jeff Weis,Zane Rankin,Pawel Janas,Jack Shey,Tommy Gallagher,,,,,,,,,,,,,,,,,,,,,,302,,,,,,,,,,,Chicago Wildfire,2019,"Danny Miller, Jack Shey, Jeff Weis, Matt Rehder, Pawel Janas, Tommy Gallagher, Zane Rankin",1,1,2,1.0
7,2019-04-22 07:57,Minnesota Wind Chill,207,D,2,1,Defense,Pull,,,David Meinecke,4.835,Drew Levorsen,Seth Weaver,Alex Rummelhart,Jeff Weis,Pawel Janas,Ross Barker,Nick Zeman,,,,,,,,,,,,,,,,,,,,,,368,,,,,,,,,,,Chicago Wildfire,2019,"Alex Rummelhart, Drew Levorsen, Jeff Weis, Nick Zeman, Pawel Janas, Ross Barker, Seth Weaver",1,1,3,1.0
8,2019-04-22 07:57,Minnesota Wind Chill,207,D,2,1,Defense,D,,,David Meinecke,,Drew Levorsen,Seth Weaver,Alex Rummelhart,Jeff Weis,Pawel Janas,Ross Barker,Nick Zeman,,,,,,,,,,,,,,,,,,,,,,488,,,,,,,,,,,Chicago Wildfire,2019,"Alex Rummelhart, Drew Levorsen, Jeff Weis, Nick Zeman, Pawel Janas, Ross Barker, Seth Weaver",1,1,3,1.0
9,2019-04-22 07:57,Minnesota Wind Chill,207,D,2,1,Offense,Catch,Pawel Janas,Seth Weaver,,,Drew Levorsen,Seth Weaver,Alex Rummelhart,Jeff Weis,Pawel Janas,Ross Barker,Nick Zeman,,,,,,,,,,,,,,,,,,,,,,526,,,,,,,,,,,Chicago Wildfire,2019,"Alex Rummelhart, Drew Levorsen, Jeff Weis, Nick Zeman, Pawel Janas, Ross Barker, Seth Weaver",1,1,3,2.0
10,2019-04-22 07:57,Minnesota Wind Chill,207,D,2,1,Offense,Catch,Seth Weaver,Jeff Weis,,,Drew Levorsen,Seth Weaver,Alex Rummelhart,Jeff Weis,Pawel Janas,Ross Barker,Nick Zeman,,,,,,,,,,,,,,,,,,,,,,538,,,,,,,,,,,Chicago Wildfire,2019,"Alex Rummelhart, Drew Levorsen, Jeff Weis, Nick Zeman, Pawel Janas, Ross Barker, Seth Weaver",1,1,3,2.0
11,2019-04-22 07:57,Minnesota Wind Chill,207,D,2,1,Offense,Catch,Jeff Weis,Nick Zeman,,,Drew Levorsen,Seth Weaver,Alex Rummelhart,Jeff Weis,Pawel Janas,Ross Barker,Nick Zeman,,,,,,,,,,,,,,,,,,,,,,543,,,,,,,,,,,Chicago Wildfire,2019,"Alex Rummelhart, Drew Levorsen, Jeff Weis, Nick Zeman, Pawel Janas, Ross Barker, Seth Weaver",1,1,3,2.0
12,2019-04-22 07:57,Minnesota Wind Chill,207,D,2,1,Offense,Catch,Nick Zeman,Ross Barker,,,Drew Levorsen,Seth Weaver,Alex Rummelhart,Jeff Weis,Pawel Janas,Ross Barker,Nick Zeman,,,,,,,,,,,,,,,,,,,,,,547,,,,,,,,,,,Chicago Wildfire,2019,"Alex Rummelhart, Drew Levorsen, Jeff Weis, Nick Zeman, Pawel Janas, Ross Barker, Seth Weaver",1,1,3,2.0
