,Date/Time,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Elapsed Time (secs),Begin Area,Begin X,Begin Y,End Area,End X,End Y,Distance Unit of Measure,Absolute Distance,Lateral Distance,Toward Our Goal Distance,Teamname,Year,Lineup,GameID,QuarterID,PointID,PossessionID
0,2019-04-13 17:57,New York Empire,64,O,1,0,Offense,Catch,Nathan Prior,Xavier Maxstadt,,,Xavier Maxstadt,Nathan Prior,Anthony McLean,Garrett Braun,AJ Merriman,David Shields,David Bloodgood,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,DC Breeze,2019,"AJ Merriman, Anthony McLean, David Bloodgood, David Shields, Garrett Braun, Nathan Prior, Xavier Maxstadt",1,1,1,1.0
1,2019-04-13 17:57,New York Empire,64,O,1,0,Offense,Catch,Xavier Maxstadt,David Shields,,,Xavier Maxstadt,Nathan Prior,Anthony McLean,Garrett Braun,AJ Merriman,David Shields,David Bloodgood,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,DC Breeze,2019,"AJ Merriman, Anthony McLean, David Bloodgood, David Shields, Garrett Braun, Nathan Prior, Xavier Maxstadt",1,1,1,1.0
2,2019-04-13 17:57,New York Empire,64,O,1,0,Offense,Catch,David Shields,Xavier Maxstadt,,,Xavier Maxstadt,Nathan Prior,Anthony McLean,Garrett Braun,AJ Merriman,David Shields,David Bloodgood,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,DC Breeze,2019,"AJ Merriman, Anthony McLean, David Bloodgood, David Shields, Garrett Braun, Nathan Prior, Xavier Maxstadt",1,1,1,1.0
3,2019-04-13 17:57,New York Empire,64,O,1,0,Offense,Catch,Xavier Maxstadt,Nathan Prior,,,Xavier Maxstadt,Nathan Prior,Anthony McLean,Garrett Braun,AJ Merriman,David Shields,David Bloodgood,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,DC Breeze,2019,"AJ Merriman, Anthony McLean, David Bloodgood, David Shields, Garrett Braun, Nathan Prior, Xavier Maxstadt",1,1,1,1.0
4,2019-04-13 17:57,New York Empire,64,O,1,0,Offense,Catch,Nathan Prior,Anthony McLean,,,Xavier Maxstadt,Nathan Prior,Anthony McLean,Garrett Braun,AJ Merriman,David Shields,David Bloodgood,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,DC Breeze,2019,"AJ Merriman, Anthony McLean, David Bloodgood, David Shields, Garrett Braun, Nathan Prior, Xavier Maxstadt",1,1,1,1.0
5,2019-04-13 17:57,New York Empire,64,O,1,0,Offense,Catch,Anthony McLean,David Bloodgood,,,Xavier Maxstadt,Nathan Prior,Anthony McLean,Garrett Braun,AJ Merriman,David Shields,David Bloodgood,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,DC Breeze,2019,"AJ Merriman, Anthony McLean, David Bloodgood, David Shields, Garrett Braun, Nathan Prior, Xavier Maxstadt",1,1,1,1.0
6,2019-04-13 17:57,New York Empire,64,O,1,0,Offense,Catch,David Bloodgood,Xavier Maxstadt,,,Xavier Maxstadt,Nathan Prior,Anthony McLean,Garrett Braun,AJ Merriman,David Shields,David Bloodgood,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,,,,DC Breeze,2019,"AJ Merriman, Anthony McLean, David Bloodgood, David Shields, Garrett Braun, Nathan Prior, Xavier Maxstadt",1,1,1,1.0
7,2019-04-13 17:57,New York Empire,64,O,1,0,Offense,Catch,Xavier Maxstadt,David Bloodgood,,,Xavier Maxstadt,Nathan Prior,Anthony McLean,Garrett Braun,AJ Merriman,David Shields,David Bloodgood,,,,,,,,,,,,,,,,,,,,,,49,,,,,,,,,,,DC Breeze,2019,"AJ Merriman, Anthony McLean, David Bloodgood, David Shields, Garrett Braun, Nathan Prior, Xavier Maxstadt",1,1,1,1.0
8,2019-04-13 17:57,New York Empire,64,O,1,0,Offense,Catch,David Bloodgood,AJ Merriman,,,Xavier Maxstadt,Nathan Prior,Anthony McLean,Garrett Braun,AJ Merriman,David Shields,David Bloodgood,,,,,,,,,,,,,,,,,,,,,,52,,,,,,,,,,,DC Breeze,2019,"AJ Merriman, Anthony McLean, David Bloodgood, David Shields, Garrett Braun, Nathan Prior, Xavier Maxstadt",1,1,1,1.0
9,2019-04-13 17:57,New York Empire,64,O,1,0,Offense,Catch,AJ Merriman,David Shields,,,Xavier Maxstadt,Nathan Prior,Anthony McLean,Garrett Braun,AJ Merriman,David Shields,David Bloodgood,,,,,,,,,,,,,,,,,,,,,,58,,,,,,,,,,,DC Breeze,2019,"AJ Merriman, Anthony McLean, David Bloodgood, David Shields, Garrett Braun, Nathan Prior, Xavier Maxstadt",1,1,1,1.0
10,2019-04-13 17:57,New York Empire,64,O,1,0,Offense,Goal,David Shields,Xavier Maxstadt,,,Xavier Maxstadt,Nathan Prior,Anthony McLean,Garrett Braun,AJ Merriman,David Shields,David Bloodgood,,,,,,,,,,,,,,,,,,,,,,62,,,,,,,,,,,DC Breeze,2019,"AJ Merriman, Anthony McLean, David Bloodgood, David Shields, Garrett Braun, Nathan Prior, Xavier Maxstadt",1,1,1,1.0
11,2019-04-13 17:57,New York Empire,73,D,1,1,Defense,Pull,,,Matt Neeley,1.89,Matt Neeley,Xavier Maxstadt,Jay Boyle,Matt Cullom,Ray Mendoza,Quinn Bergeron,Kenta K,,,,,,,,,,,,,,,,,,,,,,128,,,,,,,,,,,DC Breeze,2019,"Jay Boyle, Kenta K, Matt Cullom, Matt Neeley, Quinn Bergeron, Ray Mendoza, Xavier Maxstadt",1,1,2,1.0
12,2019-04-13 17:57,New York Empire,73,D,1,1,Defense,D,,,Matt Neeley,,Matt Neeley,Xavier Maxstadt,Jay Boyle,Matt Cullom,Ray Mendoza,Quinn Bergeron,Kenta K,,,,,,,,,,,,,,,,,,,,,,138,,,,,,,,,,,DC Breeze,2019,"Jay Boyle, Kenta K, Matt Cullom, Matt Neeley, Quinn Bergeron, Ray Mendoza, Xavier Maxstadt",1,1,2,1.0
13,2019-04-13 17:57,New York Empire,73,D,1,1,Offense,Catch,Jay Boyle,Xavier Maxstadt,,,Matt Neeley,Xavier Maxstadt,Jay Boyle,Matt Cullom,Ray Mendoza,Quinn Bergeron,Kenta K,,,,,,,,,,,,,,,,,,,,,,144,,,,,,,,,,,DC Breeze,2019,"Jay Boyle, Kenta K, Matt Cullom, Matt Neeley, Quinn Bergeron, Ray Mendoza, Xavier Maxstadt",1,1,2,2.0
14,2019-04-13 17:57,New York Empire,73,D,1,1,Offense,Catch,Xavier Maxstadt,Kenta K,,,Matt Neeley,Xavier Maxstadt,Jay Boyle,Matt Cullom,Ray Mendoza,Quinn Bergeron,Kenta K,,,,,,,,,,,,,,,,,,,,,,148,,,,,,,,,,,DC Breeze,2019,"Jay Boyle, Kenta K, Matt Cullom, Matt Neeley, Quinn Bergeron, Ray Mendoza, Xavier Maxstadt",1,1,2,2.0
