,Date/Time,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Elapsed Time (secs),Begin Area,Begin X,Begin Y,End Area,End X,End Y,Distance Unit of Measure,Absolute Distance,Lateral Distance,Toward Our Goal Distance,Teamname,Year,Lineup,GameID,QuarterID,PointID,PossessionID
0,2019-04-20 18:01,Chicago Wildfire,57,O,1,0,Offense,Catch,Josh Klane,Cameron Burden,,,Tate Halberg,Jordan Taylor,Josh Klane,Quinn Snider,Jesse Greenberg,Bryan Vohnoutka,Cameron Burden,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,Minnesota Wind Chill,2019,"Bryan Vohnoutka, Cameron Burden, Jesse Greenberg, Jordan Taylor, Josh Klane, Quinn Snider, Tate Halberg",1,1,1,1.0
1,2019-04-20 18:01,Chicago Wildfire,57,O,1,0,Offense,Catch,Cameron Burden,Josh Klane,,,Tate Halberg,Jordan Taylor,Josh Klane,Quinn Snider,Jesse Greenberg,Bryan Vohnoutka,Cameron Burden,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,Minnesota Wind Chill,2019,"Bryan Vohnoutka, Cameron Burden, Jesse Greenberg, Jordan Taylor, Josh Klane, Quinn Snider, Tate Halberg",1,1,1,1.0
2,2019-04-20 18:01,Chicago Wildfire,57,O,1,0,Offense,Catch,Josh Klane,Bryan Vohnoutka,,,Tate Halberg,Jordan Taylor,Josh Klane,Quinn Snider,Jesse Greenberg,Bryan Vohnoutka,Cameron Burden,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,Minnesota Wind Chill,2019,"Bryan Vohnoutka, Cameron Burden, Jesse Greenberg, Jordan Taylor, Josh Klane, Quinn Snider, Tate Halberg",1,1,1,1.0
3,2019-04-20 18:01,Chicago Wildfire,57,O,1,0,Offense,Catch,Bryan Vohnoutka,Jordan Taylor,,,Tate Halberg,Jordan Taylor,Josh Klane,Quinn Snider,Jesse Greenberg,Bryan Vohnoutka,Cameron Burden,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,Minnesota Wind Chill,2019,"Bryan Vohnoutka, Cameron Burden, Jesse Greenberg, Jordan Taylor, Josh Klane, Quinn Snider, Tate Halberg",1,1,1,1.0
4,2019-04-20 18:01,Chicago Wildfire,57,O,1,0,Offense,Catch,Jordan Taylor,Cameron Burden,,,Tate Halberg,Jordan Taylor,Josh Klane,Quinn Snider,Jesse Greenberg,Bryan Vohnoutka,Cameron Burden,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,Minnesota Wind Chill,2019,"Bryan Vohnoutka, Cameron Burden, Jesse Greenberg, Jordan Taylor, Josh Klane, Quinn Snider, Tate Halberg",1,1,1,1.0
5,2019-04-20 18:01,Chicago Wildfire,57,O,1,0,Offense,Catch,Cameron Burden,Jesse Greenberg,,,Tate Halberg,Jordan Taylor,Josh Klane,Quinn Snider,Jesse Greenberg,Bryan Vohnoutka,Cameron Burden,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,Minnesota Wind Chill,2019,"Bryan Vohnoutka, Cameron Burden, Jesse Greenberg, Jordan Taylor, Josh Klane, Quinn Snider, Tate Halberg",1,1,1,1.0
6,2019-04-20 18:01,Chicago Wildfire,57,O,1,0,Offense,Goal,Jesse Greenberg,Quinn Snider,,,Tate Halberg,Jordan Taylor,Josh Klane,Quinn Snider,Jesse Greenberg,Bryan Vohnoutka,Cameron Burden,,,,,,,,,,,,,,,,,,,,,,55,,,,,,,,,,,Minnesota Wind Chill,2019,"Bryan Vohnoutka, Cameron Burden, Jesse Greenberg, Jordan Taylor, Josh Klane, Quinn Snider, Tate Halberg",1,1,1,1.0
7,2019-04-20 18:01,Chicago Wildfire,32,D,1,1,Defense,Pull,,,Josh Klane,3.648,Dylan DeClerck,Jordan Taylor,Josh Klane,Brandon Matis,Wyatt Mekler,Grayson Pangburn,Alan Scarth,,,,,,,,,,,,,,,,,,,,,,103,,,,,,,,,,,Minnesota Wind Chill,2019,"Alan Scarth, Brandon Matis, Dylan DeClerck, Grayson Pangburn, Jordan Taylor, Josh Klane, Wyatt Mekler",1,1,2,1.0
8,2019-04-20 18:01,Chicago Wildfire,32,D,1,1,Defense,Goal,,,Anonymous,,Dylan DeClerck,Jordan Taylor,Josh Klane,Brandon Matis,Wyatt Mekler,Grayson Pangburn,Alan Scarth,,,,,,,,,,,,,,,,,,,,,,133,,,,,,,,,,,Minnesota Wind Chill,2019,"Alan Scarth, Brandon Matis, Dylan DeClerck, Grayson Pangburn, Jordan Taylor, Josh Klane, Wyatt Mekler",1,1,2,1.0
9,2019-04-20 18:01,Chicago Wildfire,96,O,1,2,Offense,Catch,Josh Klane,Cameron Burden,,,Jordan Taylor,Daniel Bates,Josh Klane,Quinn Snider,Bryan Vohnoutka,Mathew Ladyman,Cameron Burden,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,Minnesota Wind Chill,2019,"Bryan Vohnoutka, Cameron Burden, Daniel Bates, Jordan Taylor, Josh Klane, Mathew Ladyman, Quinn Snider",1,1,3,1.0
