,Date/Time,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Elapsed Time (secs),Begin Area,Begin X,Begin Y,End Area,End X,End Y,Distance Unit of Measure,Absolute Distance,Lateral Distance,Toward Our Goal Distance,Teamname,Year,Lineup,GameID,QuarterID,PointID,PossessionID
0,2019-04-13 18:01,DC Breeze,48,D,0,1,Defense,Pull,,,Ryan Brown,4.384,Matt Lemar,Josue Alorro,Ryan Drost,Ben Katz,Albert Alarcon,Ryan Brown,Ryan Drost,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,New York Empire,2019,"Albert Alarcon, Ben Katz, Josue Alorro, Matt Lemar, Ryan Brown, Ryan Drost, Ryan Drost",1,1,1,1.0
1,2019-04-13 18:01,DC Breeze,48,D,0,1,Defense,Goal,,,Anonymous,,Matt Lemar,Josue Alorro,Ryan Drost,Ben Katz,Albert Alarcon,Ryan Brown,Ryan Drost,,,,,,,,,,,,,,,,,,,,,,46,,,,,,,,,,,New York Empire,2019,"Albert Alarcon, Ben Katz, Josue Alorro, Matt Lemar, Ryan Brown, Ryan Drost, Ryan Drost",1,1,1,1.0
2,2019-04-13 18:01,DC Breeze,77,O,1,1,Offense,Catch,Alex Isik,Harper Garvey,,,Grant Lindsley,Matthew Stevens,Jack Williams,Ben Jagt,Alex Isik,Harper Garvey,Jeff Babbitt,,,,,,,,,,,,,,,,,,,,,,111,,,,,,,,,,,New York Empire,2019,"Alex Isik, Ben Jagt, Grant Lindsley, Harper Garvey, Jack Williams, Jeff Babbitt, Matthew Stevens",1,1,2,1.0
3,2019-04-13 18:01,DC Breeze,77,O,1,1,Offense,Catch,Harper Garvey,Alex Isik,,,Grant Lindsley,Matthew Stevens,Jack Williams,Ben Jagt,Alex Isik,Harper Garvey,Jeff Babbitt,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,New York Empire,2019,"Alex Isik, Ben Jagt, Grant Lindsley, Harper Garvey, Jack Williams, Jeff Babbitt, Matthew Stevens",1,1,2,1.0
4,2019-04-13 18:01,DC Breeze,77,O,1,1,Offense,Catch,Alex Isik,Ben Jagt,,,Grant Lindsley,Matthew Stevens,Jack Williams,Ben Jagt,Alex Isik,Harper Garvey,Jeff Babbitt,,,,,,,,,,,,,,,,,,,,,,124,,,,,,,,,,,New York Empire,2019,"Alex Isik, Ben Jagt, Grant Lindsley, Harper Garvey, Jack Williams, Jeff Babbitt, Matthew Stevens",1,1,2,1.0
5,2019-04-13 18:01,DC Breeze,77,O,1,1,Offense,Throwaway,Ben Jagt,Anonymous,,,Grant Lindsley,Matthew Stevens,Jack Williams,Ben Jagt,Alex Isik,Harper Garvey,Jeff Babbitt,,,,,,,,,,,,,,,,,,,,,,128,,,,,,,,,,,New York Empire,2019,"Alex Isik, Ben Jagt, Grant Lindsley, Harper Garvey, Jack Williams, Jeff Babbitt, Matthew Stevens",1,1,2,1.0
6,2019-04-13 18:01,DC Breeze,77,O,1,1,Defense,Throwaway,,,Anonymous,,Grant Lindsley,Matthew Stevens,Jack Williams,Ben Jagt,Alex Isik,Harper Garvey,Jeff Babbitt,,,,,,,,,,,,,,,,,,,,,,137,,,,,,,,,,,New York Empire,2019,"Alex Isik, Ben Jagt, Grant Lindsley, Harper Garvey, Jack Williams, Jeff Babbitt, Matthew Stevens",1,1,2,2.0
7,2019-04-13 18:01,DC Breeze,77,O,1,1,Offense,Catch,Alex Isik,Grant Lindsley,,,Grant Lindsley,Matthew Stevens,Jack Williams,Ben Jagt,Alex Isik,Harper Garvey,Jeff Babbitt,,,,,,,,,,,,,,,,,,,,,,145,,,,,,,,,,,New York Empire,2019,"Alex Isik, Ben Jagt, Grant Lindsley, Harper Garvey, Jack Williams, Jeff Babbitt, Matthew Stevens",1,1,2,3.0
8,2019-04-13 18:01,DC Breeze,77,O,1,1,Offense,Catch,Grant Lindsley,Harper Garvey,,,Grant Lindsley,Matthew Stevens,Jack Williams,Ben Jagt,Alex Isik,Harper Garvey,Jeff Babbitt,,,,,,,,,,,,,,,,,,,,,,149,,,,,,,,,,,New York Empire,2019,"Alex Isik, Ben Jagt, Grant Lindsley, Harper Garvey, Jack Williams, Jeff Babbitt, Matthew Stevens",1,1,2,3.0
9,2019-04-13 18:01,DC Breeze,77,O,1,1,Offense,Catch,Harper Garvey,Jack Williams,,,Grant Lindsley,Matthew Stevens,Jack Williams,Ben Jagt,Alex Isik,Harper Garvey,Jeff Babbitt,,,,,,,,,,,,,,,,,,,,,,153,,,,,,,,,,,New York Empire,2019,"Alex Isik, Ben Jagt, Grant Lindsley, Harper Garvey, Jack Williams, Jeff Babbitt, Matthew Stevens",1,1,2,3.0
10,2019-04-13 18:01,DC Breeze,77,O,1,1,Offense,Catch,Jack Williams,Harper Garvey,,,Grant Lindsley,Matthew Stevens,Jack Williams,Ben Jagt,Alex Isik,Harper Garvey,Jeff Babbitt,,,,,,,,,,,,,,,,,,,,,,156,,,,,,,,,,,New York Empire,2019,"Alex Isik, Ben Jagt, Grant Lindsley, Harper Garvey, Jack Williams, Jeff Babbitt, Matthew Stevens",1,1,2,3.0
11,2019-04-13 18:01,DC Breeze,77,O,1,1,Offense,Catch,Harper Garvey,Jeff Babbitt,,,Grant Lindsley,Matthew Stevens,Jack Williams,Ben Jagt,Alex Isik,Harper Garvey,Jeff Babbitt,,,,,,,,,,,,,,,,,,,,,,163,,,,,,,,,,,New York Empire,2019,"Alex Isik, Ben Jagt, Grant Lindsley, Harper Garvey, Jack Williams, Jeff Babbitt, Matthew Stevens",1,1,2,3.0
12,2019-04-13 18:01,DC Breeze,77,O,1,1,Offense,Catch,Jeff Babbitt,Jack Williams,,,Grant Lindsley,Matthew Stevens,Jack Williams,Ben Jagt,Alex Isik,Harper Garvey,Jeff Babbitt,,,,,,,,,,,,,,,,,,,,,,166,,,,,,,,,,,New York Empire,2019,"Alex Isik, Ben Jagt, Grant Lindsley, Harper Garvey, Jack Williams, Jeff Babbitt, Matthew Stevens",1,1,2,3.0
13,2019-04-13 18:01,DC Breeze,77,O,1,1,Offense,Catch,Jack Williams,Grant Lindsley,,,Grant Lindsley,Matthew Stevens,Jack Williams,Ben Jagt,Alex Isik,Harper Garvey,Jeff Babbitt,,,,,,,,,,,,,,,,,,,,,,170,,,,,,,,,,,New York Empire,2019,"Alex Isik, Ben Jagt, Grant Lindsley, Harper Garvey, Jack Williams, Jeff Babbitt, Matthew Stevens",1,1,2,3.0
14,2019-04-13 18:01,DC Breeze,77,O,1,1,Offense,Catch,Grant Lindsley,Jeff Babbitt,,,Grant Lindsley,Matthew Stevens,Jack Williams,Ben Jagt,Alex Isik,Harper Garvey,Jeff Babbitt,,,,,,,,,,,,,,,,,,,,,,174,,,,,,,,,,,New York Empire,2019,"Alex Isik, Ben Jagt, Grant Lindsley, Harper Garvey, Jack Williams, Jeff Babbitt, Matthew Stevens",1,1,2,3.0
