,Date/Time,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Elapsed Time (secs),Begin Area,Begin X,Begin Y,End Area,End X,End Y,Distance Unit of Measure,Absolute Distance,Lateral Distance,Toward Our Goal Distance,Teamname,Year,Lineup,GameID,QuarterID,PointID,PossessionID
0,2019-04-06 18:29,San Jose Spiders,11,O,0,1,Offense,Throwaway,Jay Boychuk,Anonymous,,,William Coffin,Marc Munoz,Jay Boychuk,Henry Phan,Brad Houser,Kodi Smart,Mark Burton,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,Seattle Cascades,2019,"Brad Houser, Henry Phan, Jay Boychuk, Kodi Smart, Marc Munoz, Mark Burton, William Coffin",1,1,1,1.0
1,2019-04-06 18:29,San Jose Spiders,11,O,0,1,Defense,Goal,,,Anonymous,,William Coffin,Marc Munoz,Jay Boychuk,Henry Phan,Brad Houser,Kodi Smart,Mark Burton,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,Seattle Cascades,2019,"Brad Houser, Henry Phan, Jay Boychuk, Kodi Smart, Marc Munoz, Mark Burton, William Coffin",1,1,1,2.0
2,2019-04-06 18:29,San Jose Spiders,39,O,1,1,Offense,Catch,Steph Lim,Mark Burton,,,Thomas Lassetter,Steph Lim,Jay Boychuk,Henry Phan,Geertz,Kodi Smart,Mark Burton,,,,,,,,,,,,,,,,,,,,,,85,,,,,,,,,,,Seattle Cascades,2019,"Geertz, Henry Phan, Jay Boychuk, Kodi Smart, Mark Burton, Steph Lim, Thomas Lassetter",1,1,2,1.0
3,2019-04-06 18:29,San Jose Spiders,39,O,1,1,Offense,Catch,Mark Burton,Steph Lim,,,Thomas Lassetter,Steph Lim,Jay Boychuk,Henry Phan,Geertz,Kodi Smart,Mark Burton,,,,,,,,,,,,,,,,,,,,,,94,,,,,,,,,,,Seattle Cascades,2019,"Geertz, Henry Phan, Jay Boychuk, Kodi Smart, Mark Burton, Steph Lim, Thomas Lassetter",1,1,2,1.0
4,2019-04-06 18:29,San Jose Spiders,39,O,1,1,Offense,Catch,Steph Lim,Kodi Smart,,,Thomas Lassetter,Steph Lim,Jay Boychuk,Henry Phan,Geertz,Kodi Smart,Mark Burton,,,,,,,,,,,,,,,,,,,,,,98,,,,,,,,,,,Seattle Cascades,2019,"Geertz, Henry Phan, Jay Boychuk, Kodi Smart, Mark Burton, Steph Lim, Thomas Lassetter",1,1,2,1.0
5,2019-04-06 18:29,San Jose Spiders,39,O,1,1,Offense,Catch,Kodi Smart,Jay Boychuk,,,Thomas Lassetter,Steph Lim,Jay Boychuk,Henry Phan,Geertz,Kodi Smart,Mark Burton,,,,,,,,,,,,,,,,,,,,,,102,,,,,,,,,,,Seattle Cascades,2019,"Geertz, Henry Phan, Jay Boychuk, Kodi Smart, Mark Burton, Steph Lim, Thomas Lassetter",1,1,2,1.0
6,2019-04-06 18:29,San Jose Spiders,39,O,1,1,Offense,Catch,Jay Boychuk,Mark Burton,,,Thomas Lassetter,Steph Lim,Jay Boychuk,Henry Phan,Geertz,Kodi Smart,Mark Burton,,,,,,,,,,,,,,,,,,,,,,106,,,,,,,,,,,Seattle Cascades,2019,"Geertz, Henry Phan, Jay Boychuk, Kodi Smart, Mark Burton, Steph Lim, Thomas Lassetter",1,1,2,1.0
7,2019-04-06 18:29,San Jose Spiders,39,O,1,1,Offense,Catch,Mark Burton,Thomas Lassetter,,,Thomas Lassetter,Steph Lim,Jay Boychuk,Henry Phan,Geertz,Kodi Smart,Mark Burton,,,,,,,,,,,,,,,,,,,,,,110,,,,,,,,,,,Seattle Cascades,2019,"Geertz, Henry Phan, Jay Boychuk, Kodi Smart, Mark Burton, Steph Lim, Thomas Lassetter",1,1,2,1.0
8,2019-04-06 18:29,San Jose Spiders,39,O,1,1,Offense,Catch,Thomas Lassetter,Steph Lim,,,Thomas Lassetter,Steph Lim,Jay Boychuk,Henry Phan,Geertz,Kodi Smart,Mark Burton,,,,,,,,,,,,,,,,,,,,,,114,,,,,,,,,,,Seattle Cascades,2019,"Geertz, Henry Phan, Jay Boychuk, Kodi Smart, Mark Burton, Steph Lim, Thomas Lassetter",1,1,2,1.0
9,2019-04-06 18:29,San Jose Spiders,39,O,1,1,Offense,Catch,Steph Lim,Henry Phan,,,Thomas Lassetter,Steph Lim,Jay Boychuk,Henry Phan,Geertz,Kodi Smart,Mark Burton,,,,,,,,,,,,,,,,,,,,,,118,,,,,,,,,,,Seattle Cascades,2019,"Geertz, Henry Phan, Jay Boychuk, Kodi Smart, Mark Burton, Steph Lim, Thomas Lassetter",1,1,2,1.0
10,2019-04-06 18:29,San Jose Spiders,39,O,1,1,Offense,Goal,Henry Phan,Geertz,,,Thomas Lassetter,Steph Lim,Jay Boychuk,Henry Phan,Geertz,Kodi Smart,Mark Burton,,,,,,,,,,,,,,,,,,,,,,122,,,,,,,,,,,Seattle Cascades,2019,"Geertz, Henry Phan, Jay Boychuk, Kodi Smart, Mark Burton, Steph Lim, Thomas Lassetter",1,1,2,1.0
11,2019-04-06 18:29,San Jose Spiders,24,D,2,1,Defense,Pull,,,Anonymous,1.965,Nick Mahan,Khalif El-Salaam,Marc Munoz,Jay Boychuk,Dennis Casio,Zach Sabin,Shane Worthington,,,,,,,,,,,,,,,,,,,,,,221,,,,,,,,,,,Seattle Cascades,2019,"Dennis Casio, Jay Boychuk, Khalif El-Salaam, Marc Munoz, Nick Mahan, Shane Worthington, Zach Sabin",1,1,3,1.0
