,Date/Time,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Elapsed Time (secs),Begin Area,Begin X,Begin Y,End Area,End X,End Y,Distance Unit of Measure,Absolute Distance,Lateral Distance,Toward Our Goal Distance,Teamname,Tournament,Lineup,GameID,QuarterID,PointID,PossessionID
0,2014-04-12 12:00,Toronto Rush,7,O,1,0,Offense,Goal,Logan Rhyne,Tyler DeGirolamo,,,Ben Feng,Josh Norris,Peter Anderson,Jon Stone,Alex Thorne,Logan Rhyne,Tyler DeGirolamo,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,DC Breeze,AUDL 2014,"Alex Thorne, Ben Feng, Jon Stone, Josh Norris, Logan Rhyne, Peter Anderson, Tyler DeGirolamo",1,4,1,1.0
1,2014-04-12 12:00,Toronto Rush,17,D,1,1,Defense,Pull,,,,4.683,Ben Feng,Matthew Radhe,Aaron Roberts,Brett Matzuka,Francisco Hezera,Daniel Selwyn,Danny Dennin,,,,,,,,,,,,,,,,,,,,,,102,,,,,,,,,,,DC Breeze,AUDL 2014,"Aaron Roberts, Ben Feng, Brett Matzuka, Daniel Selwyn, Danny Dennin, Francisco Hezera, Matthew Radhe",1,4,2,1.0
2,2014-04-12 12:00,Toronto Rush,17,D,1,1,Defense,Throwaway,,,,,Ben Feng,Matthew Radhe,Aaron Roberts,Brett Matzuka,Francisco Hezera,Daniel Selwyn,Danny Dennin,,,,,,,,,,,,,,,,,,,,,,107,,,,,,,,,,,DC Breeze,AUDL 2014,"Aaron Roberts, Ben Feng, Brett Matzuka, Daniel Selwyn, Danny Dennin, Francisco Hezera, Matthew Radhe",1,4,2,1.0
3,2014-04-12 12:00,Toronto Rush,17,D,1,1,Offense,Throwaway,Daniel Selwyn,,,,Ben Feng,Matthew Radhe,Aaron Roberts,Brett Matzuka,Francisco Hezera,Daniel Selwyn,Danny Dennin,,,,,,,,,,,,,,,,,,,,,,113,,,,,,,,,,,DC Breeze,AUDL 2014,"Aaron Roberts, Ben Feng, Brett Matzuka, Daniel Selwyn, Danny Dennin, Francisco Hezera, Matthew Radhe",1,4,2,2.0
4,2014-04-12 12:00,Toronto Rush,17,D,1,1,Defense,Goal,,,,,Ben Feng,Matthew Radhe,Aaron Roberts,Brett Matzuka,Francisco Hezera,Daniel Selwyn,Danny Dennin,,,,,,,,,,,,,,,,,,,,,,117,,,,,,,,,,,DC Breeze,AUDL 2014,"Aaron Roberts, Ben Feng, Brett Matzuka, Daniel Selwyn, Danny Dennin, Francisco Hezera, Matthew Radhe",1,4,2,3.0
5,2014-04-12 12:00,Toronto Rush,7,O,2,1,Offense,Goal,Logan Rhyne,Tyler DeGirolamo,,,Ben Feng,Josh Norris,Peter Anderson,Jon Stone,Alex Thorne,Logan Rhyne,Tyler DeGirolamo,,,,,,,,,,,,,,,,,,,,,,236,,,,,,,,,,,DC Breeze,AUDL 2014,"Alex Thorne, Ben Feng, Jon Stone, Josh Norris, Logan Rhyne, Peter Anderson, Tyler DeGirolamo",1,4,3,1.0
6,2014-04-12 12:00,Toronto Rush,6,D,2,2,Defense,Pull,,,,1.283,Ben Feng,Matthew Radhe,Aaron Roberts,Brett Matzuka,Francisco Hezera,Daniel Selwyn,Danny Dennin,,,,,,,,,,,,,,,,,,,,,,293,,,,,,,,,,,DC Breeze,AUDL 2014,"Aaron Roberts, Ben Feng, Brett Matzuka, Daniel Selwyn, Danny Dennin, Francisco Hezera, Matthew Radhe",1,4,4,1.0
7,2014-04-12 12:00,Toronto Rush,6,D,2,2,Defense,Goal,,,,,Ben Feng,Matthew Radhe,Aaron Roberts,Brett Matzuka,Francisco Hezera,Daniel Selwyn,Danny Dennin,,,,,,,,,,,,,,,,,,,,,,297,,,,,,,,,,,DC Breeze,AUDL 2014,"Aaron Roberts, Ben Feng, Brett Matzuka, Daniel Selwyn, Danny Dennin, Francisco Hezera, Matthew Radhe",1,4,4,1.0
8,2014-04-12 12:00,Toronto Rush,98,O,3,2,Offense,Catch,Justin Solis,Liam Shramko,,,Josh Norris,Peter Anderson,Justin Solis,Liam Shramko,Jarnail Bajwa,Alex Thorne,Tyler DeGirolamo,,,,,,,,,,,,,,,,,,,,,,1392,,,,,,,,,,,DC Breeze,AUDL 2014,"Alex Thorne, Jarnail Bajwa, Josh Norris, Justin Solis, Liam Shramko, Peter Anderson, Tyler DeGirolamo",1,4,5,1.0
9,2014-04-12 12:00,Toronto Rush,98,O,3,2,Offense,Catch,Liam Shramko,Tyler DeGirolamo,,,Josh Norris,Peter Anderson,Justin Solis,Liam Shramko,Jarnail Bajwa,Alex Thorne,Tyler DeGirolamo,,,,,,,,,,,,,,,,,,,,,,1401,,,,,,,,,,,DC Breeze,AUDL 2014,"Alex Thorne, Jarnail Bajwa, Josh Norris, Justin Solis, Liam Shramko, Peter Anderson, Tyler DeGirolamo",1,4,5,1.0
10,2014-04-12 12:00,Toronto Rush,98,O,3,2,Offense,Catch,Tyler DeGirolamo,Jarnail Bajwa,,,Josh Norris,Peter Anderson,Justin Solis,Liam Shramko,Jarnail Bajwa,Alex Thorne,Tyler DeGirolamo,,,,,,,,,,,,,,,,,,,,,,1420,,,,,,,,,,,DC Breeze,AUDL 2014,"Alex Thorne, Jarnail Bajwa, Josh Norris, Justin Solis, Liam Shramko, Peter Anderson, Tyler DeGirolamo",1,4,5,1.0
11,2014-04-12 12:00,Toronto Rush,98,O,3,2,Offense,Catch,Jarnail Bajwa,Josh Norris,,,Josh Norris,Peter Anderson,Justin Solis,Liam Shramko,Jarnail Bajwa,Alex Thorne,Tyler DeGirolamo,,,,,,,,,,,,,,,,,,,,,,1429,,,,,,,,,,,DC Breeze,AUDL 2014,"Alex Thorne, Jarnail Bajwa, Josh Norris, Justin Solis, Liam Shramko, Peter Anderson, Tyler DeGirolamo",1,4,5,1.0
12,2014-04-12 12:00,Toronto Rush,98,O,3,2,Offense,Catch,Josh Norris,Tyler DeGirolamo,,,Josh Norris,Peter Anderson,Justin Solis,Liam Shramko,Jarnail Bajwa,Alex Thorne,Tyler DeGirolamo,,,,,,,,,,,,,,,,,,,,,,1433,,,,,,,,,,,DC Breeze,AUDL 2014,"Alex Thorne, Jarnail Bajwa, Josh Norris, Justin Solis, Liam Shramko, Peter Anderson, Tyler DeGirolamo",1,4,5,1.0
13,2014-04-12 12:00,Toronto Rush,98,O,3,2,Offense,Catch,Tyler DeGirolamo,,,,Josh Norris,Peter Anderson,Justin Solis,Liam Shramko,Jarnail Bajwa,Alex Thorne,Tyler DeGirolamo,,,,,,,,,,,,,,,,,,,,,,1466,,,,,,,,,,,DC Breeze,AUDL 2014,"Alex Thorne, Jarnail Bajwa, Josh Norris, Justin Solis, Liam Shramko, Peter Anderson, Tyler DeGirolamo",1,4,5,1.0
14,2014-04-12 12:00,Toronto Rush,98,O,3,2,Offense,Goal,,Alex Thorne,,,Josh Norris,Peter Anderson,Justin Solis,Liam Shramko,Jarnail Bajwa,Alex Thorne,Tyler DeGirolamo,,,,,,,,,,,,,,,,,,,,,,1488,,,,,,,,,,,DC Breeze,AUDL 2014,"Alex Thorne, Jarnail Bajwa, Josh Norris, Justin Solis, Liam Shramko, Peter Anderson, Tyler DeGirolamo",1,4,5,1.0
15,2014-04-12 12:00,Toronto Rush,5,D,3,3,Defense,Pull,,,,0.832,Ben Feng,Aaron Roberts,Brett Matzuka,Francisco Hezera,Daniel Selwyn,Jon Pressimone,Russell Howd,,,,,,,,,,,,,,,,,,,,,,3064,,,,,,,,,,,DC Breeze,AUDL 2014,"Aaron Roberts, Ben Feng, Brett Matzuka, Daniel Selwyn, Francisco Hezera, Jon Pressimone, Russell Howd",1,4,6,1.0
16,2014-04-12 12:00,Toronto Rush,5,D,3,3,Defense,Goal,,,,,Ben Feng,Aaron Roberts,Brett Matzuka,Francisco Hezera,Daniel Selwyn,Jon Pressimone,Russell Howd,,,,,,,,,,,,,,,,,,,,,,3067,,,,,,,,,,,DC Breeze,AUDL 2014,"Aaron Roberts, Ben Feng, Brett Matzuka, Daniel Selwyn, Francisco Hezera, Jon Pressimone, Russell Howd",1,4,6,1.0
17,2014-04-12 12:00,Toronto Rush,12,O,4,3,Offense,Catch,Alex Thorne,Tyler DeGirolamo,,,Justin Solis,Jarnail Bajwa,Jon Stone,Brett Matzuka,Alex Thorne,Logan Rhyne,Tyler DeGirolamo,,,,,,,,,,,,,,,,,,,,,,3284,,,,,,,,,,,DC Breeze,AUDL 2014,"Alex Thorne, Brett Matzuka, Jarnail Bajwa, Jon Stone, Justin Solis, Logan Rhyne, Tyler DeGirolamo",1,4,7,1.0
18,2014-04-12 12:00,Toronto Rush,12,O,4,3,Offense,Goal,Tyler DeGirolamo,Logan Rhyne,,,Justin Solis,Jarnail Bajwa,Jon Stone,Brett Matzuka,Alex Thorne,Logan Rhyne,Tyler DeGirolamo,,,,,,,,,,,,,,,,,,,,,,3294,,,,,,,,,,,DC Breeze,AUDL 2014,"Alex Thorne, Brett Matzuka, Jarnail Bajwa, Jon Stone, Justin Solis, Logan Rhyne, Tyler DeGirolamo",1,4,7,1.0
19,2014-04-12 12:00,Toronto Rush,51,D,5,3,Defense,Pull,,,,0.849,Ben Feng,Matthew Radhe,Aaron Roberts,Brett Matzuka,Francisco Hezera,AJ Jacoski,Jon Pressimone,,,,,,,,,,,,,,,,,,,,,,3356,,,,,,,,,,,DC Breeze,AUDL 2014,"AJ Jacoski, Aaron Roberts, Ben Feng, Brett Matzuka, Francisco Hezera, Jon Pressimone, Matthew Radhe",1,4,8,1.0
