,Date/Time,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Elapsed Time (secs),Begin Area,Begin X,Begin Y,End Area,End X,End Y,Distance Unit of Measure,Absolute Distance,Lateral Distance,Toward Our Goal Distance,Teamname,Tournament,Lineup,GameID,QuarterID,PointID,PossessionID
0,2014-04-19 13:12,Rochester Dragons,137,D,1,0,Defense,Pull,,,Danny Bjorkman,8.419,Danny Bjorkman,Sean Mott,Anthony Bushek,Steve Rosso,Chris Schulze,Sam Esser,Frank Harris,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,Philadelphia Phoenix,AUDL 2014,"Anthony Bushek, Chris Schulze, Danny Bjorkman, Frank Harris, Sam Esser, Sean Mott, Steve Rosso",1,1,1,1.0
1,2014-04-19 13:12,Rochester Dragons,137,D,1,0,Defense,D,,,Steve Rosso,,Danny Bjorkman,Sean Mott,Anthony Bushek,Steve Rosso,Chris Schulze,Sam Esser,Frank Harris,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,Philadelphia Phoenix,AUDL 2014,"Anthony Bushek, Chris Schulze, Danny Bjorkman, Frank Harris, Sam Esser, Sean Mott, Steve Rosso",1,1,1,1.0
2,2014-04-19 13:12,Rochester Dragons,137,D,1,0,Offense,Catch,Anthony Bushek,Sam Esser,,,Danny Bjorkman,Sean Mott,Anthony Bushek,Steve Rosso,Chris Schulze,Sam Esser,Frank Harris,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,,Philadelphia Phoenix,AUDL 2014,"Anthony Bushek, Chris Schulze, Danny Bjorkman, Frank Harris, Sam Esser, Sean Mott, Steve Rosso",1,1,1,2.0
3,2014-04-19 13:12,Rochester Dragons,137,D,1,0,Offense,Throwaway,Sam Esser,,,,Danny Bjorkman,Sean Mott,Anthony Bushek,Steve Rosso,Chris Schulze,Sam Esser,Frank Harris,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,Philadelphia Phoenix,AUDL 2014,"Anthony Bushek, Chris Schulze, Danny Bjorkman, Frank Harris, Sam Esser, Sean Mott, Steve Rosso",1,1,1,2.0
4,2014-04-19 13:12,Rochester Dragons,137,D,1,0,Defense,Throwaway,,,,,Danny Bjorkman,Sean Mott,Anthony Bushek,Steve Rosso,Chris Schulze,Sam Esser,Frank Harris,,,,,,,,,,,,,,,,,,,,,,68,,,,,,,,,,,Philadelphia Phoenix,AUDL 2014,"Anthony Bushek, Chris Schulze, Danny Bjorkman, Frank Harris, Sam Esser, Sean Mott, Steve Rosso",1,1,1,3.0
5,2014-04-19 13:12,Rochester Dragons,137,D,1,0,Offense,Catch,Anthony Bushek,Steve Rosso,,,Danny Bjorkman,Sean Mott,Anthony Bushek,Steve Rosso,Chris Schulze,Sam Esser,Frank Harris,,,,,,,,,,,,,,,,,,,,,,87,,,,,,,,,,,Philadelphia Phoenix,AUDL 2014,"Anthony Bushek, Chris Schulze, Danny Bjorkman, Frank Harris, Sam Esser, Sean Mott, Steve Rosso",1,1,1,4.0
6,2014-04-19 13:12,Rochester Dragons,137,D,1,0,Offense,Catch,Steve Rosso,Sean Mott,,,Danny Bjorkman,Sean Mott,Anthony Bushek,Steve Rosso,Chris Schulze,Sam Esser,Frank Harris,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,Philadelphia Phoenix,AUDL 2014,"Anthony Bushek, Chris Schulze, Danny Bjorkman, Frank Harris, Sam Esser, Sean Mott, Steve Rosso",1,1,1,4.0
7,2014-04-19 13:12,Rochester Dragons,137,D,1,0,Offense,Catch,Sean Mott,Anthony Bushek,,,Danny Bjorkman,Sean Mott,Anthony Bushek,Steve Rosso,Chris Schulze,Sam Esser,Frank Harris,,,,,,,,,,,,,,,,,,,,,,104,,,,,,,,,,,Philadelphia Phoenix,AUDL 2014,"Anthony Bushek, Chris Schulze, Danny Bjorkman, Frank Harris, Sam Esser, Sean Mott, Steve Rosso",1,1,1,4.0
8,2014-04-19 13:12,Rochester Dragons,137,D,1,0,Offense,Catch,Anthony Bushek,Sam Esser,,,Danny Bjorkman,Sean Mott,Anthony Bushek,Steve Rosso,Chris Schulze,Sam Esser,Frank Harris,,,,,,,,,,,,,,,,,,,,,,107,,,,,,,,,,,Philadelphia Phoenix,AUDL 2014,"Anthony Bushek, Chris Schulze, Danny Bjorkman, Frank Harris, Sam Esser, Sean Mott, Steve Rosso",1,1,1,4.0
9,2014-04-19 13:12,Rochester Dragons,137,D,1,0,Offense,Catch,Sam Esser,Frank Harris,,,Danny Bjorkman,Sean Mott,Anthony Bushek,Steve Rosso,Chris Schulze,Sam Esser,Frank Harris,,,,,,,,,,,,,,,,,,,,,,111,,,,,,,,,,,Philadelphia Phoenix,AUDL 2014,"Anthony Bushek, Chris Schulze, Danny Bjorkman, Frank Harris, Sam Esser, Sean Mott, Steve Rosso",1,1,1,4.0
10,2014-04-19 13:12,Rochester Dragons,137,D,1,0,Offense,Catch,Frank Harris,Anthony Bushek,,,Danny Bjorkman,Sean Mott,Anthony Bushek,Steve Rosso,Chris Schulze,Sam Esser,Frank Harris,,,,,,,,,,,,,,,,,,,,,,115,,,,,,,,,,,Philadelphia Phoenix,AUDL 2014,"Anthony Bushek, Chris Schulze, Danny Bjorkman, Frank Harris, Sam Esser, Sean Mott, Steve Rosso",1,1,1,4.0
11,2014-04-19 13:12,Rochester Dragons,137,D,1,0,Offense,Catch,Anthony Bushek,Sam Esser,,,Danny Bjorkman,Sean Mott,Anthony Bushek,Steve Rosso,Chris Schulze,Sam Esser,Frank Harris,,,,,,,,,,,,,,,,,,,,,,119,,,,,,,,,,,Philadelphia Phoenix,AUDL 2014,"Anthony Bushek, Chris Schulze, Danny Bjorkman, Frank Harris, Sam Esser, Sean Mott, Steve Rosso",1,1,1,4.0
12,2014-04-19 13:12,Rochester Dragons,137,D,1,0,Offense,Catch,Sam Esser,Chris Schulze,,,Danny Bjorkman,Sean Mott,Anthony Bushek,Steve Rosso,Chris Schulze,Sam Esser,Frank Harris,,,,,,,,,,,,,,,,,,,,,,123,,,,,,,,,,,Philadelphia Phoenix,AUDL 2014,"Anthony Bushek, Chris Schulze, Danny Bjorkman, Frank Harris, Sam Esser, Sean Mott, Steve Rosso",1,1,1,4.0
13,2014-04-19 13:12,Rochester Dragons,137,D,1,0,Offense,Catch,Chris Schulze,Frank Harris,,,Danny Bjorkman,Sean Mott,Anthony Bushek,Steve Rosso,Chris Schulze,Sam Esser,Frank Harris,,,,,,,,,,,,,,,,,,,,,,127,,,,,,,,,,,Philadelphia Phoenix,AUDL 2014,"Anthony Bushek, Chris Schulze, Danny Bjorkman, Frank Harris, Sam Esser, Sean Mott, Steve Rosso",1,1,1,4.0
14,2014-04-19 13:12,Rochester Dragons,137,D,1,0,Offense,Goal,Frank Harris,Steve Rosso,,,Danny Bjorkman,Sean Mott,Anthony Bushek,Steve Rosso,Chris Schulze,Sam Esser,Frank Harris,,,,,,,,,,,,,,,,,,,,,,135,,,,,,,,,,,Philadelphia Phoenix,AUDL 2014,"Anthony Bushek, Chris Schulze, Danny Bjorkman, Frank Harris, Sam Esser, Sean Mott, Steve Rosso",1,1,1,4.0
15,2014-04-19 13:12,Rochester Dragons,79,D,2,0,Defense,Pull,,,Frank Harris,1.816,Brett Sawyer,Danny Bjorkman,Anthony Bushek,Brian Magerr,Schuyler Redding,Chris Schulze,Frank Harris,,,,,,,,,,,,,,,,,,,,,,193,,,,,,,,,,,Philadelphia Phoenix,AUDL 2014,"Anthony Bushek, Brett Sawyer, Brian Magerr, Chris Schulze, Danny Bjorkman, Frank Harris, Schuyler Redding",1,1,2,1.0
16,2014-04-19 13:12,Rochester Dragons,79,D,2,0,Defense,D,,,Danny Bjorkman,,Brett Sawyer,Danny Bjorkman,Anthony Bushek,Brian Magerr,Schuyler Redding,Chris Schulze,Frank Harris,,,,,,,,,,,,,,,,,,,,,,204,,,,,,,,,,,Philadelphia Phoenix,AUDL 2014,"Anthony Bushek, Brett Sawyer, Brian Magerr, Chris Schulze, Danny Bjorkman, Frank Harris, Schuyler Redding",1,1,2,1.0
17,2014-04-19 13:12,Rochester Dragons,79,D,2,0,Offense,Catch,Anthony Bushek,Chris Schulze,,,Brett Sawyer,Danny Bjorkman,Anthony Bushek,Brian Magerr,Schuyler Redding,Chris Schulze,Frank Harris,,,,,,,,,,,,,,,,,,,,,,214,,,,,,,,,,,Philadelphia Phoenix,AUDL 2014,"Anthony Bushek, Brett Sawyer, Brian Magerr, Chris Schulze, Danny Bjorkman, Frank Harris, Schuyler Redding",1,1,2,2.0
18,2014-04-19 13:12,Rochester Dragons,79,D,2,0,Offense,Throwaway,Chris Schulze,,,,Brett Sawyer,Danny Bjorkman,Anthony Bushek,Brian Magerr,Schuyler Redding,Chris Schulze,Frank Harris,,,,,,,,,,,,,,,,,,,,,,223,,,,,,,,,,,Philadelphia Phoenix,AUDL 2014,"Anthony Bushek, Brett Sawyer, Brian Magerr, Chris Schulze, Danny Bjorkman, Frank Harris, Schuyler Redding",1,1,2,2.0
19,2014-04-19 13:12,Rochester Dragons,79,D,2,0,Defense,D,,,Brian Magerr,,Brett Sawyer,Danny Bjorkman,Anthony Bushek,Brian Magerr,Schuyler Redding,Chris Schulze,Frank Harris,,,,,,,,,,,,,,,,,,,,,,250,,,,,,,,,,,Philadelphia Phoenix,AUDL 2014,"Anthony Bushek, Brett Sawyer, Brian Magerr, Chris Schulze, Danny Bjorkman, Frank Harris, Schuyler Redding",1,1,2,3.0
20,2014-04-19 13:12,Rochester Dragons,79,D,2,0,Offense,Catch,Brian Magerr,Anthony Bushek,,,Brett Sawyer,Danny Bjorkman,Anthony Bushek,Brian Magerr,Schuyler Redding,Chris Schulze,Frank Harris,,,,,,,,,,,,,,,,,,,,,,258,,,,,,,,,,,Philadelphia Phoenix,AUDL 2014,"Anthony Bushek, Brett Sawyer, Brian Magerr, Chris Schulze, Danny Bjorkman, Frank Harris, Schuyler Redding",1,1,2,4.0
21,2014-04-19 13:12,Rochester Dragons,79,D,2,0,Offense,Catch,Anthony Bushek,Brett Sawyer,,,Brett Sawyer,Danny Bjorkman,Anthony Bushek,Brian Magerr,Schuyler Redding,Chris Schulze,Frank Harris,,,,,,,,,,,,,,,,,,,,,,262,,,,,,,,,,,Philadelphia Phoenix,AUDL 2014,"Anthony Bushek, Brett Sawyer, Brian Magerr, Chris Schulze, Danny Bjorkman, Frank Harris, Schuyler Redding",1,1,2,4.0
22,2014-04-19 13:12,Rochester Dragons,79,D,2,0,Offense,Catch,Brett Sawyer,Brian Magerr,,,Brett Sawyer,Danny Bjorkman,Anthony Bushek,Brian Magerr,Schuyler Redding,Chris Schulze,Frank Harris,,,,,,,,,,,,,,,,,,,,,,266,,,,,,,,,,,Philadelphia Phoenix,AUDL 2014,"Anthony Bushek, Brett Sawyer, Brian Magerr, Chris Schulze, Danny Bjorkman, Frank Harris, Schuyler Redding",1,1,2,4.0
23,2014-04-19 13:12,Rochester Dragons,79,D,2,0,Offense,Goal,Brian Magerr,Brett Sawyer,,,Brett Sawyer,Danny Bjorkman,Anthony Bushek,Brian Magerr,Schuyler Redding,Chris Schulze,Frank Harris,,,,,,,,,,,,,,,,,,,,,,270,,,,,,,,,,,Philadelphia Phoenix,AUDL 2014,"Anthony Bushek, Brett Sawyer, Brian Magerr, Chris Schulze, Danny Bjorkman, Frank Harris, Schuyler Redding",1,1,2,4.0
24,2014-04-19 13:12,Rochester Dragons,28,D,2,1,Defense,Pull,,,Tom Allen,0.899,Tom Allen,Brett Sawyer,David Hampson,Casey Startzell,Steve Rosso,Schuyler Redding,Sam Esser,,,,,,,,,,,,,,,,,,,,,,324,,,,,,,,,,,Philadelphia Phoenix,AUDL 2014,"Brett Sawyer, Casey Startzell, David Hampson, Sam Esser, Schuyler Redding, Steve Rosso, Tom Allen",1,1,3,1.0
25,2014-04-19 13:12,Rochester Dragons,28,D,2,1,Defense,Goal,,,,,Tom Allen,Brett Sawyer,David Hampson,Casey Startzell,Steve Rosso,Schuyler Redding,Sam Esser,,,,,,,,,,,,,,,,,,,,,,350,,,,,,,,,,,Philadelphia Phoenix,AUDL 2014,"Brett Sawyer, Casey Startzell, David Hampson, Sam Esser, Schuyler Redding, Steve Rosso, Tom Allen",1,1,3,1.0
26,2014-04-19 13:12,Rochester Dragons,62,O,2,2,Offense,Throwaway,Jeff Kiel,,,,Tom Allen,David Hampson,Jeff Kiel,Mike Reeves,Casey Startzell,Jordan Wiley,,,,,,,,,,,,,,,,,,,,,,,414,,,,,,,,,,,Philadelphia Phoenix,AUDL 2014,"Casey Startzell, David Hampson, Jeff Kiel, Jordan Wiley, Mike Reeves, Tom Allen",1,1,4,1.0
