,Date/Time,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Elapsed Time (secs),Begin Area,Begin X,Begin Y,End Area,End X,End Y,Distance Unit of Measure,Absolute Distance,Lateral Distance,Toward Our Goal Distance,Teamname,Tournament,Lineup,GameID,QuarterID,PointID,PossessionID
0,2014-04-12 18:53,Vancouver Riptide,28,D,0,1,Defense,Pull,,,George V,6.4,Jimmy B,Russ B,Jack K,James F,Spence B,Doug S,George V,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,Salt Lake Lions,AUDL 2014,"Doug S, George V, Jack K, James F, Jimmy B, Russ B, Spence B",1,1,1,1.0
1,2014-04-12 18:53,Vancouver Riptide,28,D,0,1,Defense,Goal,,,,,Jimmy B,Russ B,Jack K,James F,Spence B,Doug S,George V,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,Salt Lake Lions,AUDL 2014,"Doug S, George V, Jack K, James F, Jimmy B, Russ B, Spence B",1,1,1,1.0
2,2014-04-12 18:53,Vancouver Riptide,15,O,1,1,Offense,Catch,Ryan S,,,,Ryan C,Ryan S,Isaac C,Kenji H,Ryan H,Shane F,Trevor H,,,,,,,,,,,,,,,,,,,,,,133,,,,,,,,,,,Salt Lake Lions,AUDL 2014,"Isaac C, Kenji H, Ryan C, Ryan H, Ryan S, Shane F, Trevor H",1,1,2,1.0
3,2014-04-12 18:53,Vancouver Riptide,15,O,1,1,Offense,Catch,Trevor H,Isaac C,,,Ryan C,Ryan S,Isaac C,Kenji H,Ryan H,Shane F,Trevor H,,,,,,,,,,,,,,,,,,,,,,142,,,,,,,,,,,Salt Lake Lions,AUDL 2014,"Isaac C, Kenji H, Ryan C, Ryan H, Ryan S, Shane F, Trevor H",1,1,2,1.0
4,2014-04-12 18:53,Vancouver Riptide,15,O,1,1,Offense,Goal,Trevor H,Isaac C,,,Ryan C,Ryan S,Isaac C,Kenji H,Ryan H,Shane F,Trevor H,,,,,,,,,,,,,,,,,,,,,,146,,,,,,,,,,,Salt Lake Lions,AUDL 2014,"Isaac C, Kenji H, Ryan C, Ryan H, Ryan S, Shane F, Trevor H",1,1,2,1.0
5,2014-04-12 18:53,Vancouver Riptide,60,D,1,2,Defense,Pull,,,Jimmy B,7.0,Jimmy B,Russ B,Jack K,James F,Spence B,Doug S,George V,,,,,,,,,,,,,,,,,,,,,,178,,,,,,,,,,,Salt Lake Lions,AUDL 2014,"Doug S, George V, Jack K, James F, Jimmy B, Russ B, Spence B",1,1,3,1.0
6,2014-04-12 18:53,Vancouver Riptide,60,D,1,2,Defense,D,,,Spence B,,Jimmy B,Russ B,Jack K,James F,Spence B,Doug S,George V,,,,,,,,,,,,,,,,,,,,,,199,,,,,,,,,,,Salt Lake Lions,AUDL 2014,"Doug S, George V, Jack K, James F, Jimmy B, Russ B, Spence B",1,1,3,1.0
7,2014-04-12 18:53,Vancouver Riptide,60,D,1,2,Offense,Throwaway,Doug S,,,,Jimmy B,Russ B,Jack K,James F,Spence B,Doug S,George V,,,,,,,,,,,,,,,,,,,,,,225,,,,,,,,,,,Salt Lake Lions,AUDL 2014,"Doug S, George V, Jack K, James F, Jimmy B, Russ B, Spence B",1,1,3,2.0
8,2014-04-12 18:53,Vancouver Riptide,60,D,1,2,Defense,Goal,,,,,Jimmy B,Russ B,Jack K,James F,Spence B,Doug S,George V,,,,,,,,,,,,,,,,,,,,,,236,,,,,,,,,,,Salt Lake Lions,AUDL 2014,"Doug S, George V, Jack K, James F, Jimmy B, Russ B, Spence B",1,1,3,3.0
9,2014-04-12 18:53,Vancouver Riptide,111,O,1,3,Offense,Catch,Doug S,Kenji H,,,Ryan S,Isaac C,Kenji H,Chris B,Kenny F,David B,Trevor H,,,,,,,,,,,,,,,,,,,,,,324,,,,,,,,,,,Salt Lake Lions,AUDL 2014,"Chris B, David B, Isaac C, Kenji H, Kenny F, Ryan S, Trevor H",1,1,4,1.0
10,2014-04-12 18:53,Vancouver Riptide,111,O,1,3,Offense,Catch,Isaac C,David B,,,Ryan S,Isaac C,Kenji H,Chris B,Kenny F,David B,Trevor H,,,,,,,,,,,,,,,,,,,,,,333,,,,,,,,,,,Salt Lake Lions,AUDL 2014,"Chris B, David B, Isaac C, Kenji H, Kenny F, Ryan S, Trevor H",1,1,4,1.0
11,2014-04-12 18:53,Vancouver Riptide,111,O,1,3,Offense,Catch,David B,Trevor H,,,Ryan S,Isaac C,Kenji H,Chris B,Kenny F,David B,Trevor H,,,,,,,,,,,,,,,,,,,,,,337,,,,,,,,,,,Salt Lake Lions,AUDL 2014,"Chris B, David B, Isaac C, Kenji H, Kenny F, Ryan S, Trevor H",1,1,4,1.0
12,2014-04-12 18:53,Vancouver Riptide,111,O,1,3,Offense,Catch,Trevor H,David B,,,Ryan S,Isaac C,Kenji H,Chris B,Kenny F,David B,Trevor H,,,,,,,,,,,,,,,,,,,,,,341,,,,,,,,,,,Salt Lake Lions,AUDL 2014,"Chris B, David B, Isaac C, Kenji H, Kenny F, Ryan S, Trevor H",1,1,4,1.0
13,2014-04-12 18:53,Vancouver Riptide,111,O,1,3,Offense,Catch,,David B,,,Ryan S,Isaac C,Kenji H,Chris B,Kenny F,David B,Trevor H,,,,,,,,,,,,,,,,,,,,,,353,,,,,,,,,,,Salt Lake Lions,AUDL 2014,"Chris B, David B, Isaac C, Kenji H, Kenny F, Ryan S, Trevor H",1,1,4,1.0
14,2014-04-12 18:53,Vancouver Riptide,111,O,1,3,Offense,Drop,David B,Kenji H,,,Ryan S,Isaac C,Kenji H,Chris B,Kenny F,David B,Trevor H,,,,,,,,,,,,,,,,,,,,,,357,,,,,,,,,,,Salt Lake Lions,AUDL 2014,"Chris B, David B, Isaac C, Kenji H, Kenny F, Ryan S, Trevor H",1,1,4,1.0
15,2014-04-12 18:53,Vancouver Riptide,111,O,1,3,Defense,D,,,Trevor H,,Ryan S,Isaac C,Kenji H,Chris B,Kenny F,David B,Trevor H,,,,,,,,,,,,,,,,,,,,,,387,,,,,,,,,,,Salt Lake Lions,AUDL 2014,"Chris B, David B, Isaac C, Kenji H, Kenny F, Ryan S, Trevor H",1,1,4,2.0
16,2014-04-12 18:53,Vancouver Riptide,111,O,1,3,Offense,Catch,David B,Kenji H,,,Ryan S,Isaac C,Kenji H,Chris B,Kenny F,David B,Trevor H,,,,,,,,,,,,,,,,,,,,,,393,,,,,,,,,,,Salt Lake Lions,AUDL 2014,"Chris B, David B, Isaac C, Kenji H, Kenny F, Ryan S, Trevor H",1,1,4,3.0
17,2014-04-12 18:53,Vancouver Riptide,111,O,1,3,Offense,Catch,Kenji H,David B,,,Ryan S,Isaac C,Kenji H,Chris B,Kenny F,David B,Trevor H,,,,,,,,,,,,,,,,,,,,,,399,,,,,,,,,,,Salt Lake Lions,AUDL 2014,"Chris B, David B, Isaac C, Kenji H, Kenny F, Ryan S, Trevor H",1,1,4,3.0
18,2014-04-12 18:53,Vancouver Riptide,111,O,1,3,Offense,Throwaway,David B,,,,Ryan S,Isaac C,Kenji H,Chris B,Kenny F,David B,Trevor H,,,,,,,,,,,,,,,,,,,,,,407,,,,,,,,,,,Salt Lake Lions,AUDL 2014,"Chris B, David B, Isaac C, Kenji H, Kenny F, Ryan S, Trevor H",1,1,4,3.0
19,2014-04-12 18:53,Vancouver Riptide,111,O,1,3,Defense,Goal,,,,,Ryan S,Isaac C,Kenji H,Chris B,Kenny F,David B,Trevor H,,,,,,,,,,,,,,,,,,,,,,433,,,,,,,,,,,Salt Lake Lions,AUDL 2014,"Chris B, David B, Isaac C, Kenji H, Kenny F, Ryan S, Trevor H",1,1,4,4.0
20,2014-04-12 18:53,Vancouver Riptide,114,O,1,4,Offense,Catch,Ben J,Ryan H,,,Russ B,Jimmy B,Ryan S,Ben J,Ryan H,Seokhe B,Trevor H,,,,,,,,,,,,,,,,,,,,,,490,,,,,,,,,,,Salt Lake Lions,AUDL 2014,"Ben J, Jimmy B, Russ B, Ryan H, Ryan S, Seokhe B, Trevor H",1,1,5,1.0
21,2014-04-12 18:53,Vancouver Riptide,114,O,1,4,Offense,Catch,Ryan H,Jimmy B,,,Russ B,Jimmy B,Ryan S,Ben J,Ryan H,Seokhe B,Trevor H,,,,,,,,,,,,,,,,,,,,,,498,,,,,,,,,,,Salt Lake Lions,AUDL 2014,"Ben J, Jimmy B, Russ B, Ryan H, Ryan S, Seokhe B, Trevor H",1,1,5,1.0
22,2014-04-12 18:53,Vancouver Riptide,114,O,1,4,Offense,Catch,Jimmy B,Russ B,,,Russ B,Jimmy B,Ryan S,Ben J,Ryan H,Seokhe B,Trevor H,,,,,,,,,,,,,,,,,,,,,,502,,,,,,,,,,,Salt Lake Lions,AUDL 2014,"Ben J, Jimmy B, Russ B, Ryan H, Ryan S, Seokhe B, Trevor H",1,1,5,1.0
23,2014-04-12 18:53,Vancouver Riptide,114,O,1,4,Offense,Catch,Russ B,Jimmy B,,,Russ B,Jimmy B,Ryan S,Ben J,Ryan H,Seokhe B,Trevor H,,,,,,,,,,,,,,,,,,,,,,505,,,,,,,,,,,Salt Lake Lions,AUDL 2014,"Ben J, Jimmy B, Russ B, Ryan H, Ryan S, Seokhe B, Trevor H",1,1,5,1.0
24,2014-04-12 18:53,Vancouver Riptide,114,O,1,4,Offense,Drop,Jimmy B,Trevor H,,,Russ B,Jimmy B,Ryan S,Ben J,Ryan H,Seokhe B,Trevor H,,,,,,,,,,,,,,,,,,,,,,512,,,,,,,,,,,Salt Lake Lions,AUDL 2014,"Ben J, Jimmy B, Russ B, Ryan H, Ryan S, Seokhe B, Trevor H",1,1,5,1.0
25,2014-04-12 18:53,Vancouver Riptide,114,O,1,4,Defense,Throwaway,,,,,Russ B,Jimmy B,Ryan S,Ben J,Ryan H,Seokhe B,Trevor H,,,,,,,,,,,,,,,,,,,,,,548,,,,,,,,,,,Salt Lake Lions,AUDL 2014,"Ben J, Jimmy B, Russ B, Ryan H, Ryan S, Seokhe B, Trevor H",1,1,5,2.0
26,2014-04-12 18:53,Vancouver Riptide,114,O,1,4,Offense,Catch,Ryan H,Trevor H,,,Russ B,Jimmy B,Ryan S,Ben J,Ryan H,Seokhe B,Trevor H,,,,,,,,,,,,,,,,,,,,,,555,,,,,,,,,,,Salt Lake Lions,AUDL 2014,"Ben J, Jimmy B, Russ B, Ryan H, Ryan S, Seokhe B, Trevor H",1,1,5,3.0
27,2014-04-12 18:53,Vancouver Riptide,114,O,1,4,Offense,Catch,Trevor H,Seokhe B,,,Russ B,Jimmy B,Ryan S,Ben J,Ryan H,Seokhe B,Trevor H,,,,,,,,,,,,,,,,,,,,,,559,,,,,,,,,,,Salt Lake Lions,AUDL 2014,"Ben J, Jimmy B, Russ B, Ryan H, Ryan S, Seokhe B, Trevor H",1,1,5,3.0
28,2014-04-12 18:53,Vancouver Riptide,114,O,1,4,Offense,Drop,Seokhe B,Ryan S,,,Russ B,Jimmy B,Ryan S,Ben J,Ryan H,Seokhe B,Trevor H,,,,,,,,,,,,,,,,,,,,,,572,,,,,,,,,,,Salt Lake Lions,AUDL 2014,"Ben J, Jimmy B, Russ B, Ryan H, Ryan S, Seokhe B, Trevor H",1,1,5,3.0
