,Date/Time,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Elapsed Time (secs),Begin Area,Begin X,Begin Y,End Area,End X,End Y,Distance Unit of Measure,Absolute Distance,Lateral Distance,Toward Our Goal Distance,Teamname,Tournament,Lineup,GameID,QuarterID,PointID,PossessionID
0,2014-04-19 18:02,Vancouver Riptide,141,D,0,1,Defense,Pull,,,Andrew Lynch,3.115,Brad Houser,Luke Jespersen,Ryan Sturm,Adlai Felser,Cam Bailey,Evan Klein,Andrew Lynch,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,Seattle Raptors,AUDL 2014,"Adlai Felser, Andrew Lynch, Brad Houser, Cam Bailey, Evan Klein, Luke Jespersen, Ryan Sturm",1,1,1,1.0
1,2014-04-19 18:02,Vancouver Riptide,141,D,0,1,Defense,D,,,Cam Bailey,,Brad Houser,Luke Jespersen,Ryan Sturm,Adlai Felser,Cam Bailey,Evan Klein,Andrew Lynch,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,Seattle Raptors,AUDL 2014,"Adlai Felser, Andrew Lynch, Brad Houser, Cam Bailey, Evan Klein, Luke Jespersen, Ryan Sturm",1,1,1,1.0
2,2014-04-19 18:02,Vancouver Riptide,141,D,0,1,Offense,Catch,Evan Klein,Brad Houser,,,Brad Houser,Luke Jespersen,Ryan Sturm,Adlai Felser,Cam Bailey,Evan Klein,Andrew Lynch,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,Seattle Raptors,AUDL 2014,"Adlai Felser, Andrew Lynch, Brad Houser, Cam Bailey, Evan Klein, Luke Jespersen, Ryan Sturm",1,1,1,2.0
3,2014-04-19 18:02,Vancouver Riptide,141,D,0,1,Offense,Catch,Brad Houser,Adlai Felser,,,Brad Houser,Luke Jespersen,Ryan Sturm,Adlai Felser,Cam Bailey,Evan Klein,Andrew Lynch,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,Seattle Raptors,AUDL 2014,"Adlai Felser, Andrew Lynch, Brad Houser, Cam Bailey, Evan Klein, Luke Jespersen, Ryan Sturm",1,1,1,2.0
4,2014-04-19 18:02,Vancouver Riptide,141,D,0,1,Offense,Catch,Adlai Felser,Brad Houser,,,Brad Houser,Luke Jespersen,Ryan Sturm,Adlai Felser,Cam Bailey,Evan Klein,Andrew Lynch,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,Seattle Raptors,AUDL 2014,"Adlai Felser, Andrew Lynch, Brad Houser, Cam Bailey, Evan Klein, Luke Jespersen, Ryan Sturm",1,1,1,2.0
5,2014-04-19 18:02,Vancouver Riptide,141,D,0,1,Offense,Catch,Brad Houser,Adlai Felser,,,Brad Houser,Luke Jespersen,Ryan Sturm,Adlai Felser,Cam Bailey,Evan Klein,Andrew Lynch,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,Seattle Raptors,AUDL 2014,"Adlai Felser, Andrew Lynch, Brad Houser, Cam Bailey, Evan Klein, Luke Jespersen, Ryan Sturm",1,1,1,2.0
6,2014-04-19 18:02,Vancouver Riptide,141,D,0,1,Offense,Catch,Adlai Felser,Andrew Lynch,,,Brad Houser,Luke Jespersen,Ryan Sturm,Adlai Felser,Cam Bailey,Evan Klein,Andrew Lynch,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,Seattle Raptors,AUDL 2014,"Adlai Felser, Andrew Lynch, Brad Houser, Cam Bailey, Evan Klein, Luke Jespersen, Ryan Sturm",1,1,1,2.0
7,2014-04-19 18:02,Vancouver Riptide,141,D,0,1,Offense,Catch,Andrew Lynch,Cam Bailey,,,Brad Houser,Luke Jespersen,Ryan Sturm,Adlai Felser,Cam Bailey,Evan Klein,Andrew Lynch,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,Seattle Raptors,AUDL 2014,"Adlai Felser, Andrew Lynch, Brad Houser, Cam Bailey, Evan Klein, Luke Jespersen, Ryan Sturm",1,1,1,2.0
8,2014-04-19 18:02,Vancouver Riptide,141,D,0,1,Offense,Catch,Cam Bailey,Andrew Lynch,,,Brad Houser,Luke Jespersen,Ryan Sturm,Adlai Felser,Cam Bailey,Evan Klein,Andrew Lynch,,,,,,,,,,,,,,,,,,,,,,39,,,,,,,,,,,Seattle Raptors,AUDL 2014,"Adlai Felser, Andrew Lynch, Brad Houser, Cam Bailey, Evan Klein, Luke Jespersen, Ryan Sturm",1,1,1,2.0
9,2014-04-19 18:02,Vancouver Riptide,141,D,0,1,Offense,Catch,Andrew Lynch,Adlai Felser,,,Brad Houser,Luke Jespersen,Ryan Sturm,Adlai Felser,Cam Bailey,Evan Klein,Andrew Lynch,,,,,,,,,,,,,,,,,,,,,,43,,,,,,,,,,,Seattle Raptors,AUDL 2014,"Adlai Felser, Andrew Lynch, Brad Houser, Cam Bailey, Evan Klein, Luke Jespersen, Ryan Sturm",1,1,1,2.0
10,2014-04-19 18:02,Vancouver Riptide,141,D,0,1,Offense,Catch,Adlai Felser,Ryan Sturm,,,Brad Houser,Luke Jespersen,Ryan Sturm,Adlai Felser,Cam Bailey,Evan Klein,Andrew Lynch,,,,,,,,,,,,,,,,,,,,,,47,,,,,,,,,,,Seattle Raptors,AUDL 2014,"Adlai Felser, Andrew Lynch, Brad Houser, Cam Bailey, Evan Klein, Luke Jespersen, Ryan Sturm",1,1,1,2.0
11,2014-04-19 18:02,Vancouver Riptide,141,D,0,1,Offense,Catch,Ryan Sturm,Andrew Lynch,,,Brad Houser,Luke Jespersen,Ryan Sturm,Adlai Felser,Cam Bailey,Evan Klein,Andrew Lynch,,,,,,,,,,,,,,,,,,,,,,51,,,,,,,,,,,Seattle Raptors,AUDL 2014,"Adlai Felser, Andrew Lynch, Brad Houser, Cam Bailey, Evan Klein, Luke Jespersen, Ryan Sturm",1,1,1,2.0
12,2014-04-19 18:02,Vancouver Riptide,141,D,0,1,Offense,Catch,Andrew Lynch,Cam Bailey,,,Brad Houser,Luke Jespersen,Ryan Sturm,Adlai Felser,Cam Bailey,Evan Klein,Andrew Lynch,,,,,,,,,,,,,,,,,,,,,,54,,,,,,,,,,,Seattle Raptors,AUDL 2014,"Adlai Felser, Andrew Lynch, Brad Houser, Cam Bailey, Evan Klein, Luke Jespersen, Ryan Sturm",1,1,1,2.0
