,Date/Time,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Elapsed Time (secs),Begin Area,Begin X,Begin Y,End Area,End X,End Y,Distance Unit of Measure,Absolute Distance,Lateral Distance,Toward Our Goal Distance,Teamname,Tournament,Lineup,GameID,QuarterID,PointID,PossessionID
0,2015-04-11 18:55,Raleigh Flyers,7,O,1,0,Offense,Goal,Dylan Tunnell,Matt Smith,,,Jay Clark,Blake Hannah,Brian Moore,Matt Smith,Dylan Tunnell,Kyle Stapleton,Frank Wooten,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,Atlanta Hustle,AUDL 2015,"Blake Hannah, Brian Moore, Dylan Tunnell, Frank Wooten, Jay Clark, Kyle Stapleton, Matt Smith",1,1,1,1.0
1,2015-04-11 18:55,Raleigh Flyers,46,D,2,0,Defense,Pull,,,Robert Runner,,Ryan Archibald,Byron Liu,Jack Krieger,Robert Runner,Ryans Simmons,Taylor Goforth,Ryan James,,,,,,,,,,,,,,,,,,,,,,56,,,,,,,,,,,Atlanta Hustle,AUDL 2015,"Byron Liu, Jack Krieger, Robert Runner, Ryan Archibald, Ryan James, Ryans Simmons, Taylor Goforth",1,1,2,1.0
2,2015-04-11 18:55,Raleigh Flyers,46,D,2,0,Defense,D,,,Robert Runner,,Ryan Archibald,Byron Liu,Jack Krieger,Robert Runner,Ryans Simmons,Taylor Goforth,Ryan James,,,,,,,,,,,,,,,,,,,,,,68,,,,,,,,,,,Atlanta Hustle,AUDL 2015,"Byron Liu, Jack Krieger, Robert Runner, Ryan Archibald, Ryan James, Ryans Simmons, Taylor Goforth",1,1,2,1.0
3,2015-04-11 18:55,Raleigh Flyers,46,D,2,0,Offense,Catch,Robert Runner,Ryans Simmons,,,Ryan Archibald,Byron Liu,Jack Krieger,Robert Runner,Ryans Simmons,Taylor Goforth,Ryan James,,,,,,,,,,,,,,,,,,,,,,73,,,,,,,,,,,Atlanta Hustle,AUDL 2015,"Byron Liu, Jack Krieger, Robert Runner, Ryan Archibald, Ryan James, Ryans Simmons, Taylor Goforth",1,1,2,2.0
4,2015-04-11 18:55,Raleigh Flyers,46,D,2,0,Offense,Catch,Ryans Simmons,Byron Liu,,,Ryan Archibald,Byron Liu,Jack Krieger,Robert Runner,Ryans Simmons,Taylor Goforth,Ryan James,,,,,,,,,,,,,,,,,,,,,,77,,,,,,,,,,,Atlanta Hustle,AUDL 2015,"Byron Liu, Jack Krieger, Robert Runner, Ryan Archibald, Ryan James, Ryans Simmons, Taylor Goforth",1,1,2,2.0
5,2015-04-11 18:55,Raleigh Flyers,46,D,2,0,Offense,Catch,Byron Liu,Robert Runner,,,Ryan Archibald,Byron Liu,Jack Krieger,Robert Runner,Ryans Simmons,Taylor Goforth,Ryan James,,,,,,,,,,,,,,,,,,,,,,81,,,,,,,,,,,Atlanta Hustle,AUDL 2015,"Byron Liu, Jack Krieger, Robert Runner, Ryan Archibald, Ryan James, Ryans Simmons, Taylor Goforth",1,1,2,2.0
6,2015-04-11 18:55,Raleigh Flyers,46,D,2,0,Offense,Catch,Robert Runner,Byron Liu,,,Ryan Archibald,Byron Liu,Jack Krieger,Robert Runner,Ryans Simmons,Taylor Goforth,Ryan James,,,,,,,,,,,,,,,,,,,,,,85,,,,,,,,,,,Atlanta Hustle,AUDL 2015,"Byron Liu, Jack Krieger, Robert Runner, Ryan Archibald, Ryan James, Ryans Simmons, Taylor Goforth",1,1,2,2.0
7,2015-04-11 18:55,Raleigh Flyers,46,D,2,0,Offense,Catch,Byron Liu,Taylor Goforth,,,Ryan Archibald,Byron Liu,Jack Krieger,Robert Runner,Ryans Simmons,Taylor Goforth,Ryan James,,,,,,,,,,,,,,,,,,,,,,89,,,,,,,,,,,Atlanta Hustle,AUDL 2015,"Byron Liu, Jack Krieger, Robert Runner, Ryan Archibald, Ryan James, Ryans Simmons, Taylor Goforth",1,1,2,2.0
8,2015-04-11 18:55,Raleigh Flyers,46,D,2,0,Offense,Catch,Taylor Goforth,Robert Runner,,,Ryan Archibald,Byron Liu,Jack Krieger,Robert Runner,Ryans Simmons,Taylor Goforth,Ryan James,,,,,,,,,,,,,,,,,,,,,,93,,,,,,,,,,,Atlanta Hustle,AUDL 2015,"Byron Liu, Jack Krieger, Robert Runner, Ryan Archibald, Ryan James, Ryans Simmons, Taylor Goforth",1,1,2,2.0
9,2015-04-11 18:55,Raleigh Flyers,46,D,2,0,Offense,Catch,Robert Runner,Byron Liu,,,Ryan Archibald,Byron Liu,Jack Krieger,Robert Runner,Ryans Simmons,Taylor Goforth,Ryan James,,,,,,,,,,,,,,,,,,,,,,97,,,,,,,,,,,Atlanta Hustle,AUDL 2015,"Byron Liu, Jack Krieger, Robert Runner, Ryan Archibald, Ryan James, Ryans Simmons, Taylor Goforth",1,1,2,2.0
