,Date/Time,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Elapsed Time (secs),Begin Area,Begin X,Begin Y,End Area,End X,End Y,Distance Unit of Measure,Absolute Distance,Lateral Distance,Toward Our Goal Distance,Teamname,Tournament,Lineup,GameID,QuarterID,PointID,PossessionID
0,2015-04-25 15:04,Chicago Wildfire,76,D,0,1,Defense,Pull,,,Jay Drescher,5.051,Sean Newlin,Liam Shramko,David Shirley,Brandon Matis,Ben Jagt,Jay Drescher,Samuel Reis,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,Minnesota Wind Chill,AUDL 2015,"Sean Newlin, Liam Shramko, David Shirley, Brandon Matis, Ben Jagt, Jay Drescher, Samuel Reis",1,1,1,1.0
1,2015-04-25 15:04,Chicago Wildfire,76,D,0,1,Defense,D,,,Jay Drescher,,Sean Newlin,Liam Shramko,David Shirley,Brandon Matis,Ben Jagt,Jay Drescher,Samuel Reis,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,Minnesota Wind Chill,AUDL 2015,"Sean Newlin, Liam Shramko, David Shirley, Brandon Matis, Ben Jagt, Jay Drescher, Samuel Reis",1,1,1,1.0
2,2015-04-25 15:04,Chicago Wildfire,76,D,0,1,Offense,Drop,Jay Drescher,Sean Newlin,,,Sean Newlin,Liam Shramko,David Shirley,Brandon Matis,Ben Jagt,Jay Drescher,Samuel Reis,,,,,,,,,,,,,,,,,,,,,,56,,,,,,,,,,,Minnesota Wind Chill,AUDL 2015,"Sean Newlin, Liam Shramko, David Shirley, Brandon Matis, Ben Jagt, Jay Drescher, Samuel Reis",1,1,1,2.0
3,2015-04-25 15:04,Chicago Wildfire,76,D,0,1,Defense,D,,,Jay Drescher,,Sean Newlin,Liam Shramko,David Shirley,Brandon Matis,Ben Jagt,Jay Drescher,Samuel Reis,,,,,,,,,,,,,,,,,,,,,,61,,,,,,,,,,,Minnesota Wind Chill,AUDL 2015,"Sean Newlin, Liam Shramko, David Shirley, Brandon Matis, Ben Jagt, Jay Drescher, Samuel Reis",1,1,1,3.0
4,2015-04-25 15:04,Chicago Wildfire,76,D,0,1,Offense,Catch,Jay Drescher,Ben Jagt,,,Sean Newlin,Liam Shramko,David Shirley,Brandon Matis,Ben Jagt,Jay Drescher,Samuel Reis,,,,,,,,,,,,,,,,,,,,,,66,,,,,,,,,,,Minnesota Wind Chill,AUDL 2015,"Sean Newlin, Liam Shramko, David Shirley, Brandon Matis, Ben Jagt, Jay Drescher, Samuel Reis",1,1,1,4.0
5,2015-04-25 15:04,Chicago Wildfire,76,D,0,1,Offense,Drop,Ben Jagt,Samuel Reis,,,Sean Newlin,Liam Shramko,David Shirley,Brandon Matis,Ben Jagt,Jay Drescher,Samuel Reis,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,Minnesota Wind Chill,AUDL 2015,"Sean Newlin, Liam Shramko, David Shirley, Brandon Matis, Ben Jagt, Jay Drescher, Samuel Reis",1,1,1,4.0
6,2015-04-25 15:04,Chicago Wildfire,76,D,0,1,Defense,Goal,,,,,Sean Newlin,Liam Shramko,David Shirley,Brandon Matis,Ben Jagt,Jay Drescher,Samuel Reis,,,,,,,,,,,,,,,,,,,,,,74,,,,,,,,,,,Minnesota Wind Chill,AUDL 2015,"Sean Newlin, Liam Shramko, David Shirley, Brandon Matis, Ben Jagt, Jay Drescher, Samuel Reis",1,1,1,5.0
7,2015-04-25 15:04,Chicago Wildfire,53,O,0,2,Offense,Catch,Danny Hunt,Austin Lien,,,Austin Lien,Liam Shramko,Danny Hunt,Neal Hanke,Carlos Wolle,Danny Collom,Pete Carr,,,,,,,,,,,,,,,,,,,,,,117,,,,,,,,,,,Minnesota Wind Chill,AUDL 2015,"Austin Lien, Liam Shramko, Danny Hunt, Neal Hanke, Carlos Wolle, Danny Collom, Pete Carr",1,1,2,1.0
8,2015-04-25 15:04,Chicago Wildfire,53,O,0,2,Offense,Catch,Austin Lien,Danny Hunt,,,Austin Lien,Liam Shramko,Danny Hunt,Neal Hanke,Carlos Wolle,Danny Collom,Pete Carr,,,,,,,,,,,,,,,,,,,,,,126,,,,,,,,,,,Minnesota Wind Chill,AUDL 2015,"Austin Lien, Liam Shramko, Danny Hunt, Neal Hanke, Carlos Wolle, Danny Collom, Pete Carr",1,1,2,1.0
9,2015-04-25 15:04,Chicago Wildfire,53,O,0,2,Offense,Catch,Danny Hunt,Pete Carr,,,Austin Lien,Liam Shramko,Danny Hunt,Neal Hanke,Carlos Wolle,Danny Collom,Pete Carr,,,,,,,,,,,,,,,,,,,,,,130,,,,,,,,,,,Minnesota Wind Chill,AUDL 2015,"Austin Lien, Liam Shramko, Danny Hunt, Neal Hanke, Carlos Wolle, Danny Collom, Pete Carr",1,1,2,1.0
10,2015-04-25 15:04,Chicago Wildfire,53,O,0,2,Offense,Stall,Pete Carr,,,,Austin Lien,Liam Shramko,Danny Hunt,Neal Hanke,Carlos Wolle,Danny Collom,Pete Carr,,,,,,,,,,,,,,,,,,,,,,142,,,,,,,,,,,Minnesota Wind Chill,AUDL 2015,"Austin Lien, Liam Shramko, Danny Hunt, Neal Hanke, Carlos Wolle, Danny Collom, Pete Carr",1,1,2,1.0
