,Date/Time,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Elapsed Time (secs),Begin Area,Begin X,Begin Y,End Area,End X,End Y,Distance Unit of Measure,Absolute Distance,Lateral Distance,Toward Our Goal Distance,Teamname,Tournament,Lineup,GameID,QuarterID,PointID,PossessionID
0,2016-04-09 18:03,Detroit Mechanix,81,D,0,1,Defense,Pull,,,Johnny Bansfield,8.939,Jon DeAmicis,Johnny Bansfield,Steve Mogielski,James Highsmith,Tad Wissel,Mike Pannone,Pat Hammonds,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,Pittsburgh Thunderbirds,AUDL 2016,"Jon DeAmicis, Johnny Bansfield, Steve Mogielski, James Highsmith, Tad Wissel, Mike Pannone, Pat Hammonds",1,1,1,1.0
1,2016-04-09 18:03,Detroit Mechanix,81,D,0,1,Defense,Throwaway,,,,,Jon DeAmicis,Johnny Bansfield,Steve Mogielski,James Highsmith,Tad Wissel,Mike Pannone,Pat Hammonds,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,Pittsburgh Thunderbirds,AUDL 2016,"Jon DeAmicis, Johnny Bansfield, Steve Mogielski, James Highsmith, Tad Wissel, Mike Pannone, Pat Hammonds",1,1,1,1.0
2,2016-04-09 18:03,Detroit Mechanix,81,D,0,1,Offense,Catch,Tad Wissel,Johnny Bansfield,,,Jon DeAmicis,Johnny Bansfield,Steve Mogielski,James Highsmith,Tad Wissel,Mike Pannone,Pat Hammonds,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,Pittsburgh Thunderbirds,AUDL 2016,"Jon DeAmicis, Johnny Bansfield, Steve Mogielski, James Highsmith, Tad Wissel, Mike Pannone, Pat Hammonds",1,1,1,2.0
3,2016-04-09 18:03,Detroit Mechanix,81,D,0,1,Offense,Catch,Johnny Bansfield,Tad Wissel,,,Jon DeAmicis,Johnny Bansfield,Steve Mogielski,James Highsmith,Tad Wissel,Mike Pannone,Pat Hammonds,,,,,,,,,,,,,,,,,,,,,,49,,,,,,,,,,,Pittsburgh Thunderbirds,AUDL 2016,"Jon DeAmicis, Johnny Bansfield, Steve Mogielski, James Highsmith, Tad Wissel, Mike Pannone, Pat Hammonds",1,1,1,2.0
4,2016-04-09 18:03,Detroit Mechanix,81,D,0,1,Offense,Catch,Tad Wissel,Pat Hammonds,,,Jon DeAmicis,Johnny Bansfield,Steve Mogielski,James Highsmith,Tad Wissel,Mike Pannone,Pat Hammonds,,,,,,,,,,,,,,,,,,,,,,54,,,,,,,,,,,Pittsburgh Thunderbirds,AUDL 2016,"Jon DeAmicis, Johnny Bansfield, Steve Mogielski, James Highsmith, Tad Wissel, Mike Pannone, Pat Hammonds",1,1,1,2.0
5,2016-04-09 18:03,Detroit Mechanix,81,D,0,1,Offense,Throwaway,Pat Hammonds,,,,Jon DeAmicis,Johnny Bansfield,Steve Mogielski,James Highsmith,Tad Wissel,Mike Pannone,Pat Hammonds,,,,,,,,,,,,,,,,,,,,,,62,,,,,,,,,,,Pittsburgh Thunderbirds,AUDL 2016,"Jon DeAmicis, Johnny Bansfield, Steve Mogielski, James Highsmith, Tad Wissel, Mike Pannone, Pat Hammonds",1,1,1,2.0
6,2016-04-09 18:03,Detroit Mechanix,81,D,0,1,Defense,Goal,,,,,Jon DeAmicis,Johnny Bansfield,Steve Mogielski,James Highsmith,Tad Wissel,Mike Pannone,Pat Hammonds,,,,,,,,,,,,,,,,,,,,,,79,,,,,,,,,,,Pittsburgh Thunderbirds,AUDL 2016,"Jon DeAmicis, Johnny Bansfield, Steve Mogielski, James Highsmith, Tad Wissel, Mike Pannone, Pat Hammonds",1,1,1,3.0
7,2016-04-09 18:03,Detroit Mechanix,78,O,1,1,Offense,Catch,Alex Thorne,Austin Engel,,,Isaac Saul,Alex Thorne,Mitch Cihon,Mike Ogren,Austin Engel,David Vatz,Chris Brenenborg,,,,,,,,,,,,,,,,,,,,,,139,,,,,,,,,,,Pittsburgh Thunderbirds,AUDL 2016,"Isaac Saul, Alex Thorne, Mitch Cihon, Mike Ogren, Austin Engel, David Vatz, Chris Brenenborg",1,1,2,1.0
8,2016-04-09 18:03,Detroit Mechanix,78,O,1,1,Offense,Catch,Austin Engel,Scott Trimble,,,Isaac Saul,Alex Thorne,Mitch Cihon,Mike Ogren,Austin Engel,David Vatz,Chris Brenenborg,,,,,,,,,,,,,,,,,,,,,,148,,,,,,,,,,,Pittsburgh Thunderbirds,AUDL 2016,"Isaac Saul, Alex Thorne, Mitch Cihon, Mike Ogren, Austin Engel, David Vatz, Chris Brenenborg",1,1,2,1.0
9,2016-04-09 18:03,Detroit Mechanix,78,O,1,1,Offense,Throwaway,Scott Trimble,,,,Isaac Saul,Alex Thorne,Mitch Cihon,Mike Ogren,Austin Engel,David Vatz,Chris Brenenborg,,,,,,,,,,,,,,,,,,,,,,151,,,,,,,,,,,Pittsburgh Thunderbirds,AUDL 2016,"Isaac Saul, Alex Thorne, Mitch Cihon, Mike Ogren, Austin Engel, David Vatz, Chris Brenenborg",1,1,2,1.0
10,2016-04-09 18:03,Detroit Mechanix,78,O,1,1,Defense,D,,,Chris Brenenborg,,Isaac Saul,Alex Thorne,Mitch Cihon,Mike Ogren,Austin Engel,David Vatz,Chris Brenenborg,,,,,,,,,,,,,,,,,,,,,,199,,,,,,,,,,,Pittsburgh Thunderbirds,AUDL 2016,"Isaac Saul, Alex Thorne, Mitch Cihon, Mike Ogren, Austin Engel, David Vatz, Chris Brenenborg",1,1,2,2.0
11,2016-04-09 18:03,Detroit Mechanix,78,O,1,1,Offense,Catch,Isaac Saul,Mitch Cihon,,,Isaac Saul,Alex Thorne,Mitch Cihon,Mike Ogren,Austin Engel,David Vatz,Chris Brenenborg,,,,,,,,,,,,,,,,,,,,,,209,,,,,,,,,,,Pittsburgh Thunderbirds,AUDL 2016,"Isaac Saul, Alex Thorne, Mitch Cihon, Mike Ogren, Austin Engel, David Vatz, Chris Brenenborg",1,1,2,3.0
