,Date/Time,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Elapsed Time (secs),Begin Area,Begin X,Begin Y,End Area,End X,End Y,Distance Unit of Measure,Absolute Distance,Lateral Distance,Toward Our Goal Distance,Teamname,Tournament,Lineup,GameID,QuarterID,PointID,PossessionID
0,2017-04-01 18:06,Jacksonville Cannons,27,D,0,1,Defense,Pull,,,Phillip Dougherty,5.57,Colin Grandon,Phillip Dougherty,Patrick Lindsey,Javier Ortiz,Kyle Welch,Ben Breault,Jesse Dahms,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,Nashville NightWatch,AUDL 2017,"Colin Grandon, Phillip Dougherty, Patrick Lindsey, Javier Ortiz, Kyle Welch, Ben Breault, Jesse Dahms",1,1,1,1.0
1,2017-04-01 18:06,Jacksonville Cannons,27,D,0,1,Defense,Goal,,,,,Colin Grandon,Phillip Dougherty,Patrick Lindsey,Javier Ortiz,Kyle Welch,Ben Breault,Jesse Dahms,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,Nashville NightWatch,AUDL 2017,"Colin Grandon, Phillip Dougherty, Patrick Lindsey, Javier Ortiz, Kyle Welch, Ben Breault, Jesse Dahms",1,1,1,1.0
2,2017-04-01 18:06,Jacksonville Cannons,34,O,1,1,Offense,Catch,Patrick Dougherty,Blake Waldron,,,Tyler Conger,Patrick Dougherty,Blake Waldron,Jake Wright,Ethan Downs,Corey Hardesty,Zechariah Avello,,,,,,,,,,,,,,,,,,,,,,83,,,,,,,,,,,Nashville NightWatch,AUDL 2017,"Tyler Conger, Patrick Dougherty, Blake Waldron, Jake Wright, Ethan Downs, Corey Hardesty, Zechariah Avello",1,1,2,1.0
3,2017-04-01 18:06,Jacksonville Cannons,34,O,1,1,Offense,Catch,Blake Waldron,Corey Hardesty,,,Tyler Conger,Patrick Dougherty,Blake Waldron,Jake Wright,Ethan Downs,Corey Hardesty,Zechariah Avello,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,Nashville NightWatch,AUDL 2017,"Tyler Conger, Patrick Dougherty, Blake Waldron, Jake Wright, Ethan Downs, Corey Hardesty, Zechariah Avello",1,1,2,1.0
4,2017-04-01 18:06,Jacksonville Cannons,34,O,1,1,Offense,Catch,Corey Hardesty,Patrick Dougherty,,,Tyler Conger,Patrick Dougherty,Blake Waldron,Jake Wright,Ethan Downs,Corey Hardesty,Zechariah Avello,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,Nashville NightWatch,AUDL 2017,"Tyler Conger, Patrick Dougherty, Blake Waldron, Jake Wright, Ethan Downs, Corey Hardesty, Zechariah Avello",1,1,2,1.0
5,2017-04-01 18:06,Jacksonville Cannons,34,O,1,1,Offense,Catch,Patrick Dougherty,Tyler Conger,,,Tyler Conger,Patrick Dougherty,Blake Waldron,Jake Wright,Ethan Downs,Corey Hardesty,Zechariah Avello,,,,,,,,,,,,,,,,,,,,,,103,,,,,,,,,,,Nashville NightWatch,AUDL 2017,"Tyler Conger, Patrick Dougherty, Blake Waldron, Jake Wright, Ethan Downs, Corey Hardesty, Zechariah Avello",1,1,2,1.0
6,2017-04-01 18:06,Jacksonville Cannons,34,O,1,1,Offense,Catch,Tyler Conger,Jake Wright,,,Tyler Conger,Patrick Dougherty,Blake Waldron,Jake Wright,Ethan Downs,Corey Hardesty,Zechariah Avello,,,,,,,,,,,,,,,,,,,,,,107,,,,,,,,,,,Nashville NightWatch,AUDL 2017,"Tyler Conger, Patrick Dougherty, Blake Waldron, Jake Wright, Ethan Downs, Corey Hardesty, Zechariah Avello",1,1,2,1.0
7,2017-04-01 18:06,Jacksonville Cannons,34,O,1,1,Offense,Catch,Jake Wright,Tyler Conger,,,Tyler Conger,Patrick Dougherty,Blake Waldron,Jake Wright,Ethan Downs,Corey Hardesty,Zechariah Avello,,,,,,,,,,,,,,,,,,,,,,111,,,,,,,,,,,Nashville NightWatch,AUDL 2017,"Tyler Conger, Patrick Dougherty, Blake Waldron, Jake Wright, Ethan Downs, Corey Hardesty, Zechariah Avello",1,1,2,1.0
8,2017-04-01 18:06,Jacksonville Cannons,34,O,1,1,Offense,Goal,Tyler Conger,Ethan Downs,,,Tyler Conger,Patrick Dougherty,Blake Waldron,Jake Wright,Ethan Downs,Corey Hardesty,Zechariah Avello,,,,,,,,,,,,,,,,,,,,,,115,,,,,,,,,,,Nashville NightWatch,AUDL 2017,"Tyler Conger, Patrick Dougherty, Blake Waldron, Jake Wright, Ethan Downs, Corey Hardesty, Zechariah Avello",1,1,2,1.0
9,2017-04-01 18:06,Jacksonville Cannons,52,D,1,2,Defense,Pull,,,Phillip Dougherty,6.737,Colin Grandon,Phillip Dougherty,Patrick Lindsey,Javier Ortiz,Kyle Welch,Ben Breault,Jesse Dahms,,,,,,,,,,,,,,,,,,,,,,167,,,,,,,,,,,Nashville NightWatch,AUDL 2017,"Colin Grandon, Phillip Dougherty, Patrick Lindsey, Javier Ortiz, Kyle Welch, Ben Breault, Jesse Dahms",1,1,3,1.0
