,Date/Time,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Elapsed Time (secs),Begin Area,Begin X,Begin Y,End Area,End X,End Y,Distance Unit of Measure,Absolute Distance,Lateral Distance,Toward Our Goal Distance,Teamname,Tournament,Lineup,GameID,QuarterID,PointID,PossessionID
0,2018-04-14 19:04,Los Angeles Aviators,66,D,1,0,Defense,Pull,,,Matt Bennett,6.884,Joshua Zdrodowski,Robert Lewis,Mick Walter,Michael Matthis,Jerrod Wolfe,Matt Bennett,Andrew Walch,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,Austin Sol,AUDL 2018,"Andrew Walch, Jerrod Wolfe, Joshua Zdrodowski, Matt Bennett, Michael Matthis, Mick Walter, Robert Lewis",1,1,1,1.0
1,2018-04-14 19:04,Los Angeles Aviators,66,D,1,0,Defense,Throwaway,,,,,Joshua Zdrodowski,Robert Lewis,Mick Walter,Michael Matthis,Jerrod Wolfe,Matt Bennett,Andrew Walch,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,Austin Sol,AUDL 2018,"Andrew Walch, Jerrod Wolfe, Joshua Zdrodowski, Matt Bennett, Michael Matthis, Mick Walter, Robert Lewis",1,1,1,1.0
2,2018-04-14 19:04,Los Angeles Aviators,66,D,1,0,Offense,Catch,Robert Lewis,Michael Matthis,,,Joshua Zdrodowski,Robert Lewis,Mick Walter,Michael Matthis,Jerrod Wolfe,Matt Bennett,Andrew Walch,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,Austin Sol,AUDL 2018,"Andrew Walch, Jerrod Wolfe, Joshua Zdrodowski, Matt Bennett, Michael Matthis, Mick Walter, Robert Lewis",1,1,1,2.0
3,2018-04-14 19:04,Los Angeles Aviators,66,D,1,0,Offense,Catch,Michael Matthis,Matt Bennett,,,Joshua Zdrodowski,Robert Lewis,Mick Walter,Michael Matthis,Jerrod Wolfe,Matt Bennett,Andrew Walch,,,,,,,,,,,,,,,,,,,,,,61,,,,,,,,,,,Austin Sol,AUDL 2018,"Andrew Walch, Jerrod Wolfe, Joshua Zdrodowski, Matt Bennett, Michael Matthis, Mick Walter, Robert Lewis",1,1,1,2.0
4,2018-04-14 19:04,Los Angeles Aviators,66,D,1,0,Offense,Goal,Matt Bennett,Michael Matthis,,,Joshua Zdrodowski,Robert Lewis,Mick Walter,Michael Matthis,Jerrod Wolfe,Matt Bennett,Andrew Walch,,,,,,,,,,,,,,,,,,,,,,64,,,,,,,,,,,Austin Sol,AUDL 2018,"Andrew Walch, Jerrod Wolfe, Joshua Zdrodowski, Matt Bennett, Michael Matthis, Mick Walter, Robert Lewis",1,1,1,2.0
5,2018-04-14 19:04,Los Angeles Aviators,150,D,2,0,Defense,Pull,,,Chase Cunningham,7.083,Michael Natenberg,Max Cook,Jeff Loskorn,Ethan Pollack,Chase Cunningham,Rory Orloff,Kiran Thomas,,,,,,,,,,,,,,,,,,,,,,134,,,,,,,,,,,Austin Sol,AUDL 2018,"Chase Cunningham, Ethan Pollack, Jeff Loskorn, Kiran Thomas, Max Cook, Michael Natenberg, Rory Orloff",1,1,2,1.0
6,2018-04-14 19:04,Los Angeles Aviators,150,D,2,0,Defense,Throwaway,,,,,Michael Natenberg,Max Cook,Jeff Loskorn,Ethan Pollack,Chase Cunningham,Rory Orloff,Kiran Thomas,,,,,,,,,,,,,,,,,,,,,,146,,,,,,,,,,,Austin Sol,AUDL 2018,"Chase Cunningham, Ethan Pollack, Jeff Loskorn, Kiran Thomas, Max Cook, Michael Natenberg, Rory Orloff",1,1,2,1.0
7,2018-04-14 19:04,Los Angeles Aviators,150,D,2,0,Offense,Catch,Jeff Loskorn,Chase Cunningham,,,Michael Natenberg,Max Cook,Jeff Loskorn,Ethan Pollack,Chase Cunningham,Rory Orloff,Kiran Thomas,,,,,,,,,,,,,,,,,,,,,,161,,,,,,,,,,,Austin Sol,AUDL 2018,"Chase Cunningham, Ethan Pollack, Jeff Loskorn, Kiran Thomas, Max Cook, Michael Natenberg, Rory Orloff",1,1,2,2.0
8,2018-04-14 19:04,Los Angeles Aviators,150,D,2,0,Offense,Catch,Chase Cunningham,Ethan Pollack,,,Michael Natenberg,Max Cook,Jeff Loskorn,Ethan Pollack,Chase Cunningham,Rory Orloff,Kiran Thomas,,,,,,,,,,,,,,,,,,,,,,165,,,,,,,,,,,Austin Sol,AUDL 2018,"Chase Cunningham, Ethan Pollack, Jeff Loskorn, Kiran Thomas, Max Cook, Michael Natenberg, Rory Orloff",1,1,2,2.0
9,2018-04-14 19:04,Los Angeles Aviators,150,D,2,0,Offense,Catch,Ethan Pollack,Kiran Thomas,,,Michael Natenberg,Max Cook,Jeff Loskorn,Ethan Pollack,Chase Cunningham,Rory Orloff,Kiran Thomas,,,,,,,,,,,,,,,,,,,,,,169,,,,,,,,,,,Austin Sol,AUDL 2018,"Chase Cunningham, Ethan Pollack, Jeff Loskorn, Kiran Thomas, Max Cook, Michael Natenberg, Rory Orloff",1,1,2,2.0
10,2018-04-14 19:04,Los Angeles Aviators,150,D,2,0,Offense,Catch,Kiran Thomas,Chase Cunningham,,,Michael Natenberg,Max Cook,Jeff Loskorn,Ethan Pollack,Chase Cunningham,Rory Orloff,Kiran Thomas,,,,,,,,,,,,,,,,,,,,,,173,,,,,,,,,,,Austin Sol,AUDL 2018,"Chase Cunningham, Ethan Pollack, Jeff Loskorn, Kiran Thomas, Max Cook, Michael Natenberg, Rory Orloff",1,1,2,2.0
11,2018-04-14 19:04,Los Angeles Aviators,150,D,2,0,Offense,Catch,Chase Cunningham,Michael Natenberg,,,Michael Natenberg,Max Cook,Jeff Loskorn,Ethan Pollack,Chase Cunningham,Rory Orloff,Kiran Thomas,,,,,,,,,,,,,,,,,,,,,,177,,,,,,,,,,,Austin Sol,AUDL 2018,"Chase Cunningham, Ethan Pollack, Jeff Loskorn, Kiran Thomas, Max Cook, Michael Natenberg, Rory Orloff",1,1,2,2.0
12,2018-04-14 19:04,Los Angeles Aviators,150,D,2,0,Offense,Catch,Michael Natenberg,,,,Michael Natenberg,Max Cook,Jeff Loskorn,Ethan Pollack,Chase Cunningham,Rory Orloff,Kiran Thomas,,,,,,,,,,,,,,,,,,,,,,232,,,,,,,,,,,Austin Sol,AUDL 2018,"Chase Cunningham, Ethan Pollack, Jeff Loskorn, Kiran Thomas, Max Cook, Michael Natenberg, Rory Orloff",1,1,2,2.0
13,2018-04-14 19:04,Los Angeles Aviators,150,D,2,0,Offense,Throwaway,,,,,Michael Natenberg,Max Cook,Jeff Loskorn,Ethan Pollack,Chase Cunningham,Rory Orloff,Kiran Thomas,,,,,,,,,,,,,,,,,,,,,,236,,,,,,,,,,,Austin Sol,AUDL 2018,"Chase Cunningham, Ethan Pollack, Jeff Loskorn, Kiran Thomas, Max Cook, Michael Natenberg, Rory Orloff",1,1,2,2.0
14,2018-04-14 19:04,Los Angeles Aviators,150,D,2,0,Defense,Throwaway,,,,,Michael Natenberg,Max Cook,Jeff Loskorn,Ethan Pollack,Chase Cunningham,Rory Orloff,Kiran Thomas,,,,,,,,,,,,,,,,,,,,,,257,,,,,,,,,,,Austin Sol,AUDL 2018,"Chase Cunningham, Ethan Pollack, Jeff Loskorn, Kiran Thomas, Max Cook, Michael Natenberg, Rory Orloff",1,1,2,3.0
15,2018-04-14 19:04,Los Angeles Aviators,150,D,2,0,Offense,Catch,Rory Orloff,Ethan Pollack,,,Michael Natenberg,Max Cook,Jeff Loskorn,Ethan Pollack,Chase Cunningham,Rory Orloff,Kiran Thomas,,,,,,,,,,,,,,,,,,,,,,265,,,,,,,,,,,Austin Sol,AUDL 2018,"Chase Cunningham, Ethan Pollack, Jeff Loskorn, Kiran Thomas, Max Cook, Michael Natenberg, Rory Orloff",1,1,2,4.0
16,2018-04-14 19:04,Los Angeles Aviators,150,D,2,0,Offense,Catch,Ethan Pollack,Rory Orloff,,,Michael Natenberg,Max Cook,Jeff Loskorn,Ethan Pollack,Chase Cunningham,Rory Orloff,Kiran Thomas,,,,,,,,,,,,,,,,,,,,,,269,,,,,,,,,,,Austin Sol,AUDL 2018,"Chase Cunningham, Ethan Pollack, Jeff Loskorn, Kiran Thomas, Max Cook, Michael Natenberg, Rory Orloff",1,1,2,4.0
17,2018-04-14 19:04,Los Angeles Aviators,150,D,2,0,Offense,Catch,Rory Orloff,Chase Cunningham,,,Michael Natenberg,Max Cook,Jeff Loskorn,Ethan Pollack,Chase Cunningham,Rory Orloff,Kiran Thomas,,,,,,,,,,,,,,,,,,,,,,273,,,,,,,,,,,Austin Sol,AUDL 2018,"Chase Cunningham, Ethan Pollack, Jeff Loskorn, Kiran Thomas, Max Cook, Michael Natenberg, Rory Orloff",1,1,2,4.0
18,2018-04-14 19:04,Los Angeles Aviators,150,D,2,0,Offense,Goal,Chase Cunningham,Kiran Thomas,,,Michael Natenberg,Max Cook,Jeff Loskorn,Ethan Pollack,Chase Cunningham,Rory Orloff,Kiran Thomas,,,,,,,,,,,,,,,,,,,,,,282,,,,,,,,,,,Austin Sol,AUDL 2018,"Chase Cunningham, Ethan Pollack, Jeff Loskorn, Kiran Thomas, Max Cook, Michael Natenberg, Rory Orloff",1,1,2,4.0
19,2018-04-14 19:04,Los Angeles Aviators,6,D,2,1,Defense,Pull,,,,3.766,Ryan Purcell,Doug Richardson,Jason Holleran,Matthew Bierschenk,Matt Bennett,Elliott Moore,,,,,,,,,,,,,,,,,,,,,,,363,,,,,,,,,,,Austin Sol,AUDL 2018,"Doug Richardson, Elliott Moore, Jason Holleran, Matt Bennett, Matthew Bierschenk, Ryan Purcell",1,1,3,1.0
20,2018-04-14 19:04,Los Angeles Aviators,6,D,2,1,Defense,Goal,,,,,Ryan Purcell,Doug Richardson,Jason Holleran,Matthew Bierschenk,Matt Bennett,Elliott Moore,,,,,,,,,,,,,,,,,,,,,,,367,,,,,,,,,,,Austin Sol,AUDL 2018,"Doug Richardson, Elliott Moore, Jason Holleran, Matt Bennett, Matthew Bierschenk, Ryan Purcell",1,1,3,1.0
21,2018-04-14 19:04,Los Angeles Aviators,16,O,3,1,Offense,Catch,Max Cook,Jeff Loskorn,,,Michael Natenberg,Max Cook,Jeff Loskorn,Ethan Pollack,Chase Cunningham,Rory Orloff,Kiran Thomas,,,,,,,,,,,,,,,,,,,,,,502,,,,,,,,,,,Austin Sol,AUDL 2018,"Chase Cunningham, Ethan Pollack, Jeff Loskorn, Kiran Thomas, Max Cook, Michael Natenberg, Rory Orloff",1,1,4,1.0
22,2018-04-14 19:04,Los Angeles Aviators,16,O,3,1,Offense,Catch,Jeff Loskorn,Michael Natenberg,,,Michael Natenberg,Max Cook,Jeff Loskorn,Ethan Pollack,Chase Cunningham,Rory Orloff,Kiran Thomas,,,,,,,,,,,,,,,,,,,,,,510,,,,,,,,,,,Austin Sol,AUDL 2018,"Chase Cunningham, Ethan Pollack, Jeff Loskorn, Kiran Thomas, Max Cook, Michael Natenberg, Rory Orloff",1,1,4,1.0
23,2018-04-14 19:04,Los Angeles Aviators,16,O,3,1,Offense,Goal,Michael Natenberg,Ethan Pollack,,,Michael Natenberg,Max Cook,Jeff Loskorn,Ethan Pollack,Chase Cunningham,Rory Orloff,Kiran Thomas,,,,,,,,,,,,,,,,,,,,,,516,,,,,,,,,,,Austin Sol,AUDL 2018,"Chase Cunningham, Ethan Pollack, Jeff Loskorn, Kiran Thomas, Max Cook, Michael Natenberg, Rory Orloff",1,1,4,1.0
24,2018-04-14 19:04,Los Angeles Aviators,50,D,4,1,Defense,Pull,,,Matt Bennett,4.684,Joshua Zdrodowski,Robert Lewis,Mick Walter,Michael Matthis,Jerrod Wolfe,Matt Bennett,Andrew Walch,,,,,,,,,,,,,,,,,,,,,,592,,,,,,,,,,,Austin Sol,AUDL 2018,"Andrew Walch, Jerrod Wolfe, Joshua Zdrodowski, Matt Bennett, Michael Matthis, Mick Walter, Robert Lewis",1,1,5,1.0
