,Date/Time,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Elapsed Time (secs),Begin Area,Begin X,Begin Y,End Area,End X,End Y,Distance Unit of Measure,Absolute Distance,Lateral Distance,Toward Our Goal Distance,Teamname,Tournament,Lineup,GameID,QuarterID,PointID,PossessionID
0,2018-04-07 18:00,Minnesota Wind Chill,64,D,0,1,Defense,Pull,,,Derek Mourad,3.291,Peter Geertz-Larson,Derek Mourad,Marc Munoz,Henry Schneider,Dennis Casio,Manuel Eckert,John Quandt,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,Seattle Cascades,AUDL 2018,"Dennis Casio, Derek Mourad, Henry Schneider, John Quandt, Manuel Eckert, Marc Munoz, Peter Geertz-Larson",1,1,1,1.0
1,2018-04-07 18:00,Minnesota Wind Chill,64,D,0,1,Defense,D,,,Peter Geertz-Larson,,Peter Geertz-Larson,Derek Mourad,Marc Munoz,Henry Schneider,Dennis Casio,Manuel Eckert,John Quandt,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,Seattle Cascades,AUDL 2018,"Dennis Casio, Derek Mourad, Henry Schneider, John Quandt, Manuel Eckert, Marc Munoz, Peter Geertz-Larson",1,1,1,1.0
2,2018-04-07 18:00,Minnesota Wind Chill,64,D,0,1,Offense,Catch,Dennis Casio,Derek Mourad,,,Peter Geertz-Larson,Derek Mourad,Marc Munoz,Henry Schneider,Dennis Casio,Manuel Eckert,John Quandt,,,,,,,,,,,,,,,,,,,,,,39,,,,,,,,,,,Seattle Cascades,AUDL 2018,"Dennis Casio, Derek Mourad, Henry Schneider, John Quandt, Manuel Eckert, Marc Munoz, Peter Geertz-Larson",1,1,1,2.0
3,2018-04-07 18:00,Minnesota Wind Chill,64,D,0,1,Offense,Catch,Derek Mourad,Peter Geertz-Larson,,,Peter Geertz-Larson,Derek Mourad,Marc Munoz,Henry Schneider,Dennis Casio,Manuel Eckert,John Quandt,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,Seattle Cascades,AUDL 2018,"Dennis Casio, Derek Mourad, Henry Schneider, John Quandt, Manuel Eckert, Marc Munoz, Peter Geertz-Larson",1,1,1,2.0
4,2018-04-07 18:00,Minnesota Wind Chill,64,D,0,1,Offense,Throwaway,Peter Geertz-Larson,,,,Peter Geertz-Larson,Derek Mourad,Marc Munoz,Henry Schneider,Dennis Casio,Manuel Eckert,John Quandt,,,,,,,,,,,,,,,,,,,,,,49,,,,,,,,,,,Seattle Cascades,AUDL 2018,"Dennis Casio, Derek Mourad, Henry Schneider, John Quandt, Manuel Eckert, Marc Munoz, Peter Geertz-Larson",1,1,1,2.0
5,2018-04-07 18:00,Minnesota Wind Chill,64,D,0,1,Defense,Goal,,,,,Peter Geertz-Larson,Derek Mourad,Marc Munoz,Henry Schneider,Dennis Casio,Manuel Eckert,John Quandt,,,,,,,,,,,,,,,,,,,,,,62,,,,,,,,,,,Seattle Cascades,AUDL 2018,"Dennis Casio, Derek Mourad, Henry Schneider, John Quandt, Manuel Eckert, Marc Munoz, Peter Geertz-Larson",1,1,1,3.0
6,2018-04-07 18:00,Minnesota Wind Chill,30,O,1,1,Offense,Catch,Eddie Harmoush,Mark Burton,,,Reed Hendrickson,Brad Houser,Eddie Harmoush,Alex Duffel,Cam Bailey,Mark Burton,William Coffin,,,,,,,,,,,,,,,,,,,,,,124,,,,,,,,,,,Seattle Cascades,AUDL 2018,"Alex Duffel, Brad Houser, Cam Bailey, Eddie Harmoush, Mark Burton, Reed Hendrickson, William Coffin",1,1,2,1.0
7,2018-04-07 18:00,Minnesota Wind Chill,30,O,1,1,Offense,Catch,Mark Burton,Alex Duffel,,,Reed Hendrickson,Brad Houser,Eddie Harmoush,Alex Duffel,Cam Bailey,Mark Burton,William Coffin,,,,,,,,,,,,,,,,,,,,,,132,,,,,,,,,,,Seattle Cascades,AUDL 2018,"Alex Duffel, Brad Houser, Cam Bailey, Eddie Harmoush, Mark Burton, Reed Hendrickson, William Coffin",1,1,2,1.0
8,2018-04-07 18:00,Minnesota Wind Chill,30,O,1,1,Offense,Catch,Alex Duffel,Mark Burton,,,Reed Hendrickson,Brad Houser,Eddie Harmoush,Alex Duffel,Cam Bailey,Mark Burton,William Coffin,,,,,,,,,,,,,,,,,,,,,,136,,,,,,,,,,,Seattle Cascades,AUDL 2018,"Alex Duffel, Brad Houser, Cam Bailey, Eddie Harmoush, Mark Burton, Reed Hendrickson, William Coffin",1,1,2,1.0
9,2018-04-07 18:00,Minnesota Wind Chill,30,O,1,1,Offense,Catch,Mark Burton,Brad Houser,,,Reed Hendrickson,Brad Houser,Eddie Harmoush,Alex Duffel,Cam Bailey,Mark Burton,William Coffin,,,,,,,,,,,,,,,,,,,,,,140,,,,,,,,,,,Seattle Cascades,AUDL 2018,"Alex Duffel, Brad Houser, Cam Bailey, Eddie Harmoush, Mark Burton, Reed Hendrickson, William Coffin",1,1,2,1.0
10,2018-04-07 18:00,Minnesota Wind Chill,30,O,1,1,Offense,Catch,Brad Houser,Reed Hendrickson,,,Reed Hendrickson,Brad Houser,Eddie Harmoush,Alex Duffel,Cam Bailey,Mark Burton,William Coffin,,,,,,,,,,,,,,,,,,,,,,144,,,,,,,,,,,Seattle Cascades,AUDL 2018,"Alex Duffel, Brad Houser, Cam Bailey, Eddie Harmoush, Mark Burton, Reed Hendrickson, William Coffin",1,1,2,1.0
11,2018-04-07 18:00,Minnesota Wind Chill,30,O,1,1,Offense,Catch,Reed Hendrickson,Mark Burton,,,Reed Hendrickson,Brad Houser,Eddie Harmoush,Alex Duffel,Cam Bailey,Mark Burton,William Coffin,,,,,,,,,,,,,,,,,,,,,,148,,,,,,,,,,,Seattle Cascades,AUDL 2018,"Alex Duffel, Brad Houser, Cam Bailey, Eddie Harmoush, Mark Burton, Reed Hendrickson, William Coffin",1,1,2,1.0
12,2018-04-07 18:00,Minnesota Wind Chill,30,O,1,1,Offense,Goal,Mark Burton,Reed Hendrickson,,,Reed Hendrickson,Brad Houser,Eddie Harmoush,Alex Duffel,Cam Bailey,Mark Burton,William Coffin,,,,,,,,,,,,,,,,,,,,,,152,,,,,,,,,,,Seattle Cascades,AUDL 2018,"Alex Duffel, Brad Houser, Cam Bailey, Eddie Harmoush, Mark Burton, Reed Hendrickson, William Coffin",1,1,2,1.0
13,2018-04-07 18:00,Minnesota Wind Chill,20,D,1,2,Defense,Pull,,,Derek Mourad,5.412,Nick Mahan,Derek Mourad,Marc Munoz,Xtehn Titcomb,Dennis Casio,John Doherty,Shane Worthington,,,,,,,,,,,,,,,,,,,,,,268,,,,,,,,,,,Seattle Cascades,AUDL 2018,"Dennis Casio, Derek Mourad, John Doherty, Marc Munoz, Nick Mahan, Shane Worthington, Xtehn Titcomb",1,1,3,1.0
14,2018-04-07 18:00,Minnesota Wind Chill,20,D,1,2,Defense,Goal,,,,,Nick Mahan,Derek Mourad,Marc Munoz,Xtehn Titcomb,Dennis Casio,John Doherty,Shane Worthington,,,,,,,,,,,,,,,,,,,,,,286,,,,,,,,,,,Seattle Cascades,AUDL 2018,"Dennis Casio, Derek Mourad, John Doherty, Marc Munoz, Nick Mahan, Shane Worthington, Xtehn Titcomb",1,1,3,1.0
15,2018-04-07 18:00,Minnesota Wind Chill,91,O,2,2,Offense,Catch,Mark Burton,Alex Duffel,,,Reed Hendrickson,Brad Houser,Eddie Harmoush,Alex Duffel,Cam Bailey,Mark Burton,William Coffin,,,,,,,,,,,,,,,,,,,,,,334,,,,,,,,,,,Seattle Cascades,AUDL 2018,"Alex Duffel, Brad Houser, Cam Bailey, Eddie Harmoush, Mark Burton, Reed Hendrickson, William Coffin",1,1,4,1.0
16,2018-04-07 18:00,Minnesota Wind Chill,91,O,2,2,Offense,Catch,Alex Duffel,Mark Burton,,,Reed Hendrickson,Brad Houser,Eddie Harmoush,Alex Duffel,Cam Bailey,Mark Burton,William Coffin,,,,,,,,,,,,,,,,,,,,,,343,,,,,,,,,,,Seattle Cascades,AUDL 2018,"Alex Duffel, Brad Houser, Cam Bailey, Eddie Harmoush, Mark Burton, Reed Hendrickson, William Coffin",1,1,4,1.0
17,2018-04-07 18:00,Minnesota Wind Chill,91,O,2,2,Offense,Catch,Mark Burton,Eddie Harmoush,,,Reed Hendrickson,Brad Houser,Eddie Harmoush,Alex Duffel,Cam Bailey,Mark Burton,William Coffin,,,,,,,,,,,,,,,,,,,,,,372,,,,,,,,,,,Seattle Cascades,AUDL 2018,"Alex Duffel, Brad Houser, Cam Bailey, Eddie Harmoush, Mark Burton, Reed Hendrickson, William Coffin",1,1,4,1.0
18,2018-04-07 18:00,Minnesota Wind Chill,91,O,2,2,Offense,Catch,Eddie Harmoush,Alex Duffel,,,Reed Hendrickson,Brad Houser,Eddie Harmoush,Alex Duffel,Cam Bailey,Mark Burton,William Coffin,,,,,,,,,,,,,,,,,,,,,,376,,,,,,,,,,,Seattle Cascades,AUDL 2018,"Alex Duffel, Brad Houser, Cam Bailey, Eddie Harmoush, Mark Burton, Reed Hendrickson, William Coffin",1,1,4,1.0
19,2018-04-07 18:00,Minnesota Wind Chill,91,O,2,2,Offense,Catch,Alex Duffel,Eddie Harmoush,,,Reed Hendrickson,Brad Houser,Eddie Harmoush,Alex Duffel,Cam Bailey,Mark Burton,William Coffin,,,,,,,,,,,,,,,,,,,,,,380,,,,,,,,,,,Seattle Cascades,AUDL 2018,"Alex Duffel, Brad Houser, Cam Bailey, Eddie Harmoush, Mark Burton, Reed Hendrickson, William Coffin",1,1,4,1.0
20,2018-04-07 18:00,Minnesota Wind Chill,91,O,2,2,Offense,Throwaway,Eddie Harmoush,,,,Reed Hendrickson,Brad Houser,Eddie Harmoush,Alex Duffel,Cam Bailey,Mark Burton,William Coffin,,,,,,,,,,,,,,,,,,,,,,384,,,,,,,,,,,Seattle Cascades,AUDL 2018,"Alex Duffel, Brad Houser, Cam Bailey, Eddie Harmoush, Mark Burton, Reed Hendrickson, William Coffin",1,1,4,1.0
21,2018-04-07 18:00,Minnesota Wind Chill,91,O,2,2,Defense,Throwaway,,,,,Reed Hendrickson,Brad Houser,Eddie Harmoush,Alex Duffel,Cam Bailey,Mark Burton,William Coffin,,,,,,,,,,,,,,,,,,,,,,398,,,,,,,,,,,Seattle Cascades,AUDL 2018,"Alex Duffel, Brad Houser, Cam Bailey, Eddie Harmoush, Mark Burton, Reed Hendrickson, William Coffin",1,1,4,2.0
22,2018-04-07 18:00,Minnesota Wind Chill,91,O,2,2,Offense,Catch,Mark Burton,Eddie Harmoush,,,Reed Hendrickson,Brad Houser,Eddie Harmoush,Alex Duffel,Cam Bailey,Mark Burton,William Coffin,,,,,,,,,,,,,,,,,,,,,,409,,,,,,,,,,,Seattle Cascades,AUDL 2018,"Alex Duffel, Brad Houser, Cam Bailey, Eddie Harmoush, Mark Burton, Reed Hendrickson, William Coffin",1,1,4,3.0
23,2018-04-07 18:00,Minnesota Wind Chill,91,O,2,2,Offense,Catch,Eddie Harmoush,Mark Burton,,,Reed Hendrickson,Brad Houser,Eddie Harmoush,Alex Duffel,Cam Bailey,Mark Burton,William Coffin,,,,,,,,,,,,,,,,,,,,,,413,,,,,,,,,,,Seattle Cascades,AUDL 2018,"Alex Duffel, Brad Houser, Cam Bailey, Eddie Harmoush, Mark Burton, Reed Hendrickson, William Coffin",1,1,4,3.0
24,2018-04-07 18:00,Minnesota Wind Chill,91,O,2,2,Offense,Goal,Mark Burton,Cam Bailey,,,Reed Hendrickson,Brad Houser,Eddie Harmoush,Alex Duffel,Cam Bailey,Mark Burton,William Coffin,,,,,,,,,,,,,,,,,,,,,,423,,,,,,,,,,,Seattle Cascades,AUDL 2018,"Alex Duffel, Brad Houser, Cam Bailey, Eddie Harmoush, Mark Burton, Reed Hendrickson, William Coffin",1,1,4,3.0
25,2018-04-07 18:00,Minnesota Wind Chill,96,D,2,3,Defense,Pull,,,Derek Mourad,5.463,Nick Mahan,Derek Mourad,Xtehn Titcomb,Dennis Casio,John Doherty,Manuel Eckert,John Quandt,,,,,,,,,,,,,,,,,,,,,,483,,,,,,,,,,,Seattle Cascades,AUDL 2018,"Dennis Casio, Derek Mourad, John Doherty, John Quandt, Manuel Eckert, Nick Mahan, Xtehn Titcomb",1,1,5,1.0
26,2018-04-07 18:00,Minnesota Wind Chill,96,D,2,3,Defense,D,,,Nick Mahan,,Nick Mahan,Derek Mourad,Xtehn Titcomb,Dennis Casio,John Doherty,Manuel Eckert,John Quandt,,,,,,,,,,,,,,,,,,,,,,511,,,,,,,,,,,Seattle Cascades,AUDL 2018,"Dennis Casio, Derek Mourad, John Doherty, John Quandt, Manuel Eckert, Nick Mahan, Xtehn Titcomb",1,1,5,1.0
27,2018-04-07 18:00,Minnesota Wind Chill,96,D,2,3,Offense,Catch,Xtehn Titcomb,Manuel Eckert,,,Nick Mahan,Derek Mourad,Xtehn Titcomb,Dennis Casio,John Doherty,Manuel Eckert,John Quandt,,,,,,,,,,,,,,,,,,,,,,529,,,,,,,,,,,Seattle Cascades,AUDL 2018,"Dennis Casio, Derek Mourad, John Doherty, John Quandt, Manuel Eckert, Nick Mahan, Xtehn Titcomb",1,1,5,2.0
28,2018-04-07 18:00,Minnesota Wind Chill,96,D,2,3,Offense,Catch,Manuel Eckert,Derek Mourad,,,Nick Mahan,Derek Mourad,Xtehn Titcomb,Dennis Casio,John Doherty,Manuel Eckert,John Quandt,,,,,,,,,,,,,,,,,,,,,,532,,,,,,,,,,,Seattle Cascades,AUDL 2018,"Dennis Casio, Derek Mourad, John Doherty, John Quandt, Manuel Eckert, Nick Mahan, Xtehn Titcomb",1,1,5,2.0
29,2018-04-07 18:00,Minnesota Wind Chill,96,D,2,3,Offense,Catch,Derek Mourad,Manuel Eckert,,,Nick Mahan,Derek Mourad,Xtehn Titcomb,Dennis Casio,John Doherty,Manuel Eckert,John Quandt,,,,,,,,,,,,,,,,,,,,,,539,,,,,,,,,,,Seattle Cascades,AUDL 2018,"Dennis Casio, Derek Mourad, John Doherty, John Quandt, Manuel Eckert, Nick Mahan, Xtehn Titcomb",1,1,5,2.0
