Teamname,Year,Games Played,Name,Opp Possessions Played (Defense),Opp Possessions Played (Offense),Points Lost,Points Lost (Defense),Points Lost (Offense),Points Played,Points Played (Defense),Points Played (Offense),Points Won,Points Won (Defense),Points Won (Offense),Possessions Played,Possessions Played (Defense),Possessions Played (Offense),Quarters Played,Goals,Goals (Offense),Goals (Defense),Catches,Drops,Assists,Assists (Offense),Assists (Defense),Hockey Assists,Hockey Assists (Offense),Hockey Assists (Defense),Throws,Completions,Throwaways,Throws Dropped,Throws Recorded with Yardage,Fouls Drawn,Stalls,Blocks,Blocks (Offense),Blocks (Defense),Callahans,Pulls,Pulls (Out-of-bounds),Pulls Recorded with Yardage,Pulls (Inbounds) Recorded with Yardage,Throwing Yards,Lateral Throwing Yards,Forward Throwing Yards,Pull Yards,Pull Yards (Inbounds),Completion Percentage,Catches Per Goals,Throws Per Assist,Throwaway Percentage,Drop Percentage,Yards Per Throw,Yards Per Pull,Yards Per Pull (Inbounds)
Atlanta Hustle,AUDL 2015,10,Jay Clark,43,100,59,14,45,205,30,175,137,14,123,256,227,227,39,26.0,25.0,1.0,267.0,5.0,19.0,16.0,3.0,22.0,20.0,2.0,247.0,224.0,19.0,4.0,0.0,0.0,0.0,8.0,7.0,1.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.68825910931174,10.26923076923077,13.0,0.07692307692307693,0.01838235294117647,0.0,0.0,0.0
Atlanta Hustle,AUDL 2015,9,Blake Hannah,139,55,81,55,26,173,93,80,79,29,50,184,107,107,35,15.0,12.0,3.0,142.0,3.0,15.0,12.0,3.0,12.0,7.0,5.0,140.0,120.0,14.0,4.0,0.0,1.0,1.0,8.0,2.0,6.0,0.0,29.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.71428571428571,9.466666666666667,9.333333333333334,0.1,0.020689655172413793,0.0,0.0,0.0
Atlanta Hustle,AUDL 2015,11,Brian Moore,41,116,64,14,50,266,31,235,183,14,169,324,298,298,44,25.0,23.0,2.0,218.0,3.0,21.0,20.0,1.0,24.0,22.0,2.0,203.0,191.0,9.0,3.0,0.0,0.0,0.0,4.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.08866995073892,8.72,9.666666666666666,0.04433497536945813,0.013574660633484163,0.0,0.0,0.0
Atlanta Hustle,AUDL 2015,14,Matt Smith,160,129,128,67,61,386,112,274,236,38,198,426,338,338,56,67.0,57.0,10.0,403.0,6.0,30.0,19.0,11.0,32.0,26.0,6.0,386.0,368.0,13.0,4.0,0.0,1.0,0.0,15.0,4.0,11.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.33678756476684,6.014925373134329,12.866666666666667,0.03367875647668394,0.014669926650366748,0.0,0.0,0.0
Atlanta Hustle,AUDL 2015,11,Dylan Tunnell,34,111,53,7,46,246,22,224,175,12,163,312,287,287,44,14.0,13.0,1.0,314.0,1.0,48.0,44.0,4.0,19.0,16.0,3.0,416.0,377.0,31.0,6.0,0.0,1.0,1.0,8.0,7.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.625,22.428571428571427,8.666666666666666,0.07451923076923077,0.0031746031746031746,0.0,0.0,0.0
Atlanta Hustle,AUDL 2015,14,Kyle Stapleton,50,133,68,11,57,315,34,281,228,21,207,392,353,353,56,15.0,13.0,2.0,374.0,1.0,29.0,25.0,4.0,40.0,35.0,5.0,525.0,503.0,20.0,2.0,0.0,0.0,0.0,8.0,7.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.80952380952381,24.933333333333334,18.103448275862068,0.0380952380952381,0.0026666666666666666,0.0,0.0,0.0
Atlanta Hustle,AUDL 2015,10,Frank Wooten,99,28,49,39,10,110,64,46,50,16,34,116,63,63,37,5.0,5.0,0.0,46.0,1.0,4.0,2.0,2.0,3.0,3.0,0.0,64.0,60.0,4.0,0.0,0.0,0.0,0.0,8.0,1.0,7.0,0.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.75,9.2,16.0,0.0625,0.02127659574468085,0.0,0.0,0.0
Atlanta Hustle,AUDL 2015,12,Ryan Archibald,250,28,129,116,13,209,187,22,69,60,9,163,37,37,49,10.0,1.0,9.0,53.0,1.0,11.0,2.0,9.0,7.0,1.0,6.0,46.0,42.0,3.0,1.0,0.0,0.0,0.0,8.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.30434782608695,5.3,4.181818181818182,0.06521739130434782,0.018518518518518517,0.0,0.0,0.0
Atlanta Hustle,AUDL 2015,3,Byron Liu,61,18,37,30,7,69,47,22,29,15,14,61,32,32,12,2.0,1.0,1.0,43.0,0.0,6.0,4.0,2.0,1.0,0.0,1.0,53.0,51.0,2.0,0.0,0.0,0.0,0.0,5.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.22641509433963,21.5,8.833333333333334,0.03773584905660377,0.0,0.0,0.0,0.0
Atlanta Hustle,AUDL 2015,9,Jack Krieger,143,30,88,76,12,144,112,32,52,33,19,114,49,49,36,8.0,3.0,5.0,70.0,1.0,3.0,2.0,1.0,7.0,1.0,6.0,63.0,58.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.06349206349206,8.75,21.0,0.06349206349206349,0.014084507042253521,0.0,0.0,0.0
