,Year,Name,Teamname,Goals,Catches,Drops,Assists,Throws,Completions,Throwaways,Throws Dropped,Throws Recorded with Yardage,Fouls Against,Stalls,Blocks,Callahans,Pulls,Pulls (Out-of-bounds),Pulls Recorded with Yardage,Pulls (Inbounds) Recorded with Yardage,Throwing Yards,Lateral Throwing Yards,Forward Throwing Yards,Pull Yards,Pull Yards (Inbounds),Completion Percentage,Catches Per Goals,Throws Per Assist,Throwaway Percentage,Drop Percentage,Yards Per Throw,Yards Per Pull,Yards Per Pull (Inbounds)
0,AUDL 2014,AJ Jacoski,DC Breeze,21.0,99.0,2.0,8.0,83.0,72.0,8.0,2.0,0.0,0.0,1.0,10.0,0.0,33.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.74698795180723,4.714285714285714,10.375,0.0963855421686747,0.019801980198019802,0.0,0.0,0.0
1,AUDL 2014,AJ Nelson,Chicago Wildfire,49.0,309.0,4.0,23.0,265.0,243.0,15.0,7.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.69811320754717,6.3061224489795915,11.521739130434783,0.05660377358490566,0.012779552715654952,0.0,0.0,0.0
3,AUDL 2014,Aaron Del Real,Detroit Mechanix,20.0,135.0,7.0,18.0,120.0,103.0,12.0,5.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.83333333333333,6.75,6.666666666666667,0.1,0.04929577464788732,0.0,0.0,0.0
5,AUDL 2014,Adam Bronstein,Seattle Raptors,9.0,277.0,0.0,12.0,337.0,314.0,19.0,4.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.17507418397626,30.77777777777778,28.083333333333332,0.05637982195845697,0.0,0.0,0.0,0.0
6,AUDL 2014,Adam Drews,Madison Radicals,7.0,221.0,3.0,18.0,296.0,271.0,20.0,3.0,0.0,2.0,0.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.55405405405406,31.571428571428573,16.444444444444443,0.06756756756756757,0.013392857142857142,0.0,0.0,0.0
7,AUDL 2014,Adam Raty,San Francisco FlameThrowers,13.0,134.0,3.0,11.0,155.0,134.0,17.0,3.0,0.0,0.0,1.0,9.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.45161290322581,10.307692307692308,14.090909090909092,0.10967741935483871,0.021897810218978103,0.0,0.0,0.0
8,AUDL 2014,Adlai Felser,Seattle Raptors,2.0,199.0,3.0,14.0,264.0,235.0,26.0,3.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.01515151515152,99.5,18.857142857142858,0.09848484848484848,0.01485148514851485,0.0,0.0,0.0
10,AUDL 2014,Adrian Yearwood,Toronto Rush,8.0,204.0,1.0,13.0,267.0,252.0,13.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.3820224719101,25.5,20.53846153846154,0.04868913857677903,0.004878048780487805,0.0,0.0,0.0
13,AUDL 2014,Alex Baker,Minnesota Wind Chill,4.0,92.0,1.0,7.0,137.0,126.0,9.0,2.0,0.0,0.0,0.0,8.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.97080291970804,23.0,19.571428571428573,0.06569343065693431,0.010752688172043012,0.0,0.0,0.0
14,AUDL 2014,Alex Bertoia,Detroit Mechanix,2.0,59.0,1.0,1.0,65.0,57.0,6.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.6923076923077,29.5,65.0,0.09230769230769231,0.016666666666666666,0.0,0.0,0.0
15,AUDL 2014,Alex Drlica-Wagner,Chicago Wildfire,9.0,59.0,0.0,3.0,55.0,51.0,4.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.72727272727272,6.555555555555555,18.333333333333332,0.07272727272727272,0.0,0.0,0.0,0.0
16,AUDL 2014,Alex E,San Francisco FlameThrowers,9.0,90.0,4.0,8.0,84.0,74.0,7.0,2.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.09523809523809,10.0,10.5,0.08333333333333333,0.0425531914893617,0.0,0.0,0.0
18,AUDL 2014,Alex Thorne,DC Breeze,9.0,289.0,3.0,28.0,329.0,298.0,24.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.5775075987842,32.111111111111114,11.75,0.0729483282674772,0.010273972602739725,0.0,0.0,0.0
19,AUDL 2014,Anatoly Vasilyev,Toronto Rush,11.0,205.0,0.0,30.0,261.0,241.0,18.0,2.0,0.0,0.0,0.0,14.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.33716475095785,18.636363636363637,8.7,0.06896551724137931,0.0,0.0,0.0,0.0
20,AUDL 2014,Andrew Brown,Madison Radicals,7.0,388.0,2.0,27.0,461.0,442.0,11.0,7.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.87852494577007,55.42857142857143,17.074074074074073,0.02386117136659436,0.005128205128205128,0.0,0.0,0.0
21,AUDL 2014,Andrew Hagen,San Francisco FlameThrowers,6.0,56.0,3.0,4.0,61.0,53.0,6.0,1.0,0.0,1.0,0.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.88524590163934,9.333333333333334,15.25,0.09836065573770492,0.05084745762711865,0.0,0.0,0.0
23,AUDL 2014,Andrew Lucarotti,Detroit Mechanix,5.0,229.0,3.0,19.0,322.0,282.0,28.0,12.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.5776397515528,45.8,16.94736842105263,0.08695652173913043,0.01293103448275862,0.0,0.0,0.0
24,AUDL 2014,Andrew Lynch,Seattle Raptors,9.0,339.0,2.0,15.0,439.0,408.0,23.0,8.0,0.0,0.0,0.0,7.0,0.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.9384965831435,37.666666666666664,29.266666666666666,0.05239179954441914,0.005865102639296188,0.0,0.0,0.0
