player,team,year,honor,,,
Travis Dunn,SD,2018,All-AUDL 1st Team,,,
Jay Froude,DAL,2018,All-AUDL 1st Team,,,
Rick Gross,IND,2018,All-AUDL 1st Team,,,
Ben Jagt,NY,2018,All-AUDL 1st Team,,,
Pawel Janas,CHI,2018,All-AUDL 1st Team,,,
Rowan McDonnell,DC,2018,All-AUDL 1st Team,,,
Sean McDougall,LA,2018,All-AUDL 1st Team,,,
Mark Burton,SEA,2018,All-AUDL 2nd Team,,,
Peter Graffy,MAD,2018,All-AUDL 2nd Team,,,
Josh Klane,MIN,2018,All-AUDL 2nd Team,,,
Sean Mott,PHI,2018,All-AUDL 2nd Team,,,
Jon Nethercutt,RAL,2018,All-AUDL 2nd Team,,,
Kevin Pettit-Scantling,MAD,2018,All-AUDL 2nd Team,,,
Jack Williams,RAL,2018,All-AUDL 2nd Team,,,
,,2018,All-Defense Team,,,
,,2018,All-Defense Team,,,
,,2018,All-Defense Team,,,
,,2018,All-Defense Team,,,
,,2018,All-Defense Team,,,
,,2018,All-Defense Team,,,
,,2018,All-Defense Team,,,
,,2018,All-East Division,,,
,,2018,All-East Division,,,
,,2018,All-East Division,,,
,,2018,All-East Division,,,
,,2018,All-East Division,,,
,,2018,All-East Division,,,
,,2018,All-East Division,,,
,,2018,All Midwest Division,,,
,,2018,All Midwest Division,,,
,,2018,All Midwest Division,,,
,,2018,All Midwest Division,,,
,,2018,All Midwest Division,,,
,,2018,All Midwest Division,,,
,,2018,All Midwest Division,,,
,,2018,All South Division,,,
,,2018,All South Division,,,
,,2018,All South Division,,,
,,2018,All South Division,,,
,,2018,All South Division,,,
,,2018,All South Division,,,
,,2018,All South Division,,,
,,2018,All West Division,,,
,,2018,All West Division,,,
,,2018,All West Division,,,
,,2018,All West Division,,,
,,2018,All West Division,,,
,,2018,All West Division,,,
,,2018,All West Division,,,
Pawel Janas,CHI,2017,All-AUDL 1st Team,,,
Jay Froude,DAL,2017,All-AUDL 1st Team,,,
Bobby Ley,JAX,2017,All-AUDL 1st Team,,,
Jeff Babbitt,NY,2017,All-AUDL 1st Team,,,
Jonathan Nethercutt,RAL,2017,All-AUDL 1st Team,,,
Cassidy Rasmussen,SF,2017,All-AUDL 1st Team,,,
Mark Burton,SEA,2017,All-AUDL 1st Team,,,
Dylan Freechild,DAL,2017,All-AUDL 2nd Team,,,
Rick Gross,IND,2017,All-AUDL 2nd Team,,,
Jeremy Langdon,JAX,2017,All-AUDL 2nd Team,,,
Ryan Osgar,MIN,2017,All-AUDL 2nd Team,,,
Quentin Bonnaud,MTL,2017,All-AUDL 2nd Team,,,
Justin Norden,SJ,2017,All-AUDL 2nd Team,,,
Cam Harris,TOR,2017,All-AUDL 2nd Team,,,
Jay Froude,DAL,2017,All-Defense Team,,,
Mischa Freystaetter,JAX,2017,All-Defense Team,,,
Peter Graffy,MAD,2017,All-Defense Team,,,
Kevin Pettit-Scantling,MAD,2017,All-Defense Team,,,
Jeff Babbitt,NY,2017,All-Defense Team,,,
Anson Reppermund,PIT,2017,All-Defense Team,,,
Steven Milardovich,SD,2017,All-Defense Team,,,
Rowan McDonnell,DC,2017,All-East Division,,,
Tyler Monroe,DC,2017,All-East Division,,,
Quentin Bonnaud,MTL,2017,All-East Division,,,
Jeff Babbitt,NY,2017,All-East Division,,,
Sean Mott,PHI,2017,All-East Division,,,
Andrew Carroll,TOR,2017,All-East Division,,,
Cam Harris,TOR,2017,All-East Division,,,
Pawel Janas,CHI,2017,All Midwest Division,,,
Travis Carpenter,IND,2017,All Midwest Division,,,
Rick Gross,IND,2017,All Midwest Division,,,
Peter Graffy,MAD,2017,All Midwest Division,,,
Kevin Pettit-Scantling,MAD,2017,All Midwest Division,,,
Ryan Osgar,MIN,2017,All Midwest Division,,,
Max Thorne,PIT,2017,All Midwest Division,,,
Matt Smith,ATL,2017,All South Division,,,
Dylan Freechild,DAL,2017,All South Division,,,
Jay Froude,DAL,2017,All South Division,,,
Jeremy Langdon,JAX,2017,All South Division,,,
Bobby Ley,JAX,2017,All South Division,,,
Justin Allen,RAL,2017,All South Division,,,
Jonathan Nethercutt,RAL,2017,All South Division,,,
Tim Beatty,LA,2017,All West Division,,,
Antoine Davis,SF,2017,All West Division,,,
Cassidy Rasmussen,SF,2017,All West Division,,,
Marcelo Sanchez,SF,2017,All West Division,,,
Justin Norden,SJ,2017,All West Division,,,
Jackson Stearns,SJ,2017,All West Division,,,
Mark Burton,SEA,2017,All West Division,,,
Mischa Freystaetter,JAX,2016,All-AUDL 1st Team,,,
Mark Burton,SEA,2016,All-AUDL 1st Team,,,
Dylan Tunnell,ATL,2016,All-AUDL 1st Team,,,
Peter Graffy,MAD,2016,All-AUDL 1st Team,,,
Jimmy Mickle,DAL,2016,All-AUDL 1st Team,,,
Mark Elbogen,LA,2016,All-AUDL 1st Team,,,
Ryan Drost,NY,2016,All-AUDL 1st Team,,,
Jeff Wodatch,DC,2016,All-AUDL 2nd Team,,,
Cole Sullivan,JAX,2016,All-AUDL 2nd Team,,,
Greg Cohen,SF,2016,All-AUDL 2nd Team,,,
Kevin Quinlan,MTL,2016,All-AUDL 2nd Team,,,
Matt Jackson,DAL,2016,All-AUDL 2nd Team,,,
Jeff Loskorn,AUS,2016,All-AUDL 2nd Team,,,
Matt Smith,ATL,2016,All-AUDL 2nd Team,,,
Peter Graffy,MAD,2016,All-Defense Team,,,
Anson Reppermund,PIT,2016,All-Defense Team,,,
Ryan Drost,NY,2016,All-Defense Team,,,
Matt Jackson,DAL,2016,All-Defense Team,,,
Dan Emmons,DAL,2016,All-Defense Team,,,
Michael Matthis,AUS,2016,All-Defense Team,,,
Jeffery Silverman,LA,2016,All-Defense Team,,,
Justin Allen,ÊRaleigh Flyers,2015,All-AUDL 1st Team,,,
Tyler DeGirolamo,ÊPittsburgh Thunderbirds,2015,All-AUDL 1st Team,,,
Mischa Freystaetter,ÊJacksonville Cannons,2015,All-AUDL 1st Team,,,
Beau Kittredge,ÊSan Jose Spiders,2015,All-AUDL 1st Team,,,
Isaiah Masek-Kelly,ÊToronto Rush,2015,All-AUDL 1st Team,,,
Brett Matzuka,ÊChicago Wildfire,2015,All-AUDL 1st Team,,,
Jimmy Mickle,ÊSan Diego Growlers,2015,All-AUDL 1st Team,,,
Kevin Underhill,ÊVancouver Riptide,2015,All-AUDL 2nd Team,,,
Keenan Plew,ÊIndianapolis AlleyCats,2015,All-AUDL 2nd Team,,,
Andrew Meshnick,ÊMadison Radicals,2015,All-AUDL 2nd Team,,,
Marcelo Sanchez,ÊSan Jose Spiders,2015,All-AUDL 2nd Team,,,
Derek Alexander,ÊOttawa Outlaws,2015,All-AUDL 2nd Team,,,
Simon Higgins,ÊSan Jose Spiders,2015,All-AUDL 2nd Team,,,
Yoland Cabot,ÊMontreal Royal,2015,All-AUDL 2nd Team,,,
Isaiah Masek-Kelly,ÊToronto Rush,2015,East Team,,,
Derek Alexander,ÊOttawa Outlaws,2015,East Team,,,
Ryan Drost,ÊNew York Empire,2015,East Team,,,
