,Away Team,Away Team Score,Date Location,Home Team,Home Team Score,Matchup Link,Year,Date,Time,City,Week,UniversalGameID
0,Raleigh Flyers,17,"Fri, 4/5 7:30 PM CDT Dallas",Dallas Roughnecks,19,/league/game/2019-04-05-RAL-DAL,2019,2019-04-05,7:30 PM CDT,Dallas,1,0
1,Raleigh Flyers,22,"Sat, 4/6 6:00 PM CDT Austin",Austin Sol,18,/league/game/2019-04-06-RAL-AUS,2019,2019-04-06,6:00 PM CDT,Austin,1,1
2,San Jose Spiders,28,"Sat, 4/6 6:30 PM PDT Seattle",Seattle Cascades,27,/league/game/2019-04-06-SJ-SEA,2019,2019-04-06,6:30 PM PDT,Seattle,1,2
3,Los Angeles Aviators,18,"Sat, 4/6 6:45 PM PDT San Diego",San Diego Growlers,20,/league/game/2019-04-06-LA-SD,2019,2019-04-06,6:45 PM PDT,San Diego,1,3
4,Atlanta Hustle,17,"Sat, 4/6 7:05 PM EDT Tampa Bay",Tampa Bay Cannons,18,/league/game/2019-04-06-ATL-TB,2019,2019-04-06,7:05 PM EDT,Tampa Bay,1,4
5,San Jose Spiders,18,"Fri, 4/12 7:30 PM PDT LA",Los Angeles Aviators,22,/league/game/2019-04-12-SJ-LA,2019,2019-04-12,7:30 PM PDT,LA,2,5
6,DC Breeze,18,"Sat, 4/13 6:00 PM EDT New York",New York Empire,21,/league/game/2019-04-13-DC-NY,2019,2019-04-13,6:00 PM EDT,New York,2,6
7,Dallas Roughnecks,17,"Sat, 4/13 6:00 PM CDT Austin",Austin Sol,19,/league/game/2019-04-13-DAL-AUS,2019,2019-04-13,6:00 PM CDT,Austin,2,7
8,San Jose Spiders,24,"Sat, 4/13 6:45 PM PDT San Diego",San Diego Growlers,25,/league/game/2019-04-13-SJ-SD,2019,2019-04-13,6:45 PM PDT,San Diego,2,8
9,Raleigh Flyers,24,"Sat, 4/13 7:00 PM EDT Atlanta",Atlanta Hustle,21,/league/game/2019-04-13-RAL-ATL,2019,2019-04-13,7:00 PM EDT,Atlanta,2,9
10,Madison Radicals,22,"Sun, 4/14 6:00 PM EDT Indianapolis",Indianapolis AlleyCats,20,/league/game/2019-04-14-MAD-IND,2019,2019-04-14,6:00 PM EDT,Indianapolis,2,10
11,Atlanta Hustle,14,"Sat, 4/20 7:05 PM EDT Tampa Bay",Tampa Bay Cannons,17,/league/game/2019-04-20-ATL-TB,2019,2019-04-20,7:05 PM EDT,Tampa Bay,3,18
12,San Diego Growlers,21,"Sat, 4/20 7:00 PM PDT San Jose",San Jose Spiders,16,/league/game/2019-04-20-SD-SJ,2019,2019-04-20,7:00 PM PDT,San Jose,3,17
13,Detroit Mechanix,22,"Sat, 4/20 7:00 PM EDT Indianapolis",Indianapolis AlleyCats,26,/league/game/2019-04-20-DET-IND,2019,2019-04-20,7:00 PM EDT,Indianapolis,3,16
14,Austin Sol,17,"Sat, 4/20 7:00 PM CDT Dallas",Dallas Roughnecks,21,/league/game/2019-04-20-AUS-DAL,2019,2019-04-20,7:00 PM CDT,Dallas,3,15
15,Chicago Wildfire,26,"Sat, 4/20 6:00 PM CDT Minnesota",Minnesota Wind Chill,25,/league/game/2019-04-20-CHI-MIN,2019,2019-04-20,6:00 PM CDT,Minnesota,3,14
16,Pittsburgh Thunderbirds,17,"Sat, 4/20 6:00 PM CDT Madison",Madison Radicals,26,/league/game/2019-04-20-PIT-MAD,2019,2019-04-20,6:00 PM CDT,Madison,3,13
17,Los Angeles Aviators,24,"Sat, 4/20 6:00 PM PDT Seattle",Seattle Cascades,20,/league/game/2019-04-20-LA-SEA,2019,2019-04-20,6:00 PM PDT,Seattle,3,12
18,Philadelphia Phoenix,18,"Sat, 4/20 4:00 PM EDT DC",DC Breeze,20,/league/game/2019-04-20-PHI-DC,2019,2019-04-20,4:00 PM EDT,DC,3,11
19,Seattle Cascades,18,"Fri, 4/26 7:00 PM PDT San Diego",San Diego Growlers,20,/league/game/2019-04-26-SEA-SD,2019,2019-04-26,7:00 PM PDT,San Diego,4,19
20,Toronto Rush,19,"Sat, 4/27 2:00 PM EDT Ottawa",Ottawa Outlaws,13,/league/game/2019-04-27-TOR-OTT,2019,2019-04-27,2:00 PM EDT,Ottawa,4,20
21,Indianapolis AlleyCats,19,"Sat, 4/27 5:45 PM EDT Detroit",Detroit Mechanix,16,/league/game/2019-04-27-IND-DET,2019,2019-04-27,5:45 PM EDT,Detroit,4,21
22,Pittsburgh Thunderbirds,22,"Sat, 4/27 6:00 PM CDT Minnesota",Minnesota Wind Chill,25,/league/game/2019-04-27-PIT-MIN,2019,2019-04-27,6:00 PM CDT,Minnesota,4,22
23,New York Empire,25,"Sat, 4/27 6:00 PM EDT Philadelphia",Philadelphia Phoenix,16,/league/game/2019-04-27-NY-PHI,2019,2019-04-27,6:00 PM EDT,Philadelphia,4,23
24,Raleigh Flyers,21,"Sat, 4/27 7:00 PM EDT Atlanta",Atlanta Hustle,15,/league/game/2019-04-27-RAL-ATL,2019,2019-04-27,7:00 PM EDT,Atlanta,4,24
25,Seattle Cascades,19,"Sat, 4/27 7:30 PM PDT LA",Los Angeles Aviators,25,/league/game/2019-04-27-SEA-LA,2019,2019-04-27,7:30 PM PDT,LA,4,25
26,Montreal Royal,19,"Sun, 4/28 2:00 PM EDT New York",New York Empire,23,/league/game/2019-04-28-MTL-NY,2019,2019-04-28,2:00 PM EDT,New York,4,26
27,Los Angeles Aviators,25,"Sat, 5/4 7:00 PM PDT San Jose",San Jose Spiders,16,/league/game/2019-05-04-LA-SJ,2019,2019-05-04,7:00 PM PDT,San Jose,5,33
28,San Diego Growlers,21,"Sat, 5/4 6:30 PM PDT Seattle",Seattle Cascades,25,/league/game/2019-05-04-SD-SEA,2019,2019-05-04,6:30 PM PDT,Seattle,5,32
29,Indianapolis AlleyCats,19,"Sat, 5/4 6:00 PM EDT Pittsburgh",Pittsburgh Thunderbirds,16,/league/game/2019-05-04-IND-PIT,2019,2019-05-04,6:00 PM EDT,Pittsburgh,5,31
30,Ottawa Outlaws,15,"Sat, 5/4 6:00 PM EDT DC",DC Breeze,24,/league/game/2019-05-04-OTT-DC,2019,2019-05-04,6:00 PM EDT,DC,5,30
31,Minnesota Wind Chill,17,"Sat, 5/4 6:00 PM CDT Chicago",Chicago Wildfire,23,/league/game/2019-05-04-MIN-CHI,2019,2019-05-04,6:00 PM CDT,Chicago,5,29
32,Austin Sol,19,"Sat, 5/4 5:00 PM EDT Atlanta",Atlanta Hustle,23,/league/game/2019-05-04-AUS-ATL,2019,2019-05-04,5:00 PM EDT,Atlanta,5,28
33,Montreal Royal,16,"Sat, 5/4 4:00 PM EDT Toronto",Toronto Rush,21,/league/game/2019-05-04-MTL-TOR,2019,2019-05-04,4:00 PM EDT,Toronto,5,27
34,Minnesota Wind Chill,31,"Sun, 5/5 1:00 PM EDT Detroit",Detroit Mechanix,22,/league/game/2019-05-05-MIN-DET,2019,2019-05-05,1:00 PM EDT,Detroit,5,34
35,Austin Sol,18,"Sun, 5/5 1:00 PM EDT Raleigh",Raleigh Flyers,23,/league/game/2019-05-05-AUS-RAL,2019,2019-05-05,1:00 PM EDT,Raleigh,5,35
