,Teamname,Name,FirstName,LastName
0,Atlanta Hustle,Daniel Sperling,Daniel,Sperling
1,Atlanta Hustle,Will Lindquist,Will,Lindquist
2,Atlanta Hustle,Austin Taylor,Austin,Taylor
3,Atlanta Hustle,Matthew Knowles,Matthew,Knowles
4,Atlanta Hustle,Player Pierce,Player,Pierce
5,Atlanta Hustle,Brett Hulsmeyer,Brett,Hulsmeyer
6,Atlanta Hustle,Zack Avello,Zack,Avello
7,Atlanta Hustle,Christian Olsen,Christian,Olsen
8,Atlanta Hustle,Javier Ortiz,Javier,Ortiz
9,Atlanta Hustle,Kelvin Williams,Kelvin,Williams
10,Atlanta Hustle,Matt Smith,Matt,Smith
11,Atlanta Hustle,Carter Rae,Carter,Rae
12,Atlanta Hustle,Taylor Minch,Taylor,Minch
13,Atlanta Hustle,Hayden Austin-Knab,Hayden,Austin-Knab
14,Atlanta Hustle,Josh Bush,Josh,Bush
15,Atlanta Hustle,Alex Trautman,Alex,Trautman
16,Atlanta Hustle,Paul Lally,Paul,Lally
17,Atlanta Hustle,Sun Choi,Sun,Choi
18,Atlanta Hustle,Joel Wooten,Joel,Wooten
19,Atlanta Hustle,Karl Ekwurtzel,Karl,Ekwurtzel
20,Atlanta Hustle,Josh Turner,Josh,Turner
21,Atlanta Hustle,Devon Rogers,Devon,Rogers
22,Atlanta Hustle,Jason Crowe,Jason,Crowe
23,Atlanta Hustle,Eli Jaime,Eli,Jaime
24,Atlanta Hustle,David Petmecky,David,Petmecky
25,Atlanta Hustle,Sam Batson,Sam,Batson
26,Atlanta Hustle,Trenton Spinks,Trenton,Spinks
27,Atlanta Hustle,Mac McClellan,Mac,McClellan
28,Austin Sol,Mitchell Bennett,Mitchell,Bennett
29,Austin Sol,John Cecil,John,Cecil
30,Austin Sol,Matt Bennett,Matt,Bennett
31,Austin Sol,Michael Matthis,Michael,Matthis
32,Austin Sol,Reese Bowman,Reese,Bowman
33,Austin Sol,Jeff Loskorn,Jeff,Loskorn
34,Austin Sol,Eric Brodbeck,Eric,Brodbeck
35,Austin Sol,Jason Holleran,Jason,Holleran
36,Austin Sol,Matthew Bierschenk,Matthew,Bierschenk
37,Austin Sol,Joshua Zdrodowski,Joshua,Zdrodowski
38,Austin Sol,Corey Mika,Corey,Mika
39,Austin Sol,Jimmy Zuraw,Jimmy,Zuraw
40,Austin Sol,Andrew Walch,Andrew,Walch
41,Austin Sol,Carter Hollo,Carter,Hollo
42,Austin Sol,Jerrod Wolfe,Jerrod,Wolfe
43,Austin Sol,Mason Wuensch,Mason,Wuensch
44,Austin Sol,Derek Fan,Derek,Fan
45,Austin Sol,Mutahir Ahmad,Mutahir,Ahmad
46,Austin Sol,Ethan Pollack,Ethan,Pollack
47,Austin Sol,Chase Cunningham,Chase,Cunningham
48,Austin Sol,Elliott Moore,Elliott,Moore
49,Austin Sol,Keivaun Waugh,Keivaun,Waugh
50,Austin Sol,Kyle Henke,Kyle,Henke
51,Austin Sol,Rory Orloff,Rory,Orloff
52,Austin Sol,Brian Gfroerer,Brian,Gfroerer
53,Austin Sol,Mick Walter,Mick,Walter
54,Austin Sol,Brandon Dial,Brandon,Dial
55,Austin Sol,Mike Cramer,Mike,Cramer
56,Austin Sol,Austin Walker,Austin,Walker
57,Austin Sol,Zachary Cotter,Zachary,Cotter
58,Austin Sol,Paul Starkel,Paul,Starkel
59,Austin Sol,Ryan Purcell,Ryan,Purcell
60,Austin Sol,Doug Richardson,Doug,Richardson
61,Austin Sol,Robert Lewis,Robert,Lewis
62,Chicago Wildfire,Jesse Johnson,Jesse,Johnson
63,Chicago Wildfire,Kurt Gibson,Kurt,Gibson
64,Chicago Wildfire,Michael Egan,Michael,Egan
65,Chicago Wildfire,Seth Weaver,Seth,Weaver
66,Chicago Wildfire,Brad Bolliger,Brad,Bolliger
67,Chicago Wildfire,Matt Rehder,Matt,Rehder
68,Chicago Wildfire,David Woods,David,Woods
69,Chicago Wildfire,Jesse White,Jesse,White
70,Chicago Wildfire,Jeff Weis,Jeff,Weis
71,Chicago Wildfire,Von Alanguilan,Von,Alanguilan
72,Chicago Wildfire,Nate Goff,Nate,Goff
73,Chicago Wildfire,Jeremy Burril,Jeremy,Burril
74,Chicago Wildfire,Judah Newman,Judah,Newman
75,Chicago Wildfire,Drew Swanson,Drew,Swanson
76,Chicago Wildfire,Tommy Gallagher,Tommy,Gallagher
77,Chicago Wildfire,Jack Shanahan,Jack,Shanahan
78,Chicago Wildfire,Joey Kennedy,Joey,Kennedy
79,Chicago Wildfire,Nick Zeman,Nick,Zeman
80,Chicago Wildfire,Cal Tornabene,Cal,Tornabene
81,Chicago Wildfire,David Meinecke,David,Meinecke
82,Chicago Wildfire,Alex Rummelhart,Alex,Rummelhart
83,Chicago Wildfire,Michael Pardo,Michael,Pardo
84,Chicago Wildfire,Ross Barker,Ross,Barker
85,Chicago Wildfire,Zane Rankin,Zane,Rankin
86,Chicago Wildfire,Karl Kingma,Karl,Kingma
87,Chicago Wildfire,Dan Miller,Dan,Miller
88,Chicago Wildfire,Tim Fergus,Tim,Fergus
89,Chicago Wildfire,James Sykora,James,Sykora
90,Chicago Wildfire,Brenton Hard,Brenton,Hard
91,Chicago Wildfire,Pawel Janas,Pawel,Janas
92,Chicago Wildfire,Jason Vallee,Jason,Vallee
93,Chicago Wildfire,Zubair Abdulla,Zubair,Abdulla
94,Chicago Wildfire,CJ O'Brien,CJ,O'Brien
95,Chicago Wildfire,Charlie Furse,Charlie,Furse
96,Dallas Roughnecks,Brandon Malecek,Brandon,Malecek
97,Dallas Roughnecks,Griffin Miller,Griffin,Miller
98,Dallas Roughnecks,Kaplan Maurer,Kaplan,Maurer
99,Dallas Roughnecks,Matt Jackson,Matt,Jackson
100,Dallas Roughnecks,Sam Ward,Sam,Ward
101,Dallas Roughnecks,Jay Froude,Jay,Froude
102,Dallas Roughnecks,Jake Reinhardt,Jake,Reinhardt
103,Dallas Roughnecks,Ben Lewis,Ben,Lewis
104,Dallas Roughnecks,Abe Coffin,Abe,Coffin
105,Dallas Roughnecks,Joel Clutton,Joel,Clutton
106,Dallas Roughnecks,Alex Brouwer,Alex,Brouwer
107,Dallas Roughnecks,Dillon Larberg,Dillon,Larberg
108,Dallas Roughnecks,Dalton Smith,Dalton,Smith
109,Dallas Roughnecks,Stephen Poulos,Stephen,Poulos
110,Dallas Roughnecks,Abe Gambert,Abe,Gambert
111,Dallas Roughnecks,Chris Larberg,Chris,Larberg
112,Dallas Roughnecks,Daniel Emmons,Daniel,Emmons
113,Dallas Roughnecks,Kevin Richardson,Kevin,Richardson
114,Dallas Roughnecks,Casey Hogg,Casey,Hogg
115,Dallas Roughnecks,Zach Riggins,Zach,Riggins
116,Dallas Roughnecks,Connor Olson,Connor,Olson
117,Dallas Roughnecks,Wesley Miaw,Wesley,Miaw
118,Dallas Roughnecks,Connor Ughetta,Connor,Ughetta
119,Dallas Roughnecks,Carson Wilder,Carson,Wilder
120,Dallas Roughnecks,Noah Chambers,Noah,Chambers
121,Dallas Roughnecks,Thomas Slack,Thomas,Slack
122,Dallas Roughnecks,Kai Marshall,Kai,Marshall
123,Dallas Roughnecks,Henry Furuta,Henry,Furuta
124,Dallas Roughnecks,Brian Street,Brian,Street
125,Dallas Roughnecks,Jonathan Costello,Jonathan,Costello
126,Dallas Roughnecks,Matthew Armour,Matthew,Armour
127,Dallas Roughnecks,Zach Marbach,Zach,Marbach
128,Dallas Roughnecks,Ben Rogers,Ben,Rogers
129,Dallas Roughnecks,David Hammer,David,Hammer
130,DC Breeze,Jarrod Banks,Jarrod,Banks
131,DC Breeze,Alexandre Fall,Alexandre,Fall
132,DC Breeze,Kris Harrison,Kris,Harrison
133,DC Breeze,Houston Parks,Houston,Parks
134,DC Breeze,AJ Merriman,AJ,Merriman
135,DC Breeze,Dane Warner,Dane,Warner
136,DC Breeze,Matt Cullom,Matt,Cullom
137,DC Breeze,John Walden,John,Walden
138,DC Breeze,Kenta Kawaguchi,Kenta,Kawaguchi
139,DC Breeze,Zach Norrbom,Zach,Norrbom
140,DC Breeze,Joe Richards,Joe,Richards
141,DC Breeze,Garrett Braun,Garrett,Braun
142,DC Breeze,Dennis Maclaine,Dennis,Maclaine
143,DC Breeze,Cole Sullivan,Cole,Sullivan
144,DC Breeze,Kyle Vezina,Kyle,Vezina
