,Away Team,Away Team Score,Date Location,Home Team,Home Team Score,Matchup Link,Year,Date,Time,City,Week,UniversalGameID
0,Indianapolis AlleyCats,21,"Sat, 4/14 7:00 PM CDT Columbus",Columbus Cranes,22,/league/game/2012-04-14-IND-CLB,2012,2012-04-14,7:00 PM CDT,Columbus,1,0
1,Rochester Dragons,14,"Sat, 4/14 7:00 PM CDT Philadelphia",Philadelphia Spinners,26,/league/game/2012-04-14-ROC-PHS,2012,2012-04-14,7:00 PM CDT,Philadelphia,1,1
2,Detroit Mechanix,17,"Sat, 4/14 7:00 PM CDT Cincinnati",Cincinnati Revolution,19,/league/game/2012-04-14-DET-CIN,2012,2012-04-14,7:00 PM CDT,Cincinnati,1,2
3,Connecticut Constitution,29,"Sat, 4/14 7:00 PM CDT Rhode Island",Rhode Island Rampage,23,/league/game/2012-04-14-CON-RIR,2012,2012-04-14,7:00 PM CDT,Rhode Island,1,3
4,Rhode Island Rampage,22,"Sat, 4/21 7:00 PM CDT Columbus",Columbus Cranes,19,/league/game/2012-04-21-RIR-CLB,2012,2012-04-21,7:00 PM CDT,Columbus,2,4
5,Cincinnati Revolution,20,"Sat, 4/21 7:00 PM CDT Indianapolis",Indianapolis AlleyCats,18,/league/game/2012-04-21-CIN-IND,2012,2012-04-21,7:00 PM CDT,Indianapolis,2,5
6,Connecticut Constitution,16,"Sat, 4/21 7:00 PM CDT Philadelphia",Philadelphia Spinners,22,/league/game/2012-04-21-CON-PHS,2012,2012-04-21,7:00 PM CDT,Philadelphia,2,6
7,Rhode Island Rampage,26,"Sun, 4/22 7:00 PM CDT Detroit",Detroit Mechanix,24,/league/game/2012-04-22-RIR-DET,2012,2012-04-22,7:00 PM CDT,Detroit,2,7
8,Columbus Cranes,8,"Sat, 4/28 7:00 PM CDT Cincinnati",Cincinnati Revolution,12,/league/game/2012-04-28-CLB-CIN,2012,2012-04-28,7:00 PM CDT,Cincinnati,3,9
9,Philadelphia Spinners,30,"Sat, 4/28 7:00 PM CDT Rhode Island",Rhode Island Rampage,22,/league/game/2012-04-28-PHS-RIR,2012,2012-04-28,7:00 PM CDT,Rhode Island,3,8
10,Rochester Dragons,22,"Sun, 4/29 7:00 PM CDT Detroit",Detroit Mechanix,26,/league/game/2012-04-29-ROC-DET,2012,2012-04-29,7:00 PM CDT,Detroit,3,10
11,Detroit Mechanix,13,"Sat, 5/5 7:00 PM CDT Indianapolis",Indianapolis AlleyCats,22,/league/game/2012-05-05-DET-IND,2012,2012-05-05,7:00 PM CDT,Indianapolis,4,11
12,Philadelphia Spinners,23,"Sat, 5/5 7:00 PM CDT Connecticut",Connecticut Constitution,29,/league/game/2012-05-05-PHS-CON,2012,2012-05-05,7:00 PM CDT,Connecticut,4,12
13,Rochester Dragons,19,"Sat, 5/5 7:00 PM CDT Rhode Island",Rhode Island Rampage,20,/league/game/2012-05-05-ROC-RIR,2012,2012-05-05,7:00 PM CDT,Rhode Island,4,13
14,Detroit Mechanix,20,"Sun, 5/6 7:00 PM CDT Columbus",Columbus Cranes,26,/league/game/2012-05-06-DET-CLB,2012,2012-05-06,7:00 PM CDT,Columbus,4,14
15,Cincinnati Revolution,19,"Sat, 5/12 7:00 PM CDT Detroit",Detroit Mechanix,21,/league/game/2012-05-12-CIN-DET,2012,2012-05-12,7:00 PM CDT,Detroit,5,18
16,Rhode Island Rampage,18,"Sat, 5/12 7:00 PM CDT Philadelphia",Philadelphia Spinners,24,/league/game/2012-05-12-RIR-PHS,2012,2012-05-12,7:00 PM CDT,Philadelphia,5,17
17,Indianapolis AlleyCats,29,"Sat, 5/12 7:00 PM CDT Columbus",Columbus Cranes,37,/league/game/2012-05-12-IND-CLB,2012,2012-05-12,7:00 PM CDT,Columbus,5,16
18,Rochester Dragons,15,"Sat, 5/12 7:00 PM CDT Connecticut",Connecticut Constitution,30,/league/game/2012-05-12-ROC-CON,2012,2012-05-12,7:00 PM CDT,Connecticut,5,15
19,Detroit Mechanix,18,"Sat, 5/19 7:00 PM CDT Indianapolis",Indianapolis AlleyCats,20,/league/game/2012-05-19-DET-IND,2012,2012-05-19,7:00 PM CDT,Indianapolis,6,19
20,Rhode Island Rampage,20,"Sat, 5/19 7:00 PM CDT Connecticut",Connecticut Constitution,22,/league/game/2012-05-19-RIR-CON,2012,2012-05-19,7:00 PM CDT,Connecticut,6,20
21,Rhode Island Rampage,23,"Sun, 5/20 7:00 PM CDT Rochester",Rochester Dragons,21,/league/game/2012-05-20-RIR-ROC,2012,2012-05-20,7:00 PM CDT,Rochester,6,21
22,Indianapolis AlleyCats,19,"Sun, 5/20 7:00 PM CDT Cincinnati",Cincinnati Revolution,18,/league/game/2012-05-20-IND-CIN,2012,2012-05-20,7:00 PM CDT,Cincinnati,6,22
