year,team,player
2019,Atlanta Soul,A Smith
2019,Atlanta Soul,Angela Lin
2019,Atlanta Soul,Anraya Palmer
2019,Atlanta Soul,Caroline Taylor
2019,Atlanta Soul,Cate Woodhurst
2019,Atlanta Soul,Emily Karoblis
2019,Atlanta Soul,Erynn Schroeder
2019,Atlanta Soul,Evelina Pierce
2019,Atlanta Soul,Goose
2019,Atlanta Soul,India Stubbs
2019,Atlanta Soul,Jaime Estes
2019,Atlanta Soul,Jin Mi Matsunaga
2019,Atlanta Soul,Julia Gregory
2019,Atlanta Soul,Katelyn Travaglini
2019,Atlanta Soul,Katherine Yost
2019,Atlanta Soul,Katie Franchot
2019,Atlanta Soul,Kayla Emrick
2019,Atlanta Soul,Leah Tsinajinnie
2019,Atlanta Soul,Lisa Fitton
2019,Atlanta Soul,Lizzie Jones
2019,Atlanta Soul,Maddy Frey
2019,Atlanta Soul,Marie Perivier
2019,Atlanta Soul,Marissa Hicks
2019,Atlanta Soul,Megan Reeves
2019,Atlanta Soul,Michelle Yang
2019,Atlanta Soul,Mo McCamley
2019,Atlanta Soul,Ollie Peterson
2019,Atlanta Soul,Paula Seville
2019,Atlanta Soul,Robyn Fennig
2019,Atlanta Soul,Sam Hill
2019,Atlanta Soul,Sam Stovall-Jones
2019,Atlanta Soul,Sammie Daugherty
2019,Atlanta Soul,Shanye Crawford
2019,Austin Torch,Amy Broome
2019,Austin Torch,Anastasia Foster
2019,Austin Torch,Andrea Esparza
2019,Austin Torch,Annie Ortiz
2019,Austin Torch,Ashley Shelor
2019,Austin Torch,Bethani Eberhart
2019,Austin Torch,Bex Forth
2019,Austin Torch,Cara Crouch
2019,Austin Torch,Dani Runzo
2019,Austin Torch,Elise Bjork
2019,Austin Torch,Elise Franke
2019,Austin Torch,Jenna Bigbie
2019,Austin Torch,Julia Schmaltz
2019,Austin Torch,Katey Forth
2019,Austin Torch,Katie Metzler
2019,Austin Torch,Kayla Ramirez
2019,Austin Torch,Laura Gerencser
2019,Austin Torch,Lilly White
2019,Austin Torch,Marissa Land
2019,Austin Torch,Rachel Yeager
2019,Austin Torch,Sharon Tsao
2019,Austin Torch,Shereen Rabie
2019,Austin Torch,Skye Fernandez
2019,Austin Torch,Sydney Overman
2019,Austin Torch,Tiffany Schumacher
2019,Austin Torch,Tina Woodings
2019,Austin Torch,Valerie Pinillos
2019,Columbus Pride,Alaine Wetli
2019,Columbus Pride,Annelise Peters
2019,Columbus Pride,Caitlin Duffner
2019,Columbus Pride,Cara Sieber
2019,Columbus Pride,Champ
2019,Columbus Pride,Chloe Lim
2019,Columbus Pride,Corinn Pruitt
2019,Columbus Pride,Elizabeth Lehman
2019,Columbus Pride,Emily Barrett
2019,Columbus Pride,Iris Javersak
2019,Columbus Pride,Jackie Matonis
2019,Columbus Pride,Jenny Perry
2019,Columbus Pride,JT
2019,Columbus Pride,Kelsey Kuzmic
2019,Columbus Pride,Libby
2019,Columbus Pride,Maddie Fleming
2019,Columbus Pride,Maddie Pletzke
2019,Columbus Pride,Mallory Griffith
2019,Columbus Pride,Martha Gregory
2019,Columbus Pride,Mary Turner
2019,Columbus Pride,Monica
2019,Columbus Pride,Monica Tournoux
2019,Columbus Pride,Rufus
2019,Columbus Pride,Sab
2019,Columbus Pride,Sadie Jezierski
2019,Columbus Pride,Shakes
2019,Columbus Pride,Sharon Yee
2019,Columbus Pride,Sophie Knowles
2019,Columbus Pride,Stevie Miller
2019,Columbus Pride,Tico
2019,Columbus Pride,Tiffany Lim
2019,Columbus Pride,Tina LiBassi
2019,Columbus Pride,Zoe Hecht
2019,Indy Red,Ashley Farnkopf
2019,Indy Red,Austin Prucha
2019,Indy Red,Briana Harrison
2019,Indy Red,Brittany Winner
2019,Indy Red,Brittney Ballard
2019,Indy Red,Catherine Soto
2019,Indy Red,Charlette Woolard
2019,Indy Red,Claire Schwaba
2019,Indy Red,Emily Nadler
2019,Indy Red,Jackie Lai
2019,Indy Red,Jamie Smets
2019,Indy Red,Jen Golan
2019,Indy Red,Kate McInerney
2019,Indy Red,Kelly Kerker
2019,Indy Red,Kelsey Gibboney
2019,Indy Red,Kristen Kaweck
2019,Indy Red,Kristin Baxter
2019,Indy Red,Kristin Dudley
2019,Indy Red,Lauren Boyle
2019,Indy Red,Lena Goren
2019,Indy Red,Liz Gates
2019,Indy Red,Nichole Kwee
2019,Indy Red,Phebe Kemmer
2019,Indy Red,Sammi Wong
2019,Indy Red,Sydney Olund
2019,Medellin Revolution,Alejandra Torres
2019,Medellin Revolution,Alejandra Uribe
2019,Medellin Revolution,Ana Rojas
2019,Medellin Revolution,Calise Cardenas
2019,Medellin Revolution,Carolina Arcila
2019,Medellin Revolution,Carolina Londono
2019,Medellin Revolution,Claire Chastain
2019,Medellin Revolution,Daniela Florez
2019,Medellin Revolution,E Carvaj
2019,Medellin Revolution,Elizabeth Mosquera
2019,Medellin Revolution,Gabby Jiminez
2019,Medellin Revolution,Kaela Helton
2019,Medellin Revolution,Laura Arango
2019,Medellin Revolution,Laura Ospina
2019,Medellin Revolution,Manuela Cardenas
2019,Medellin Revolution,Maria Angelica Forero
2019,Medellin Revolution,Maria Paola Santos
2019,Medellin Revolution,Roxana Gonzalez
2019,Medellin Revolution,Valentina Gomez
2019,Medellin Revolution,Valeria Cardenas
2019,Medellin Revolution,Ximena Montana
2019,Medellin Revolution,Yina Cartegena
2019,Medellin Revolution,Yoan
2019,Nashville Nightshade,Abbey Hewitt
2019,Nashville Nightshade,Alyssa Raspa
2019,Nashville Nightshade,Amy Schlabach
2019,Nashville Nightshade,Brielle Le Clear
2019,Nashville Nightshade,Catherine Spencer
2019,Nashville Nightshade,Claire Bidigare-Curtis
2019,Nashville Nightshade,Colleen Wright
2019,Nashville Nightshade,Eliza Hutchings
2019,Nashville Nightshade,Ellen Yu
2019,Nashville Nightshade,Ginger Price
2019,Nashville Nightshade,Julia Hill
2019,Nashville Nightshade,Julianne L. Crockett
2019,Nashville Nightshade,Kayla Ferguson
2019,Nashville Nightshade,Kelsey Foster
2019,Nashville Nightshade,Lauren Bryant
2019,Nashville Nightshade,Liz Barnes
2019,Nashville Nightshade,Maggie Dayton
2019,Nashville Nightshade,Mariana Rodriguez
2019,Nashville Nightshade,Meaghan Creamer
2019,Nashville Nightshade,Melanie Lindsey
2019,Nashville Nightshade,Mia Letterie
2019,Nashville Nightshade,Nettie Stanfield
2019,Nashville Nightshade,Noel Holmes
2019,Nashville Nightshade,Nora Kern
2019,Nashville Nightshade,Rachael Freedman
2019,Nashville Nightshade,Sierra Rimmer
2019,Nashville Nightshade,Sofia Lima
2019,Nashville Nightshade,Stephenie Wang
2019,New York Gridlock,Abbey Newsome
2019,New York Gridlock,Amy Zhou
2019,New York Gridlock,Andrea DeSabato
2019,New York Gridlock,Becca Tucker
2019,New York Gridlock,Brittany Kaplan
2019,New York Gridlock,Cassie Wong
2019,New York Gridlock,Chelsea Leeder
2019,New York Gridlock,Genny De Jesus
2019,New York Gridlock,Judy Jarvis
2019,New York Gridlock,Kelly Hyland
2019,New York Gridlock,Kristie Kelly
2019,New York Gridlock,Lauren Doyle
2019,New York Gridlock,Lauren Piontek
2019,New York Gridlock,Lauren Woods
2019,New York Gridlock,Linda Morse
2019,New York Gridlock,Lindsay McKenna
2019,New York Gridlock,Luisa Neves
2019,New York Gridlock,Nastasia Tangherlini
2019,New York Gridlock,Nikki Hair
2019,New York Gridlock,Sarah Johnson
2019,New York Gridlock,Sydney Dobkin
2019,New York Gridlock,Tricia Smit
2019,New York Gridlock,Tulsa Douglas
2019,New York Gridlock,Veronica Kolegue-Spalaris
2019,New York Gridlock,Wei Gao
2019,Raleigh Radiance,Alix Robbins
2019,Raleigh Radiance,Amanda Murphy
2019,Raleigh Radiance,Anne Worth
2019,Raleigh Radiance,Ashley Powell
2019,Raleigh Radiance,Becky Widmayer
2019,Raleigh Radiance,Bridget Mizener
2019,Raleigh Radiance,Carmen Tormey
2019,Raleigh Radiance,Christine Bookhout
2019,Raleigh Radiance,CJ Bunch
2019,Raleigh Radiance,Dawn Culton
2019,Raleigh Radiance,Elisabeth Parker
2019,Raleigh Radiance,Emma Peaslee
2019,Raleigh Radiance,Georgia Tse
