Teamname,Place,Nickname,Team Abv,Division,Active,Last Active,Inaugurated,Formerly,Roster URL
Atlanta Hustle,Atlanta,Hustle,ATL,South,TRUE,2019,2015,,http://theaudl.com/hustle
Austin Sol,Austin,Sol,AUS,South,TRUE,2019,2016,,http://theaudl.com/sol
Charlotte Express,Charlotte,Express,CHA,South,FALSE,2016,2015,,
Chicago Wildfire,Chicago,WildFire,CHI,Midwest,TRUE,2019,2013,Windy City Wildfire,http://theaudl.com/wildfire
Cincinnati Revolution,Cincinnati,Revolution,CIN,Midwest,FALSE,2016,2013,Bluegrass Revolution,
Bluegrass Revolution,Lexington,Bluegrass Revolution,LEX,Midwest,FALSE,2012,2012,,
Columbus Cranes,Columbus,Cranes,CLB,East,FALSE,2012,2012,,
Connecticut Consitution,Connecticut,Constitution,CT,East,FALSE,2012,2012,,
Dallas Roughnecks,Dallas,Roughnecks,DAL,South,TRUE,2019,2016,,http://theaudl.com/roughnecks
DC Breeze,DC,Breeze,DC,East,TRUE,2019,2013,,http://theaudl.com/breeze
Detroit Mechanix,Detroit,Mechanix,DET,Midwest,TRUE,2019,2012,,http://theaudl.com/mechanix
Indianapolis AlleyCats,Indianapolis,AlleyCats,IND,Midwest,TRUE,2019,2012,,http://theaudl.com/alleycats
Jacksonville Cannons,Jacksonville,Cannons,JAX,South,FALSE,2017,2015,,http://theaudl.com/cannons
Los Angeles Aviators,LosAngeles,Aviators,LA,West,TRUE,2019,2015,,http://theaudl.com/aviators
Madison Radicals,Madison,Radicals,MAD,Midwest,TRUE,2019,2013,,http://theaudl.com/radicals
Minnesota Wind Chill,Minnesota,Wind Chill,MIN,Midwest,TRUE,2019,2013,,http://theaudl.com/windchill
Montreal Royal,Montreal,Royal,MTL,East,TRUE,2019,2014,,http://theaudl.com/royal
Nashville NightWatch,Nashville,Nightwatch,NSH,South,FALSE,2018,2015,,http://theaudl.com/nightwatch
New Jersey Hammerheads,New Jersey,Hammerheads,NJ,East,FALSE,2013,2013,,
New York Empire,New York,Empire,NY,East,TRUE,2019,2013,,http://theaudl.com/empire
Ottawa Outlaws,Ottawa,Outlaws,OTT,East,TRUE,2019,2015,,http://theaudl.com/outlaws
Philadelphia Phoenix,Philadelphia,Phoenix,PHI,East,TRUE,2019,2013,,http://theaudl.com/phoenix
Phildelphia Spinners,Philadelphia,Spinners,PHS,East,FALSE,2012,2012,,
Pittsburgh Thunderbirds,Pittsburgh,Thunderbirds,PIT,Midwest,TRUE,2019,2015,,http://theaudl.com/thunderbirds
Raleigh Flyers,Raleigh,Flyers,RAL,South,TRUE,2019,2015,,http://theaudl.com/flyers
Rhode Island Rampage,Rhode Island,Rampage,RIR,East,FALSE,2012,2012,,
Rochester Dragons,Rochester,Dragons,ROC,East,FALSE,2015,2013,Buffalo Hunters,
Salt Lake Lions,Salt Lake City,Lions,SLC,West,FALSE,2014,2014,,
San Diego Growlers,San Diego,Growlers,SD,West,TRUE,2019,2015,,http://theaudl.com/growlers
San Francisco FlameThrowers,San Francisco,Flamethrowers,SF,West,FALSE,2018,2013,,http://theaudl.com/flamethrowers
San Jose Spiders,San Jose,Spiders,SJ,West,TRUE,2019,2014,,http://theaudl.com/spiders
Seattle Cascades,Seattle,Cascades,SEA,West,TRUE,2019,2015,Seattle Raptors,http://theaudl.com/cascades
Seattle Raptors,Seattle,Raptors,SEA,West,FALSE,2014,2014,,
Tampa Bay Cannons,Tampa Bay,Cannons,TB,South,TRUE,2019,2018,Jacksonville Cannons,http://theaudl.com/cannons
Toronto Rush,Toronto,Rush,TOR,East,TRUE,2019,2013,,http://theaudl.com/rush
Vancouver Riptide,Vancouver,Riptide,VAN,West,FALSE,2017,2014,,
Buffalo Hunters,Buffalo,Hunters,BUF,East,FALSE,2012,2012,,
