,index,Teamname,Tournament,Username,PlayerName,Year
0,0,Atlanta Hustle,AUDL 2015,A Olsen,Anders Olsen,2015
1,1,Atlanta Hustle,AUDL 2016,A Olsen,Anders Olsen,2016
2,2,Atlanta Hustle,AUDL 2017,A Olsen,Anders Olsen,2017
3,3,Atlanta Hustle,AUDL 2018,A Olsen,Anders Olsen,2018
4,4,Atlanta Hustle,AUDL 2016,A Taylor,Austin Taylor,2016
5,5,Atlanta Hustle,AUDL 2017,A Taylor,Austin Taylor,2017
6,6,Atlanta Hustle,AUDL 2018,A Taylor,Austin Taylor,2018
7,7,Atlanta Hustle,AUDL 2015,Allan L,Allan Laviolette,2015
8,8,Atlanta Hustle,AUDL 2016,Allan L,Allan Laviolette,2016
9,9,Atlanta Hustle,AUDL 2017,Allan L,Allan Laviolette,2017
10,10,Atlanta Hustle,AUDL 2018,Allan L,Allan Laviolette,2018
11,11,Atlanta Hustle,AUDL 2015,Archie,Ryan Archibald,2015
12,12,Atlanta Hustle,AUDL 2016,Archie,Ryan Archibald,2016
13,13,Atlanta Hustle,AUDL 2017,Archie,Ryan Archibald,2017
14,14,Atlanta Hustle,AUDL 2015,B Hannah,Blake Hannah,2015
15,15,Atlanta Hustle,AUDL 2015,B. Liu,Byron Liu,2015
16,16,Atlanta Hustle,AUDL 2015,B. Moore,Brian Moore,2015
17,17,Atlanta Hustle,AUDL 2018,Batson,Sam Batson,2018
18,18,Atlanta Hustle,AUDL 2016,Berendes,David Berendes,2016
19,19,Atlanta Hustle,AUDL 2018,Big Mike,Mike Tillotson,2018
20,20,Atlanta Hustle,AUDL 2016,Birdsong,Stan Birdsong,2016
21,21,Atlanta Hustle,AUDL 2017,Birdsong,Stan Birdsong,2017
22,22,Atlanta Hustle,AUDL 2018,Birdsong,Stan Birdsong,2018
23,23,Atlanta Hustle,AUDL 2016,Boecking,Evan Boecking,2016
24,24,Atlanta Hustle,AUDL 2017,Boecking,Evan Boecking,2017
25,25,Atlanta Hustle,AUDL 2015,Boezi,John Boezi,2015
26,26,Atlanta Hustle,AUDL 2016,Bradham,Robert Bradham,2016
27,27,Atlanta Hustle,AUDL 2017,Bradham,Robert Bradham,2017
28,28,Atlanta Hustle,AUDL 2016,Bray,Parker Bray,2016
29,29,Atlanta Hustle,AUDL 2015,Breault,Ben Breault,2015
30,30,Atlanta Hustle,AUDL 2016,Breault,Ben Breault,2016
31,31,Atlanta Hustle,AUDL 2018,Burgess,Adam Burgess,2018
32,32,Atlanta Hustle,AUDL 2017,Bush,Josh Bush,2017
33,33,Atlanta Hustle,AUDL 2018,Bush,Josh Bush,2018
34,34,Atlanta Hustle,AUDL 2016,C Olsen,Christian Olsen,2016
35,35,Atlanta Hustle,AUDL 2017,C Olsen,Christian Olsen,2017
36,36,Atlanta Hustle,AUDL 2018,C Olsen,Christian Olsen,2018
37,37,Atlanta Hustle,AUDL 2015,C. Olsen,Christian Olsen,2015
38,38,Atlanta Hustle,AUDL 2017,Caldwell,Andrell Caldwell,2017
39,39,Atlanta Hustle,AUDL 2018,Caldwell,Andrell Caldwell,2018
40,40,Atlanta Hustle,AUDL 2018,Cary,Mason Cary,2018
41,41,Atlanta Hustle,AUDL 2018,Crowe,Jason Crowe,2018
42,42,Atlanta Hustle,AUDL 2018,Cutts,Hunter Cutts,2018
43,43,Atlanta Hustle,AUDL 2015,D Cox,Devin Cox,2015
44,44,Atlanta Hustle,AUDL 2018,Danny On,Danny On,2018
45,45,Atlanta Hustle,AUDL 2016,Dylan,Dylan Tunnell,2016
46,46,Atlanta Hustle,AUDL 2017,Dylan,Dylan Tunnell,2017
47,47,Atlanta Hustle,AUDL 2015,Dylan T,Dylan Tunnell,2015
48,48,Atlanta Hustle,AUDL 2016,Erickson,Elliott Erickson,2016
49,49,Atlanta Hustle,AUDL 2015,F Wooten,Frank Wooten,2015
50,50,Atlanta Hustle,AUDL 2018,French,Tyler French,2018
51,51,Atlanta Hustle,AUDL 2016,Gainer,Sam Gainer,2016
52,52,Atlanta Hustle,AUDL 2017,Gainer,Sam Gainer,2017
53,53,Atlanta Hustle,AUDL 2018,Gainer,Sam Gainer,2018
54,54,Atlanta Hustle,AUDL 2017,Haskell,Nathan Haskell,2017
55,55,Atlanta Hustle,AUDL 2016,Hicks,Steven Hicks,2016
56,56,Atlanta Hustle,AUDL 2018,Hunt,Hunter Cutts,2018
57,57,Atlanta Hustle,AUDL 2017,Hunter,Nick Hunter,2017
58,58,Atlanta Hustle,AUDL 2015,J Clark,Jay Clark,2015
59,59,Atlanta Hustle,AUDL 2015,J Feng,Josh Feng,2015
60,60,Atlanta Hustle,AUDL 2016,JP Burns,JP Burns,2016
61,61,Atlanta Hustle,AUDL 2017,JP Burns,JP Burns,2017
62,62,Atlanta Hustle,AUDL 2018,JP Burns,JP Burns,2018
63,63,Atlanta Hustle,AUDL 2015,Jack K,Jack Krieger,2015
64,64,Atlanta Hustle,AUDL 2017,Jaime,Jaime Perez,2017
65,65,Atlanta Hustle,AUDL 2018,Jaime,Jaime Perez,2018
66,66,Atlanta Hustle,AUDL 2016,Jon Fey,Jon Fey,2016
67,67,Atlanta Hustle,AUDL 2017,Justin M,Justin Mattingly,2017
68,68,Atlanta Hustle,AUDL 2018,Karl E,Karl Ekwurtzel,2018
69,69,Atlanta Hustle,AUDL 2017,Kelvin,Kelvin Williams,2017
70,70,Atlanta Hustle,AUDL 2018,Kelvin,Kelvin Williams,2018
71,71,Atlanta Hustle,AUDL 2016,Kelvin W,Kelvin Williams,2016
72,72,Atlanta Hustle,AUDL 2016,Knowles,Matthew Knowles,2016
73,73,Atlanta Hustle,AUDL 2017,Knowles,Matthew Knowles,2017
74,74,Atlanta Hustle,AUDL 2018,Knowles,Matthew Knowles,2018
75,75,Atlanta Hustle,AUDL 2015,Kyle S,Kyle Stapleton,2015
76,76,Atlanta Hustle,AUDL 2016,Kyle S,Kyle Stapleton,2016
77,77,Atlanta Hustle,AUDL 2017,Kyle S,Kyle Stapleton,2017
78,78,Atlanta Hustle,AUDL 2018,Kyle S,Kyle Stapleton,2018
79,79,Atlanta Hustle,AUDL 2017,Lally,Paul Lally,2017
80,80,Atlanta Hustle,AUDL 2016,Leonard,Max Leonard,2016
81,81,Atlanta Hustle,AUDL 2017,Leonard,Max Leonard,2017
