Teamname,Place,Nickname,Team Abv,Division,Active,Last Active,Inaugurated,Formerly
Atlanta Hustle,Atlanta,Hustle,ATL,South,TRUE,2019,2015,
Austin Sol,Austin,Sol,AUS,South,TRUE,2019,2016,
Charlotte Express,Charlotte,Express,CHA,South,FALSE,2016,2015,
Chicago Wildfire,Chicago,WildFire,CHI,Midwest,TRUE,2019,2013,Windy City Wildfire
Cincinnati Revolution,Cincinnati,Revolution,CIN,Midwest,FALSE,2016,2013,Bluegrass Revolution
Bluegrass Revolution,Lexington,Bluegrass Revolution,LEX,Midwest,FALSE,2012,2012,
Columbus Cranes,Columbus,Cranes,COL,East,FALSE,2012,2012,
Connecticut Consitution,Connecticut,Constitution,CT,East,FALSE,2012,2012,
Dallas Roughnecks,Dallas,Roughnecks,DAL,South,TRUE,2019,2016,
DC Breeze,DC,Breeze,DC,East,TRUE,2019,2013,
Detroit Mechanix,Detroit,Mechanix,DET,Midwest,TRUE,2019,2012,
Indianapolis AlleyCats,Indianapolis,AlleyCats,IND,Midwest,TRUE,2019,2012,
Jacksonville Cannons,Jacksonville,Cannons,JAX,South,FALSE,2017,2015,
Los Angeles Aviators,LosAngeles,Aviators,LA,West,TRUE,2019,2015,
Madison Radicals,Madison,Radicals,MAD,Midwest,TRUE,2019,2013,
Minnesota Wind Chill,Minnesota,Wind Chill,MIN,Midwest,TRUE,2019,2013,
Montreal Royal,Montreal,Royal,MTL,East,TRUE,2019,2014,
Nashville NightWatch,Nashville,Nightwatch,NSH,South,FALSE,2018,2015,
New Jersey Hammerheads,New Jersey,Hammerheads,NJ,East,FALSE,2013,2013,
New York Empire,New York,Empire,NY,East,TRUE,2019,2013,
Ottawa Outlaws,Ottawa,Outlaws,OTT,East,TRUE,2019,2015,
Philadelphia Phoenix,Philadelphia,Phoenix,PHI,East,TRUE,2019,2013,
Phildelphia Spinners,Philadelphia,Spinners,PHS,East,FALSE,2012,2012,
Pittsburgh Thunderbirds,Pittsburgh,Thunderbirds,PIT,Midwest,TRUE,2019,2015,
Raleigh Flyers,Raleigh,Flyers,RAL,South,TRUE,2019,2015,
Rhode Island Rampage,Rhode Island,Rampage,RIR,East,FALSE,2012,2012,
Rochester Dragons,Rochester,Dragons,ROC,East,FALSE,2015,2013,Buffalo Hunters
Salt Lake City Lions,Salt Lake City,Lions,SLC,West,FALSE,2014,2014,
San Diego Growlers,San Diego,Growlers,SD,West,TRUE,2019,2015,
San Francisco FlameThrowers,San Francisco,Flamethrowers,SF,West,FALSE,2018,2013,
San Jose Spiders,San Jose,Spiders,SJ,West,TRUE,2019,2014,
Seattle Cascades,Seattle,Cascades,SEA,West,TRUE,2019,2015,
Seattle Raptors,Seattle,Raptors,SEA,West,FALSE,2014,2014,Seattle Raptors
Tampa Bay Cannons,Tampa Bay,Cannons,TB,South,TRUE,2019,2018,Jacksonville Cannons
Toronto Rush,Toronto,Rush,TOR,East,TRUE,2019,2013,
Vancouver Riptide,Vancouver,Riptide,VAN,West,FALSE,2017,2014,
Buffalo Hunters,Buffalo,Hunters,BUF,East,FALSE,2012,2012,
