web-scraper-order,web-scraper-start-url,year,year-href,teams,teams-href
1524433739-1845,http://www.ultianalytics.com/index.html,AUDL 2014,http://www.ultianalytics.com/index.html#collapse150,Cincinnati Revolution,http://www.ultianalytics.com/app/#/5732910535540736/players
1524433739-1847,http://www.ultianalytics.com/index.html,AUDL 2014,http://www.ultianalytics.com/index.html#collapse150,Detroit Mechanix,http://www.ultianalytics.com/app/#/5684961520648192/players
1524433739-1854,http://www.ultianalytics.com/index.html,AUDL 2014,http://www.ultianalytics.com/index.html#collapse150,Rochester Dragons,http://www.ultianalytics.com/app/#/5682238511382528/players
1524433739-1849,http://www.ultianalytics.com/index.html,AUDL 2014,http://www.ultianalytics.com/index.html#collapse150,Madison Radicals,http://www.ultianalytics.com/app/#/5182111044599808/players
1524433739-1858,http://www.ultianalytics.com/index.html,AUDL 2014,http://www.ultianalytics.com/index.html#collapse150,Seattle Raptors,http://www.ultianalytics.com/app/#/5648334039547904/players
1524433739-1848,http://www.ultianalytics.com/index.html,AUDL 2014,http://www.ultianalytics.com/index.html#collapse150,Indianapolis AlleyCats,http://www.ultianalytics.com/app/#/5075454121738240/players
1524433739-1856,http://www.ultianalytics.com/index.html,AUDL 2014,http://www.ultianalytics.com/index.html#collapse150,San Francisco FlameThrowers,http://www.ultianalytics.com/app/#/5094953273262080/players
1524433739-1846,http://www.ultianalytics.com/index.html,AUDL 2014,http://www.ultianalytics.com/index.html#collapse150,DC Breeze,http://www.ultianalytics.com/app/#/4868028676177920/players
1524433739-1852,http://www.ultianalytics.com/index.html,AUDL 2014,http://www.ultianalytics.com/index.html#collapse150,New York Empire,http://www.ultianalytics.com/app/#/6220853180104704/players
1524433739-1857,http://www.ultianalytics.com/index.html,AUDL 2014,http://www.ultianalytics.com/index.html#collapse150,San Jose Spiders,http://www.ultianalytics.com/app/#/6597766625099776/players
1524433739-1850,http://www.ultianalytics.com/index.html,AUDL 2014,http://www.ultianalytics.com/index.html#collapse150,Minnesota Wind Chill,http://www.ultianalytics.com/app/#/5638404075159552/players
1524433739-1855,http://www.ultianalytics.com/index.html,AUDL 2014,http://www.ultianalytics.com/index.html#collapse150,Salt Lake Lions,http://www.ultianalytics.com/app/#/5662069344960512/players
1524433739-1860,http://www.ultianalytics.com/index.html,AUDL 2014,http://www.ultianalytics.com/index.html#collapse150,Vancouver Riptide,http://www.ultianalytics.com/app/#/6226234774126592/players
1524433739-1844,http://www.ultianalytics.com/index.html,AUDL 2014,http://www.ultianalytics.com/index.html#collapse150,Chicago Wildfire,http://www.ultianalytics.com/app/#/5471866718257152/players
1524433739-1859,http://www.ultianalytics.com/index.html,AUDL 2014,http://www.ultianalytics.com/index.html#collapse150,Toronto Rush,http://www.ultianalytics.com/app/#/5131065358286848/players
1524433739-1851,http://www.ultianalytics.com/index.html,AUDL 2014,http://www.ultianalytics.com/index.html#collapse150,Montreal Royal,http://www.ultianalytics.com/app/#/5753341694967808/players
1524433739-1853,http://www.ultianalytics.com/index.html,AUDL 2014,http://www.ultianalytics.com/index.html#collapse150,Philadelphia Phoenix,http://www.ultianalytics.com/app/#/5663684521099264/players
