,Date/Time,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Elapsed Time (secs),Begin Area,Begin X,Begin Y,End Area,End X,End Y,Distance Unit of Measure,Absolute Distance,Lateral Distance,Toward Our Goal Distance,Teamname,Year,Tournament,Lineup,GameID,QuarterID,PointID,PossessionID
0,2015-04-11 19:39,Indianapolis AlleyCats,44,O,1,0,Offense,Catch,Isaac Saul,Alex Thorne,,,Isaac Saul,Alex Thorne,Aaron Watson,Ethan Beardsley,David Vatz,Rob Dulabon,Chris Brenenborg,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,Pittsburgh Thunderbirds,2015,,"Aaron Watson, Alex Thorne, Chris Brenenborg, David Vatz, Ethan Beardsley, Isaac Saul, Rob Dulabon",1,1,1,1.0
1,2015-04-11 19:39,Indianapolis AlleyCats,44,O,1,0,Offense,Catch,Alex Thorne,Isaac Saul,,,Isaac Saul,Alex Thorne,Aaron Watson,Ethan Beardsley,David Vatz,Rob Dulabon,Chris Brenenborg,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,Pittsburgh Thunderbirds,2015,,"Aaron Watson, Alex Thorne, Chris Brenenborg, David Vatz, Ethan Beardsley, Isaac Saul, Rob Dulabon",1,1,1,1.0
2,2015-04-11 19:39,Indianapolis AlleyCats,44,O,1,0,Offense,Catch,Isaac Saul,Alex Thorne,,,Isaac Saul,Alex Thorne,Aaron Watson,Ethan Beardsley,David Vatz,Rob Dulabon,Chris Brenenborg,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,Pittsburgh Thunderbirds,2015,,"Aaron Watson, Alex Thorne, Chris Brenenborg, David Vatz, Ethan Beardsley, Isaac Saul, Rob Dulabon",1,1,1,1.0
3,2015-04-11 19:39,Indianapolis AlleyCats,44,O,1,0,Offense,HockeyAssist,Alex Thorne,Isaac Saul,,,Isaac Saul,Alex Thorne,Aaron Watson,Ethan Beardsley,David Vatz,Rob Dulabon,Chris Brenenborg,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,Pittsburgh Thunderbirds,2015,,"Aaron Watson, Alex Thorne, Chris Brenenborg, David Vatz, Ethan Beardsley, Isaac Saul, Rob Dulabon",1,1,1,1.0
4,2015-04-11 19:39,Indianapolis AlleyCats,44,O,1,0,Offense,Goal,Isaac Saul,Ethan Beardsley,,,Isaac Saul,Alex Thorne,Aaron Watson,Ethan Beardsley,David Vatz,Rob Dulabon,Chris Brenenborg,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,,,,Pittsburgh Thunderbirds,2015,,"Aaron Watson, Alex Thorne, Chris Brenenborg, David Vatz, Ethan Beardsley, Isaac Saul, Rob Dulabon",1,1,1,1.0
5,2015-04-11 19:39,Indianapolis AlleyCats,133,D,2,0,Defense,Pull,,,Mark Fedorenko,7.313,Mark Fedorenko,Tad Wissel,Felipe Delgado,Rob Dulabon,Mike Pannone,Jon Mast,Nick Haser,,,,,,,,,,,,,,,,,,,,,,121,,,,,,,,,,,Pittsburgh Thunderbirds,2015,,"Felipe Delgado, Jon Mast, Mark Fedorenko, Mike Pannone, Nick Haser, Rob Dulabon, Tad Wissel",1,1,2,1.0
6,2015-04-11 19:39,Indianapolis AlleyCats,133,D,2,0,Defense,Throwaway,,,Anonymous,,Mark Fedorenko,Tad Wissel,Felipe Delgado,Rob Dulabon,Mike Pannone,Jon Mast,Nick Haser,,,,,,,,,,,,,,,,,,,,,,131,,,,,,,,,,,Pittsburgh Thunderbirds,2015,,"Felipe Delgado, Jon Mast, Mark Fedorenko, Mike Pannone, Nick Haser, Rob Dulabon, Tad Wissel",1,1,2,1.0
7,2015-04-11 19:39,Indianapolis AlleyCats,133,D,2,0,Offense,Catch,Mark Fedorenko,Tad Wissel,,,Mark Fedorenko,Tad Wissel,Felipe Delgado,Rob Dulabon,Mike Pannone,Jon Mast,Nick Haser,,,,,,,,,,,,,,,,,,,,,,135,,,,,,,,,,,Pittsburgh Thunderbirds,2015,,"Felipe Delgado, Jon Mast, Mark Fedorenko, Mike Pannone, Nick Haser, Rob Dulabon, Tad Wissel",1,1,2,2.0
8,2015-04-11 19:39,Indianapolis AlleyCats,133,D,2,0,Offense,Catch,Tad Wissel,Mike Pannone,,,Mark Fedorenko,Tad Wissel,Felipe Delgado,Rob Dulabon,Mike Pannone,Jon Mast,Nick Haser,,,,,,,,,,,,,,,,,,,,,,139,,,,,,,,,,,Pittsburgh Thunderbirds,2015,,"Felipe Delgado, Jon Mast, Mark Fedorenko, Mike Pannone, Nick Haser, Rob Dulabon, Tad Wissel",1,1,2,2.0
9,2015-04-11 19:39,Indianapolis AlleyCats,133,D,2,0,Offense,Catch,Mike Pannone,Rob Dulabon,,,Mark Fedorenko,Tad Wissel,Felipe Delgado,Rob Dulabon,Mike Pannone,Jon Mast,Nick Haser,,,,,,,,,,,,,,,,,,,,,,142,,,,,,,,,,,Pittsburgh Thunderbirds,2015,,"Felipe Delgado, Jon Mast, Mark Fedorenko, Mike Pannone, Nick Haser, Rob Dulabon, Tad Wissel",1,1,2,2.0
10,2015-04-11 19:39,Indianapolis AlleyCats,133,D,2,0,Offense,Catch,Rob Dulabon,Felipe Delgado,,,Mark Fedorenko,Tad Wissel,Felipe Delgado,Rob Dulabon,Mike Pannone,Jon Mast,Nick Haser,,,,,,,,,,,,,,,,,,,,,,147,,,,,,,,,,,Pittsburgh Thunderbirds,2015,,"Felipe Delgado, Jon Mast, Mark Fedorenko, Mike Pannone, Nick Haser, Rob Dulabon, Tad Wissel",1,1,2,2.0
11,2015-04-11 19:39,Indianapolis AlleyCats,133,D,2,0,Offense,Catch,Felipe Delgado,Tad Wissel,,,Mark Fedorenko,Tad Wissel,Felipe Delgado,Rob Dulabon,Mike Pannone,Jon Mast,Nick Haser,,,,,,,,,,,,,,,,,,,,,,151,,,,,,,,,,,Pittsburgh Thunderbirds,2015,,"Felipe Delgado, Jon Mast, Mark Fedorenko, Mike Pannone, Nick Haser, Rob Dulabon, Tad Wissel",1,1,2,2.0
12,2015-04-11 19:39,Indianapolis AlleyCats,133,D,2,0,Offense,Catch,Tad Wissel,Jon Mast,,,Mark Fedorenko,Tad Wissel,Felipe Delgado,Rob Dulabon,Mike Pannone,Jon Mast,Nick Haser,,,,,,,,,,,,,,,,,,,,,,156,,,,,,,,,,,Pittsburgh Thunderbirds,2015,,"Felipe Delgado, Jon Mast, Mark Fedorenko, Mike Pannone, Nick Haser, Rob Dulabon, Tad Wissel",1,1,2,2.0
13,2015-04-11 19:39,Indianapolis AlleyCats,133,D,2,0,Offense,Catch,Jon Mast,Felipe Delgado,,,Mark Fedorenko,Tad Wissel,Felipe Delgado,Rob Dulabon,Mike Pannone,Jon Mast,Nick Haser,,,,,,,,,,,,,,,,,,,,,,160,,,,,,,,,,,Pittsburgh Thunderbirds,2015,,"Felipe Delgado, Jon Mast, Mark Fedorenko, Mike Pannone, Nick Haser, Rob Dulabon, Tad Wissel",1,1,2,2.0
14,2015-04-11 19:39,Indianapolis AlleyCats,133,D,2,0,Offense,Catch,Felipe Delgado,Mark Fedorenko,,,Mark Fedorenko,Tad Wissel,Felipe Delgado,Rob Dulabon,Mike Pannone,Jon Mast,Nick Haser,,,,,,,,,,,,,,,,,,,,,,163,,,,,,,,,,,Pittsburgh Thunderbirds,2015,,"Felipe Delgado, Jon Mast, Mark Fedorenko, Mike Pannone, Nick Haser, Rob Dulabon, Tad Wissel",1,1,2,2.0
15,2015-04-11 19:39,Indianapolis AlleyCats,133,D,2,0,Offense,Throwaway,Mark Fedorenko,Anonymous,,,Mark Fedorenko,Tad Wissel,Felipe Delgado,Rob Dulabon,Mike Pannone,Jon Mast,Nick Haser,,,,,,,,,,,,,,,,,,,,,,173,,,,,,,,,,,Pittsburgh Thunderbirds,2015,,"Felipe Delgado, Jon Mast, Mark Fedorenko, Mike Pannone, Nick Haser, Rob Dulabon, Tad Wissel",1,1,2,2.0
16,2015-04-11 19:39,Indianapolis AlleyCats,133,D,2,0,Defense,D,,,Mike Pannone,,Mark Fedorenko,Tad Wissel,Felipe Delgado,Rob Dulabon,Mike Pannone,Jon Mast,Nick Haser,,,,,,,,,,,,,,,,,,,,,,193,,,,,,,,,,,Pittsburgh Thunderbirds,2015,,"Felipe Delgado, Jon Mast, Mark Fedorenko, Mike Pannone, Nick Haser, Rob Dulabon, Tad Wissel",1,1,2,3.0
17,2015-04-11 19:39,Indianapolis AlleyCats,133,D,2,0,Offense,Catch,Mike Pannone,Tad Wissel,,,Mark Fedorenko,Tad Wissel,Felipe Delgado,Rob Dulabon,Mike Pannone,Jon Mast,Nick Haser,,,,,,,,,,,,,,,,,,,,,,197,,,,,,,,,,,Pittsburgh Thunderbirds,2015,,"Felipe Delgado, Jon Mast, Mark Fedorenko, Mike Pannone, Nick Haser, Rob Dulabon, Tad Wissel",1,1,2,4.0
18,2015-04-11 19:39,Indianapolis AlleyCats,133,D,2,0,Offense,Catch,Tad Wissel,Mike Pannone,,,Mark Fedorenko,Tad Wissel,Felipe Delgado,Rob Dulabon,Mike Pannone,Jon Mast,Nick Haser,,,,,,,,,,,,,,,,,,,,,,203,,,,,,,,,,,Pittsburgh Thunderbirds,2015,,"Felipe Delgado, Jon Mast, Mark Fedorenko, Mike Pannone, Nick Haser, Rob Dulabon, Tad Wissel",1,1,2,4.0
19,2015-04-11 19:39,Indianapolis AlleyCats,133,D,2,0,Offense,Catch,Mike Pannone,Mark Fedorenko,,,Mark Fedorenko,Tad Wissel,Felipe Delgado,Rob Dulabon,Mike Pannone,Jon Mast,Nick Haser,,,,,,,,,,,,,,,,,,,,,,206,,,,,,,,,,,Pittsburgh Thunderbirds,2015,,"Felipe Delgado, Jon Mast, Mark Fedorenko, Mike Pannone, Nick Haser, Rob Dulabon, Tad Wissel",1,1,2,4.0
20,2015-04-11 19:39,Indianapolis AlleyCats,133,D,2,0,Offense,Catch,Mark Fedorenko,Tad Wissel,,,Mark Fedorenko,Tad Wissel,Felipe Delgado,Rob Dulabon,Mike Pannone,Jon Mast,Nick Haser,,,,,,,,,,,,,,,,,,,,,,211,,,,,,,,,,,Pittsburgh Thunderbirds,2015,,"Felipe Delgado, Jon Mast, Mark Fedorenko, Mike Pannone, Nick Haser, Rob Dulabon, Tad Wissel",1,1,2,4.0
21,2015-04-11 19:39,Indianapolis AlleyCats,133,D,2,0,Offense,Catch,Tad Wissel,Mark Fedorenko,,,Mark Fedorenko,Tad Wissel,Felipe Delgado,Rob Dulabon,Mike Pannone,Jon Mast,Nick Haser,,,,,,,,,,,,,,,,,,,,,,218,,,,,,,,,,,Pittsburgh Thunderbirds,2015,,"Felipe Delgado, Jon Mast, Mark Fedorenko, Mike Pannone, Nick Haser, Rob Dulabon, Tad Wissel",1,1,2,4.0
22,2015-04-11 19:39,Indianapolis AlleyCats,133,D,2,0,Offense,Catch,Mark Fedorenko,Tad Wissel,,,Mark Fedorenko,Tad Wissel,Felipe Delgado,Rob Dulabon,Mike Pannone,Jon Mast,Nick Haser,,,,,,,,,,,,,,,,,,,,,,221,,,,,,,,,,,Pittsburgh Thunderbirds,2015,,"Felipe Delgado, Jon Mast, Mark Fedorenko, Mike Pannone, Nick Haser, Rob Dulabon, Tad Wissel",1,1,2,4.0
23,2015-04-11 19:39,Indianapolis AlleyCats,133,D,2,0,Offense,Catch,Tad Wissel,Nick Haser,,,Mark Fedorenko,Tad Wissel,Felipe Delgado,Rob Dulabon,Mike Pannone,Jon Mast,Nick Haser,,,,,,,,,,,,,,,,,,,,,,225,,,,,,,,,,,Pittsburgh Thunderbirds,2015,,"Felipe Delgado, Jon Mast, Mark Fedorenko, Mike Pannone, Nick Haser, Rob Dulabon, Tad Wissel",1,1,2,4.0
24,2015-04-11 19:39,Indianapolis AlleyCats,133,D,2,0,Offense,Catch,Nick Haser,Tad Wissel,,,Mark Fedorenko,Tad Wissel,Felipe Delgado,Rob Dulabon,Mike Pannone,Jon Mast,Nick Haser,,,,,,,,,,,,,,,,,,,,,,228,,,,,,,,,,,Pittsburgh Thunderbirds,2015,,"Felipe Delgado, Jon Mast, Mark Fedorenko, Mike Pannone, Nick Haser, Rob Dulabon, Tad Wissel",1,1,2,4.0
25,2015-04-11 19:39,Indianapolis AlleyCats,133,D,2,0,Offense,Catch,Tad Wissel,Mike Pannone,,,Mark Fedorenko,Tad Wissel,Felipe Delgado,Rob Dulabon,Mike Pannone,Jon Mast,Nick Haser,,,,,,,,,,,,,,,,,,,,,,232,,,,,,,,,,,Pittsburgh Thunderbirds,2015,,"Felipe Delgado, Jon Mast, Mark Fedorenko, Mike Pannone, Nick Haser, Rob Dulabon, Tad Wissel",1,1,2,4.0
26,2015-04-11 19:39,Indianapolis AlleyCats,133,D,2,0,Offense,Catch,Mike Pannone,Mark Fedorenko,,,Mark Fedorenko,Tad Wissel,Felipe Delgado,Rob Dulabon,Mike Pannone,Jon Mast,Nick Haser,,,,,,,,,,,,,,,,,,,,,,236,,,,,,,,,,,Pittsburgh Thunderbirds,2015,,"Felipe Delgado, Jon Mast, Mark Fedorenko, Mike Pannone, Nick Haser, Rob Dulabon, Tad Wissel",1,1,2,4.0
27,2015-04-11 19:39,Indianapolis AlleyCats,133,D,2,0,Offense,Catch,Mark Fedorenko,Rob Dulabon,,,Mark Fedorenko,Tad Wissel,Felipe Delgado,Rob Dulabon,Mike Pannone,Jon Mast,Nick Haser,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,Pittsburgh Thunderbirds,2015,,"Felipe Delgado, Jon Mast, Mark Fedorenko, Mike Pannone, Nick Haser, Rob Dulabon, Tad Wissel",1,1,2,4.0
28,2015-04-11 19:39,Indianapolis AlleyCats,133,D,2,0,Offense,Catch,Rob Dulabon,Mike Pannone,,,Mark Fedorenko,Tad Wissel,Felipe Delgado,Rob Dulabon,Mike Pannone,Jon Mast,Nick Haser,,,,,,,,,,,,,,,,,,,,,,244,,,,,,,,,,,Pittsburgh Thunderbirds,2015,,"Felipe Delgado, Jon Mast, Mark Fedorenko, Mike Pannone, Nick Haser, Rob Dulabon, Tad Wissel",1,1,2,4.0
29,2015-04-11 19:39,Indianapolis AlleyCats,133,D,2,0,Offense,HockeyAssist,Mike Pannone,Tad Wissel,,,Mark Fedorenko,Tad Wissel,Felipe Delgado,Rob Dulabon,Mike Pannone,Jon Mast,Nick Haser,,,,,,,,,,,,,,,,,,,,,,248,,,,,,,,,,,Pittsburgh Thunderbirds,2015,,"Felipe Delgado, Jon Mast, Mark Fedorenko, Mike Pannone, Nick Haser, Rob Dulabon, Tad Wissel",1,1,2,4.0
30,2015-04-11 19:39,Indianapolis AlleyCats,133,D,2,0,Offense,Goal,Tad Wissel,Mark Fedorenko,,,Mark Fedorenko,Tad Wissel,Felipe Delgado,Rob Dulabon,Mike Pannone,Jon Mast,Nick Haser,,,,,,,,,,,,,,,,,,,,,,252,,,,,,,,,,,Pittsburgh Thunderbirds,2015,,"Felipe Delgado, Jon Mast, Mark Fedorenko, Mike Pannone, Nick Haser, Rob Dulabon, Tad Wissel",1,1,2,4.0
31,2015-04-11 19:39,Indianapolis AlleyCats,111,D,3,0,Defense,Pull,,,Sam Schurer,,James Greeno,Brandon Thomas,Sam Schurer,Scott Trimble,Tyler DeGirolamo,Anson Reppermund,Darren Shultz,,,,,,,,,,,,,,,,,,,,,,336,,,,,,,,,,,Pittsburgh Thunderbirds,2015,,"Anson Reppermund, Brandon Thomas, Darren Shultz, James Greeno, Sam Schurer, Scott Trimble, Tyler DeGirolamo",1,1,3,1.0
