,Date/Time,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Elapsed Time (secs),Begin Area,Begin X,Begin Y,End Area,End X,End Y,Distance Unit of Measure,Absolute Distance,Lateral Distance,Toward Our Goal Distance,Teamname,Tournament,Lineup,GameID,QuarterID,PointID,PossessionID
0,2014-04-12 19:37,Minnesota Wind Chill,6,D,0,1,Defense,Pull,,,,1.449,Eric Hubbard,Stagg- Logan,Chen- Dafeng,Barnhart- Zach,Weber- Mike,Schwalm- Brendan,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,Detroit Mechanix,AUDL 2014,"Eric Hubbard, Stagg- Logan, Chen- Dafeng, Barnhart- Zach, Weber- Mike, Schwalm- Brendan",1,1,1,1.0
1,2014-04-12 19:37,Minnesota Wind Chill,6,D,0,1,Defense,Goal,,,,,Eric Hubbard,Stagg- Logan,Chen- Dafeng,Barnhart- Zach,Weber- Mike,Schwalm- Brendan,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,Detroit Mechanix,AUDL 2014,"Eric Hubbard, Stagg- Logan, Chen- Dafeng, Barnhart- Zach, Weber- Mike, Schwalm- Brendan",1,1,1,1.0
2,2014-04-12 19:37,Minnesota Wind Chill,24,O,1,1,Offense,Catch,Ben Murphy,,,,Besser- Joe,Barnhart- Andy,Ben Murphy,Weber- Mike,Danny Hunt,Andrew Lucarotti,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,Detroit Mechanix,AUDL 2014,"Besser- Joe, Barnhart- Andy, Ben Murphy, Weber- Mike, Danny Hunt, Andrew Lucarotti",1,1,2,1.0
3,2014-04-12 19:37,Minnesota Wind Chill,24,O,1,1,Offense,Catch,,,,,Besser- Joe,Barnhart- Andy,Ben Murphy,Weber- Mike,Danny Hunt,Andrew Lucarotti,,,,,,,,,,,,,,,,,,,,,,,69,,,,,,,,,,,Detroit Mechanix,AUDL 2014,"Besser- Joe, Barnhart- Andy, Ben Murphy, Weber- Mike, Danny Hunt, Andrew Lucarotti",1,1,2,1.0
4,2014-04-12 19:37,Minnesota Wind Chill,24,O,1,1,Offense,Catch,,,,,Besser- Joe,Barnhart- Andy,Ben Murphy,Weber- Mike,Danny Hunt,Andrew Lucarotti,,,,,,,,,,,,,,,,,,,,,,,73,,,,,,,,,,,Detroit Mechanix,AUDL 2014,"Besser- Joe, Barnhart- Andy, Ben Murphy, Weber- Mike, Danny Hunt, Andrew Lucarotti",1,1,2,1.0
5,2014-04-12 19:37,Minnesota Wind Chill,24,O,1,1,Offense,Goal,,Besser- Joe,,,Besser- Joe,Barnhart- Andy,Ben Murphy,Weber- Mike,Danny Hunt,Andrew Lucarotti,,,,,,,,,,,,,,,,,,,,,,,82,,,,,,,,,,,Detroit Mechanix,AUDL 2014,"Besser- Joe, Barnhart- Andy, Ben Murphy, Weber- Mike, Danny Hunt, Andrew Lucarotti",1,1,2,1.0
6,2014-04-12 19:37,Minnesota Wind Chill,6,D,1,2,Defense,Pull,,,,1.649,Chen- Dafeng,Patrick Krantz,Barnhart- Zach,Hughes- Evan,Abela- John,,,,,,,,,,,,,,,,,,,,,,,,154,,,,,,,,,,,Detroit Mechanix,AUDL 2014,"Chen- Dafeng, Patrick Krantz, Barnhart- Zach, Hughes- Evan, Abela- John",1,1,3,1.0
7,2014-04-12 19:37,Minnesota Wind Chill,6,D,1,2,Defense,Goal,,,,,Chen- Dafeng,Patrick Krantz,Barnhart- Zach,Hughes- Evan,Abela- John,,,,,,,,,,,,,,,,,,,,,,,,158,,,,,,,,,,,Detroit Mechanix,AUDL 2014,"Chen- Dafeng, Patrick Krantz, Barnhart- Zach, Hughes- Evan, Abela- John",1,1,3,1.0
8,2014-04-12 19:37,Minnesota Wind Chill,40,O,1,3,Offense,Catch,Ben Murphy,Besser- Joe,,,Besser- Joe,Barnhart- Andy,Barnhart- Zach,Ben Murphy,Schwalm- Brendan,Andrew Lucarotti,,,,,,,,,,,,,,,,,,,,,,,219,,,,,,,,,,,Detroit Mechanix,AUDL 2014,"Besser- Joe, Barnhart- Andy, Barnhart- Zach, Ben Murphy, Schwalm- Brendan, Andrew Lucarotti",1,1,4,1.0
9,2014-04-12 19:37,Minnesota Wind Chill,40,O,1,3,Offense,Catch,Besser- Joe,Barnhart- Andy,,,Besser- Joe,Barnhart- Andy,Barnhart- Zach,Ben Murphy,Schwalm- Brendan,Andrew Lucarotti,,,,,,,,,,,,,,,,,,,,,,,228,,,,,,,,,,,Detroit Mechanix,AUDL 2014,"Besser- Joe, Barnhart- Andy, Barnhart- Zach, Ben Murphy, Schwalm- Brendan, Andrew Lucarotti",1,1,4,1.0
