,Date/Time,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Elapsed Time (secs),Begin Area,Begin X,Begin Y,End Area,End X,End Y,Distance Unit of Measure,Absolute Distance,Lateral Distance,Toward Our Goal Distance,Teamname,Tournament,Lineup,GameID,QuarterID,PointID,PossessionID
0,2014-04-12 18:36,Detroit Mechanix,37,O,1,0,Offense,Catch,Kevin Seiler,Austin Lien,,,Kevin Seiler,Austin Lien,Pat Niles,Jon Staron,Dan Miller,James Hron,Pokey,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,Minnesota Wind Chill,AUDL 2014,"Kevin Seiler, Austin Lien, Pat Niles, Jon Staron, Dan Miller, James Hron, Pokey",1,1,1,1.0
1,2014-04-12 18:36,Detroit Mechanix,37,O,1,0,Offense,Catch,Austin Lien,Dan Miller,,,Kevin Seiler,Austin Lien,Pat Niles,Jon Staron,Dan Miller,James Hron,Pokey,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,Minnesota Wind Chill,AUDL 2014,"Kevin Seiler, Austin Lien, Pat Niles, Jon Staron, Dan Miller, James Hron, Pokey",1,1,1,1.0
2,2014-04-12 18:36,Detroit Mechanix,37,O,1,0,Offense,Catch,Dan Miller,Pokey,,,Kevin Seiler,Austin Lien,Pat Niles,Jon Staron,Dan Miller,James Hron,Pokey,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,Minnesota Wind Chill,AUDL 2014,"Kevin Seiler, Austin Lien, Pat Niles, Jon Staron, Dan Miller, James Hron, Pokey",1,1,1,1.0
3,2014-04-12 18:36,Detroit Mechanix,37,O,1,0,Offense,Catch,Pokey,Jon Staron,,,Kevin Seiler,Austin Lien,Pat Niles,Jon Staron,Dan Miller,James Hron,Pokey,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,Minnesota Wind Chill,AUDL 2014,"Kevin Seiler, Austin Lien, Pat Niles, Jon Staron, Dan Miller, James Hron, Pokey",1,1,1,1.0
4,2014-04-12 18:36,Detroit Mechanix,37,O,1,0,Offense,Catch,Jon Staron,James Hron,,,Kevin Seiler,Austin Lien,Pat Niles,Jon Staron,Dan Miller,James Hron,Pokey,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,Minnesota Wind Chill,AUDL 2014,"Kevin Seiler, Austin Lien, Pat Niles, Jon Staron, Dan Miller, James Hron, Pokey",1,1,1,1.0
5,2014-04-12 18:36,Detroit Mechanix,37,O,1,0,Offense,Catch,James Hron,Kevin Seiler,,,Kevin Seiler,Austin Lien,Pat Niles,Jon Staron,Dan Miller,James Hron,Pokey,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,Minnesota Wind Chill,AUDL 2014,"Kevin Seiler, Austin Lien, Pat Niles, Jon Staron, Dan Miller, James Hron, Pokey",1,1,1,1.0
6,2014-04-12 18:36,Detroit Mechanix,37,O,1,0,Offense,Goal,Kevin Seiler,Dan Miller,,,Kevin Seiler,Austin Lien,Pat Niles,Jon Staron,Dan Miller,James Hron,Pokey,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,Minnesota Wind Chill,AUDL 2014,"Kevin Seiler, Austin Lien, Pat Niles, Jon Staron, Dan Miller, James Hron, Pokey",1,1,1,1.0
7,2014-04-12 18:36,Detroit Mechanix,33,D,1,1,Defense,Pull,,,Jay Drescher,2.83,Brandon Matis,Kyle Gill,Shwa,Pat Jensen,Neal Hanke,Jay Drescher,Brian Schoenrock,,,,,,,,,,,,,,,,,,,,,,97,,,,,,,,,,,Minnesota Wind Chill,AUDL 2014,"Brandon Matis, Kyle Gill, Shwa, Pat Jensen, Neal Hanke, Jay Drescher, Brian Schoenrock",1,1,2,1.0
8,2014-04-12 18:36,Detroit Mechanix,33,D,1,1,Defense,Goal,,,,,Brandon Matis,Kyle Gill,Shwa,Pat Jensen,Neal Hanke,Jay Drescher,Brian Schoenrock,,,,,,,,,,,,,,,,,,,,,,128,,,,,,,,,,,Minnesota Wind Chill,AUDL 2014,"Brandon Matis, Kyle Gill, Shwa, Pat Jensen, Neal Hanke, Jay Drescher, Brian Schoenrock",1,1,2,1.0
9,2014-04-12 18:36,Detroit Mechanix,51,O,2,1,Offense,Catch,Austin Lien,Kevin Seiler,,,Kevin Seiler,Austin Lien,Pat Niles,Jon Staron,Dan Miller,James Hron,Pokey,,,,,,,,,,,,,,,,,,,,,,180,,,,,,,,,,,Minnesota Wind Chill,AUDL 2014,"Kevin Seiler, Austin Lien, Pat Niles, Jon Staron, Dan Miller, James Hron, Pokey",1,1,3,1.0
10,2014-04-12 18:36,Detroit Mechanix,51,O,2,1,Offense,Catch,Kevin Seiler,Jon Staron,,,Kevin Seiler,Austin Lien,Pat Niles,Jon Staron,Dan Miller,James Hron,Pokey,,,,,,,,,,,,,,,,,,,,,,188,,,,,,,,,,,Minnesota Wind Chill,AUDL 2014,"Kevin Seiler, Austin Lien, Pat Niles, Jon Staron, Dan Miller, James Hron, Pokey",1,1,3,1.0
11,2014-04-12 18:36,Detroit Mechanix,51,O,2,1,Offense,Catch,Jon Staron,Pat Niles,,,Kevin Seiler,Austin Lien,Pat Niles,Jon Staron,Dan Miller,James Hron,Pokey,,,,,,,,,,,,,,,,,,,,,,192,,,,,,,,,,,Minnesota Wind Chill,AUDL 2014,"Kevin Seiler, Austin Lien, Pat Niles, Jon Staron, Dan Miller, James Hron, Pokey",1,1,3,1.0
12,2014-04-12 18:36,Detroit Mechanix,51,O,2,1,Offense,Catch,Pat Niles,Dan Miller,,,Kevin Seiler,Austin Lien,Pat Niles,Jon Staron,Dan Miller,James Hron,Pokey,,,,,,,,,,,,,,,,,,,,,,195,,,,,,,,,,,Minnesota Wind Chill,AUDL 2014,"Kevin Seiler, Austin Lien, Pat Niles, Jon Staron, Dan Miller, James Hron, Pokey",1,1,3,1.0
13,2014-04-12 18:36,Detroit Mechanix,51,O,2,1,Offense,Catch,Dan Miller,James Hron,,,Kevin Seiler,Austin Lien,Pat Niles,Jon Staron,Dan Miller,James Hron,Pokey,,,,,,,,,,,,,,,,,,,,,,201,,,,,,,,,,,Minnesota Wind Chill,AUDL 2014,"Kevin Seiler, Austin Lien, Pat Niles, Jon Staron, Dan Miller, James Hron, Pokey",1,1,3,1.0
14,2014-04-12 18:36,Detroit Mechanix,51,O,2,1,Offense,Catch,James Hron,Kevin Seiler,,,Kevin Seiler,Austin Lien,Pat Niles,Jon Staron,Dan Miller,James Hron,Pokey,,,,,,,,,,,,,,,,,,,,,,204,,,,,,,,,,,Minnesota Wind Chill,AUDL 2014,"Kevin Seiler, Austin Lien, Pat Niles, Jon Staron, Dan Miller, James Hron, Pokey",1,1,3,1.0
15,2014-04-12 18:36,Detroit Mechanix,51,O,2,1,Offense,Catch,Kevin Seiler,Austin Lien,,,Kevin Seiler,Austin Lien,Pat Niles,Jon Staron,Dan Miller,James Hron,Pokey,,,,,,,,,,,,,,,,,,,,,,213,,,,,,,,,,,Minnesota Wind Chill,AUDL 2014,"Kevin Seiler, Austin Lien, Pat Niles, Jon Staron, Dan Miller, James Hron, Pokey",1,1,3,1.0
16,2014-04-12 18:36,Detroit Mechanix,51,O,2,1,Offense,Goal,Austin Lien,Pokey,,,Kevin Seiler,Austin Lien,Pat Niles,Jon Staron,Dan Miller,James Hron,Pokey,,,,,,,,,,,,,,,,,,,,,,229,,,,,,,,,,,Minnesota Wind Chill,AUDL 2014,"Kevin Seiler, Austin Lien, Pat Niles, Jon Staron, Dan Miller, James Hron, Pokey",1,1,3,1.0
17,2014-04-12 18:36,Detroit Mechanix,70,D,3,1,Defense,Pull,,,Jay Drescher,3.002,Brandon Matis,Kyle Gill,Shwa,Pat Jensen,Neal Hanke,Jay Drescher,Brian Schoenrock,,,,,,,,,,,,,,,,,,,,,,272,,,,,,,,,,,Minnesota Wind Chill,AUDL 2014,"Brandon Matis, Kyle Gill, Shwa, Pat Jensen, Neal Hanke, Jay Drescher, Brian Schoenrock",1,1,4,1.0
18,2014-04-12 18:36,Detroit Mechanix,70,D,3,1,Defense,D,,,Neal Hanke,,Brandon Matis,Kyle Gill,Shwa,Pat Jensen,Neal Hanke,Jay Drescher,Brian Schoenrock,,,,,,,,,,,,,,,,,,,,,,290,,,,,,,,,,,Minnesota Wind Chill,AUDL 2014,"Brandon Matis, Kyle Gill, Shwa, Pat Jensen, Neal Hanke, Jay Drescher, Brian Schoenrock",1,1,4,1.0
19,2014-04-12 18:36,Detroit Mechanix,70,D,3,1,Offense,Catch,Kyle Gill,Pat Jensen,,,Brandon Matis,Kyle Gill,Shwa,Pat Jensen,Neal Hanke,Jay Drescher,Brian Schoenrock,,,,,,,,,,,,,,,,,,,,,,302,,,,,,,,,,,Minnesota Wind Chill,AUDL 2014,"Brandon Matis, Kyle Gill, Shwa, Pat Jensen, Neal Hanke, Jay Drescher, Brian Schoenrock",1,1,4,2.0
20,2014-04-12 18:36,Detroit Mechanix,70,D,3,1,Offense,Catch,Pat Jensen,Brandon Matis,,,Brandon Matis,Kyle Gill,Shwa,Pat Jensen,Neal Hanke,Jay Drescher,Brian Schoenrock,,,,,,,,,,,,,,,,,,,,,,308,,,,,,,,,,,Minnesota Wind Chill,AUDL 2014,"Brandon Matis, Kyle Gill, Shwa, Pat Jensen, Neal Hanke, Jay Drescher, Brian Schoenrock",1,1,4,2.0
21,2014-04-12 18:36,Detroit Mechanix,70,D,3,1,Offense,Catch,Brandon Matis,Kyle Gill,,,Brandon Matis,Kyle Gill,Shwa,Pat Jensen,Neal Hanke,Jay Drescher,Brian Schoenrock,,,,,,,,,,,,,,,,,,,,,,312,,,,,,,,,,,Minnesota Wind Chill,AUDL 2014,"Brandon Matis, Kyle Gill, Shwa, Pat Jensen, Neal Hanke, Jay Drescher, Brian Schoenrock",1,1,4,2.0
22,2014-04-12 18:36,Detroit Mechanix,70,D,3,1,Offense,Catch,Kyle Gill,Pat Jensen,,,Brandon Matis,Kyle Gill,Shwa,Pat Jensen,Neal Hanke,Jay Drescher,Brian Schoenrock,,,,,,,,,,,,,,,,,,,,,,316,,,,,,,,,,,Minnesota Wind Chill,AUDL 2014,"Brandon Matis, Kyle Gill, Shwa, Pat Jensen, Neal Hanke, Jay Drescher, Brian Schoenrock",1,1,4,2.0
