,Date/Time,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Elapsed Time (secs),Begin Area,Begin X,Begin Y,End Area,End X,End Y,Distance Unit of Measure,Absolute Distance,Lateral Distance,Toward Our Goal Distance,Teamname,Tournament
0,2014-04-13 12:19,Toronto Rush,35,D,0,1,Defense,Pull,,,Matt Bode,6.499,Billy Katz,Matt LeMar,Matt Bode,Mike Drost,Ben Ivers,Ryan Drost,Sam Taylor,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,New York Empire,AUDL 2014
1,2014-04-13 12:19,Toronto Rush,35,D,0,1,Defense,Goal,,,,,Billy Katz,Matt LeMar,Matt Bode,Mike Drost,Ben Ivers,Ryan Drost,Sam Taylor,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,New York Empire,AUDL 2014
2,2014-04-13 12:19,Toronto Rush,45,O,1,1,Offense,Catch,Seth Canetti,Joe Ouellette,,,Joe Babbino,Joe Santosus,Lionel Wininger,Matt Stevens,Joe Ouellette,Taylor Brooks,Seth Canetti,,,,,,,,,,,,,,,,,,,,,,83,,,,,,,,,,,New York Empire,AUDL 2014
3,2014-04-13 12:19,Toronto Rush,45,O,1,1,Offense,Catch,Joe Ouellette,Lionel Wininger,,,Joe Babbino,Joe Santosus,Lionel Wininger,Matt Stevens,Joe Ouellette,Taylor Brooks,Seth Canetti,,,,,,,,,,,,,,,,,,,,,,91,,,,,,,,,,,New York Empire,AUDL 2014
4,2014-04-13 12:19,Toronto Rush,45,O,1,1,Offense,Catch,Lionel Wininger,Joe Santosus,,,Joe Babbino,Joe Santosus,Lionel Wininger,Matt Stevens,Joe Ouellette,Taylor Brooks,Seth Canetti,,,,,,,,,,,,,,,,,,,,,,95,,,,,,,,,,,New York Empire,AUDL 2014
5,2014-04-13 12:19,Toronto Rush,45,O,1,1,Offense,Catch,Joe Santosus,Lionel Wininger,,,Joe Babbino,Joe Santosus,Lionel Wininger,Matt Stevens,Joe Ouellette,Taylor Brooks,Seth Canetti,,,,,,,,,,,,,,,,,,,,,,99,,,,,,,,,,,New York Empire,AUDL 2014
6,2014-04-13 12:19,Toronto Rush,45,O,1,1,Offense,Catch,Lionel Wininger,Joe Santosus,,,Joe Babbino,Joe Santosus,Lionel Wininger,Matt Stevens,Joe Ouellette,Taylor Brooks,Seth Canetti,,,,,,,,,,,,,,,,,,,,,,104,,,,,,,,,,,New York Empire,AUDL 2014
7,2014-04-13 12:19,Toronto Rush,45,O,1,1,Offense,Catch,Joe Santosus,Seth Canetti,,,Joe Babbino,Joe Santosus,Lionel Wininger,Matt Stevens,Joe Ouellette,Taylor Brooks,Seth Canetti,,,,,,,,,,,,,,,,,,,,,,111,,,,,,,,,,,New York Empire,AUDL 2014
8,2014-04-13 12:19,Toronto Rush,45,O,1,1,Offense,Catch,Seth Canetti,Joe Babbino,,,Joe Babbino,Joe Santosus,Lionel Wininger,Matt Stevens,Joe Ouellette,Taylor Brooks,Seth Canetti,,,,,,,,,,,,,,,,,,,,,,118,,,,,,,,,,,New York Empire,AUDL 2014
9,2014-04-13 12:19,Toronto Rush,45,O,1,1,Offense,Catch,Joe Babbino,Seth Canetti,,,Joe Babbino,Joe Santosus,Lionel Wininger,Matt Stevens,Joe Ouellette,Taylor Brooks,Seth Canetti,,,,,,,,,,,,,,,,,,,,,,122,,,,,,,,,,,New York Empire,AUDL 2014
