,Date/Time,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Elapsed Time (secs),Begin Area,Begin X,Begin Y,End Area,End X,End Y,Distance Unit of Measure,Absolute Distance,Lateral Distance,Toward Our Goal Distance,Teamname,Tournament
0,2014-04-12 18:53,Vancouver Riptide,28,D,0,1,Defense,Pull,,,,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,Salt Lake Lions,AUDL 2014
1,2014-04-12 18:53,Vancouver Riptide,28,D,0,1,Defense,Goal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,Salt Lake Lions,AUDL 2014
2,2014-04-12 18:53,Vancouver Riptide,15,O,1,1,Offense,Catch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133,,,,,,,,,,,Salt Lake Lions,AUDL 2014
3,2014-04-12 18:53,Vancouver Riptide,15,O,1,1,Offense,Catch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,,,,,,,,,,,Salt Lake Lions,AUDL 2014
4,2014-04-12 18:53,Vancouver Riptide,15,O,1,1,Offense,Goal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146,,,,,,,,,,,Salt Lake Lions,AUDL 2014
5,2014-04-12 18:53,Vancouver Riptide,60,D,1,2,Defense,Pull,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178,,,,,,,,,,,Salt Lake Lions,AUDL 2014
6,2014-04-12 18:53,Vancouver Riptide,60,D,1,2,Defense,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199,,,,,,,,,,,Salt Lake Lions,AUDL 2014
7,2014-04-12 18:53,Vancouver Riptide,60,D,1,2,Offense,Throwaway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225,,,,,,,,,,,Salt Lake Lions,AUDL 2014
8,2014-04-12 18:53,Vancouver Riptide,60,D,1,2,Defense,Goal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236,,,,,,,,,,,Salt Lake Lions,AUDL 2014
9,2014-04-12 18:53,Vancouver Riptide,111,O,1,3,Offense,Catch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,,,,,,,,,,,Salt Lake Lions,AUDL 2014
