,Date/Time,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Elapsed Time (secs),Begin Area,Begin X,Begin Y,End Area,End X,End Y,Distance Unit of Measure,Absolute Distance,Lateral Distance,Toward Our Goal Distance,Teamname,Tournament
0,2014-04-12 15:00,DC Breeze,35,D,0,1,Defense,Pull,,,Mark Lloyd,5.633,Mike Jones,Jeff Lindquist,Gord Harrison,Geoff Powell,Mark Lloyd,Karl Loiseau,Trevor Henry,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,Toronto Rush,AUDL 2014
1,2014-04-12 15:00,DC Breeze,35,D,0,1,Defense,Goal,,,,,Mike Jones,Jeff Lindquist,Gord Harrison,Geoff Powell,Mark Lloyd,Karl Loiseau,Trevor Henry,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,Toronto Rush,AUDL 2014
2,2014-04-12 15:00,DC Breeze,111,O,1,1,Offense,Catch,Sachin Raina,Cameron Harris,,,Jeff Lindquist,Isaiah Masek-Kelly,Steve Armitage,Cameron Harris,Mark Lloyd,Sachin Raina,Thomson McKnight,,,,,,,,,,,,,,,,,,,,,,86,,,,,,,,,,,Toronto Rush,AUDL 2014
3,2014-04-12 15:00,DC Breeze,111,O,1,1,Offense,Catch,Cameron Harris,Sachin Raina,,,Jeff Lindquist,Isaiah Masek-Kelly,Steve Armitage,Cameron Harris,Mark Lloyd,Sachin Raina,Thomson McKnight,,,,,,,,,,,,,,,,,,,,,,95,,,,,,,,,,,Toronto Rush,AUDL 2014
4,2014-04-12 15:00,DC Breeze,111,O,1,1,Offense,Catch,Sachin Raina,Thomson McKnight,,,Jeff Lindquist,Isaiah Masek-Kelly,Steve Armitage,Cameron Harris,Mark Lloyd,Sachin Raina,Thomson McKnight,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,Toronto Rush,AUDL 2014
5,2014-04-12 15:00,DC Breeze,111,O,1,1,Offense,Catch,Thomson McKnight,Cameron Harris,,,Jeff Lindquist,Isaiah Masek-Kelly,Steve Armitage,Cameron Harris,Mark Lloyd,Sachin Raina,Thomson McKnight,,,,,,,,,,,,,,,,,,,,,,103,,,,,,,,,,,Toronto Rush,AUDL 2014
6,2014-04-12 15:00,DC Breeze,111,O,1,1,Offense,Catch,Cameron Harris,Mark Lloyd,,,Jeff Lindquist,Isaiah Masek-Kelly,Steve Armitage,Cameron Harris,Mark Lloyd,Sachin Raina,Thomson McKnight,,,,,,,,,,,,,,,,,,,,,,108,,,,,,,,,,,Toronto Rush,AUDL 2014
7,2014-04-12 15:00,DC Breeze,111,O,1,1,Offense,Catch,Mark Lloyd,Thomson McKnight,,,Jeff Lindquist,Isaiah Masek-Kelly,Steve Armitage,Cameron Harris,Mark Lloyd,Sachin Raina,Thomson McKnight,,,,,,,,,,,,,,,,,,,,,,122,,,,,,,,,,,Toronto Rush,AUDL 2014
8,2014-04-12 15:00,DC Breeze,111,O,1,1,Offense,Catch,Thomson McKnight,Sachin Raina,,,Jeff Lindquist,Isaiah Masek-Kelly,Steve Armitage,Cameron Harris,Mark Lloyd,Sachin Raina,Thomson McKnight,,,,,,,,,,,,,,,,,,,,,,127,,,,,,,,,,,Toronto Rush,AUDL 2014
9,2014-04-12 15:00,DC Breeze,111,O,1,1,Offense,Catch,Sachin Raina,Mark Lloyd,,,Jeff Lindquist,Isaiah Masek-Kelly,Steve Armitage,Cameron Harris,Mark Lloyd,Sachin Raina,Thomson McKnight,,,,,,,,,,,,,,,,,,,,,,131,,,,,,,,,,,Toronto Rush,AUDL 2014
10,2014-04-12 15:00,DC Breeze,111,O,1,1,Offense,Throwaway,Mark Lloyd,,,,Jeff Lindquist,Isaiah Masek-Kelly,Steve Armitage,Cameron Harris,Mark Lloyd,Sachin Raina,Thomson McKnight,,,,,,,,,,,,,,,,,,,,,,134,,,,,,,,,,,Toronto Rush,AUDL 2014
11,2014-04-12 15:00,DC Breeze,111,O,1,1,Defense,Throwaway,,,,,Jeff Lindquist,Isaiah Masek-Kelly,Steve Armitage,Cameron Harris,Mark Lloyd,Sachin Raina,Thomson McKnight,,,,,,,,,,,,,,,,,,,,,,157,,,,,,,,,,,Toronto Rush,AUDL 2014
12,2014-04-12 15:00,DC Breeze,111,O,1,1,Offense,Catch,Thomson McKnight,Cameron Harris,,,Jeff Lindquist,Isaiah Masek-Kelly,Steve Armitage,Cameron Harris,Mark Lloyd,Sachin Raina,Thomson McKnight,,,,,,,,,,,,,,,,,,,,,,174,,,,,,,,,,,Toronto Rush,AUDL 2014
13,2014-04-12 15:00,DC Breeze,111,O,1,1,Offense,Catch,Cameron Harris,Thomson McKnight,,,Jeff Lindquist,Isaiah Masek-Kelly,Steve Armitage,Cameron Harris,Mark Lloyd,Sachin Raina,Thomson McKnight,,,,,,,,,,,,,,,,,,,,,,178,,,,,,,,,,,Toronto Rush,AUDL 2014
14,2014-04-12 15:00,DC Breeze,111,O,1,1,Offense,Catch,Thomson McKnight,Isaiah Masek-Kelly,,,Jeff Lindquist,Isaiah Masek-Kelly,Steve Armitage,Cameron Harris,Mark Lloyd,Sachin Raina,Thomson McKnight,,,,,,,,,,,,,,,,,,,,,,181,,,,,,,,,,,Toronto Rush,AUDL 2014
15,2014-04-12 15:00,DC Breeze,111,O,1,1,Offense,Catch,Isaiah Masek-Kelly,Jeff Lindquist,,,Jeff Lindquist,Isaiah Masek-Kelly,Steve Armitage,Cameron Harris,Mark Lloyd,Sachin Raina,Thomson McKnight,,,,,,,,,,,,,,,,,,,,,,188,,,,,,,,,,,Toronto Rush,AUDL 2014
16,2014-04-12 15:00,DC Breeze,111,O,1,1,Offense,Goal,Jeff Lindquist,Mark Lloyd,,,Jeff Lindquist,Isaiah Masek-Kelly,Steve Armitage,Cameron Harris,Mark Lloyd,Sachin Raina,Thomson McKnight,,,,,,,,,,,,,,,,,,,,,,195,,,,,,,,,,,Toronto Rush,AUDL 2014
17,2014-04-12 15:00,DC Breeze,53,D,1,2,Defense,Pull,,,Gord Harrison,1.184,Mike Jones,Gord Harrison,Jaret Meron,Eamon Pinto,Geoff Powell,Jacky Hau,Trevor Henry,,,,,,,,,,,,,,,,,,,,,,269,,,,,,,,,,,Toronto Rush,AUDL 2014
18,2014-04-12 15:00,DC Breeze,53,D,1,2,Defense,Goal,,,,,Mike Jones,Gord Harrison,Jaret Meron,Eamon Pinto,Geoff Powell,Jacky Hau,Trevor Henry,,,,,,,,,,,,,,,,,,,,,,320,,,,,,,,,,,Toronto Rush,AUDL 2014
19,2014-04-12 15:00,DC Breeze,30,O,2,2,Offense,Catch,Sachin Raina,Thomson McKnight,,,Nima Mostaghim,Isaiah Masek-Kelly,Cameron Harris,Mark Lloyd,Sachin Raina,Thomson McKnight,Andrew Watts,,,,,,,,,,,,,,,,,,,,,,373,,,,,,,,,,,Toronto Rush,AUDL 2014
20,2014-04-12 15:00,DC Breeze,30,O,2,2,Offense,Catch,Thomson McKnight,Cameron Harris,,,Nima Mostaghim,Isaiah Masek-Kelly,Cameron Harris,Mark Lloyd,Sachin Raina,Thomson McKnight,Andrew Watts,,,,,,,,,,,,,,,,,,,,,,386,,,,,,,,,,,Toronto Rush,AUDL 2014
21,2014-04-12 15:00,DC Breeze,30,O,2,2,Offense,Catch,Cameron Harris,Isaiah Masek-Kelly,,,Nima Mostaghim,Isaiah Masek-Kelly,Cameron Harris,Mark Lloyd,Sachin Raina,Thomson McKnight,Andrew Watts,,,,,,,,,,,,,,,,,,,,,,389,,,,,,,,,,,Toronto Rush,AUDL 2014
22,2014-04-12 15:00,DC Breeze,30,O,2,2,Offense,Catch,Isaiah Masek-Kelly,Mark Lloyd,,,Nima Mostaghim,Isaiah Masek-Kelly,Cameron Harris,Mark Lloyd,Sachin Raina,Thomson McKnight,Andrew Watts,,,,,,,,,,,,,,,,,,,,,,392,,,,,,,,,,,Toronto Rush,AUDL 2014
23,2014-04-12 15:00,DC Breeze,30,O,2,2,Offense,Goal,Mark Lloyd,Cameron Harris,,,Nima Mostaghim,Isaiah Masek-Kelly,Cameron Harris,Mark Lloyd,Sachin Raina,Thomson McKnight,Andrew Watts,,,,,,,,,,,,,,,,,,,,,,401,,,,,,,,,,,Toronto Rush,AUDL 2014
24,2014-04-12 15:00,DC Breeze,39,D,2,3,Defense,Pull,,,Gord Harrison,2.703,Jeff Lindquist,Gord Harrison,Liam Bradford,Eric Blanchard,Karl Loiseau,Jacky Hau,Trevor Henry,,,,,,,,,,,,,,,,,,,,,,459,,,,,,,,,,,Toronto Rush,AUDL 2014
25,2014-04-12 15:00,DC Breeze,39,D,2,3,Defense,Goal,,,,,Jeff Lindquist,Gord Harrison,Liam Bradford,Eric Blanchard,Karl Loiseau,Jacky Hau,Trevor Henry,,,,,,,,,,,,,,,,,,,,,,496,,,,,,,,,,,Toronto Rush,AUDL 2014
26,2014-04-12 15:00,DC Breeze,24,O,3,3,Offense,Catch,Sachin Raina,Thomson McKnight,,,Isaiah Masek-Kelly,Kevin Horgan,Cameron Harris,Mark Lloyd,Sachin Raina,Thomson McKnight,Andrew Watts,,,,,,,,,,,,,,,,,,,,,,570,,,,,,,,,,,Toronto Rush,AUDL 2014
27,2014-04-12 15:00,DC Breeze,24,O,3,3,Offense,Catch,Thomson McKnight,Isaiah Masek-Kelly,,,Isaiah Masek-Kelly,Kevin Horgan,Cameron Harris,Mark Lloyd,Sachin Raina,Thomson McKnight,Andrew Watts,,,,,,,,,,,,,,,,,,,,,,579,,,,,,,,,,,Toronto Rush,AUDL 2014
28,2014-04-12 15:00,DC Breeze,24,O,3,3,Offense,Catch,Isaiah Masek-Kelly,Kevin Horgan,,,Isaiah Masek-Kelly,Kevin Horgan,Cameron Harris,Mark Lloyd,Sachin Raina,Thomson McKnight,Andrew Watts,,,,,,,,,,,,,,,,,,,,,,583,,,,,,,,,,,Toronto Rush,AUDL 2014
