,Date/Time,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Elapsed Time (secs),Begin Area,Begin X,Begin Y,End Area,End X,End Y,Distance Unit of Measure,Absolute Distance,Lateral Distance,Toward Our Goal Distance,Teamname,Tournament
0,2014-04-12 18:00,Salt Lake Lions,13,D,1,0,Defense,Pull,,,Ryan Lee,2.811,Kevin Lore,William Vu,Ryan Lee,Tim Lavis,Darren Wu,Derek Fenton,Taylor Nadon,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,Vancouver Riptide,AUDL 2014
1,2014-04-12 18:00,Salt Lake Lions,13,D,1,0,Defense,Throwaway,,,,,Kevin Lore,William Vu,Ryan Lee,Tim Lavis,Darren Wu,Derek Fenton,Taylor Nadon,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,Vancouver Riptide,AUDL 2014
2,2014-04-12 18:00,Salt Lake Lions,13,D,1,0,Offense,Goal,Ryan Lee,William Vu,,,Kevin Lore,William Vu,Ryan Lee,Tim Lavis,Darren Wu,Derek Fenton,Taylor Nadon,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,Vancouver Riptide,AUDL 2014
3,2014-04-12 18:00,Salt Lake Lions,21,D,2,0,Defense,Pull,,,Darren Wu,2.062,Kevin Lore,William Vu,Ryan Lee,Tim Lavis,Darren Wu,Derek Fenton,Taylor Nadon,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,Vancouver Riptide,AUDL 2014
4,2014-04-12 18:00,Salt Lake Lions,21,D,2,0,Defense,Throwaway,,,,,Kevin Lore,William Vu,Ryan Lee,Tim Lavis,Darren Wu,Derek Fenton,Taylor Nadon,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,Vancouver Riptide,AUDL 2014
5,2014-04-12 18:00,Salt Lake Lions,21,D,2,0,Offense,Catch,William Vu,Ryan Lee,,,Kevin Lore,William Vu,Ryan Lee,Tim Lavis,Darren Wu,Derek Fenton,Taylor Nadon,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,Vancouver Riptide,AUDL 2014
6,2014-04-12 18:00,Salt Lake Lions,21,D,2,0,Offense,Goal,Ryan Lee,Darren Wu,,,Kevin Lore,William Vu,Ryan Lee,Tim Lavis,Darren Wu,Derek Fenton,Taylor Nadon,,,,,,,,,,,,,,,,,,,,,,46,,,,,,,,,,,Vancouver Riptide,AUDL 2014
7,2014-04-12 18:00,Salt Lake Lions,14,D,3,0,Defense,Pull,,,Darren Wu,1.455,Kevin Lore,William Vu,Ryan Lee,Tim Lavis,Darren Wu,Derek Fenton,Taylor Nadon,,,,,,,,,,,,,,,,,,,,,,61,,,,,,,,,,,Vancouver Riptide,AUDL 2014
8,2014-04-12 18:00,Salt Lake Lions,14,D,3,0,Defense,D,,,Ryan Lee,,Kevin Lore,William Vu,Ryan Lee,Tim Lavis,Darren Wu,Derek Fenton,Taylor Nadon,,,,,,,,,,,,,,,,,,,,,,65,,,,,,,,,,,Vancouver Riptide,AUDL 2014
9,2014-04-12 18:00,Salt Lake Lions,14,D,3,0,Offense,Goal,Ryan Lee,Derek Fenton,,,Kevin Lore,William Vu,Ryan Lee,Tim Lavis,Darren Wu,Derek Fenton,Taylor Nadon,,,,,,,,,,,,,,,,,,,,,,73,,,,,,,,,,,Vancouver Riptide,AUDL 2014
