,Date/Time,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Elapsed Time (secs),Begin Area,Begin X,Begin Y,End Area,End X,End Y,Distance Unit of Measure,Absolute Distance,Lateral Distance,Toward Our Goal Distance,Teamname,Tournament
0,2015-04-12 12:25,Atlanta Hustle,6,D,0,1,Defense,Pull,,,Mason Gardner,4.033,Sam Lee,Micah Hood,Kyle Silva,Shane Sisco,Andrew Gruninger,Sean Kelley,Mason Gardner,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,Charlotte Express,AUDL 2015
1,2015-04-12 12:25,Atlanta Hustle,6,D,0,1,Defense,Goal,,,,,Sam Lee,Micah Hood,Kyle Silva,Shane Sisco,Andrew Gruninger,Sean Kelley,Mason Gardner,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,Charlotte Express,AUDL 2015
2,2015-04-12 12:25,Atlanta Hustle,7,O,1,1,Offense,Goal,Ed Fox,Dylan Welchman,,,Adam Russell,Sam Fontaine,Dylan Welchman,Zach Saffa,Jon Stone,Ed Fox,,,,,,,,,,,,,,,,,,,,,,,123,,,,,,,,,,,Charlotte Express,AUDL 2015
3,2015-04-12 12:25,Atlanta Hustle,6,D,1,2,Defense,Pull,,,Mason Gardner,5.041,Sam Lee,Micah Hood,Kyle Silva,Shane Sisco,Andrew Gruninger,Sean Kelley,Mason Gardner,,,,,,,,,,,,,,,,,,,,,,132,,,,,,,,,,,Charlotte Express,AUDL 2015
4,2015-04-12 12:25,Atlanta Hustle,6,D,1,2,Defense,Goal,,,,,Sam Lee,Micah Hood,Kyle Silva,Shane Sisco,Andrew Gruninger,Sean Kelley,Mason Gardner,,,,,,,,,,,,,,,,,,,,,,136,,,,,,,,,,,Charlotte Express,AUDL 2015
5,2015-04-12 12:25,Atlanta Hustle,23,O,1,3,Offense,Catch,Adam Russell,Evan Howey,,,Sam Lee,Adam Russell,Sam Fontaine,Dylan Welchman,Jon Stone,Ed Fox,Evan Howey,,,,,,,,,,,,,,,,,,,,,,251,,,,,,,,,,,Charlotte Express,AUDL 2015
6,2015-04-12 12:25,Atlanta Hustle,23,O,1,3,Offense,Catch,Evan Howey,Jon Stone,,,Sam Lee,Adam Russell,Sam Fontaine,Dylan Welchman,Jon Stone,Ed Fox,Evan Howey,,,,,,,,,,,,,,,,,,,,,,260,,,,,,,,,,,Charlotte Express,AUDL 2015
7,2015-04-12 12:25,Atlanta Hustle,23,O,1,3,Offense,Catch,Jon Stone,Ed Fox,,,Sam Lee,Adam Russell,Sam Fontaine,Dylan Welchman,Jon Stone,Ed Fox,Evan Howey,,,,,,,,,,,,,,,,,,,,,,264,,,,,,,,,,,Charlotte Express,AUDL 2015
8,2015-04-12 12:25,Atlanta Hustle,23,O,1,3,Offense,Drop,Ed Fox,Adam Russell,,,Sam Lee,Adam Russell,Sam Fontaine,Dylan Welchman,Jon Stone,Ed Fox,Evan Howey,,,,,,,,,,,,,,,,,,,,,,268,,,,,,,,,,,Charlotte Express,AUDL 2015
9,2015-04-12 12:25,Atlanta Hustle,23,O,1,3,Defense,Goal,,,,,Sam Lee,Adam Russell,Sam Fontaine,Dylan Welchman,Jon Stone,Ed Fox,Evan Howey,,,,,,,,,,,,,,,,,,,,,,272,,,,,,,,,,,Charlotte Express,AUDL 2015
10,2015-04-12 12:25,Atlanta Hustle,19,O,1,4,Offense,Catch,Jon Stone,Matt Glenn,,,Dylan Welchman,Micah Hood,Matt Glenn,Adam Bostian,Ethan Burns,Jon Stone,Graham Whittington,,,,,,,,,,,,,,,,,,,,,,379,,,,,,,,,,,Charlotte Express,AUDL 2015
11,2015-04-12 12:25,Atlanta Hustle,19,O,1,4,Offense,Catch,Matt Glenn,Jon Stone,,,Dylan Welchman,Micah Hood,Matt Glenn,Adam Bostian,Ethan Burns,Jon Stone,Graham Whittington,,,,,,,,,,,,,,,,,,,,,,388,,,,,,,,,,,Charlotte Express,AUDL 2015
12,2015-04-12 12:25,Atlanta Hustle,19,O,1,4,Offense,Throwaway,Jon Stone,,,,Dylan Welchman,Micah Hood,Matt Glenn,Adam Bostian,Ethan Burns,Jon Stone,Graham Whittington,,,,,,,,,,,,,,,,,,,,,,392,,,,,,,,,,,Charlotte Express,AUDL 2015
13,2015-04-12 12:25,Atlanta Hustle,19,O,1,4,Defense,Goal,,,,,Dylan Welchman,Micah Hood,Matt Glenn,Adam Bostian,Ethan Burns,Jon Stone,Graham Whittington,,,,,,,,,,,,,,,,,,,,,,396,,,,,,,,,,,Charlotte Express,AUDL 2015
14,2015-04-12 12:25,Atlanta Hustle,123,O,2,4,Offense,Catch,Graham Whittington,Adam Russell,,,Adam Russell,Sam Fontaine,Micah Hood,Ethan Burns,Ed Fox,Charlie Muniz,Graham Whittington,,,,,,,,,,,,,,,,,,,,,,395,,,,,,,,,,,Charlotte Express,AUDL 2015
15,2015-04-12 12:25,Atlanta Hustle,123,O,2,4,Offense,Catch,Adam Russell,Sam Fontaine,,,Adam Russell,Sam Fontaine,Micah Hood,Ethan Burns,Ed Fox,Charlie Muniz,Graham Whittington,,,,,,,,,,,,,,,,,,,,,,404,,,,,,,,,,,Charlotte Express,AUDL 2015
16,2015-04-12 12:25,Atlanta Hustle,123,O,2,4,Offense,Catch,Sam Fontaine,Graham Whittington,,,Adam Russell,Sam Fontaine,Micah Hood,Ethan Burns,Ed Fox,Charlie Muniz,Graham Whittington,,,,,,,,,,,,,,,,,,,,,,408,,,,,,,,,,,Charlotte Express,AUDL 2015
17,2015-04-12 12:25,Atlanta Hustle,123,O,2,4,Offense,Catch,Graham Whittington,Charlie Muniz,,,Adam Russell,Sam Fontaine,Micah Hood,Ethan Burns,Ed Fox,Charlie Muniz,Graham Whittington,,,,,,,,,,,,,,,,,,,,,,412,,,,,,,,,,,Charlotte Express,AUDL 2015
18,2015-04-12 12:25,Atlanta Hustle,123,O,2,4,Offense,Catch,Charlie Muniz,Graham Whittington,,,Adam Russell,Sam Fontaine,Micah Hood,Ethan Burns,Ed Fox,Charlie Muniz,Graham Whittington,,,,,,,,,,,,,,,,,,,,,,416,,,,,,,,,,,Charlotte Express,AUDL 2015
19,2015-04-12 12:25,Atlanta Hustle,123,O,2,4,Offense,Catch,Graham Whittington,Ed Fox,,,Adam Russell,Sam Fontaine,Micah Hood,Ethan Burns,Ed Fox,Charlie Muniz,Graham Whittington,,,,,,,,,,,,,,,,,,,,,,420,,,,,,,,,,,Charlotte Express,AUDL 2015
