,Date/Time,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Elapsed Time (secs),Begin Area,Begin X,Begin Y,End Area,End X,End Y,Distance Unit of Measure,Absolute Distance,Lateral Distance,Toward Our Goal Distance,Teamname,Tournament
0,2015-04-11 20:05,Detroit Mechanix,50,D,1,0,Defense,Pull,,,Isaac Jeffries,5.561,Corey Hardesty,Zach Kaylor,Isaac Jeffries,Kegan Carroll,Keegan North,Eric Brinkman,Nick Wetzel,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,Cincinnati Revolution,AUDL 2015
1,2015-04-11 20:05,Detroit Mechanix,50,D,1,0,Defense,D,,,Eric Brinkman,,Corey Hardesty,Zach Kaylor,Isaac Jeffries,Kegan Carroll,Keegan North,Eric Brinkman,Nick Wetzel,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,Cincinnati Revolution,AUDL 2015
2,2015-04-11 20:05,Detroit Mechanix,50,D,1,0,Offense,Catch,Nick Wetzel,Zach Kaylor,,,Corey Hardesty,Zach Kaylor,Isaac Jeffries,Kegan Carroll,Keegan North,Eric Brinkman,Nick Wetzel,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,Cincinnati Revolution,AUDL 2015
3,2015-04-11 20:05,Detroit Mechanix,50,D,1,0,Offense,Catch,Zach Kaylor,Keegan North,,,Corey Hardesty,Zach Kaylor,Isaac Jeffries,Kegan Carroll,Keegan North,Eric Brinkman,Nick Wetzel,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,Cincinnati Revolution,AUDL 2015
4,2015-04-11 20:05,Detroit Mechanix,50,D,1,0,Offense,Catch,Keegan North,Corey Hardesty,,,Corey Hardesty,Zach Kaylor,Isaac Jeffries,Kegan Carroll,Keegan North,Eric Brinkman,Nick Wetzel,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,Cincinnati Revolution,AUDL 2015
5,2015-04-11 20:05,Detroit Mechanix,50,D,1,0,Offense,Catch,Corey Hardesty,Zach Kaylor,,,Corey Hardesty,Zach Kaylor,Isaac Jeffries,Kegan Carroll,Keegan North,Eric Brinkman,Nick Wetzel,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,Cincinnati Revolution,AUDL 2015
6,2015-04-11 20:05,Detroit Mechanix,50,D,1,0,Offense,Catch,Zach Kaylor,Eric Brinkman,,,Corey Hardesty,Zach Kaylor,Isaac Jeffries,Kegan Carroll,Keegan North,Eric Brinkman,Nick Wetzel,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,Cincinnati Revolution,AUDL 2015
7,2015-04-11 20:05,Detroit Mechanix,50,D,1,0,Offense,Catch,Eric Brinkman,Nick Wetzel,,,Corey Hardesty,Zach Kaylor,Isaac Jeffries,Kegan Carroll,Keegan North,Eric Brinkman,Nick Wetzel,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,Cincinnati Revolution,AUDL 2015
8,2015-04-11 20:05,Detroit Mechanix,50,D,1,0,Offense,Catch,Nick Wetzel,Isaac Jeffries,,,Corey Hardesty,Zach Kaylor,Isaac Jeffries,Kegan Carroll,Keegan North,Eric Brinkman,Nick Wetzel,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,Cincinnati Revolution,AUDL 2015
9,2015-04-11 20:05,Detroit Mechanix,50,D,1,0,Offense,Goal,Isaac Jeffries,Kegan Carroll,,,Corey Hardesty,Zach Kaylor,Isaac Jeffries,Kegan Carroll,Keegan North,Eric Brinkman,Nick Wetzel,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,Cincinnati Revolution,AUDL 2015
10,2015-04-11 20:05,Detroit Mechanix,67,D,1,1,Defense,Pull,,,Isaac Jeffries,8.146,Corey Hardesty,Zach Kaylor,Isaac Jeffries,Kegan Carroll,Keegan North,Eric Brinkman,Nick Wetzel,,,,,,,,,,,,,,,,,,,,,,91,,,,,,,,,,,Cincinnati Revolution,AUDL 2015
11,2015-04-11 20:05,Detroit Mechanix,67,D,1,1,Defense,D,,,Keegan North,,Corey Hardesty,Zach Kaylor,Isaac Jeffries,Kegan Carroll,Keegan North,Eric Brinkman,Nick Wetzel,,,,,,,,,,,,,,,,,,,,,,111,,,,,,,,,,,Cincinnati Revolution,AUDL 2015
12,2015-04-11 20:05,Detroit Mechanix,67,D,1,1,Offense,Catch,Nick Wetzel,Zach Kaylor,,,Corey Hardesty,Zach Kaylor,Isaac Jeffries,Kegan Carroll,Keegan North,Eric Brinkman,Nick Wetzel,,,,,,,,,,,,,,,,,,,,,,117,,,,,,,,,,,Cincinnati Revolution,AUDL 2015
13,2015-04-11 20:05,Detroit Mechanix,67,D,1,1,Offense,Catch,Zach Kaylor,Nick Wetzel,,,Corey Hardesty,Zach Kaylor,Isaac Jeffries,Kegan Carroll,Keegan North,Eric Brinkman,Nick Wetzel,,,,,,,,,,,,,,,,,,,,,,121,,,,,,,,,,,Cincinnati Revolution,AUDL 2015
14,2015-04-11 20:05,Detroit Mechanix,67,D,1,1,Offense,Catch,Nick Wetzel,Zach Kaylor,,,Corey Hardesty,Zach Kaylor,Isaac Jeffries,Kegan Carroll,Keegan North,Eric Brinkman,Nick Wetzel,,,,,,,,,,,,,,,,,,,,,,125,,,,,,,,,,,Cincinnati Revolution,AUDL 2015
