,Date/Time,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Elapsed Time (secs),Begin Area,Begin X,Begin Y,End Area,End X,End Y,Distance Unit of Measure,Absolute Distance,Lateral Distance,Toward Our Goal Distance,Teamname,Tournament
0,2015-04-11 19:39,Indianapolis AlleyCats,44,O,1,0,Offense,Catch,Isaac Saul,Alex Thorne,,,Isaac Saul,Alex Thorne,Aaron Watson,Ethan Beardsley,David Vatz,Rob Dulabon,Chris Brenenborg,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,Pittsburgh Thunderbirds,AUDL 2015
1,2015-04-11 19:39,Indianapolis AlleyCats,44,O,1,0,Offense,Catch,Alex Thorne,Isaac Saul,,,Isaac Saul,Alex Thorne,Aaron Watson,Ethan Beardsley,David Vatz,Rob Dulabon,Chris Brenenborg,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,Pittsburgh Thunderbirds,AUDL 2015
2,2015-04-11 19:39,Indianapolis AlleyCats,44,O,1,0,Offense,Catch,Isaac Saul,Alex Thorne,,,Isaac Saul,Alex Thorne,Aaron Watson,Ethan Beardsley,David Vatz,Rob Dulabon,Chris Brenenborg,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,Pittsburgh Thunderbirds,AUDL 2015
3,2015-04-11 19:39,Indianapolis AlleyCats,44,O,1,0,Offense,Catch,Alex Thorne,Isaac Saul,,,Isaac Saul,Alex Thorne,Aaron Watson,Ethan Beardsley,David Vatz,Rob Dulabon,Chris Brenenborg,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,Pittsburgh Thunderbirds,AUDL 2015
4,2015-04-11 19:39,Indianapolis AlleyCats,44,O,1,0,Offense,Goal,Isaac Saul,Ethan Beardsley,,,Isaac Saul,Alex Thorne,Aaron Watson,Ethan Beardsley,David Vatz,Rob Dulabon,Chris Brenenborg,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,,,,Pittsburgh Thunderbirds,AUDL 2015
5,2015-04-11 19:39,Indianapolis AlleyCats,133,D,2,0,Defense,Pull,,,Mark Fedorenko,7.313,Mark Fedorenko,Tad Wissel,Felipe Delgado,Rob Dulabon,Mike Pannone,Jon Mast,Nick Haser,,,,,,,,,,,,,,,,,,,,,,121,,,,,,,,,,,Pittsburgh Thunderbirds,AUDL 2015
6,2015-04-11 19:39,Indianapolis AlleyCats,133,D,2,0,Defense,Throwaway,,,,,Mark Fedorenko,Tad Wissel,Felipe Delgado,Rob Dulabon,Mike Pannone,Jon Mast,Nick Haser,,,,,,,,,,,,,,,,,,,,,,131,,,,,,,,,,,Pittsburgh Thunderbirds,AUDL 2015
7,2015-04-11 19:39,Indianapolis AlleyCats,133,D,2,0,Offense,Catch,Mark Fedorenko,Tad Wissel,,,Mark Fedorenko,Tad Wissel,Felipe Delgado,Rob Dulabon,Mike Pannone,Jon Mast,Nick Haser,,,,,,,,,,,,,,,,,,,,,,135,,,,,,,,,,,Pittsburgh Thunderbirds,AUDL 2015
8,2015-04-11 19:39,Indianapolis AlleyCats,133,D,2,0,Offense,Catch,Tad Wissel,Mike Pannone,,,Mark Fedorenko,Tad Wissel,Felipe Delgado,Rob Dulabon,Mike Pannone,Jon Mast,Nick Haser,,,,,,,,,,,,,,,,,,,,,,139,,,,,,,,,,,Pittsburgh Thunderbirds,AUDL 2015
9,2015-04-11 19:39,Indianapolis AlleyCats,133,D,2,0,Offense,Catch,Mike Pannone,Rob Dulabon,,,Mark Fedorenko,Tad Wissel,Felipe Delgado,Rob Dulabon,Mike Pannone,Jon Mast,Nick Haser,,,,,,,,,,,,,,,,,,,,,,142,,,,,,,,,,,Pittsburgh Thunderbirds,AUDL 2015
10,2015-04-11 19:39,Indianapolis AlleyCats,133,D,2,0,Offense,Catch,Rob Dulabon,Felipe Delgado,,,Mark Fedorenko,Tad Wissel,Felipe Delgado,Rob Dulabon,Mike Pannone,Jon Mast,Nick Haser,,,,,,,,,,,,,,,,,,,,,,147,,,,,,,,,,,Pittsburgh Thunderbirds,AUDL 2015
