,Date/Time,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Elapsed Time (secs),Begin Area,Begin X,Begin Y,End Area,End X,End Y,Distance Unit of Measure,Absolute Distance,Lateral Distance,Toward Our Goal Distance,Teamname,Tournament
0,2015-04-12 13:04,Seattle Cascades,77,D,0,1,Defense,Pull,,,Jimmy Mickle,4.074,Will Griffin,Nicholas Smith,Nick Lance,Steven Milardovich,Kurt Gibson,Jimmy Mickle,Kory Helms,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,San Diego Growlers,AUDL 2015
1,2015-04-12 13:04,Seattle Cascades,77,D,0,1,Defense,Throwaway,,,,,Will Griffin,Nicholas Smith,Nick Lance,Steven Milardovich,Kurt Gibson,Jimmy Mickle,Kory Helms,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,San Diego Growlers,AUDL 2015
2,2015-04-12 13:04,Seattle Cascades,77,D,0,1,Offense,MiscPenalty,Kurt Gibson,,,,Will Griffin,Nicholas Smith,Nick Lance,Steven Milardovich,Kurt Gibson,Jimmy Mickle,Kory Helms,,,,,,,,,,,,,,,,,,,,,,58,,,,,,,,,,,San Diego Growlers,AUDL 2015
3,2015-04-12 13:04,Seattle Cascades,77,D,0,1,Defense,Goal,,,,,Will Griffin,Nicholas Smith,Nick Lance,Steven Milardovich,Kurt Gibson,Jimmy Mickle,Kory Helms,,,,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,San Diego Growlers,AUDL 2015
4,2015-04-12 13:04,Seattle Cascades,50,O,1,1,Offense,Catch,Joshua Ackley,Dom Leggio,,,Ross Lenta,Casey Wu,Jesse Cohen,Andy Curtis,Joshua Ackley,Andy Sammons,Dom Leggio,,,,,,,,,,,,,,,,,,,,,,165,,,,,,,,,,,San Diego Growlers,AUDL 2015
5,2015-04-12 13:04,Seattle Cascades,50,O,1,1,Offense,Catch,Dom Leggio,Jesse Cohen,,,Ross Lenta,Casey Wu,Jesse Cohen,Andy Curtis,Joshua Ackley,Andy Sammons,Dom Leggio,,,,,,,,,,,,,,,,,,,,,,173,,,,,,,,,,,San Diego Growlers,AUDL 2015
6,2015-04-12 13:04,Seattle Cascades,50,O,1,1,Offense,Catch,Jesse Cohen,Dom Leggio,,,Ross Lenta,Casey Wu,Jesse Cohen,Andy Curtis,Joshua Ackley,Andy Sammons,Dom Leggio,,,,,,,,,,,,,,,,,,,,,,176,,,,,,,,,,,San Diego Growlers,AUDL 2015
7,2015-04-12 13:04,Seattle Cascades,50,O,1,1,Offense,Catch,Dom Leggio,Andy Sammons,,,Ross Lenta,Casey Wu,Jesse Cohen,Andy Curtis,Joshua Ackley,Andy Sammons,Dom Leggio,,,,,,,,,,,,,,,,,,,,,,180,,,,,,,,,,,San Diego Growlers,AUDL 2015
8,2015-04-12 13:04,Seattle Cascades,50,O,1,1,Offense,Catch,Andy Sammons,Andy Curtis,,,Ross Lenta,Casey Wu,Jesse Cohen,Andy Curtis,Joshua Ackley,Andy Sammons,Dom Leggio,,,,,,,,,,,,,,,,,,,,,,184,,,,,,,,,,,San Diego Growlers,AUDL 2015
9,2015-04-12 13:04,Seattle Cascades,50,O,1,1,Offense,Catch,Andy Curtis,Ross Lenta,,,Ross Lenta,Casey Wu,Jesse Cohen,Andy Curtis,Joshua Ackley,Andy Sammons,Dom Leggio,,,,,,,,,,,,,,,,,,,,,,188,,,,,,,,,,,San Diego Growlers,AUDL 2015
