,Date/Time,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Elapsed Time (secs),Begin Area,Begin X,Begin Y,End Area,End X,End Y,Distance Unit of Measure,Absolute Distance,Lateral Distance,Toward Our Goal Distance,Teamname,Tournament
0,2015-04-12 13:02,Vancouver Riptide,79,O,1,0,Offense,Catch,Chuck Cao,Kevin Smith,,,Beau Kittredge,Greg Cohen,Chuck Cao,Simon Higgins,Marcelo Sanchez,Kevin Smith,Justin Norden,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,San Jose Spiders,AUDL 2015
1,2015-04-12 13:02,Vancouver Riptide,79,O,1,0,Offense,Catch,Kevin Smith,Marcelo Sanchez,,,Beau Kittredge,Greg Cohen,Chuck Cao,Simon Higgins,Marcelo Sanchez,Kevin Smith,Justin Norden,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,San Jose Spiders,AUDL 2015
2,2015-04-12 13:02,Vancouver Riptide,79,O,1,0,Offense,Catch,Marcelo Sanchez,Simon Higgins,,,Beau Kittredge,Greg Cohen,Chuck Cao,Simon Higgins,Marcelo Sanchez,Kevin Smith,Justin Norden,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,San Jose Spiders,AUDL 2015
3,2015-04-12 13:02,Vancouver Riptide,79,O,1,0,Offense,Catch,Simon Higgins,Justin Norden,,,Beau Kittredge,Greg Cohen,Chuck Cao,Simon Higgins,Marcelo Sanchez,Kevin Smith,Justin Norden,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,San Jose Spiders,AUDL 2015
4,2015-04-12 13:02,Vancouver Riptide,79,O,1,0,Offense,Catch,Justin Norden,Chuck Cao,,,Beau Kittredge,Greg Cohen,Chuck Cao,Simon Higgins,Marcelo Sanchez,Kevin Smith,Justin Norden,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,San Jose Spiders,AUDL 2015
5,2015-04-12 13:02,Vancouver Riptide,79,O,1,0,Offense,Catch,Chuck Cao,Justin Norden,,,Beau Kittredge,Greg Cohen,Chuck Cao,Simon Higgins,Marcelo Sanchez,Kevin Smith,Justin Norden,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,San Jose Spiders,AUDL 2015
6,2015-04-12 13:02,Vancouver Riptide,79,O,1,0,Offense,Catch,Justin Norden,Beau Kittredge,,,Beau Kittredge,Greg Cohen,Chuck Cao,Simon Higgins,Marcelo Sanchez,Kevin Smith,Justin Norden,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,San Jose Spiders,AUDL 2015
7,2015-04-12 13:02,Vancouver Riptide,79,O,1,0,Offense,Catch,Beau Kittredge,Marcelo Sanchez,,,Beau Kittredge,Greg Cohen,Chuck Cao,Simon Higgins,Marcelo Sanchez,Kevin Smith,Justin Norden,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,San Jose Spiders,AUDL 2015
8,2015-04-12 13:02,Vancouver Riptide,79,O,1,0,Offense,Catch,Marcelo Sanchez,Beau Kittredge,,,Beau Kittredge,Greg Cohen,Chuck Cao,Simon Higgins,Marcelo Sanchez,Kevin Smith,Justin Norden,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,San Jose Spiders,AUDL 2015
9,2015-04-12 13:02,Vancouver Riptide,79,O,1,0,Offense,Catch,Beau Kittredge,Greg Cohen,,,Beau Kittredge,Greg Cohen,Chuck Cao,Simon Higgins,Marcelo Sanchez,Kevin Smith,Justin Norden,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,San Jose Spiders,AUDL 2015
10,2015-04-12 13:02,Vancouver Riptide,79,O,1,0,Offense,Catch,Greg Cohen,Beau Kittredge,,,Beau Kittredge,Greg Cohen,Chuck Cao,Simon Higgins,Marcelo Sanchez,Kevin Smith,Justin Norden,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,San Jose Spiders,AUDL 2015
11,2015-04-12 13:02,Vancouver Riptide,79,O,1,0,Offense,Goal,Beau Kittredge,Simon Higgins,,,Beau Kittredge,Greg Cohen,Chuck Cao,Simon Higgins,Marcelo Sanchez,Kevin Smith,Justin Norden,,,,,,,,,,,,,,,,,,,,,,61,,,,,,,,,,,San Jose Spiders,AUDL 2015
12,2015-04-12 13:02,Vancouver Riptide,73,D,2,0,Defense,Pull,,,,,Matthew Crawford,Ethan Falat,Jordan Marcy,Kevin Cocks,Matt Jaffe,Tyler Grant,Sonny Zaccaro,,,,,,,,,,,,,,,,,,,,,,163,,,,,,,,,,,San Jose Spiders,AUDL 2015
13,2015-04-12 13:02,Vancouver Riptide,73,D,2,0,Defense,Throwaway,,,,,Matthew Crawford,Ethan Falat,Jordan Marcy,Kevin Cocks,Matt Jaffe,Tyler Grant,Sonny Zaccaro,,,,,,,,,,,,,,,,,,,,,,183,,,,,,,,,,,San Jose Spiders,AUDL 2015
14,2015-04-12 13:02,Vancouver Riptide,73,D,2,0,Offense,Catch,Matt Jaffe,Jordan Marcy,,,Matthew Crawford,Ethan Falat,Jordan Marcy,Kevin Cocks,Matt Jaffe,Tyler Grant,Sonny Zaccaro,,,,,,,,,,,,,,,,,,,,,,198,,,,,,,,,,,San Jose Spiders,AUDL 2015
15,2015-04-12 13:02,Vancouver Riptide,73,D,2,0,Offense,Catch,Jordan Marcy,Tyler Grant,,,Matthew Crawford,Ethan Falat,Jordan Marcy,Kevin Cocks,Matt Jaffe,Tyler Grant,Sonny Zaccaro,,,,,,,,,,,,,,,,,,,,,,203,,,,,,,,,,,San Jose Spiders,AUDL 2015
16,2015-04-12 13:02,Vancouver Riptide,73,D,2,0,Offense,Throwaway,Tyler Grant,,,,Matthew Crawford,Ethan Falat,Jordan Marcy,Kevin Cocks,Matt Jaffe,Tyler Grant,Sonny Zaccaro,,,,,,,,,,,,,,,,,,,,,,206,,,,,,,,,,,San Jose Spiders,AUDL 2015
17,2015-04-12 13:02,Vancouver Riptide,73,D,2,0,Defense,D,,,Matt Jaffe,,Matthew Crawford,Ethan Falat,Jordan Marcy,Kevin Cocks,Matt Jaffe,Tyler Grant,Sonny Zaccaro,,,,,,,,,,,,,,,,,,,,,,209,,,,,,,,,,,San Jose Spiders,AUDL 2015
