,Date/Time,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Elapsed Time (secs),Begin Area,Begin X,Begin Y,End Area,End X,End Y,Distance Unit of Measure,Absolute Distance,Lateral Distance,Toward Our Goal Distance,Teamname,Tournament
0,2016-04-02 19:05,Nashville NightWatch,73,O,1,0,Offense,Catch,Kyle Stapleton,Dylan Tunnell,,,Mark Poole,Dylan Tunnell,Elliott Erickson,Austin Taylor,Trenton Spinks,Sam Gainer,Kyle Stapleton,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,Atlanta Hustle,AUDL 2016
1,2016-04-02 19:05,Nashville NightWatch,73,O,1,0,Offense,Catch,Dylan Tunnell,Austin Taylor,,,Mark Poole,Dylan Tunnell,Elliott Erickson,Austin Taylor,Trenton Spinks,Sam Gainer,Kyle Stapleton,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,Atlanta Hustle,AUDL 2016
2,2016-04-02 19:05,Nashville NightWatch,73,O,1,0,Offense,Catch,Austin Taylor,Kyle Stapleton,,,Mark Poole,Dylan Tunnell,Elliott Erickson,Austin Taylor,Trenton Spinks,Sam Gainer,Kyle Stapleton,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,Atlanta Hustle,AUDL 2016
3,2016-04-02 19:05,Nashville NightWatch,73,O,1,0,Offense,Catch,Kyle Stapleton,Mark Poole,,,Mark Poole,Dylan Tunnell,Elliott Erickson,Austin Taylor,Trenton Spinks,Sam Gainer,Kyle Stapleton,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,Atlanta Hustle,AUDL 2016
4,2016-04-02 19:05,Nashville NightWatch,73,O,1,0,Offense,Catch,Mark Poole,Sam Gainer,,,Mark Poole,Dylan Tunnell,Elliott Erickson,Austin Taylor,Trenton Spinks,Sam Gainer,Kyle Stapleton,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,Atlanta Hustle,AUDL 2016
5,2016-04-02 19:05,Nashville NightWatch,73,O,1,0,Offense,Catch,Sam Gainer,Mark Poole,,,Mark Poole,Dylan Tunnell,Elliott Erickson,Austin Taylor,Trenton Spinks,Sam Gainer,Kyle Stapleton,,,,,,,,,,,,,,,,,,,,,,37,,,,,,,,,,,Atlanta Hustle,AUDL 2016
6,2016-04-02 19:05,Nashville NightWatch,73,O,1,0,Offense,Catch,Mark Poole,Sam Gainer,,,Mark Poole,Dylan Tunnell,Elliott Erickson,Austin Taylor,Trenton Spinks,Sam Gainer,Kyle Stapleton,,,,,,,,,,,,,,,,,,,,,,43,,,,,,,,,,,Atlanta Hustle,AUDL 2016
7,2016-04-02 19:05,Nashville NightWatch,73,O,1,0,Offense,Catch,Sam Gainer,Mark Poole,,,Mark Poole,Dylan Tunnell,Elliott Erickson,Austin Taylor,Trenton Spinks,Sam Gainer,Kyle Stapleton,,,,,,,,,,,,,,,,,,,,,,47,,,,,,,,,,,Atlanta Hustle,AUDL 2016
8,2016-04-02 19:05,Nashville NightWatch,73,O,1,0,Offense,Catch,Mark Poole,Austin Taylor,,,Mark Poole,Dylan Tunnell,Elliott Erickson,Austin Taylor,Trenton Spinks,Sam Gainer,Kyle Stapleton,,,,,,,,,,,,,,,,,,,,,,51,,,,,,,,,,,Atlanta Hustle,AUDL 2016
9,2016-04-02 19:05,Nashville NightWatch,73,O,1,0,Offense,Catch,Austin Taylor,Mark Poole,,,Mark Poole,Dylan Tunnell,Elliott Erickson,Austin Taylor,Trenton Spinks,Sam Gainer,Kyle Stapleton,,,,,,,,,,,,,,,,,,,,,,55,,,,,,,,,,,Atlanta Hustle,AUDL 2016
10,2016-04-02 19:05,Nashville NightWatch,73,O,1,0,Offense,Catch,Mark Poole,Austin Taylor,,,Mark Poole,Dylan Tunnell,Elliott Erickson,Austin Taylor,Trenton Spinks,Sam Gainer,Kyle Stapleton,,,,,,,,,,,,,,,,,,,,,,59,,,,,,,,,,,Atlanta Hustle,AUDL 2016
11,2016-04-02 19:05,Nashville NightWatch,73,O,1,0,Offense,Catch,Austin Taylor,Mark Poole,,,Mark Poole,Dylan Tunnell,Elliott Erickson,Austin Taylor,Trenton Spinks,Sam Gainer,Kyle Stapleton,,,,,,,,,,,,,,,,,,,,,,63,,,,,,,,,,,Atlanta Hustle,AUDL 2016
12,2016-04-02 19:05,Nashville NightWatch,73,O,1,0,Offense,Catch,Mark Poole,Sam Gainer,,,Mark Poole,Dylan Tunnell,Elliott Erickson,Austin Taylor,Trenton Spinks,Sam Gainer,Kyle Stapleton,,,,,,,,,,,,,,,,,,,,,,67,,,,,,,,,,,Atlanta Hustle,AUDL 2016
13,2016-04-02 19:05,Nashville NightWatch,73,O,1,0,Offense,Goal,Sam Gainer,Mark Poole,,,Mark Poole,Dylan Tunnell,Elliott Erickson,Austin Taylor,Trenton Spinks,Sam Gainer,Kyle Stapleton,,,,,,,,,,,,,,,,,,,,,,71,,,,,,,,,,,Atlanta Hustle,AUDL 2016
14,2016-04-02 19:05,Nashville NightWatch,129,D,1,1,Defense,Pull,,,Robert Runner,4.629,Robert Runner,David Berendes,JP Burns,Kelvin Williams,Nathan Vickroy,Anders Olsen,Sun Choi,,,,,,,,,,,,,,,,,,,,,,129,,,,,,,,,,,Atlanta Hustle,AUDL 2016
15,2016-04-02 19:05,Nashville NightWatch,129,D,1,1,Defense,Throwaway,,,,,Robert Runner,David Berendes,JP Burns,Kelvin Williams,Nathan Vickroy,Anders Olsen,Sun Choi,,,,,,,,,,,,,,,,,,,,,,178,,,,,,,,,,,Atlanta Hustle,AUDL 2016
16,2016-04-02 19:05,Nashville NightWatch,129,D,1,1,Offense,Catch,Robert Runner,JP Burns,,,Robert Runner,David Berendes,JP Burns,Kelvin Williams,Nathan Vickroy,Anders Olsen,Sun Choi,,,,,,,,,,,,,,,,,,,,,,181,,,,,,,,,,,Atlanta Hustle,AUDL 2016
17,2016-04-02 19:05,Nashville NightWatch,129,D,1,1,Offense,Catch,JP Burns,Sun Choi,,,Robert Runner,David Berendes,JP Burns,Kelvin Williams,Nathan Vickroy,Anders Olsen,Sun Choi,,,,,,,,,,,,,,,,,,,,,,185,,,,,,,,,,,Atlanta Hustle,AUDL 2016
18,2016-04-02 19:05,Nashville NightWatch,129,D,1,1,Offense,Catch,Sun Choi,JP Burns,,,Robert Runner,David Berendes,JP Burns,Kelvin Williams,Nathan Vickroy,Anders Olsen,Sun Choi,,,,,,,,,,,,,,,,,,,,,,189,,,,,,,,,,,Atlanta Hustle,AUDL 2016
19,2016-04-02 19:05,Nashville NightWatch,129,D,1,1,Offense,Catch,JP Burns,David Berendes,,,Robert Runner,David Berendes,JP Burns,Kelvin Williams,Nathan Vickroy,Anders Olsen,Sun Choi,,,,,,,,,,,,,,,,,,,,,,193,,,,,,,,,,,Atlanta Hustle,AUDL 2016
20,2016-04-02 19:05,Nashville NightWatch,129,D,1,1,Offense,Catch,David Berendes,Nathan Vickroy,,,Robert Runner,David Berendes,JP Burns,Kelvin Williams,Nathan Vickroy,Anders Olsen,Sun Choi,,,,,,,,,,,,,,,,,,,,,,197,,,,,,,,,,,Atlanta Hustle,AUDL 2016
21,2016-04-02 19:05,Nashville NightWatch,129,D,1,1,Offense,Catch,David Berendes,Robert Runner,,,Robert Runner,David Berendes,JP Burns,Kelvin Williams,Nathan Vickroy,Anders Olsen,Sun Choi,,,,,,,,,,,,,,,,,,,,,,206,,,,,,,,,,,Atlanta Hustle,AUDL 2016
22,2016-04-02 19:05,Nashville NightWatch,129,D,1,1,Offense,Catch,Robert Runner,JP Burns,,,Robert Runner,David Berendes,JP Burns,Kelvin Williams,Nathan Vickroy,Anders Olsen,Sun Choi,,,,,,,,,,,,,,,,,,,,,,210,,,,,,,,,,,Atlanta Hustle,AUDL 2016
23,2016-04-02 19:05,Nashville NightWatch,129,D,1,1,Offense,Catch,JP Burns,Nathan Vickroy,,,Robert Runner,David Berendes,JP Burns,Kelvin Williams,Nathan Vickroy,Anders Olsen,Sun Choi,,,,,,,,,,,,,,,,,,,,,,214,,,,,,,,,,,Atlanta Hustle,AUDL 2016
24,2016-04-02 19:05,Nashville NightWatch,129,D,1,1,Offense,Catch,Nathan Vickroy,Robert Runner,,,Robert Runner,David Berendes,JP Burns,Kelvin Williams,Nathan Vickroy,Anders Olsen,Sun Choi,,,,,,,,,,,,,,,,,,,,,,219,,,,,,,,,,,Atlanta Hustle,AUDL 2016
25,2016-04-02 19:05,Nashville NightWatch,129,D,1,1,Offense,Catch,Robert Runner,Anders Olsen,,,Robert Runner,David Berendes,JP Burns,Kelvin Williams,Nathan Vickroy,Anders Olsen,Sun Choi,,,,,,,,,,,,,,,,,,,,,,228,,,,,,,,,,,Atlanta Hustle,AUDL 2016
26,2016-04-02 19:05,Nashville NightWatch,129,D,1,1,Offense,Drop,Anders Olsen,David Berendes,,,Robert Runner,David Berendes,JP Burns,Kelvin Williams,Nathan Vickroy,Anders Olsen,Sun Choi,,,,,,,,,,,,,,,,,,,,,,232,,,,,,,,,,,Atlanta Hustle,AUDL 2016
27,2016-04-02 19:05,Nashville NightWatch,129,D,1,1,Defense,Goal,,,,,Robert Runner,David Berendes,JP Burns,Kelvin Williams,Nathan Vickroy,Anders Olsen,Sun Choi,,,,,,,,,,,,,,,,,,,,,,256,,,,,,,,,,,Atlanta Hustle,AUDL 2016
28,2016-04-02 19:05,Nashville NightWatch,67,O,1,2,Offense,Catch,Dylan Tunnell,Mark Poole,,,Mark Poole,Dylan Tunnell,Elliott Erickson,Austin Taylor,Trenton Spinks,Sam Gainer,Kyle Stapleton,,,,,,,,,,,,,,,,,,,,,,336,,,,,,,,,,,Atlanta Hustle,AUDL 2016
