,Date/Time,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Elapsed Time (secs),Begin Area,Begin X,Begin Y,End Area,End X,End Y,Distance Unit of Measure,Absolute Distance,Lateral Distance,Toward Our Goal Distance,Teamname,Tournament
0,2016-04-02 18:53,Austin Sol,509,D,1,0,Defense,Pull,,,Dylan Freechild,4.681,Matt Bennett,Beau Kittredge,Brandon Malecek,,Ben Lohre,Daniel Emmons,Matt Jackson,Cassidy Rasmussen,Kai Marshall,Dylan Freechild,Chris Larberg,Jake Anderson,Jimmy Mickle,Dillon Larberg,,,,,,,,,,,,,,,0,,,,,,,,,,,Dallas Roughnecks,AUDL 2016
1,2016-04-02 18:53,Austin Sol,509,D,1,0,Defense,D,,,Dillon Larberg,,Matt Bennett,Beau Kittredge,Brandon Malecek,,Ben Lohre,Daniel Emmons,Matt Jackson,Cassidy Rasmussen,Kai Marshall,Dylan Freechild,Chris Larberg,Jake Anderson,Jimmy Mickle,Dillon Larberg,,,,,,,,,,,,,,,12,,,,,,,,,,,Dallas Roughnecks,AUDL 2016
2,2016-04-02 18:53,Austin Sol,509,D,1,0,Offense,Catch,Dylan Freechild,Matt Bennett,,,Matt Bennett,Beau Kittredge,Brandon Malecek,,Ben Lohre,Daniel Emmons,Matt Jackson,Cassidy Rasmussen,Kai Marshall,Dylan Freechild,Chris Larberg,Jake Anderson,Jimmy Mickle,Dillon Larberg,,,,,,,,,,,,,,,28,,,,,,,,,,,Dallas Roughnecks,AUDL 2016
3,2016-04-02 18:53,Austin Sol,509,D,1,0,Offense,Catch,Matt Bennett,Dylan Freechild,,,Matt Bennett,Beau Kittredge,Brandon Malecek,,Ben Lohre,Daniel Emmons,Matt Jackson,Cassidy Rasmussen,Kai Marshall,Dylan Freechild,Chris Larberg,Jake Anderson,Jimmy Mickle,Dillon Larberg,,,,,,,,,,,,,,,32,,,,,,,,,,,Dallas Roughnecks,AUDL 2016
4,2016-04-02 18:53,Austin Sol,509,D,1,0,Offense,Catch,Dylan Freechild,Chris Larberg,,,Matt Bennett,Beau Kittredge,Brandon Malecek,,Ben Lohre,Daniel Emmons,Matt Jackson,Cassidy Rasmussen,Kai Marshall,Dylan Freechild,Chris Larberg,Jake Anderson,Jimmy Mickle,Dillon Larberg,,,,,,,,,,,,,,,36,,,,,,,,,,,Dallas Roughnecks,AUDL 2016
5,2016-04-02 18:53,Austin Sol,509,D,1,0,Offense,Catch,Chris Larberg,Dylan Freechild,,,Matt Bennett,Beau Kittredge,Brandon Malecek,,Ben Lohre,Daniel Emmons,Matt Jackson,Cassidy Rasmussen,Kai Marshall,Dylan Freechild,Chris Larberg,Jake Anderson,Jimmy Mickle,Dillon Larberg,,,,,,,,,,,,,,,40,,,,,,,,,,,Dallas Roughnecks,AUDL 2016
6,2016-04-02 18:53,Austin Sol,509,D,1,0,Offense,Catch,Dylan Freechild,Jake Anderson,,,Matt Bennett,Beau Kittredge,Brandon Malecek,,Ben Lohre,Daniel Emmons,Matt Jackson,Cassidy Rasmussen,Kai Marshall,Dylan Freechild,Chris Larberg,Jake Anderson,Jimmy Mickle,Dillon Larberg,,,,,,,,,,,,,,,44,,,,,,,,,,,Dallas Roughnecks,AUDL 2016
7,2016-04-02 18:53,Austin Sol,509,D,1,0,Offense,Catch,Jake Anderson,Daniel Emmons,,,Matt Bennett,Beau Kittredge,Brandon Malecek,,Ben Lohre,Daniel Emmons,Matt Jackson,Cassidy Rasmussen,Kai Marshall,Dylan Freechild,Chris Larberg,Jake Anderson,Jimmy Mickle,Dillon Larberg,,,,,,,,,,,,,,,48,,,,,,,,,,,Dallas Roughnecks,AUDL 2016
8,2016-04-02 18:53,Austin Sol,509,D,1,0,Offense,Throwaway,Daniel Emmons,,,,Matt Bennett,Beau Kittredge,Brandon Malecek,,Ben Lohre,Daniel Emmons,Matt Jackson,Cassidy Rasmussen,Kai Marshall,Dylan Freechild,Chris Larberg,Jake Anderson,Jimmy Mickle,Dillon Larberg,,,,,,,,,,,,,,,52,,,,,,,,,,,Dallas Roughnecks,AUDL 2016
9,2016-04-02 18:53,Austin Sol,509,D,1,0,Defense,D,,,Matt Jackson,,Matt Bennett,Beau Kittredge,Brandon Malecek,,Ben Lohre,Daniel Emmons,Matt Jackson,Cassidy Rasmussen,Kai Marshall,Dylan Freechild,Chris Larberg,Jake Anderson,Jimmy Mickle,Dillon Larberg,,,,,,,,,,,,,,,62,,,,,,,,,,,Dallas Roughnecks,AUDL 2016
10,2016-04-02 18:53,Austin Sol,509,D,1,0,Offense,Catch,Matt Jackson,Dylan Freechild,,,Matt Bennett,Beau Kittredge,Brandon Malecek,,Ben Lohre,Daniel Emmons,Matt Jackson,Cassidy Rasmussen,Kai Marshall,Dylan Freechild,Chris Larberg,Jake Anderson,Jimmy Mickle,Dillon Larberg,,,,,,,,,,,,,,,68,,,,,,,,,,,Dallas Roughnecks,AUDL 2016
11,2016-04-02 18:53,Austin Sol,509,D,1,0,Offense,Catch,Dylan Freechild,Matt Bennett,,,Matt Bennett,Beau Kittredge,Brandon Malecek,,Ben Lohre,Daniel Emmons,Matt Jackson,Cassidy Rasmussen,Kai Marshall,Dylan Freechild,Chris Larberg,Jake Anderson,Jimmy Mickle,Dillon Larberg,,,,,,,,,,,,,,,75,,,,,,,,,,,Dallas Roughnecks,AUDL 2016
12,2016-04-02 18:53,Austin Sol,509,D,1,0,Offense,Catch,Matt Bennett,Dylan Freechild,,,Matt Bennett,Beau Kittredge,Brandon Malecek,,Ben Lohre,Daniel Emmons,Matt Jackson,Cassidy Rasmussen,Kai Marshall,Dylan Freechild,Chris Larberg,Jake Anderson,Jimmy Mickle,Dillon Larberg,,,,,,,,,,,,,,,79,,,,,,,,,,,Dallas Roughnecks,AUDL 2016
13,2016-04-02 18:53,Austin Sol,509,D,1,0,Offense,Catch,Dylan Freechild,Daniel Emmons,,,Matt Bennett,Beau Kittredge,Brandon Malecek,,Ben Lohre,Daniel Emmons,Matt Jackson,Cassidy Rasmussen,Kai Marshall,Dylan Freechild,Chris Larberg,Jake Anderson,Jimmy Mickle,Dillon Larberg,,,,,,,,,,,,,,,83,,,,,,,,,,,Dallas Roughnecks,AUDL 2016
14,2016-04-02 18:53,Austin Sol,509,D,1,0,Offense,Catch,Daniel Emmons,Dylan Freechild,,,Matt Bennett,Beau Kittredge,Brandon Malecek,,Ben Lohre,Daniel Emmons,Matt Jackson,Cassidy Rasmussen,Kai Marshall,Dylan Freechild,Chris Larberg,Jake Anderson,Jimmy Mickle,Dillon Larberg,,,,,,,,,,,,,,,87,,,,,,,,,,,Dallas Roughnecks,AUDL 2016
15,2016-04-02 18:53,Austin Sol,509,D,1,0,Offense,Throwaway,Dylan Freechild,,,,Matt Bennett,Beau Kittredge,Brandon Malecek,,Ben Lohre,Daniel Emmons,Matt Jackson,Cassidy Rasmussen,Kai Marshall,Dylan Freechild,Chris Larberg,Jake Anderson,Jimmy Mickle,Dillon Larberg,,,,,,,,,,,,,,,97,,,,,,,,,,,Dallas Roughnecks,AUDL 2016
16,2016-04-02 18:53,Austin Sol,509,D,1,0,Defense,D,,,Matt Bennett,,Matt Bennett,Beau Kittredge,Brandon Malecek,,Ben Lohre,Daniel Emmons,Matt Jackson,Cassidy Rasmussen,Kai Marshall,Dylan Freechild,Chris Larberg,Jake Anderson,Jimmy Mickle,Dillon Larberg,,,,,,,,,,,,,,,115,,,,,,,,,,,Dallas Roughnecks,AUDL 2016
17,2016-04-02 18:53,Austin Sol,509,D,1,0,Offense,Catch,Matt Bennett,Dillon Larberg,,,Matt Bennett,Beau Kittredge,Brandon Malecek,,Ben Lohre,Daniel Emmons,Matt Jackson,Cassidy Rasmussen,Kai Marshall,Dylan Freechild,Chris Larberg,Jake Anderson,Jimmy Mickle,Dillon Larberg,,,,,,,,,,,,,,,132,,,,,,,,,,,Dallas Roughnecks,AUDL 2016
18,2016-04-02 18:53,Austin Sol,509,D,1,0,Offense,Catch,Dillon Larberg,Matt Bennett,,,Matt Bennett,Beau Kittredge,Brandon Malecek,,Ben Lohre,Daniel Emmons,Matt Jackson,Cassidy Rasmussen,Kai Marshall,Dylan Freechild,Chris Larberg,Jake Anderson,Jimmy Mickle,Dillon Larberg,,,,,,,,,,,,,,,135,,,,,,,,,,,Dallas Roughnecks,AUDL 2016
19,2016-04-02 18:53,Austin Sol,509,D,1,0,Offense,Catch,Matt Bennett,Matt Jackson,,,Matt Bennett,Beau Kittredge,Brandon Malecek,,Ben Lohre,Daniel Emmons,Matt Jackson,Cassidy Rasmussen,Kai Marshall,Dylan Freechild,Chris Larberg,Jake Anderson,Jimmy Mickle,Dillon Larberg,,,,,,,,,,,,,,,140,,,,,,,,,,,Dallas Roughnecks,AUDL 2016
