,Date/Time,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Elapsed Time (secs),Begin Area,Begin X,Begin Y,End Area,End X,End Y,Distance Unit of Measure,Absolute Distance,Lateral Distance,Toward Our Goal Distance,Teamname,Tournament
0,2016-04-09 19:13,Raleigh Flyers,7,O,1,0,Offense,Goal,Stephen Poulos,Chris Gibson,,,Chris Gibson,Andrew Carleton,Bryan Conklin,Stephen Poulos,Mischa Freystaetter,Cole Sullivan,Travis Catron,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,Jacksonville Cannons,AUDL 2016
1,2016-04-09 19:13,Raleigh Flyers,53,D,1,1,Defense,PullOb,,,Brawley Adams,,Alex Bullock,Stephen Ierardi,Bradley Seuntjens,Brawley Adams,Nicholas Hunter,Dustin Travaglini,Craig Manahan,,,,,,,,,,,,,,,,,,,,,,62,,,,,,,,,,,Jacksonville Cannons,AUDL 2016
2,2016-04-09 19:13,Raleigh Flyers,53,D,1,1,Defense,Goal,,,,,Alex Bullock,Stephen Ierardi,Bradley Seuntjens,Brawley Adams,Nicholas Hunter,Dustin Travaglini,Craig Manahan,,,,,,,,,,,,,,,,,,,,,,113,,,,,,,,,,,Jacksonville Cannons,AUDL 2016
3,2016-04-09 19:13,Raleigh Flyers,7,O,2,1,Offense,Goal,Stephen Poulos,Mischa Freystaetter,,,Chris Gibson,Andrew Carleton,Bryan Conklin,Stephen Poulos,Mischa Freystaetter,Cole Sullivan,Travis Catron,,,,,,,,,,,,,,,,,,,,,,224,,,,,,,,,,,Jacksonville Cannons,AUDL 2016
4,2016-04-09 19:13,Raleigh Flyers,43,D,2,2,Defense,Pull,,,Jeffrey Walker,3.501,Jaime Benites,Jeffrey Walker,James Dahl,Adam Russell,Ryan Chard,Nicholas Hunter,Andy Cava,,,,,,,,,,,,,,,,,,,,,,288,,,,,,,,,,,Jacksonville Cannons,AUDL 2016
5,2016-04-09 19:13,Raleigh Flyers,43,D,2,2,Defense,Goal,,,,,Jaime Benites,Jeffrey Walker,James Dahl,Adam Russell,Ryan Chard,Nicholas Hunter,Andy Cava,,,,,,,,,,,,,,,,,,,,,,329,,,,,,,,,,,Jacksonville Cannons,AUDL 2016
6,2016-04-09 19:13,Raleigh Flyers,85,O,3,2,Offense,Catch,Stephen Poulos,Bryan Conklin,,,Chris Gibson,Andrew Carleton,Bryan Conklin,Stephen Poulos,Mischa Freystaetter,Cole Sullivan,Travis Catron,,,,,,,,,,,,,,,,,,,,,,384,,,,,,,,,,,Jacksonville Cannons,AUDL 2016
7,2016-04-09 19:13,Raleigh Flyers,85,O,3,2,Offense,Throwaway,Bryan Conklin,,,,Chris Gibson,Andrew Carleton,Bryan Conklin,Stephen Poulos,Mischa Freystaetter,Cole Sullivan,Travis Catron,,,,,,,,,,,,,,,,,,,,,,396,,,,,,,,,,,Jacksonville Cannons,AUDL 2016
8,2016-04-09 19:13,Raleigh Flyers,85,O,3,2,Defense,D,,,Mischa Freystaetter,,Chris Gibson,Andrew Carleton,Bryan Conklin,Stephen Poulos,Mischa Freystaetter,Cole Sullivan,Travis Catron,,,,,,,,,,,,,,,,,,,,,,406,,,,,,,,,,,Jacksonville Cannons,AUDL 2016
9,2016-04-09 19:13,Raleigh Flyers,85,O,3,2,Offense,Throwaway,Cole Sullivan,,,,Chris Gibson,Andrew Carleton,Bryan Conklin,Stephen Poulos,Mischa Freystaetter,Cole Sullivan,Travis Catron,,,,,,,,,,,,,,,,,,,,,,422,,,,,,,,,,,Jacksonville Cannons,AUDL 2016
