,Date/Time,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Elapsed Time (secs),Begin Area,Begin X,Begin Y,End Area,End X,End Y,Distance Unit of Measure,Absolute Distance,Lateral Distance,Toward Our Goal Distance,Teamname,Tournament
0,2016-04-03 14:41,San Francisco FlameThrowers,72,D,0,1,Defense,Pull,,,Dan Bellinger,6.899,Mitchell Steiner,Peter Zhou,Simon Evans,Dan Bellinger,Zac Schakner,Jeffrey Silverman,Tyler Bacon,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,Los Angeles Aviators,AUDL 2016
1,2016-04-03 14:41,San Francisco FlameThrowers,72,D,0,1,Defense,D,,,Tyler Bacon,,Mitchell Steiner,Peter Zhou,Simon Evans,Dan Bellinger,Zac Schakner,Jeffrey Silverman,Tyler Bacon,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,Los Angeles Aviators,AUDL 2016
2,2016-04-03 14:41,San Francisco FlameThrowers,72,D,0,1,Offense,Catch,Peter Zhou,Tyler Bacon,,,Mitchell Steiner,Peter Zhou,Simon Evans,Dan Bellinger,Zac Schakner,Jeffrey Silverman,Tyler Bacon,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,Los Angeles Aviators,AUDL 2016
3,2016-04-03 14:41,San Francisco FlameThrowers,72,D,0,1,Offense,Catch,Tyler Bacon,Mitchell Steiner,,,Mitchell Steiner,Peter Zhou,Simon Evans,Dan Bellinger,Zac Schakner,Jeffrey Silverman,Tyler Bacon,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,Los Angeles Aviators,AUDL 2016
4,2016-04-03 14:41,San Francisco FlameThrowers,72,D,0,1,Offense,Throwaway,Mitchell Steiner,,,,Mitchell Steiner,Peter Zhou,Simon Evans,Dan Bellinger,Zac Schakner,Jeffrey Silverman,Tyler Bacon,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,Los Angeles Aviators,AUDL 2016
5,2016-04-03 14:41,San Francisco FlameThrowers,72,D,0,1,Defense,Goal,,,,,Mitchell Steiner,Peter Zhou,Simon Evans,Dan Bellinger,Zac Schakner,Jeffrey Silverman,Tyler Bacon,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,Los Angeles Aviators,AUDL 2016
6,2016-04-03 14:41,San Francisco FlameThrowers,72,O,1,1,Offense,Catch,Allen Lai,Hunter Corbet,,,Greg Husak,Eric Lissner,Bryan Nguyen,Steven Brooks,Allen Lai,Hunter Corbet,Jack Marsh,,,,,,,,,,,,,,,,,,,,,,145,,,,,,,,,,,Los Angeles Aviators,AUDL 2016
7,2016-04-03 14:41,San Francisco FlameThrowers,72,O,1,1,Offense,Catch,Hunter Corbet,Allen Lai,,,Greg Husak,Eric Lissner,Bryan Nguyen,Steven Brooks,Allen Lai,Hunter Corbet,Jack Marsh,,,,,,,,,,,,,,,,,,,,,,154,,,,,,,,,,,Los Angeles Aviators,AUDL 2016
8,2016-04-03 14:41,San Francisco FlameThrowers,72,O,1,1,Offense,Catch,Allen Lai,Hunter Corbet,,,Greg Husak,Eric Lissner,Bryan Nguyen,Steven Brooks,Allen Lai,Hunter Corbet,Jack Marsh,,,,,,,,,,,,,,,,,,,,,,158,,,,,,,,,,,Los Angeles Aviators,AUDL 2016
9,2016-04-03 14:41,San Francisco FlameThrowers,72,O,1,1,Offense,Catch,Hunter Corbet,Steven Brooks,,,Greg Husak,Eric Lissner,Bryan Nguyen,Steven Brooks,Allen Lai,Hunter Corbet,Jack Marsh,,,,,,,,,,,,,,,,,,,,,,162,,,,,,,,,,,Los Angeles Aviators,AUDL 2016
