,Date/Time,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Elapsed Time (secs),Begin Area,Begin X,Begin Y,End Area,End X,End Y,Distance Unit of Measure,Absolute Distance,Lateral Distance,Toward Our Goal Distance,Teamname,Tournament,Lineup,GameID,QuarterID,PointID,PossessionID
0,2016-04-09 18:03,Minnesota Wind Chill,74,O,1,0,Offense,Catch,Tom Annen,Andrew Brown,,,Andrew Brown,Ryan Tucker,Tom Annen,Kevin Brown,Brian Hart,Dave Wiseman,Colin Camp,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,Madison Radicals,AUDL 2016,"Andrew Brown, Ryan Tucker, Tom Annen, Kevin Brown, Brian Hart, Dave Wiseman, Colin Camp",1,1,1,1.0
1,2016-04-09 18:03,Minnesota Wind Chill,74,O,1,0,Offense,Catch,Andrew Brown,Tom Annen,,,Andrew Brown,Ryan Tucker,Tom Annen,Kevin Brown,Brian Hart,Dave Wiseman,Colin Camp,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,Madison Radicals,AUDL 2016,"Andrew Brown, Ryan Tucker, Tom Annen, Kevin Brown, Brian Hart, Dave Wiseman, Colin Camp",1,1,1,1.0
2,2016-04-09 18:03,Minnesota Wind Chill,74,O,1,0,Offense,Catch,Tom Annen,Andrew Brown,,,Andrew Brown,Ryan Tucker,Tom Annen,Kevin Brown,Brian Hart,Dave Wiseman,Colin Camp,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,Madison Radicals,AUDL 2016,"Andrew Brown, Ryan Tucker, Tom Annen, Kevin Brown, Brian Hart, Dave Wiseman, Colin Camp",1,1,1,1.0
3,2016-04-09 18:03,Minnesota Wind Chill,74,O,1,0,Offense,Catch,Andrew Brown,Brian Hart,,,Andrew Brown,Ryan Tucker,Tom Annen,Kevin Brown,Brian Hart,Dave Wiseman,Colin Camp,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,Madison Radicals,AUDL 2016,"Andrew Brown, Ryan Tucker, Tom Annen, Kevin Brown, Brian Hart, Dave Wiseman, Colin Camp",1,1,1,1.0
4,2016-04-09 18:03,Minnesota Wind Chill,74,O,1,0,Offense,Catch,Brian Hart,Tom Annen,,,Andrew Brown,Ryan Tucker,Tom Annen,Kevin Brown,Brian Hart,Dave Wiseman,Colin Camp,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,Madison Radicals,AUDL 2016,"Andrew Brown, Ryan Tucker, Tom Annen, Kevin Brown, Brian Hart, Dave Wiseman, Colin Camp",1,1,1,1.0
5,2016-04-09 18:03,Minnesota Wind Chill,74,O,1,0,Offense,Catch,Tom Annen,Andrew Brown,,,Andrew Brown,Ryan Tucker,Tom Annen,Kevin Brown,Brian Hart,Dave Wiseman,Colin Camp,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,Madison Radicals,AUDL 2016,"Andrew Brown, Ryan Tucker, Tom Annen, Kevin Brown, Brian Hart, Dave Wiseman, Colin Camp",1,1,1,1.0
6,2016-04-09 18:03,Minnesota Wind Chill,74,O,1,0,Offense,Catch,Andrew Brown,Brian Hart,,,Andrew Brown,Ryan Tucker,Tom Annen,Kevin Brown,Brian Hart,Dave Wiseman,Colin Camp,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,Madison Radicals,AUDL 2016,"Andrew Brown, Ryan Tucker, Tom Annen, Kevin Brown, Brian Hart, Dave Wiseman, Colin Camp",1,1,1,1.0
7,2016-04-09 18:03,Minnesota Wind Chill,74,O,1,0,Offense,Catch,Brian Hart,Tom Annen,,,Andrew Brown,Ryan Tucker,Tom Annen,Kevin Brown,Brian Hart,Dave Wiseman,Colin Camp,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,Madison Radicals,AUDL 2016,"Andrew Brown, Ryan Tucker, Tom Annen, Kevin Brown, Brian Hart, Dave Wiseman, Colin Camp",1,1,1,1.0
8,2016-04-09 18:03,Minnesota Wind Chill,74,O,1,0,Offense,Catch,Tom Annen,Brian Hart,,,Andrew Brown,Ryan Tucker,Tom Annen,Kevin Brown,Brian Hart,Dave Wiseman,Colin Camp,,,,,,,,,,,,,,,,,,,,,,37,,,,,,,,,,,Madison Radicals,AUDL 2016,"Andrew Brown, Ryan Tucker, Tom Annen, Kevin Brown, Brian Hart, Dave Wiseman, Colin Camp",1,1,1,1.0
9,2016-04-09 18:03,Minnesota Wind Chill,74,O,1,0,Offense,Catch,Brian Hart,Dave Wiseman,,,Andrew Brown,Ryan Tucker,Tom Annen,Kevin Brown,Brian Hart,Dave Wiseman,Colin Camp,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,Madison Radicals,AUDL 2016,"Andrew Brown, Ryan Tucker, Tom Annen, Kevin Brown, Brian Hart, Dave Wiseman, Colin Camp",1,1,1,1.0
10,2016-04-09 18:03,Minnesota Wind Chill,74,O,1,0,Offense,Catch,Dave Wiseman,Kevin Brown,,,Andrew Brown,Ryan Tucker,Tom Annen,Kevin Brown,Brian Hart,Dave Wiseman,Colin Camp,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,Madison Radicals,AUDL 2016,"Andrew Brown, Ryan Tucker, Tom Annen, Kevin Brown, Brian Hart, Dave Wiseman, Colin Camp",1,1,1,1.0
