,Date/Time,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Elapsed Time (secs),Begin Area,Begin X,Begin Y,End Area,End X,End Y,Distance Unit of Measure,Absolute Distance,Lateral Distance,Toward Our Goal Distance,Teamname,Tournament
0,2016-04-02 19:04,Atlanta Hustle,60,D,0,1,Defense,Pull,,,Player Pierce,6.327,Phillip Dougherty,Player Pierce,Frank Strasser,John Carden,Javier Ortiz,Nick Peppers,Ryan Balch,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,Nashville NightWatch,AUDL 2016
1,2016-04-02 19:04,Atlanta Hustle,60,D,0,1,Defense,Goal,,,,,Phillip Dougherty,Player Pierce,Frank Strasser,John Carden,Javier Ortiz,Nick Peppers,Ryan Balch,,,,,,,,,,,,,,,,,,,,,,58,,,,,,,,,,,Nashville NightWatch,AUDL 2016
2,2016-04-02 19:04,Atlanta Hustle,143,O,1,1,Offense,Catch,Tyler Conger,Grant Waldron,,,Justin Moore,Michael Venezia,Tyler Conger,Grant Waldron,Tom Radcliffe,Dan Chazin,Ray Davenport,,,,,,,,,,,,,,,,,,,,,,118,,,,,,,,,,,Nashville NightWatch,AUDL 2016
3,2016-04-02 19:04,Atlanta Hustle,143,O,1,1,Offense,Catch,Grant Waldron,Tyler Conger,,,Justin Moore,Michael Venezia,Tyler Conger,Grant Waldron,Tom Radcliffe,Dan Chazin,Ray Davenport,,,,,,,,,,,,,,,,,,,,,,127,,,,,,,,,,,Nashville NightWatch,AUDL 2016
4,2016-04-02 19:04,Atlanta Hustle,143,O,1,1,Offense,Catch,Tyler Conger,Justin Moore,,,Justin Moore,Michael Venezia,Tyler Conger,Grant Waldron,Tom Radcliffe,Dan Chazin,Ray Davenport,,,,,,,,,,,,,,,,,,,,,,134,,,,,,,,,,,Nashville NightWatch,AUDL 2016
5,2016-04-02 19:04,Atlanta Hustle,143,O,1,1,Offense,Catch,Justin Moore,Tom Radcliffe,,,Justin Moore,Michael Venezia,Tyler Conger,Grant Waldron,Tom Radcliffe,Dan Chazin,Ray Davenport,,,,,,,,,,,,,,,,,,,,,,137,,,,,,,,,,,Nashville NightWatch,AUDL 2016
6,2016-04-02 19:04,Atlanta Hustle,143,O,1,1,Offense,Catch,Tom Radcliffe,Tyler Conger,,,Justin Moore,Michael Venezia,Tyler Conger,Grant Waldron,Tom Radcliffe,Dan Chazin,Ray Davenport,,,,,,,,,,,,,,,,,,,,,,141,,,,,,,,,,,Nashville NightWatch,AUDL 2016
7,2016-04-02 19:04,Atlanta Hustle,143,O,1,1,Offense,Catch,Tyler Conger,Ray Davenport,,,Justin Moore,Michael Venezia,Tyler Conger,Grant Waldron,Tom Radcliffe,Dan Chazin,Ray Davenport,,,,,,,,,,,,,,,,,,,,,,148,,,,,,,,,,,Nashville NightWatch,AUDL 2016
8,2016-04-02 19:04,Atlanta Hustle,143,O,1,1,Offense,Catch,Ray Davenport,Tyler Conger,,,Justin Moore,Michael Venezia,Tyler Conger,Grant Waldron,Tom Radcliffe,Dan Chazin,Ray Davenport,,,,,,,,,,,,,,,,,,,,,,152,,,,,,,,,,,Nashville NightWatch,AUDL 2016
9,2016-04-02 19:04,Atlanta Hustle,143,O,1,1,Offense,Drop,Tyler Conger,Ray Davenport,,,Justin Moore,Michael Venezia,Tyler Conger,Grant Waldron,Tom Radcliffe,Dan Chazin,Ray Davenport,,,,,,,,,,,,,,,,,,,,,,162,,,,,,,,,,,Nashville NightWatch,AUDL 2016
10,2016-04-02 19:04,Atlanta Hustle,143,O,1,1,Defense,Throwaway,,,,,Justin Moore,Michael Venezia,Tyler Conger,Grant Waldron,Tom Radcliffe,Dan Chazin,Ray Davenport,,,,,,,,,,,,,,,,,,,,,,227,,,,,,,,,,,Nashville NightWatch,AUDL 2016
11,2016-04-02 19:04,Atlanta Hustle,143,O,1,1,Offense,Catch,Tyler Conger,Tom Radcliffe,,,Justin Moore,Michael Venezia,Tyler Conger,Grant Waldron,Tom Radcliffe,Dan Chazin,Ray Davenport,,,,,,,,,,,,,,,,,,,,,,233,,,,,,,,,,,Nashville NightWatch,AUDL 2016
