,Date/Time,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Elapsed Time (secs),Begin Area,Begin X,Begin Y,End Area,End X,End Y,Distance Unit of Measure,Absolute Distance,Lateral Distance,Toward Our Goal Distance,Teamname,Tournament,Lineup,GameID,QuarterID,PointID,PossessionID
0,2016-04-09 16:26,New York Empire,274,O,0,1,Offense,Catch,Matthew Hogel,Derek Alexander,,,Matthew Hogel,Ken Alexander,Andrew Ouchterlony,Karl Loiseau,Mike Lee,,Derek Alexander,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,Ottawa Outlaws,AUDL 2016,"Matthew Hogel, Ken Alexander, Andrew Ouchterlony, Karl Loiseau, Mike Lee, Derek Alexander",1,1,1,1.0
1,2016-04-09 16:26,New York Empire,274,O,0,1,Offense,Catch,Derek Alexander,Matthew Hogel,,,Matthew Hogel,Ken Alexander,Andrew Ouchterlony,Karl Loiseau,Mike Lee,,Derek Alexander,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,Ottawa Outlaws,AUDL 2016,"Matthew Hogel, Ken Alexander, Andrew Ouchterlony, Karl Loiseau, Mike Lee, Derek Alexander",1,1,1,1.0
2,2016-04-09 16:26,New York Empire,274,O,0,1,Offense,Catch,Matthew Hogel,Andrew Ouchterlony,,,Matthew Hogel,Ken Alexander,Andrew Ouchterlony,Karl Loiseau,Mike Lee,,Derek Alexander,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,Ottawa Outlaws,AUDL 2016,"Matthew Hogel, Ken Alexander, Andrew Ouchterlony, Karl Loiseau, Mike Lee, Derek Alexander",1,1,1,1.0
3,2016-04-09 16:26,New York Empire,274,O,0,1,Offense,Catch,Andrew Ouchterlony,Matthew Hogel,,,Matthew Hogel,Ken Alexander,Andrew Ouchterlony,Karl Loiseau,Mike Lee,,Derek Alexander,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,Ottawa Outlaws,AUDL 2016,"Matthew Hogel, Ken Alexander, Andrew Ouchterlony, Karl Loiseau, Mike Lee, Derek Alexander",1,1,1,1.0
4,2016-04-09 16:26,New York Empire,274,O,0,1,Offense,Throwaway,Matthew Hogel,,,,Matthew Hogel,Ken Alexander,Andrew Ouchterlony,Karl Loiseau,Mike Lee,,Derek Alexander,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,Ottawa Outlaws,AUDL 2016,"Matthew Hogel, Ken Alexander, Andrew Ouchterlony, Karl Loiseau, Mike Lee, Derek Alexander",1,1,1,1.0
5,2016-04-09 16:26,New York Empire,274,O,0,1,Defense,D,,,Derek Alexander,,Matthew Hogel,Ken Alexander,Andrew Ouchterlony,Karl Loiseau,Mike Lee,,Derek Alexander,,,,,,,,,,,,,,,,,,,,,,52,,,,,,,,,,,Ottawa Outlaws,AUDL 2016,"Matthew Hogel, Ken Alexander, Andrew Ouchterlony, Karl Loiseau, Mike Lee, Derek Alexander",1,1,1,2.0
6,2016-04-09 16:26,New York Empire,274,O,0,1,Offense,Catch,Derek Alexander,Matthew Hogel,,,Matthew Hogel,Ken Alexander,Andrew Ouchterlony,Karl Loiseau,Mike Lee,,Derek Alexander,,,,,,,,,,,,,,,,,,,,,,64,,,,,,,,,,,Ottawa Outlaws,AUDL 2016,"Matthew Hogel, Ken Alexander, Andrew Ouchterlony, Karl Loiseau, Mike Lee, Derek Alexander",1,1,1,3.0
7,2016-04-09 16:26,New York Empire,274,O,0,1,Offense,Catch,Matthew Hogel,Mike Lee,,,Matthew Hogel,Ken Alexander,Andrew Ouchterlony,Karl Loiseau,Mike Lee,,Derek Alexander,,,,,,,,,,,,,,,,,,,,,,69,,,,,,,,,,,Ottawa Outlaws,AUDL 2016,"Matthew Hogel, Ken Alexander, Andrew Ouchterlony, Karl Loiseau, Mike Lee, Derek Alexander",1,1,1,3.0
8,2016-04-09 16:26,New York Empire,274,O,0,1,Offense,Catch,Mike Lee,Derek Alexander,,,Matthew Hogel,Ken Alexander,Andrew Ouchterlony,Karl Loiseau,Mike Lee,,Derek Alexander,,,,,,,,,,,,,,,,,,,,,,72,,,,,,,,,,,Ottawa Outlaws,AUDL 2016,"Matthew Hogel, Ken Alexander, Andrew Ouchterlony, Karl Loiseau, Mike Lee, Derek Alexander",1,1,1,3.0
9,2016-04-09 16:26,New York Empire,274,O,0,1,Offense,Catch,Derek Alexander,Ken Alexander,,,Matthew Hogel,Ken Alexander,Andrew Ouchterlony,Karl Loiseau,Mike Lee,,Derek Alexander,,,,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,Ottawa Outlaws,AUDL 2016,"Matthew Hogel, Ken Alexander, Andrew Ouchterlony, Karl Loiseau, Mike Lee, Derek Alexander",1,1,1,3.0
