,Date/Time,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Elapsed Time (secs),Begin Area,Begin X,Begin Y,End Area,End X,End Y,Distance Unit of Measure,Absolute Distance,Lateral Distance,Toward Our Goal Distance,Teamname,Tournament
0,2017-04-02 16:27,Madison Radicals,67,D,0,1,Defense,Pull,,,Travis Carpenter,7.449,Colin Ringwood,John Jones,Nick Hutton,Travis Carpenter,Levi Jacobs,Spencer Loscar,Heath Kalaba,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,Indianapolis AlleyCats,AUDL 2017
1,2017-04-02 16:27,Madison Radicals,67,D,0,1,Defense,Goal,,,,,Colin Ringwood,John Jones,Nick Hutton,Travis Carpenter,Levi Jacobs,Spencer Loscar,Heath Kalaba,,,,,,,,,,,,,,,,,,,,,,65,,,,,,,,,,,Indianapolis AlleyCats,AUDL 2017
2,2017-04-02 16:27,Madison Radicals,18,O,1,1,Offense,Catch,Michael Ames,Kyle Cox,,,Michael Ames,,Rick Gross,Keenan Plew,Kyle Cox,Cameron Brock,Sam Sohn,,,,,,,,,,,,,,,,,,,,,,119,,,,,,,,,,,Indianapolis AlleyCats,AUDL 2017
3,2017-04-02 16:27,Madison Radicals,18,O,1,1,Offense,Catch,Kyle Cox,Cameron Brock,,,Michael Ames,,Rick Gross,Keenan Plew,Kyle Cox,Cameron Brock,Sam Sohn,,,,,,,,,,,,,,,,,,,,,,127,,,,,,,,,,,Indianapolis AlleyCats,AUDL 2017
4,2017-04-02 16:27,Madison Radicals,18,O,1,1,Offense,Catch,Cameron Brock,Rick Gross,,,Michael Ames,,Rick Gross,Keenan Plew,Kyle Cox,Cameron Brock,Sam Sohn,,,,,,,,,,,,,,,,,,,,,,131,,,,,,,,,,,Indianapolis AlleyCats,AUDL 2017
5,2017-04-02 16:27,Madison Radicals,18,O,1,1,Offense,Goal,Rick Gross,,,,Michael Ames,,Rick Gross,Keenan Plew,Kyle Cox,Cameron Brock,Sam Sohn,,,,,,,,,,,,,,,,,,,,,,135,,,,,,,,,,,Indianapolis AlleyCats,AUDL 2017
6,2017-04-02 16:27,Madison Radicals,77,D,2,1,Defense,Pull,,,Travis Carpenter,6.748,Ryan Jarvis,Nick Hutton,Travis Carpenter,Levi Jacobs,Spencer Loscar,Jon Wenger,Heath Kalaba,,,,,,,,,,,,,,,,,,,,,,194,,,,,,,,,,,Indianapolis AlleyCats,AUDL 2017
7,2017-04-02 16:27,Madison Radicals,77,D,2,1,Defense,Throwaway,,,,,Ryan Jarvis,Nick Hutton,Travis Carpenter,Levi Jacobs,Spencer Loscar,Jon Wenger,Heath Kalaba,,,,,,,,,,,,,,,,,,,,,,208,,,,,,,,,,,Indianapolis AlleyCats,AUDL 2017
8,2017-04-02 16:27,Madison Radicals,77,D,2,1,Offense,Catch,Travis Carpenter,Jon Wenger,,,Ryan Jarvis,Nick Hutton,Travis Carpenter,Levi Jacobs,Spencer Loscar,Jon Wenger,Heath Kalaba,,,,,,,,,,,,,,,,,,,,,,241,,,,,,,,,,,Indianapolis AlleyCats,AUDL 2017
9,2017-04-02 16:27,Madison Radicals,77,D,2,1,Offense,Catch,Jon Wenger,Travis Carpenter,,,Ryan Jarvis,Nick Hutton,Travis Carpenter,Levi Jacobs,Spencer Loscar,Jon Wenger,Heath Kalaba,,,,,,,,,,,,,,,,,,,,,,257,,,,,,,,,,,Indianapolis AlleyCats,AUDL 2017
10,2017-04-02 16:27,Madison Radicals,77,D,2,1,Offense,Catch,Travis Carpenter,Jon Wenger,,,Ryan Jarvis,Nick Hutton,Travis Carpenter,Levi Jacobs,Spencer Loscar,Jon Wenger,Heath Kalaba,,,,,,,,,,,,,,,,,,,,,,261,,,,,,,,,,,Indianapolis AlleyCats,AUDL 2017
11,2017-04-02 16:27,Madison Radicals,77,D,2,1,Offense,Catch,Jon Wenger,Heath Kalaba,,,Ryan Jarvis,Nick Hutton,Travis Carpenter,Levi Jacobs,Spencer Loscar,Jon Wenger,Heath Kalaba,,,,,,,,,,,,,,,,,,,,,,265,,,,,,,,,,,Indianapolis AlleyCats,AUDL 2017
12,2017-04-02 16:27,Madison Radicals,77,D,2,1,Offense,Goal,Heath Kalaba,Travis Carpenter,,,Ryan Jarvis,Nick Hutton,Travis Carpenter,Levi Jacobs,Spencer Loscar,Jon Wenger,Heath Kalaba,,,,,,,,,,,,,,,,,,,,,,269,,,,,,,,,,,Indianapolis AlleyCats,AUDL 2017
13,2017-04-02 16:27,Madison Radicals,41,D,3,1,Defense,Pull,,,Travis Carpenter,5.767,Dana Granholm,Colin Ringwood,John Jones,Travis Carpenter,Zach Zebarth,Levi Jacobs,Wally Kasprzycki,,,,,,,,,,,,,,,,,,,,,,309,,,,,,,,,,,Indianapolis AlleyCats,AUDL 2017
14,2017-04-02 16:27,Madison Radicals,41,D,3,1,Defense,Throwaway,,,,,Dana Granholm,Colin Ringwood,John Jones,Travis Carpenter,Zach Zebarth,Levi Jacobs,Wally Kasprzycki,,,,,,,,,,,,,,,,,,,,,,333,,,,,,,,,,,Indianapolis AlleyCats,AUDL 2017
15,2017-04-02 16:27,Madison Radicals,41,D,3,1,Offense,Goal,Travis Carpenter,Colin Ringwood,,,Dana Granholm,Colin Ringwood,John Jones,Travis Carpenter,Zach Zebarth,Levi Jacobs,Wally Kasprzycki,,,,,,,,,,,,,,,,,,,,,,348,,,,,,,,,,,Indianapolis AlleyCats,AUDL 2017
