,Date/Time,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Elapsed Time (secs),Begin Area,Begin X,Begin Y,End Area,End X,End Y,Distance Unit of Measure,Absolute Distance,Lateral Distance,Toward Our Goal Distance,Teamname,Tournament
0,2017-04-26 13:55,DC Breeze,43,D,0,1,Defense,Pull,,,Erik Hunter,6.903,Tyler Sadler,Erik Hunter,Matt O'Brien,David Hochhalter,Jordan McGregor,Paul Mensah,Nick Boucher,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,Ottawa Outlaws,AUDL 2017
1,2017-04-26 13:55,DC Breeze,43,D,0,1,Defense,Goal,,,,,Tyler Sadler,Erik Hunter,Matt O'Brien,David Hochhalter,Jordan McGregor,Paul Mensah,Nick Boucher,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,,Ottawa Outlaws,AUDL 2017
2,2017-04-26 13:55,DC Breeze,50,O,0,2,Offense,Catch,Kinley Gee,Derek Alexander,,,Alec Arsenault,Andrew Ouchterlony,Kinley Gee,Luca Miglioretto,Paul Renaud,,Derek Alexander,,,,,,,,,,,,,,,,,,,,,,96,,,,,,,,,,,Ottawa Outlaws,AUDL 2017
3,2017-04-26 13:55,DC Breeze,50,O,0,2,Offense,Throwaway,Derek Alexander,,,,Alec Arsenault,Andrew Ouchterlony,Kinley Gee,Luca Miglioretto,Paul Renaud,,Derek Alexander,,,,,,,,,,,,,,,,,,,,,,106,,,,,,,,,,,Ottawa Outlaws,AUDL 2017
4,2017-04-26 13:55,DC Breeze,50,O,0,2,Defense,Goal,,,,,Alec Arsenault,Andrew Ouchterlony,Kinley Gee,Luca Miglioretto,Paul Renaud,,Derek Alexander,,,,,,,,,,,,,,,,,,,,,,144,,,,,,,,,,,Ottawa Outlaws,AUDL 2017
5,2017-04-26 13:55,DC Breeze,26,O,1,2,Offense,Catch,Kinley Gee,Alec Arsenault,,,Alec Arsenault,David Janssen,Andrew Ouchterlony,Kinley Gee,Luca Miglioretto,Paul Renaud,Derek Alexander,,,,,,,,,,,,,,,,,,,,,,216,,,,,,,,,,,Ottawa Outlaws,AUDL 2017
6,2017-04-26 13:55,DC Breeze,26,O,1,2,Offense,Catch,Alec Arsenault,Andrew Ouchterlony,,,Alec Arsenault,David Janssen,Andrew Ouchterlony,Kinley Gee,Luca Miglioretto,Paul Renaud,Derek Alexander,,,,,,,,,,,,,,,,,,,,,,225,,,,,,,,,,,Ottawa Outlaws,AUDL 2017
7,2017-04-26 13:55,DC Breeze,26,O,1,2,Offense,Catch,Andrew Ouchterlony,Derek Alexander,,,Alec Arsenault,David Janssen,Andrew Ouchterlony,Kinley Gee,Luca Miglioretto,Paul Renaud,Derek Alexander,,,,,,,,,,,,,,,,,,,,,,232,,,,,,,,,,,Ottawa Outlaws,AUDL 2017
8,2017-04-26 13:55,DC Breeze,26,O,1,2,Offense,Goal,Derek Alexander,David Janssen,,,Alec Arsenault,David Janssen,Andrew Ouchterlony,Kinley Gee,Luca Miglioretto,Paul Renaud,Derek Alexander,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,Ottawa Outlaws,AUDL 2017
9,2017-04-26 13:55,DC Breeze,34,D,1,3,Defense,Pull,,,Nick Boucher,5.123,Matt O'Brien,Jordan McGregor,Craig Froats,Pierre Lemerle,Nick Boucher,Russ Nicolls,Carson Turner,,,,,,,,,,,,,,,,,,,,,,298,,,,,,,,,,,Ottawa Outlaws,AUDL 2017
