,Date/Time,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Elapsed Time (secs),Begin Area,Begin X,Begin Y,End Area,End X,End Y,Distance Unit of Measure,Absolute Distance,Lateral Distance,Toward Our Goal Distance,Teamname,Tournament
0,2017-04-22 18:44,Montreal Royal,17,O,0,1,Offense,Throwaway,Paul Klimkowski,,,,Nicky Spiva,Paul Klimkowski,Sean Mott,Marques Brownlee,William Hoehne,Scott Xu,Andrew Manganelli,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,Philadelphia Phoenix,AUDL 2017
1,2017-04-22 18:44,Montreal Royal,17,O,0,1,Defense,Goal,,,,,Nicky Spiva,Paul Klimkowski,Sean Mott,Marques Brownlee,William Hoehne,Scott Xu,Andrew Manganelli,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,Philadelphia Phoenix,AUDL 2017
2,2017-04-22 18:44,Montreal Royal,65,O,1,1,Offense,Catch,Scott Xu,Nicky Spiva,,,Nicky Spiva,Mike Arcata,Trey Katzenbach,Sean Mott,Marques Brownlee,William Hoehne,Scott Xu,,,,,,,,,,,,,,,,,,,,,,76,,,,,,,,,,,Philadelphia Phoenix,AUDL 2017
3,2017-04-22 18:44,Montreal Royal,65,O,1,1,Offense,Drop,Nicky Spiva,Marques Brownlee,,,Nicky Spiva,Mike Arcata,Trey Katzenbach,Sean Mott,Marques Brownlee,William Hoehne,Scott Xu,,,,,,,,,,,,,,,,,,,,,,88,,,,,,,,,,,Philadelphia Phoenix,AUDL 2017
4,2017-04-22 18:44,Montreal Royal,65,O,1,1,Defense,D,,,William Hoehne,,Nicky Spiva,Mike Arcata,Trey Katzenbach,Sean Mott,Marques Brownlee,William Hoehne,Scott Xu,,,,,,,,,,,,,,,,,,,,,,119,,,,,,,,,,,Philadelphia Phoenix,AUDL 2017
5,2017-04-22 18:44,Montreal Royal,65,O,1,1,Offense,Catch,William Hoehne,Trey Katzenbach,,,Nicky Spiva,Mike Arcata,Trey Katzenbach,Sean Mott,Marques Brownlee,William Hoehne,Scott Xu,,,,,,,,,,,,,,,,,,,,,,123,,,,,,,,,,,Philadelphia Phoenix,AUDL 2017
6,2017-04-22 18:44,Montreal Royal,65,O,1,1,Offense,Catch,Trey Katzenbach,Nicky Spiva,,,Nicky Spiva,Mike Arcata,Trey Katzenbach,Sean Mott,Marques Brownlee,William Hoehne,Scott Xu,,,,,,,,,,,,,,,,,,,,,,127,,,,,,,,,,,Philadelphia Phoenix,AUDL 2017
7,2017-04-22 18:44,Montreal Royal,65,O,1,1,Offense,Catch,Nicky Spiva,Scott Xu,,,Nicky Spiva,Mike Arcata,Trey Katzenbach,Sean Mott,Marques Brownlee,William Hoehne,Scott Xu,,,,,,,,,,,,,,,,,,,,,,131,,,,,,,,,,,Philadelphia Phoenix,AUDL 2017
8,2017-04-22 18:44,Montreal Royal,65,O,1,1,Offense,Catch,Scott Xu,William Hoehne,,,Nicky Spiva,Mike Arcata,Trey Katzenbach,Sean Mott,Marques Brownlee,William Hoehne,Scott Xu,,,,,,,,,,,,,,,,,,,,,,135,,,,,,,,,,,Philadelphia Phoenix,AUDL 2017
9,2017-04-22 18:44,Montreal Royal,65,O,1,1,Offense,Goal,William Hoehne,Sean Mott,,,Nicky Spiva,Mike Arcata,Trey Katzenbach,Sean Mott,Marques Brownlee,William Hoehne,Scott Xu,,,,,,,,,,,,,,,,,,,,,,139,,,,,,,,,,,Philadelphia Phoenix,AUDL 2017
