,Date/Time,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Elapsed Time (secs),Begin Area,Begin X,Begin Y,End Area,End X,End Y,Distance Unit of Measure,Absolute Distance,Lateral Distance,Toward Our Goal Distance,Teamname,Tournament
0,2017-04-01 18:30,Atlanta Hustle,82,O,1,0,Offense,Catch,Jonathan Nethercutt,David Snoke,,,Goose Helton,David Snoke,Noah Saul,Jonathan Nethercutt,Matt Bode,Ben Dieter,Terrence Mitchell,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,Raleigh Flyers,AUDL 2017
1,2017-04-01 18:30,Atlanta Hustle,82,O,1,0,Offense,Catch,David Snoke,Goose Helton,,,Goose Helton,David Snoke,Noah Saul,Jonathan Nethercutt,Matt Bode,Ben Dieter,Terrence Mitchell,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,Raleigh Flyers,AUDL 2017
2,2017-04-01 18:30,Atlanta Hustle,82,O,1,0,Offense,Catch,Goose Helton,Jonathan Nethercutt,,,Goose Helton,David Snoke,Noah Saul,Jonathan Nethercutt,Matt Bode,Ben Dieter,Terrence Mitchell,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,Raleigh Flyers,AUDL 2017
3,2017-04-01 18:30,Atlanta Hustle,82,O,1,0,Offense,Catch,Jonathan Nethercutt,Matt Bode,,,Goose Helton,David Snoke,Noah Saul,Jonathan Nethercutt,Matt Bode,Ben Dieter,Terrence Mitchell,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,Raleigh Flyers,AUDL 2017
4,2017-04-01 18:30,Atlanta Hustle,82,O,1,0,Offense,Catch,Matt Bode,David Snoke,,,Goose Helton,David Snoke,Noah Saul,Jonathan Nethercutt,Matt Bode,Ben Dieter,Terrence Mitchell,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,Raleigh Flyers,AUDL 2017
5,2017-04-01 18:30,Atlanta Hustle,82,O,1,0,Offense,Catch,David Snoke,Jonathan Nethercutt,,,Goose Helton,David Snoke,Noah Saul,Jonathan Nethercutt,Matt Bode,Ben Dieter,Terrence Mitchell,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,Raleigh Flyers,AUDL 2017
6,2017-04-01 18:30,Atlanta Hustle,82,O,1,0,Offense,Catch,Jonathan Nethercutt,Noah Saul,,,Goose Helton,David Snoke,Noah Saul,Jonathan Nethercutt,Matt Bode,Ben Dieter,Terrence Mitchell,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,Raleigh Flyers,AUDL 2017
7,2017-04-01 18:30,Atlanta Hustle,82,O,1,0,Offense,Catch,Noah Saul,Terrence Mitchell,,,Goose Helton,David Snoke,Noah Saul,Jonathan Nethercutt,Matt Bode,Ben Dieter,Terrence Mitchell,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,Raleigh Flyers,AUDL 2017
8,2017-04-01 18:30,Atlanta Hustle,82,O,1,0,Offense,Catch,Terrence Mitchell,David Snoke,,,Goose Helton,David Snoke,Noah Saul,Jonathan Nethercutt,Matt Bode,Ben Dieter,Terrence Mitchell,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,Raleigh Flyers,AUDL 2017
9,2017-04-01 18:30,Atlanta Hustle,82,O,1,0,Offense,Catch,David Snoke,Ben Dieter,,,Goose Helton,David Snoke,Noah Saul,Jonathan Nethercutt,Matt Bode,Ben Dieter,Terrence Mitchell,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,,,,Raleigh Flyers,AUDL 2017
10,2017-04-01 18:30,Atlanta Hustle,82,O,1,0,Offense,Catch,Ben Dieter,Goose Helton,,,Goose Helton,David Snoke,Noah Saul,Jonathan Nethercutt,Matt Bode,Ben Dieter,Terrence Mitchell,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,Raleigh Flyers,AUDL 2017
11,2017-04-01 18:30,Atlanta Hustle,82,O,1,0,Offense,Catch,Goose Helton,Ben Dieter,,,Goose Helton,David Snoke,Noah Saul,Jonathan Nethercutt,Matt Bode,Ben Dieter,Terrence Mitchell,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,Raleigh Flyers,AUDL 2017
12,2017-04-01 18:30,Atlanta Hustle,82,O,1,0,Offense,Catch,Ben Dieter,Goose Helton,,,Goose Helton,David Snoke,Noah Saul,Jonathan Nethercutt,Matt Bode,Ben Dieter,Terrence Mitchell,,,,,,,,,,,,,,,,,,,,,,53,,,,,,,,,,,Raleigh Flyers,AUDL 2017
13,2017-04-01 18:30,Atlanta Hustle,82,O,1,0,Offense,Catch,Goose Helton,Ben Dieter,,,Goose Helton,David Snoke,Noah Saul,Jonathan Nethercutt,Matt Bode,Ben Dieter,Terrence Mitchell,,,,,,,,,,,,,,,,,,,,,,57,,,,,,,,,,,Raleigh Flyers,AUDL 2017
14,2017-04-01 18:30,Atlanta Hustle,82,O,1,0,Offense,Catch,Ben Dieter,Jonathan Nethercutt,,,Goose Helton,David Snoke,Noah Saul,Jonathan Nethercutt,Matt Bode,Ben Dieter,Terrence Mitchell,,,,,,,,,,,,,,,,,,,,,,61,,,,,,,,,,,Raleigh Flyers,AUDL 2017
15,2017-04-01 18:30,Atlanta Hustle,82,O,1,0,Offense,Catch,Jonathan Nethercutt,Ben Dieter,,,Goose Helton,David Snoke,Noah Saul,Jonathan Nethercutt,Matt Bode,Ben Dieter,Terrence Mitchell,,,,,,,,,,,,,,,,,,,,,,63,,,,,,,,,,,Raleigh Flyers,AUDL 2017
16,2017-04-01 18:30,Atlanta Hustle,82,O,1,0,Offense,Catch,Ben Dieter,Goose Helton,,,Goose Helton,David Snoke,Noah Saul,Jonathan Nethercutt,Matt Bode,Ben Dieter,Terrence Mitchell,,,,,,,,,,,,,,,,,,,,,,65,,,,,,,,,,,Raleigh Flyers,AUDL 2017
17,2017-04-01 18:30,Atlanta Hustle,82,O,1,0,Offense,Catch,Goose Helton,Jonathan Nethercutt,,,Goose Helton,David Snoke,Noah Saul,Jonathan Nethercutt,Matt Bode,Ben Dieter,Terrence Mitchell,,,,,,,,,,,,,,,,,,,,,,67,,,,,,,,,,,Raleigh Flyers,AUDL 2017
18,2017-04-01 18:30,Atlanta Hustle,82,O,1,0,Offense,Catch,Jonathan Nethercutt,Ben Dieter,,,Goose Helton,David Snoke,Noah Saul,Jonathan Nethercutt,Matt Bode,Ben Dieter,Terrence Mitchell,,,,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,Raleigh Flyers,AUDL 2017
19,2017-04-01 18:30,Atlanta Hustle,82,O,1,0,Offense,Goal,Ben Dieter,Noah Saul,,,Goose Helton,David Snoke,Noah Saul,Jonathan Nethercutt,Matt Bode,Ben Dieter,Terrence Mitchell,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,Raleigh Flyers,AUDL 2017
20,2017-04-01 18:30,Atlanta Hustle,44,D,2,0,Defense,Pull,,,Tristan Green,6.364,Shane Sisco,Liam Searles Bohs,Justin Allen,David Richardson,Tristan Green,Micah Hood,Hunter Taylor,,,,,,,,,,,,,,,,,,,,,,139,,,,,,,,,,,Raleigh Flyers,AUDL 2017
21,2017-04-01 18:30,Atlanta Hustle,44,D,2,0,Defense,D,,,Hunter Taylor,,Shane Sisco,Liam Searles Bohs,Justin Allen,David Richardson,Tristan Green,Micah Hood,Hunter Taylor,,,,,,,,,,,,,,,,,,,,,,147,,,,,,,,,,,Raleigh Flyers,AUDL 2017
22,2017-04-01 18:30,Atlanta Hustle,44,D,2,0,Offense,Catch,Justin Allen,Shane Sisco,,,Shane Sisco,Liam Searles Bohs,Justin Allen,David Richardson,Tristan Green,Micah Hood,Hunter Taylor,,,,,,,,,,,,,,,,,,,,,,153,,,,,,,,,,,Raleigh Flyers,AUDL 2017
23,2017-04-01 18:30,Atlanta Hustle,44,D,2,0,Offense,Catch,Shane Sisco,Hunter Taylor,,,Shane Sisco,Liam Searles Bohs,Justin Allen,David Richardson,Tristan Green,Micah Hood,Hunter Taylor,,,,,,,,,,,,,,,,,,,,,,157,,,,,,,,,,,Raleigh Flyers,AUDL 2017
24,2017-04-01 18:30,Atlanta Hustle,44,D,2,0,Offense,Catch,Hunter Taylor,Justin Allen,,,Shane Sisco,Liam Searles Bohs,Justin Allen,David Richardson,Tristan Green,Micah Hood,Hunter Taylor,,,,,,,,,,,,,,,,,,,,,,161,,,,,,,,,,,Raleigh Flyers,AUDL 2017
25,2017-04-01 18:30,Atlanta Hustle,44,D,2,0,Offense,Catch,Justin Allen,Tristan Green,,,Shane Sisco,Liam Searles Bohs,Justin Allen,David Richardson,Tristan Green,Micah Hood,Hunter Taylor,,,,,,,,,,,,,,,,,,,,,,165,,,,,,,,,,,Raleigh Flyers,AUDL 2017
26,2017-04-01 18:30,Atlanta Hustle,44,D,2,0,Offense,Catch,Tristan Green,Micah Hood,,,Shane Sisco,Liam Searles Bohs,Justin Allen,David Richardson,Tristan Green,Micah Hood,Hunter Taylor,,,,,,,,,,,,,,,,,,,,,,169,,,,,,,,,,,Raleigh Flyers,AUDL 2017
27,2017-04-01 18:30,Atlanta Hustle,44,D,2,0,Offense,Catch,Micah Hood,Tristan Green,,,Shane Sisco,Liam Searles Bohs,Justin Allen,David Richardson,Tristan Green,Micah Hood,Hunter Taylor,,,,,,,,,,,,,,,,,,,,,,173,,,,,,,,,,,Raleigh Flyers,AUDL 2017
28,2017-04-01 18:30,Atlanta Hustle,44,D,2,0,Offense,Catch,Tristan Green,Micah Hood,,,Shane Sisco,Liam Searles Bohs,Justin Allen,David Richardson,Tristan Green,Micah Hood,Hunter Taylor,,,,,,,,,,,,,,,,,,,,,,177,,,,,,,,,,,Raleigh Flyers,AUDL 2017
29,2017-04-01 18:30,Atlanta Hustle,44,D,2,0,Offense,Goal,Micah Hood,Hunter Taylor,,,Shane Sisco,Liam Searles Bohs,Justin Allen,David Richardson,Tristan Green,Micah Hood,Hunter Taylor,,,,,,,,,,,,,,,,,,,,,,181,,,,,,,,,,,Raleigh Flyers,AUDL 2017
30,2017-04-01 18:30,Atlanta Hustle,18,D,3,0,Defense,Pull,,,Josh Hartzog,5.683,Jacob Fairfax,Noah Saul,Josh Hartzog,Mark Lin,Jeff Nordgren,Nate Goff,Evan Howey,,,,,,,,,,,,,,,,,,,,,,271,,,,,,,,,,,Raleigh Flyers,AUDL 2017
