,Date/Time,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Elapsed Time (secs),Begin Area,Begin X,Begin Y,End Area,End X,End Y,Distance Unit of Measure,Absolute Distance,Lateral Distance,Toward Our Goal Distance,Teamname,Tournament
0,2017-04-01 19:09,Vancouver Riptide,58,O,1,0,Offense,Catch,Will Chen,Mario O'Brien,,,Donnie Clark,Khalif El-Salaam,Bryson Simon Fox,Will Chen,Adam Simon,Mario O'Brien,Mark Burton,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,Seattle Cascades,AUDL 2017
1,2017-04-01 19:09,Vancouver Riptide,58,O,1,0,Offense,Catch,Mario O'Brien,Bryson Simon Fox,,,Donnie Clark,Khalif El-Salaam,Bryson Simon Fox,Will Chen,Adam Simon,Mario O'Brien,Mark Burton,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,Seattle Cascades,AUDL 2017
2,2017-04-01 19:09,Vancouver Riptide,58,O,1,0,Offense,Catch,Bryson Simon Fox,Mario O'Brien,,,Donnie Clark,Khalif El-Salaam,Bryson Simon Fox,Will Chen,Adam Simon,Mario O'Brien,Mark Burton,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,Seattle Cascades,AUDL 2017
3,2017-04-01 19:09,Vancouver Riptide,58,O,1,0,Offense,Catch,Mario O'Brien,Will Chen,,,Donnie Clark,Khalif El-Salaam,Bryson Simon Fox,Will Chen,Adam Simon,Mario O'Brien,Mark Burton,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,Seattle Cascades,AUDL 2017
4,2017-04-01 19:09,Vancouver Riptide,58,O,1,0,Offense,Catch,Will Chen,Adam Simon,,,Donnie Clark,Khalif El-Salaam,Bryson Simon Fox,Will Chen,Adam Simon,Mario O'Brien,Mark Burton,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,Seattle Cascades,AUDL 2017
5,2017-04-01 19:09,Vancouver Riptide,58,O,1,0,Offense,Catch,Adam Simon,Bryson Simon Fox,,,Donnie Clark,Khalif El-Salaam,Bryson Simon Fox,Will Chen,Adam Simon,Mario O'Brien,Mark Burton,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,Seattle Cascades,AUDL 2017
6,2017-04-01 19:09,Vancouver Riptide,58,O,1,0,Offense,Catch,Bryson Simon Fox,Khalif El-Salaam,,,Donnie Clark,Khalif El-Salaam,Bryson Simon Fox,Will Chen,Adam Simon,Mario O'Brien,Mark Burton,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,Seattle Cascades,AUDL 2017
7,2017-04-01 19:09,Vancouver Riptide,58,O,1,0,Offense,Catch,Khalif El-Salaam,Mark Burton,,,Donnie Clark,Khalif El-Salaam,Bryson Simon Fox,Will Chen,Adam Simon,Mario O'Brien,Mark Burton,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,Seattle Cascades,AUDL 2017
8,2017-04-01 19:09,Vancouver Riptide,58,O,1,0,Offense,Catch,Mark Burton,Mario O'Brien,,,Donnie Clark,Khalif El-Salaam,Bryson Simon Fox,Will Chen,Adam Simon,Mario O'Brien,Mark Burton,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,Seattle Cascades,AUDL 2017
9,2017-04-01 19:09,Vancouver Riptide,58,O,1,0,Offense,Catch,Mario O'Brien,Mark Burton,,,Donnie Clark,Khalif El-Salaam,Bryson Simon Fox,Will Chen,Adam Simon,Mario O'Brien,Mark Burton,,,,,,,,,,,,,,,,,,,,,,43,,,,,,,,,,,Seattle Cascades,AUDL 2017
10,2017-04-01 19:09,Vancouver Riptide,58,O,1,0,Offense,Catch,Mark Burton,Mario O'Brien,,,Donnie Clark,Khalif El-Salaam,Bryson Simon Fox,Will Chen,Adam Simon,Mario O'Brien,Mark Burton,,,,,,,,,,,,,,,,,,,,,,47,,,,,,,,,,,Seattle Cascades,AUDL 2017
11,2017-04-01 19:09,Vancouver Riptide,58,O,1,0,Offense,Catch,Mario O'Brien,Mark Burton,,,Donnie Clark,Khalif El-Salaam,Bryson Simon Fox,Will Chen,Adam Simon,Mario O'Brien,Mark Burton,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,Seattle Cascades,AUDL 2017
